TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
115,114,99.1304,113,98.2608,1,40227,17509,43.5254

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,ELEFANTE,WINAQ,CABAL,UNIONISTA,VIVA,VAMOS,CREO,SEMILLA,PODEMOS,UNE,PPN,UR,VOS,TODOS,AZUL,VALOR,BIEN,PIN,P A N,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13630,"San Marcos",12,"Tacaná",7,1886,400,2,7,4,22,0,4,17,9,9,5,5,5,2,2,37,1,1,10,2,2,146,0,1,147,0,147,--,400,253,146,147,147,Algún campo sin dato,1,9c2254b3e3ab30c7b043db1ad27a558e4e5fb7875abbb481ee340d0ba3f7893e,25/06/2023 23:01:12,ESCANER
13631,"San Marcos",12,"Tacaná",7,1886,400,2,11,1,24,0,5,36,5,13,2,5,6,0,3,41,0,1,5,1,4,165,3,0,168,0,168,--,400,232,165,168,168,Algún campo sin dato,1,b7a7d02578cd70301c23b316b172991701ec27ddca4766dccc00f6a9da167b4a,25/06/2023 23:29:59,ESCANER
13632,"San Marcos",12,"Tacaná",7,1886,369,0,7,2,10,0,5,21,7,10,5,5,7,1,4,24,0,0,15,2,2,127,1,0,128,0,128,--,369,241,127,128,128,Algún campo sin dato,1,7113274af29ae0dcf4798c4c06008c842d22564f97bb6bf1a81243f7db617c9c,25/06/2023 23:01:32,ESCANER
13633,"San Marcos",12,"Tacaná",7,1886,369,3,9,1,25,1,4,40,3,9,2,4,9,0,0,19,0,1,8,1,1,140,2,2,144,0,144,--,369,225,140,144,144,Algún campo sin dato,1,35f630275b0c58be51a86c25e72312f626ea41965c92d8f99405d4386eb448c4,25/06/2023 21:49:42,ESCANER
13634,"San Marcos",12,"Tacaná",7,1887,400,3,11,6,7,3,7,32,15,8,5,23,14,14,5,12,2,0,7,0,1,145,20,12,207,0,207,--,400,193,175,207,207,Sumas Asentadas sin cuadrar,1,8e7d5f853f4541faee4368ae57009f20f20f825a3f8d787d76231336e7522085,25/06/2023 23:51:49,ESCANER
13635,"San Marcos",12,"Tacaná",7,1887,400,0,21,5,9,2,12,22,16,5,3,14,5,14,4,8,0,0,10,1,0,151,17,0,168,0,168,--,395,227,151,168,168,Algún campo sin dato,1,67ec5afb4557eaeab0fa1fb03d0f428e04a0b8f0aa1ca485b24de62099d268e9,25/06/2023 23:23:10,ESCANER
13636,"San Marcos",12,"Tacaná",7,1887,279,0,8,4,11,0,4,13,11,3,9,8,10,10,3,8,1,1,11,0,0,115,5,5,125,0,125,--,279,154,115,125,125,Algún campo sin dato,1,be104f59baf3af8a4f1f8234e1e3495303314d06fd34a1cf795889f5ccff47f6,25/06/2023 22:58:09,ESCANER
13637,"San Marcos",12,"Tacaná",7,1887,278,1,6,3,6,0,5,16,5,5,7,3,5,6,2,14,0,0,5,3,0,92,2,4,98,0,98,--,--,--,92,98,98,Algún campo sin dato,1,99da32d9a3b00613ab444b8b8fe3325643feba6c83a1e73a21f050b350a309b2,25/06/2023 21:50:01,ESCANER
13638,"San Marcos",12,"Tacaná",7,1888,333,0,10,4,23,2,5,21,5,2,0,13,10,0,5,19,2,0,23,3,3,150,12,7,169,0,169,0,333,164,150,169,169,,1,0adc4c4438c48f4c8599b407a1b6b814714176c2be3c098ae95b499d9198ffc4,25/06/2023 23:38:57,ESCANER
13639,"San Marcos",12,"Tacaná",7,1888,332,0,8,1,22,1,4,10,4,3,0,2,9,0,4,19,0,0,18,5,0,110,6,0,116,0,116,--,332,216,110,116,116,Algún campo sin dato,1,4991185919f17dd3a3400c4ee1b7d51c080b5322bfb772d1a677b4d7baf24795,25/06/2023 22:12:37,ESCANER
