TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
211,211,100.0000,207,98.1042,4,84334,47654,56.5062

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,VALOR,UNE,AZUL,MLP,CAMBIO,WINAQ,PODEMOS,UR,VAMOS,TCB,BIEN,VICTORIA,PPN,PR,U R N G - MAIZ,VOS,VIVA,MI FAMILIA,SEMILLA,ELEFANTE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7171,"Escuintla",5,"Escuintla",1,800,400,10,4,16,42,5,0,1,1,11,1,36,7,5,64,9,0,4,3,10,0,7,6,242,20,0,262,0,262,--,400,138,242,262,262,Algún campo sin dato,1,1ce9b0ee25c11633d550c8ad893348f2a9b01e6d70493f82563d053582412404,26/06/2023 02:06:13,ESCANER
7172,"Escuintla",5,"Escuintla",1,800,400,8,4,8,31,4,0,3,0,14,4,24,3,1,62,9,2,4,4,5,0,13,14,217,17,1,235,0,235,--,400,165,217,235,235,Algún campo sin dato,1,8599a0f0023fe24c8cc8fdb5b55928206dde6d52733171fcac27e819e23935ce,26/06/2023 00:16:04,ESCANER
7173,"Escuintla",5,"Escuintla",1,800,400,7,5,12,42,6,0,1,2,8,4,40,5,4,70,9,0,1,2,9,1,10,5,243,17,1,261,0,261,--,398,134,243,261,261,Algún campo sin dato,1,b3cd9eec2f28bf54c0a4534e24a79458401d57f12814ad00ce03970d32777acd,26/06/2023 01:26:29,ESCANER
7174,"Escuintla",5,"Escuintla",1,800,400,11,3,16,38,2,1,3,1,16,2,25,3,2,67,9,1,1,0,11,0,7,3,222,16,2,240,0,240,--,400,160,222,240,240,Algún campo sin dato,1,c16fc205765e6c88fe6c61021182ae81c19c81a974e0524c08e3d70bfd72f372,26/06/2023 01:29:46,ESCANER
7175,"Escuintla",5,"Escuintla",1,800,400,12,1,16,47,4,1,0,0,11,3,22,6,2,56,8,1,1,5,8,3,5,7,219,15,0,234,0,234,--,400,166,219,234,234,Algún campo sin dato,1,be6ac069b600362367240c0b1af5f5a301bef17afe8777b2666f7479d64ecea6,26/06/2023 04:11:23,ESCANER
7176,"Escuintla",5,"Escuintla",1,801,400,5,6,9,44,2,--,--,2,11,--,29,8,3,52,7,1,2,6,11,3,10,5,216,16,--,--,--,232,--,400,168,216,232,232,Algún campo sin dato,1,ebfab23878bc8dc8934d0339bcc631042c4d6009767f17f967dec52669fa98a6,25/06/2023 22:56:37,ESCANER
7177,"Escuintla",5,"Escuintla",1,801,400,10,4,19,42,7,0,0,0,18,3,28,6,2,52,5,1,1,4,7,1,6,6,222,14,1,237,0,237,0,400,163,222,237,237,,1,5cb478a911766188739cd9b3d85cf3d9d67640b74314e365ec534cb359af41f2,26/06/2023 01:19:13,ESCANER
7178,"Escuintla",5,"Escuintla",1,801,400,8,1,20,40,2,0,2,1,12,0,24,6,5,44,9,2,1,4,12,1,13,6,213,14,1,228,0,228,--,400,172,213,228,228,Algún campo sin dato,1,c6a0819830bcc8f8e62f8426389b64ea9cb5e3dfa696c72d60a1647e91118029,26/06/2023 02:56:22,ESCANER
7179,"Escuintla",5,"Escuintla",1,801,400,10,1,11,38,4,2,3,1,10,2,22,3,4,59,5,2,4,5,7,0,7,5,205,22,1,228,0,228,0,400,172,205,228,228,,1,2ed318d2a577011dec1c25301f7c76fcd89c2a283f65706b2ee9d515da6b71fb,26/06/2023 01:12:30,ESCANER
7180,"Escuintla",5,"Escuintla",1,801,400,14,3,11,37,3,0,4,1,9,3,32,4,2,46,5,2,2,3,6,0,8,3,199,14,2,215,--,--,0,402,187,198,214,214,Sumas Asentadas sin cuadrar,1,63df0175e7cb642b19f5814923ee253e2d8dd0654315b4ebd742527607c76a1a,25/06/2023 23:17:15,ESCANER
