TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,35353,14734,41.6768

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,CABAL,PHG,VIVA,BIEN,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15719,"Huehuetenango",13,"La Democracia",12,2295,380,35,47,4,0,3,0,11,100,22,4,126,0,126,--,380,254,100,126,126,Algún campo sin dato,1,0d41920af9e5a771b49f15d1757dae86d31b6973993540da9d2bafbd16b84cdf,25/06/2023 22:16:58,ESCANER
15720,"Huehuetenango",13,"La Democracia",12,2295,380,49,50,3,1,8,1,27,139,26,5,170,0,170,--,380,210,139,170,170,Algún campo sin dato,1,1380f791ae9daae82110b84fd3e48ca9bc8fbca31d4e2434dfd3a93f820dfce1,25/06/2023 23:04:41,ESCANER
15721,"Huehuetenango",13,"La Democracia",12,2295,380,49,30,8,2,6,2,36,133,25,6,164,0,164,--,380,216,133,164,164,Algún campo sin dato,1,709c5c462d320d4823c49cacdf8bec89bd97adf161671e067ad024d29a1d4f0c,25/06/2023 22:40:51,ESCANER
15722,"Huehuetenango",13,"La Democracia",12,2295,380,35,41,4,2,7,0,21,110,22,3,135,0,135,--,371,236,110,135,135,Algún campo sin dato,1,27f2a5b40580e5d1ffca5dc75ae4431f440ef58d2a02cde2d310a18bd1c57ad2,25/06/2023 22:52:41,ESCANER
15723,"Huehuetenango",13,"La Democracia",12,2295,380,33,31,5,3,8,0,20,100,15,2,117,0,117,--,380,263,100,117,117,Algún campo sin dato,1,b376bd1ec6871706d403667cfa797364beb3080c54261d84445f3eae6c037429,25/06/2023 21:42:57,ESCANER
15724,"Huehuetenango",13,"La Democracia",12,2295,380,38,47,3,1,6,3,16,114,10,1,125,0,125,--,405,280,114,125,125,Algún campo sin dato,1,b11f275da8673f9e2ce4212d278ca12445748264cb0d2d9e484708b53a4c4fe2,25/06/2023 23:14:16,ESCANER
15725,"Huehuetenango",13,"La Democracia",12,2295,380,34,36,2,0,8,1,18,99,18,1,118,0,118,--,380,262,99,118,118,Algún campo sin dato,1,5354235f25b9d0172fe65c8e902dcb6f8b3b5970493fbea4b2f8eaf45eb25049,25/06/2023 21:07:52,ESCANER
15726,"Huehuetenango",13,"La Democracia",12,2295,380,22,36,5,0,3,0,13,79,17,4,100,0,100,--,380,280,79,100,100,Algún campo sin dato,1,df5fcab0ebad8e52d2a0ca9fc8755ba20fbc238b9588a6cd3c3e786f45b54ad3,25/06/2023 22:31:58,ESCANER
15727,"Huehuetenango",13,"La Democracia",12,2295,380,34,31,2,0,8,1,17,93,14,2,109,0,109,--,380,271,93,109,109,Algún campo sin dato,1,363ff53b40c8fa668a72b341bd8b0bfc1020e685a1b2379fe1cc1de5990c9c2d,25/06/2023 21:48:56,ESCANER
15728,"Huehuetenango",13,"La Democracia",12,2295,277,15,25,2,0,3,1,10,56,13,2,71,0,71,--,277,206,56,71,71,Algún campo sin dato,1,e4de6d00075b73ed257791e707522c849a4970c82d0dcf7777a9cbdf23a99828,25/06/2023 20:29:37,ESCANER
15729,"Huehuetenango",13,"La Democracia",12,2295,276,20,16,2,0,7,0,14,59,7,5,71,0,71,--,276,205,59,71,71,Algún campo sin dato,1,0e20706cd8ed3fa4cbac6336311855b3a198b32df791ae1254168c193543dd1c,25/06/2023 21:23:17,ESCANER
15730,"Huehuetenango",13,"La Democracia",12,2296,380,91,48,2,1,9,1,2,154,14,6,174,0,174,--,376,202,154,174,174,Algún campo sin dato,1,abb754e5e965e02c27ae31ead9015c520952de4f295315cdf1389e477a254916,26/06/2023 01:02:06,ESCANER
15731,"Huehuetenango",13,"La Democracia",12,2296,380,94,50,8,0,8,1,1,162,18,4,184,0,184,--,380,196,162,184,184,Algún campo sin dato,1,f87eda128277a6442d15c6516fed68fe15dc36cc72beda2f7bbf4e7a66040924,25/06/2023 23:48:18,ESCANER
15732,"Huehuetenango",13,"La Democracia",12,2296,380,91,42,1,1,11,1,1,148,12,2,162,0,162,--,380,218,148,162,162,Algún campo sin dato,1,26f0f0d2f8a32dbbe62f17d13382463896c33dcd6f614da4c2d68df67a3276e8,25/06/2023 21:19:51,ESCANER
15733,"Huehuetenango",13,"La Democracia",12,2296,380,76,31,7,0,10,1,3,128,14,0,142,0,142,--,380,238,128,142,142,Algún campo sin dato,1,bdecff2b9c6a119c87ff2da6d7a5c23f0f9c71dee7baed15029c2ed50da10982,25/06/2023 20:59:04,ESCANER
15734,"Huehuetenango",13,"La Democracia",12,2296,282,68,32,2,0,3,1,4,110,3,0,113,0,113,--,282,169,110,113,113,Algún campo sin dato,1,f48ad7d65e6e4f535b10a9cc4fcb495b7436e688d460181f8f5c2a7dd1f121e0,25/06/2023 21:32:17,ESCANER
15735,"Huehuetenango",13,"La Democracia",12,2296,282,53,35,2,0,1,1,0,92,5,0,97,0,97,--,282,185,92,97,97,Algún campo sin dato,1,f9ae37bc9dd08783452f5a26f0d25120c17a778cc6bcf9afe8783dde55d70268,25/06/2023 22:03:21,ESCANER
15736,"Huehuetenango",13,"La Democracia",12,2297,380,46,40,19,0,28,4,4,141,23,3,167,0,167,--,379,212,141,167,167,Algún campo sin dato,1,34ba6bf98ac74ca3c8e3e6b4576b2ac62b0536aac9c8b656d70ad8f0ce0e516a,25/06/2023 22:41:41,ESCANER
15737,"Huehuetenango",13,"La Democracia",12,2297,380,67,30,21,0,22,1,8,149,24,6,179,0,179,--,396,217,149,179,179,Algún campo sin dato,1,e8313090cef6d48db6afc9c94d671e25ac0e6ac080017ac67833dfba475448bb,25/06/2023 23:11:14,ESCANER
15738,"Huehuetenango",13,"La Democracia",12,2297,380,50,41,20,1,31,1,10,182,26,2,192,10,192,--,380,188,154,182,192,Sumas Asentadas sin cuadrar,1,330c351fb1f7690ff2cdaa008f9eea022f145fb7f84a6bb0b91784c8e15dcaea,26/06/2023 01:21:34,ESCANER
15739,"Huehuetenango",13,"La Democracia",12,2297,380,57,48,33,2,35,2,9,186,19,11,216,0,216,--,380,164,186,216,216,Algún campo sin dato,1,cdead5b371e3537d7a1958bf2e35d8cb6d422ce4aee0d32c83561116ef974f41,26/06/2023 01:56:11,ESCANER
15740,"Huehuetenango",13,"La Democracia",12,2297,380,48,64,29,0,12,0,5,158,18,2,178,0,178,--,381,203,158,178,178,Algún campo sin dato,1,43b215134e0c5574dca8b5de4b785432e1a164f83f2b1a1b694ce946ae89e8d1,25/06/2023 23:45:56,ESCANER
