TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
146,146,100.0000,146,100.0000,0,56448,35342,62.6098

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,UNE,VAMOS,MLP,BIEN,SEMILLA,PPN,AZUL,WINAQ,CAMBIO,UR,PIN,TODOS,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12609,"Retalhuleu",11,"Retalhuleu",1,1723,400,15,80,3,20,4,106,3,2,1,1,0,1,1,0,2,239,13,2,254,1,255,5,400,145,239,254,255,,1,179c7229859f02139cb0ca0b9cecea99f08e86511c4282ee44dce78cc1709910,26/06/2023 01:21:51,ESCANER
12610,"Retalhuleu",11,"Retalhuleu",1,1723,400,15,71,3,22,5,98,6,5,0,2,0,1,0,0,1,229,8,2,239,0,239,--,392,153,229,239,239,Algún campo sin dato,1,406dfc50def88237004fcd9d51b5c4011cd55042dcb885acb2e49557e1244250,25/06/2023 23:04:01,ESCANER
12611,"Retalhuleu",11,"Retalhuleu",1,1723,400,9,85,2,17,3,90,6,1,0,0,1,0,1,1,0,216,5,1,222,0,222,--,399,177,216,222,222,Algún campo sin dato,1,8e1503b3947901a7d7c6b2b45699c242dfea400c02f0e19dbcda628314603009,25/06/2023 22:56:48,ESCANER
12612,"Retalhuleu",11,"Retalhuleu",1,1723,400,12,94,2,15,3,130,5,1,2,1,0,1,0,0,1,267,5,0,272,0,272,--,400,128,267,272,272,Algún campo sin dato,1,eae54d3ace7cd4a6bcbe60c9bacd6d5106563aca1c256d6f9607d66fea65558e,25/06/2023 23:49:18,ESCANER
12613,"Retalhuleu",11,"Retalhuleu",1,1723,358,8,106,1,11,1,80,5,2,0,1,0,0,0,0,2,217,4,0,221,0,221,--,358,137,217,221,221,Algún campo sin dato,1,af69985602a83eeeb511d776632baa5d56450d7486626e1e96ab8f3ce9642243,25/06/2023 23:57:07,ESCANER
12614,"Retalhuleu",11,"Retalhuleu",1,1723,358,11,63,2,12,--,67,3,--,--,1,--,--,--,--,--,159,4,--,163,--,163,--,358,195,159,163,163,Algún campo sin dato,1,b3df4ad279c1543d81f7af57c03fc96d0a63e6ba4a7b9ad7086e51472de79a58,26/06/2023 00:33:31,ESCANER
12615,"Retalhuleu",11,"Retalhuleu",1,1724,400,10,87,4,13,1,128,2,0,5,0,0,1,0,1,5,257,15,1,273,0,273,--,400,127,257,273,273,Algún campo sin dato,1,d73b0f151a4548e79407cbdd578fa508885f896d9adef847802d437eb5cfbdf3,26/06/2023 00:16:10,ESCANER
12616,"Retalhuleu",11,"Retalhuleu",1,1724,400,14,97,4,15,0,133,5,3,0,4,0,0,1,1,3,280,13,0,293,0,293,--,400,107,280,293,293,Algún campo sin dato,1,70ddaf59e4dc31232cde343134d4d85d2ad140221cd2c11ec0e05ca9d6194689,26/06/2023 00:34:47,ESCANER
12617,"Retalhuleu",11,"Retalhuleu",1,1724,400,9,66,11,8,2,135,5,2,1,3,0,1,4,1,3,251,18,0,269,0,269,--,400,131,251,269,269,Algún campo sin dato,1,71b1d45e1cf80c15ceea546e339239e12957d668096b99b73f936b8d84e0797a,26/06/2023 02:19:51,ESCANER
12618,"Retalhuleu",11,"Retalhuleu",1,1724,400,13,68,4,10,1,130,1,3,0,1,0,3,1,0,1,236,6,1,243,0,243,1,400,156,236,243,243,,1,44d134eb2aa63e513661217af8b4ceae5edc576ef8b2a36f41b538d63615bbd3,26/06/2023 01:12:17,ESCANER
12619,"Retalhuleu",11,"Retalhuleu",1,1724,400,10,66,7,10,0,130,4,1,3,1,0,0,1,0,2,235,14,0,249,0,249,--,400,151,235,249,249,Algún campo sin dato,1,adee736b3aa2b3f7ccbdb09ede48059f70df69c375675e6d19396eb1e9c68e4c,26/06/2023 00:02:33,ESCANER
12620,"Retalhuleu",11,"Retalhuleu",1,1724,400,7,65,7,12,2,115,5,2,0,1,1,2,0,0,0,219,9,0,228,0,228,--,397,169,219,228,228,Algún campo sin dato,1,1fb2bf21bea070db34a53c3c249527d9b1a5da90186556edf9f85dec963dbac9,26/06/2023 02:08:52,ESCANER
12621,"Retalhuleu",11,"Retalhuleu",1,1724,323,8,48,2,5,0,102,4,3,2,0,0,1,0,1,0,176,5,0,181,0,181,1,323,141,176,181,181,,1,d86a7eeeea20f86d6038f822ccad5c21f5d559410001b4eb443152dc1a507ff4,25/06/2023 23:46:08,ESCANER
12622,"Retalhuleu",11,"Retalhuleu",1,1724,323,4,64,0,14,0,64,3,1,0,3,0,1,0,0,0,154,7,1,162,0,162,--,320,158,154,162,162,Algún campo sin dato,1,803de9d6880a93f2320cedde4e6d12eea636f5f6cf138875cf0eab35d4b27a49,26/06/2023 00:24:19,ESCANER
12623,"Retalhuleu",11,"Retalhuleu",1,1725,400,19,103,3,35,2,88,2,2,0,1,0,1,1,1,6,264,20,0,284,1,285,--,400,115,264,284,285,Algún campo sin dato,1,51b8fd176e1d0192ce3ef791b58bf68e0d447e97f7386109b1c6602d654f891d,26/06/2023 03:16:10,ESCANER
12624,"Retalhuleu",11,"Retalhuleu",1,1725,400,14,123,6,31,2,82,3,4,1,1,0,0,0,1,6,274,21,5,300,0,300,--,396,96,274,300,300,Algún campo sin dato,1,70937d3ccf355c953459cd37db2ba233b8239600172ca49cc3555792916aa384,26/06/2023 02:21:09,ESCANER
12625,"Retalhuleu",11,"Retalhuleu",1,1725,400,17,94,5,36,1,81,8,3,0,1,0,1,0,0,4,251,38,3,292,0,292,--,400,108,251,292,292,Algún campo sin dato,1,516bc313db57dec56bf0d47735d0594711b64159edf30a3979b6cd372f7a3293,26/06/2023 02:08:39,ESCANER
12626,"Retalhuleu",11,"Retalhuleu",1,1725,400,18,104,4,36,1,92,2,2,2,0,1,0,1,0,1,264,16,4,284,0,284,--,400,116,264,284,284,Algún campo sin dato,1,3a15dec67e11992226cc5b39cf7d7c7ccdc941ab94b08dcfcb7b3fea4cf075e3,26/06/2023 01:23:26,ESCANER
12627,"Retalhuleu",11,"Retalhuleu",1,1725,400,14,109,2,39,2,86,4,1,0,0,0,0,0,0,5,262,9,3,274,0,274,1,400,125,262,274,274,,1,e18d08f27184dd0ef6ba14be56027ae1b19ea381763ffbf3704ce92d8632bea8,26/06/2023 00:40:10,ESCANER
12628,"Retalhuleu",11,"Retalhuleu",1,1725,400,9,102,6,23,0,85,1,1,0,0,0,0,0,0,5,232,14,1,247,0,247,--,400,153,232,247,247,Algún campo sin dato,1,e75dda07f56de0ee1c84c9b43f2b8fd092278b614eda9684933e8d8576b9f20e,26/06/2023 00:50:46,ESCANER
12629,"Retalhuleu",11,"Retalhuleu",1,1725,400,13,91,9,34,2,101,3,3,1,0,0,1,0,0,3,261,0,2,263,0,263,16,400,121,261,263,263,,1,4be3154683cd1bc7f20f5e86c214683df6718312abf15661b2211d20965839a6,26/06/2023 01:48:56,ESCANER
12630,"Retalhuleu",11,"Retalhuleu",1,1725,400,9,117,1,22,1,105,3,3,0,0,0,0,0,0,3,264,23,2,289,0,289,--,400,111,264,289,289,Algún campo sin dato,1,4754f10b979a006aac009918ab50e76fae904d613756298222620a223a62c280,26/06/2023 01:12:30,ESCANER
12631,"Retalhuleu",11,"Retalhuleu",1,1726,400,15,121,3,24,2,89,5,8,1,0,0,1,0,1,0,270,22,5,297,0,297,--,400,103,270,297,297,Algún campo sin dato,1,3473dfe8ca263d6748d289533a7ff3c5355f900f41796f8bd1882a6d5bcfdc6b,25/06/2023 23:15:39,ESCANER
12632,"Retalhuleu",11,"Retalhuleu",1,1726,400,12,109,4,33,2,73,2,1,0,0,0,0,0,0,0,236,10,0,246,0,246,--,400,154,236,246,246,Algún campo sin dato,1,c3c471dc7b1bc457f44727954981736edef8797699b245ac9f576b5e859888c9,26/06/2023 00:19:46,ESCANER
12633,"Retalhuleu",11,"Retalhuleu",1,1726,400,9,110,1,16,2,85,4,1,0,0,0,0,1,1,1,231,2,0,233,2,235,--,400,165,231,233,235,Algún campo sin dato,1,fd02792235ea5a7e03246145b15b12fa436e93fe96827a04898e62e723924da6,26/06/2023 00:15:57,ESCANER
12634,"Retalhuleu",11,"Retalhuleu",1,1726,373,11,123,3,20,2,66,2,2,0,0,2,0,0,0,2,233,7,0,240,0,240,--,373,133,233,240,240,Algún campo sin dato,1,a07ffc24014aa2bd5816010b0f165f3fa0b97a1833da636dbb8233613ecd6710,26/06/2023 01:24:07,ESCANER
12635,"Retalhuleu",11,"Retalhuleu",1,1726,372,7,93,1,12,2,67,1,1,0,0,0,1,0,0,1,186,6,2,194,0,194,--,372,178,186,194,194,Algún campo sin dato,1,a12b172257056183c50d406262e946235e88cf0b1569b08d8d4da4197e26553c,25/06/2023 23:11:01,ESCANER
12636,"Retalhuleu",11,"Retalhuleu",1,1727,400,29,86,1,33,0,95,5,1,1,1,0,0,1,1,6,260,19,4,283,0,283,--,400,117,260,283,283,Algún campo sin dato,1,70c89fbc17240791eb1e4923338acede3ed5843139189a48e1edd5fd79797072,26/06/2023 03:31:51,ESCANER
