TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
146,146,100.0000,146,100.0000,0,56448,35342,62.6098

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,UNE,VAMOS,MLP,BIEN,SEMILLA,PPN,AZUL,WINAQ,CAMBIO,UR,PIN,TODOS,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12657,"Retalhuleu",11,"Retalhuleu",1,1728,400,24,79,2,34,0,90,4,2,0,1,0,1,0,1,3,241,7,0,248,0,248,--,413,165,241,248,248,Algún campo sin dato,1,b750a95a2b6459d4c035734434d91f8e2002815aa33c67bcf76141cd8f28ee99,26/06/2023 03:08:53,ESCANER
12658,"Retalhuleu",11,"Retalhuleu",1,1728,400,23,66,4,23,2,105,6,2,0,1,0,0,1,2,0,235,0,0,235,4,239,--,400,161,235,235,239,Algún campo sin dato,1,fbd6d301511db44b70dc19182c8237835e9240cdb455bc5ecf8d0d2e796f202f,26/06/2023 00:40:51,ESCANER
12659,"Retalhuleu",11,"Retalhuleu",1,1728,400,24,88,2,19,3,118,4,4,0,0,1,1,0,1,0,265,7,0,272,0,272,--,400,128,265,272,272,Algún campo sin dato,1,feb2a2cf33618a024fed96d95693b46093d142f6b1011362782ed4db1150398c,26/06/2023 02:09:26,ESCANER
12660,"Retalhuleu",11,"Retalhuleu",1,1728,400,14,102,1,22,1,119,3,0,0,0,0,0,1,0,1,264,3,0,267,0,267,--,400,133,264,267,267,Algún campo sin dato,1,bdcaa666ee2bed9379631bf1746d9f342521e9a8fe9d3328f56572aa65a2393b,26/06/2023 02:22:29,ESCANER
12661,"Retalhuleu",11,"Retalhuleu",1,1728,400,16,103,1,17,2,99,2,0,1,0,0,0,1,0,1,243,1,2,246,0,246,--,400,154,243,246,246,Algún campo sin dato,1,4dac2559a4453cdbcacaec62967db8d9c29152906aa28df78815ffe9c14d44ec,26/06/2023 00:53:51,ESCANER
12662,"Retalhuleu",11,"Retalhuleu",1,1728,281,13,44,0,17,1,63,4,1,1,0,0,0,0,1,0,145,4,1,150,0,150,--,278,128,145,150,150,Algún campo sin dato,1,0b520d701f82325feefa43d622cd82ea3ed940538b35b670e3ef21a3f063a3ad,25/06/2023 23:07:26,ESCANER
12663,"Retalhuleu",11,"Retalhuleu",1,1728,281,12,56,2,16,0,40,3,1,0,0,1,1,0,0,1,133,7,2,142,0,142,--,281,139,133,142,142,Algún campo sin dato,1,8f3bde111279075803d5ec8f02a9b7331097bc8fcc7b89eb850dc338942a78bb,25/06/2023 23:56:46,ESCANER
12664,"Retalhuleu",11,"Retalhuleu",1,1729,400,11,113,8,15,2,103,6,2,0,0,0,--,1,--,4,265,11,2,278,0,278,--,400,122,265,278,278,Algún campo sin dato,1,c6b3f651eb74c4a17f49c3826d1ae7946d1ae0d03f0ec99123204cabe8c5ad87,26/06/2023 02:01:44,ESCANER
12665,"Retalhuleu",11,"Retalhuleu",1,1729,400,12,106,5,24,1,110,10,3,0,1,0,0,2,0,8,282,12,3,297,0,297,--,400,103,282,297,297,Algún campo sin dato,1,d70e42c034dfe4158d07a9da56240ad9e94a55b480d5980ecede8b1ef0cd9a83,26/06/2023 01:35:33,ESCANER
12666,"Retalhuleu",11,"Retalhuleu",1,1729,400,11,109,2,16,1,140,6,2,1,0,0,0,1,0,10,299,18,0,317,0,317,--,400,83,299,317,317,Algún campo sin dato,1,165884aba1afb4aced8ae023eccedfd4440e681fc66824670776194a00f559e5,26/06/2023 02:22:00,ESCANER
12667,"Retalhuleu",11,"Retalhuleu",1,1729,400,16,101,5,15,0,100,7,2,0,0,0,1,2,0,2,251,11,0,262,0,262,--,400,135,251,262,262,Algún campo sin dato,1,0413cc4fcfc623e207b9532454efc3422418ec0ce42b417af57e1f46e0e521c3,26/06/2023 01:55:26,ESCANER
12668,"Retalhuleu",11,"Retalhuleu",1,1729,400,15,112,6,13,3,98,7,0,0,0,0,1,2,0,6,263,12,3,278,0,278,--,400,122,263,278,278,Algún campo sin dato,1,9b2b722b54536c8ef8a59a0f352890d06ede9ec8596a86cfba94524263db8c0b,25/06/2023 23:10:21,ESCANER
12669,"Retalhuleu",11,"Retalhuleu",1,1729,400,16,94,3,15,1,101,1,2,0,0,0,1,0,0,2,236,13,1,250,0,250,--,400,150,236,250,250,Algún campo sin dato,1,e65c319de0ad351da1f57b7b80a6d3cb762f203829b9ea2ef821c2820985ec33,26/06/2023 01:27:11,ESCANER
12670,"Retalhuleu",11,"Retalhuleu",1,1729,400,4,107,1,8,0,105,6,0,0,0,0,4,2,0,1,238,4,0,242,0,242,--,390,148,238,242,242,Algún campo sin dato,1,afe49918c9b56073c8ffea75398b1b87ed5625886af7d733c5e25708e220c325,26/06/2023 02:08:00,ESCANER
12671,"Retalhuleu",11,"Retalhuleu",1,1729,349,11,108,1,19,2,91,8,1,0,0,0,1,1,0,2,245,3,0,248,0,248,--,349,101,245,248,248,Algún campo sin dato,1,60ca4faf8887aea6f0cd60aea01373deaa0e2ae7ebecec6590ee8e896bf34a4b,26/06/2023 00:49:55,ESCANER
12672,"Retalhuleu",11,"Retalhuleu",1,1729,349,9,98,3,7,2,67,3,1,0,2,0,0,1,0,1,194,6,0,200,0,200,--,349,149,194,200,200,Algún campo sin dato,1,37421acab62bf9571f245bff48359bb7b50b4ee5192a8c866c0825ee483633ab,26/06/2023 00:07:12,ESCANER
12673,"Retalhuleu",11,"Retalhuleu",1,1730,400,13,96,8,24,0,97,3,4,0,2,0,1,2,0,2,252,19,1,272,0,272,--,400,128,252,272,272,Algún campo sin dato,1,40bdbdf03d4f3b4643631f2852120b4d60dff2b4e3f94586972ac8ab7aa48050,26/06/2023 02:05:46,ESCANER
12674,"Retalhuleu",11,"Retalhuleu",1,1730,400,18,98,3,20,0,121,5,7,1,0,0,2,1,0,5,281,18,2,301,0,301,--,400,99,281,301,301,Algún campo sin dato,1,aac2efe77546680ab72e8c627ce0bce46db5eec82bef31f8c069e5d0d4568de0,26/06/2023 00:51:25,ESCANER
12675,"Retalhuleu",11,"Retalhuleu",1,1730,400,13,98,6,16,0,116,1,5,1,2,0,1,1,0,3,263,23,2,288,0,288,--,400,112,263,288,288,Algún campo sin dato,1,c9cbf74bbc193cd056a050971200bae5787f70b2191a6758c252caa45d4b1daf,25/06/2023 23:46:42,ESCANER
12676,"Retalhuleu",11,"Retalhuleu",1,1730,400,19,87,5,14,0,150,4,6,1,0,0,0,3,1,7,297,11,2,310,1,311,--,400,89,297,310,311,Algún campo sin dato,1,40be3992adae3127bce6988479f13f59e1ad49d74b518c8e5f86459716d45ac1,26/06/2023 02:10:36,ESCANER
12677,"Retalhuleu",11,"Retalhuleu",1,1731,400,23,82,5,28,0,106,5,8,1,2,1,0,1,0,4,266,8,2,276,0,276,--,400,124,266,276,276,Algún campo sin dato,1,b3cd74303c398d938cc17b29d9c65e22755bac310a889b80876de599faeb5137,26/06/2023 00:46:31,ESCANER
12678,"Retalhuleu",11,"Retalhuleu",1,1731,400,10,90,5,20,2,105,4,8,3,1,0,0,2,0,2,252,7,2,261,0,261,--,400,139,252,261,261,Algún campo sin dato,1,380a4da15f64def53b9f162b45dcafe1fb662de3d228f88de02622f0f53656e4,25/06/2023 23:34:53,ESCANER
12679,"Retalhuleu",11,"Retalhuleu",1,1731,400,20,83,3,26,1,120,5,11,0,2,1,2,1,0,5,280,13,1,294,0,294,--,400,106,280,294,294,Algún campo sin dato,1,4135a4b7ef6cfc34d7e06a430ab672d6732d3afa3efe468722f0126a132221f6,26/06/2023 00:41:47,ESCANER
12680,"Retalhuleu",11,"Retalhuleu",1,1731,400,16,89,8,23,0,98,1,11,2,0,0,0,2,0,4,254,20,2,276,0,276,--,400,124,254,276,276,Algún campo sin dato,1,53cfe8fd7308b031767966e37de2676362a3886006de0af31c26717a77ef4287,26/06/2023 01:36:55,ESCANER
12681,"Retalhuleu",11,"Retalhuleu",1,1731,400,16,103,5,28,0,108,2,5,0,1,0,2,1,0,2,273,10,0,283,0,283,--,400,117,273,283,283,Algún campo sin dato,1,3da7d89b8eef5c1696a9ddd503fd7c69eeba7be4143e2526c71fb67cc7ac126f,25/06/2023 22:55:23,ESCANER
12682,"Retalhuleu",11,"Retalhuleu",1,1731,400,12,100,5,19,2,93,3,11,1,0,0,1,0,0,4,251,6,2,259,0,259,--,400,141,251,259,259,Algún campo sin dato,1,c4d4e1234cb43657d2d8de255d1fd6c1ff48a04020f3ad4f5409bd7e0331eaab,26/06/2023 01:38:50,ESCANER
12683,"Retalhuleu",11,"Retalhuleu",1,1731,400,9,95,6,20,0,117,8,4,0,1,0,3,1,0,1,265,6,1,272,0,272,1,400,127,265,272,272,,1,784a16368d37170009ed1721e881a1c45f5c6355d4cb8798ba07f9c0f75fd23e,25/06/2023 23:27:19,ESCANER
12684,"Retalhuleu",11,"Retalhuleu",1,1731,400,10,85,4,15,0,134,3,7,0,0,0,3,0,0,1,262,5,1,268,0,268,--,400,132,262,268,268,Algún campo sin dato,1,ef3fe4f14a3ba859ed48cd291a0aea5cb53f99a04653eaa8dafd53d10a7aa43d,26/06/2023 01:06:25,ESCANER
12685,"Retalhuleu",11,"Retalhuleu",1,1731,262,10,76,4,18,0,63,3,3,0,0,0,0,0,0,0,177,4,0,181,0,181,--,262,81,177,181,181,Algún campo sin dato,1,ba7e66c7a1da354863f3c8004ebe38ed375bd46d461e3fd5e60f8b2e153567ad,25/06/2023 21:50:52,ESCANER
12686,"Retalhuleu",11,"Retalhuleu",1,1731,262,4,54,0,10,0,67,0,3,0,0,0,0,0,0,0,138,4,1,143,0,143,--,262,119,138,143,143,Algún campo sin dato,1,ea03fc9e22efaf669fb91c117621212a99ff742c0794e4b7b921317461188aba,25/06/2023 22:13:09,ESCANER
12687,"Retalhuleu",11,"Retalhuleu",1,1732,380,6,94,9,24,4,58,0,1,0,0,0,0,0,0,4,200,34,2,236,0,236,--,380,144,200,236,236,Algún campo sin dato,1,50ad766f85b6caf8d27503c82a4af4ecaa263f9b5b35aff9c6013f8f9d12ebc7,26/06/2023 00:10:19,ESCANER
12688,"Retalhuleu",11,"Retalhuleu",1,1732,380,6,87,5,25,0,71,1,2,1,2,0,0,0,1,2,203,22,4,229,0,229,--,380,151,203,229,229,Algún campo sin dato,1,6d2b3fcc26f9c1970e71d6f332b42923ff9e52cfbdd22a6b375a0b01044fd598,26/06/2023 00:38:56,ESCANER
12689,"Retalhuleu",11,"Retalhuleu",1,1732,380,8,85,6,28,0,76,1,0,0,0,0,0,0,0,3,207,27,8,242,0,242,--,377,135,207,242,242,Algún campo sin dato,1,79367eb6d089a3e09ffa5be1a6712392a8b1fb5ef4d58701e8d973c06f1524b7,26/06/2023 02:25:04,ESCANER
12690,"Retalhuleu",11,"Retalhuleu",1,1732,380,5,100,5,24,1,61,1,0,2,0,0,0,0,1,1,201,30,8,239,0,239,--,377,138,201,239,239,Algún campo sin dato,1,0a13b3f3d6ad3c4440c0557eb33d4fb4adcb33f9cc451480d3578f446c7a2d97,26/06/2023 01:21:22,ESCANER
12691,"Retalhuleu",11,"Retalhuleu",1,1732,380,12,66,6,28,3,99,1,0,0,1,0,0,0,1,5,222,30,4,256,0,256,--,375,119,222,256,256,Algún campo sin dato,1,49f5b05b466ed057ad456d6e1bab37f2d39e9e2507d3335c798ceac30f76fb75,26/06/2023 01:44:49,ESCANER
12692,"Retalhuleu",11,"Retalhuleu",1,1732,380,7,88,6,31,2,82,3,1,0,0,0,0,0,0,3,223,22,4,249,0,249,--,377,128,223,249,249,Algún campo sin dato,1,acf26cdd180709ce81371f6fc4aac4ae7f6f5f27fcd43749982d37379342bd5b,25/06/2023 23:22:03,ESCANER
12693,"Retalhuleu",11,"Retalhuleu",1,1732,380,13,95,7,21,3,54,0,0,0,0,0,1,0,0,1,195,9,1,205,0,205,--,372,167,195,205,205,Algún campo sin dato,1,db93c306af762c7f40176d8b1d6d068d66ca603e2ad9cb3de90310e69eadba46,26/06/2023 00:46:19,ESCANER
12694,"Retalhuleu",11,"Retalhuleu",1,1732,380,13,90,10,22,4,75,2,1,1,0,0,1,1,0,4,224,31,4,259,0,259,--,380,121,224,259,259,Algún campo sin dato,1,9756a6e1f03a873d5647793d82b84b77389a5e1dee1ae1395a953f87de35a976,26/06/2023 02:10:03,ESCANER
12695,"Retalhuleu",11,"Retalhuleu",1,1732,380,13,93,9,31,0,69,1,1,1,0,0,0,0,0,7,225,31,2,258,0,258,--,380,122,225,258,258,Algún campo sin dato,1,6e04c630408bdc3d3f6f7b0fa904c07eb28521aea1aa3ed83b7f2b3d650b38a2,26/06/2023 01:10:37,ESCANER
12696,"Retalhuleu",11,"Retalhuleu",1,1732,380,5,90,6,31,3,89,0,0,1,0,1,0,0,0,7,233,17,4,254,0,254,--,380,126,233,254,254,Algún campo sin dato,1,1ee0df22fe358260eb11d26fef3418547ec543ef1c7b135af60db8bc4fbd3ed9,26/06/2023 01:29:16,ESCANER
12697,"Retalhuleu",11,"Retalhuleu",1,1732,380,7,95,5,27,1,69,0,0,0,2,0,0,0,0,3,209,16,7,232,0,232,--,380,148,209,232,232,Algún campo sin dato,1,25801dfe69574e12aeb10a2d0729012bfc3217471b9e048e17c988601cd46ed5,26/06/2023 02:32:44,ESCANER
12698,"Retalhuleu",11,"Retalhuleu",1,1732,380,11,73,4,17,2,95,0,2,0,0,0,0,0,1,1,206,12,5,223,0,223,--,377,154,206,223,223,Algún campo sin dato,1,260773fcf1c04d8286bed1079cfdb33e0e1ea938e04c39b429dd29e6e42fe669,25/06/2023 23:48:30,ESCANER
12699,"Retalhuleu",11,"Retalhuleu",1,1733,380,11,79,1,25,1,68,1,1,1,1,0,0,0,1,7,197,19,5,221,0,221,--,380,159,197,221,221,Algún campo sin dato,1,c7435e2889efd09ea7d2c08cd261a4cfa65508616b95508af776c22931e9ab90,26/06/2023 01:16:40,ESCANER
12700,"Retalhuleu",11,"Retalhuleu",1,1733,380,6,100,10,30,1,88,0,0,2,0,0,0,0,0,4,241,21,9,271,0,271,--,380,109,241,271,271,Algún campo sin dato,1,e683959f5b964c6bcadf08954ed899ab869b6399776f53df050bedda1edbd4ea,26/06/2023 00:04:31,ESCANER
12701,"Retalhuleu",11,"Retalhuleu",1,1733,380,18,88,8,30,2,68,0,0,0,0,0,0,0,0,3,217,23,12,252,0,252,--,380,128,217,252,252,Algún campo sin dato,1,df0fbcd92bc024b40788d171350d3ec46a9477aa8e2643d54e680b02087c4775,25/06/2023 23:30:52,ESCANER
12702,"Retalhuleu",11,"Retalhuleu",1,1733,380,11,71,8,34,4,79,0,0,0,1,0,0,0,1,3,212,33,7,252,0,252,--,380,128,212,252,252,Algún campo sin dato,1,c20eaf2f5216f0f9e5ee8ccf1c9e4e8b87f8738d765eec2dfa8e3ded131b08e6,26/06/2023 00:22:37,ESCANER
12703,"Retalhuleu",11,"Retalhuleu",1,1733,380,5,83,9,21,2,65,0,0,1,0,0,0,0,3,2,191,28,8,227,0,227,--,380,153,191,227,227,Algún campo sin dato,1,ac0e62780fb27064f9112bd6254ad5b44b71ff7421f69d39bc61e60b364e989b,26/06/2023 01:38:20,ESCANER
12704,"Retalhuleu",11,"Retalhuleu",1,1733,380,9,88,8,16,2,69,1,0,1,0,1,0,0,0,7,202,23,5,230,0,230,2,380,150,202,230,230,,1,6e465980dbff9429a2035cb0b2d81f22ecd760db964b063dde705266363a377b,26/06/2023 01:27:28,ESCANER
12705,"Retalhuleu",11,"Retalhuleu",1,1733,380,3,88,4,14,2,66,3,0,0,1,0,1,0,0,3,185,6,2,193,0,193,--,381,188,185,193,193,Algún campo sin dato,1,a1e9c009db7d7012d0e9a3e19e06bfcb18ff272399b23ae10ec7adc7532c9190,26/06/2023 00:55:30,ESCANER
12706,"Retalhuleu",11,"Retalhuleu",1,1733,380,6,119,1,13,0,48,0,1,0,0,0,0,0,0,2,190,9,1,200,0,200,--,380,180,190,200,200,Algún campo sin dato,1,8f1a25c77b23e33f0285e7fd2aeef225bfc74df3e2a91f15d4b1d07fd04e7797,25/06/2023 23:54:25,ESCANER
12707,"Retalhuleu",11,"Retalhuleu",1,1733,380,11,92,2,22,1,69,1,0,0,0,0,0,1,0,3,202,11,3,216,0,216,--,380,164,202,216,216,Algún campo sin dato,1,58710bb1cc7ddbc26f0736c32e2d034025361015b21dc5f72ca535c1b084017e,26/06/2023 00:48:37,ESCANER
12708,"Retalhuleu",11,"Retalhuleu",1,1733,380,12,102,6,20,1,66,0,0,0,0,1,1,0,0,1,210,7,2,219,0,219,--,380,161,210,219,219,Algún campo sin dato,1,0f84032e67510195b5a816a0c3c76f54492a6e00d0e329e0bfd49c29370a2d96,25/06/2023 22:55:34,ESCANER
12709,"Retalhuleu",11,"Retalhuleu",1,1733,380,8,115,1,10,0,50,0,0,0,0,0,0,0,0,3,187,5,1,193,0,193,--,380,187,187,193,193,Algún campo sin dato,1,20b968ad978d3d195f5a6ca794522d182047e91980bc3206297cc137cae1c0bc,25/06/2023 23:24:53,ESCANER
12710,"Retalhuleu",11,"Retalhuleu",1,1733,218,2,49,4,11,0,34,1,1,0,0,0,0,0,0,5,107,5,2,114,0,114,--,218,104,107,114,114,Algún campo sin dato,1,52cfdd1001b9dfd59139769e060b65afdb2edafae75030d60e1fd21d40480b68,25/06/2023 23:44:50,ESCANER
12711,"Retalhuleu",11,"Retalhuleu",1,1733,217,1,46,5,9,0,26,0,0,0,1,0,0,0,0,0,88,8,3,99,0,99,3,217,118,88,99,99,,1,6de552585bba5b2e6aa5c730dfaedca4d75e75fad66b81c39289c7a1b9ad3a58,25/06/2023 22:07:07,ESCANER
12712,"Retalhuleu",11,"Retalhuleu",1,1734,380,31,82,6,34,18,88,0,0,0,0,0,1,0,0,5,265,19,3,287,0,287,1,378,90,265,287,287,,1,49aeea06e79f3f03d5b3c063a5cefc49808d2b0cd073ccabec99a0e18f3f824c,26/06/2023 01:06:32,ESCANER
12713,"Retalhuleu",11,"Retalhuleu",1,1734,380,22,67,6,39,16,90,0,2,0,0,0,0,0,1,10,253,31,4,288,0,288,--,380,92,253,288,288,Algún campo sin dato,1,9ef9d6dd1b78ff5aa9afc44c759091665659006d0e84e7af018bb058c233196e,26/06/2023 01:13:10,ESCANER
12714,"Retalhuleu",11,"Retalhuleu",1,1734,380,20,93,5,34,18,70,3,0,0,0,1,1,0,0,5,250,20,5,275,2,277,--,380,103,250,275,277,Algún campo sin dato,1,895233ad1e0087e43fb85248ad20e378c5df448d5910822c4a13887bf57ea1fe,26/06/2023 02:20:08,ESCANER
12715,"Retalhuleu",11,"Retalhuleu",1,1734,380,23,87,1,29,12,83,1,2,0,0,1,1,0,0,7,247,18,3,268,1,269,1,380,111,247,268,269,,1,e990db00dcb561640be2e20c874ea75bbfa3a2c94badadcf74ecf0a12285bc27,26/06/2023 01:02:49,ESCANER
12716,"Retalhuleu",11,"Retalhuleu",1,1734,380,22,88,4,20,7,68,0,0,0,0,0,0,0,0,9,218,12,4,234,0,234,--,380,146,218,234,234,Algún campo sin dato,1,a0f0cf9040b1fde8097b63bdcf1afc0a90b1af203087140632612580b65468ab,25/06/2023 23:27:04,ESCANER
12717,"Retalhuleu",11,"Retalhuleu",1,1734,380,19,75,2,24,9,71,0,1,1,1,0,0,0,1,7,211,14,2,227,0,227,--,380,153,211,227,227,Algún campo sin dato,1,72483e465d341d6c78e8fec6ebef9ab3d1b6169d67133d332fa298895f1d0994,26/06/2023 00:01:45,ESCANER
12718,"Retalhuleu",11,"Retalhuleu",1,1734,380,32,83,0,19,11,67,0,1,0,0,1,0,0,0,6,220,4,2,226,0,226,--,380,154,220,226,226,Algún campo sin dato,1,674673ee9be98129d5f24358a513293a034a893f7c29b921be1f3dddef1743a6,25/06/2023 23:46:43,ESCANER
12719,"Retalhuleu",11,"Retalhuleu",1,1734,209,10,67,2,16,6,32,0,1,0,0,0,2,0,0,2,138,3,0,141,0,141,--,209,68,138,141,141,Algún campo sin dato,1,87544d92c318f5fca675e39595824c2b24363348a057719e6ebf4663c9de692e,25/06/2023 22:42:22,ESCANER
12720,"Retalhuleu",11,"Retalhuleu",1,1734,209,8,56,1,8,2,22,2,1,0,0,0,0,0,0,3,103,4,1,108,0,108,--,209,101,103,108,108,Algún campo sin dato,1,601f43449188c35b072f582fa63b2486b701403f5abd1cae13a91078406414e2,25/06/2023 22:22:30,ESCANER
12721,"Retalhuleu",11,"Retalhuleu",1,1735,380,7,68,4,63,10,59,0,1,0,0,0,0,0,0,6,218,35,2,255,0,255,--,380,125,218,255,255,Algún campo sin dato,1,23507f6bf1026325f3866acfaba03e30f002392de37e6009e44442329ea9d9f8,25/06/2023 22:28:04,ESCANER
12722,"Retalhuleu",11,"Retalhuleu",1,1735,380,12,72,1,84,11,44,2,1,0,0,0,0,0,1,9,237,18,6,261,0,261,--,380,119,237,261,261,Algún campo sin dato,1,e5fd791224a8adfec0f91e6b45e02f679b40d51e716cc6e3b256e715c4b1f462,26/06/2023 00:04:56,ESCANER
12723,"Retalhuleu",11,"Retalhuleu",1,1735,233,6,49,4,41,6,30,1,2,0,1,0,0,0,0,0,140,12,1,153,0,153,--,230,77,140,153,153,Algún campo sin dato,1,289c2f46473e23e84c2fd068ae90682e9ed1aa8e6558b0840065eae6c75a5152,25/06/2023 21:08:16,ESCANER
12724,"Retalhuleu",11,"Retalhuleu",1,1735,232,8,49,2,37,7,29,1,0,0,1,0,1,0,0,4,139,4,1,144,0,144,--,229,85,139,144,144,Algún campo sin dato,1,1cc24607a4f156daa3e768eb99a3b7f28c68da10c16e62e602a8a33bf7ae9393,25/06/2023 21:06:28,ESCANER
12725,"Retalhuleu",11,"Retalhuleu",1,1736,380,5,83,1,42,1,84,1,0,0,2,0,0,0,1,5,225,30,4,259,0,259,1,380,120,225,259,259,,1,6ecf891dd96f14c763946dc530e54965dada0616b8ce760bd2492f3104fea32c,26/06/2023 00:06:59,ESCANER
12726,"Retalhuleu",11,"Retalhuleu",1,1736,380,20,55,3,25,2,68,3,4,2,1,0,0,0,0,5,188,31,5,224,0,224,--,380,156,188,224,224,Algún campo sin dato,1,9c58e58d85872925a0b79dcd98d0a9c11e8caefca5c478966356d8fab4cfd55d,25/06/2023 23:58:20,ESCANER
12727,"Retalhuleu",11,"Retalhuleu",1,1736,380,5,61,3,34,0,66,0,0,0,2,0,0,0,0,4,175,23,1,199,0,199,1,380,181,175,199,199,,1,1b56d9c0f508b036e8ed00891259fb0494e8a4dff7ece3d7cb3ca63e13a1e8ac,25/06/2023 23:34:42,ESCANER
12728,"Retalhuleu",11,"Retalhuleu",1,1736,380,14,42,3,37,1,74,0,3,0,0,1,0,0,0,8,183,25,3,211,0,211,--,412,201,183,211,211,Algún campo sin dato,1,878a3360d22387e3f6a0ddd94550f073e9a09351985f40409218b10836363ee6,25/06/2023 22:57:26,ESCANER
12729,"Retalhuleu",11,"Retalhuleu",1,1736,231,6,36,0,17,0,44,1,0,0,3,0,0,0,0,3,110,7,3,120,0,120,--,228,108,110,120,120,Algún campo sin dato,1,90b94b412303bcac06f6ad5c914a46f1cabbe691077f59ce5e12326fb2c2564e,25/06/2023 22:51:14,ESCANER
12730,"Retalhuleu",11,"Retalhuleu",1,1736,231,8,38,2,29,1,35,0,0,0,0,0,0,0,0,6,119,7,2,128,0,128,1,231,102,119,128,128,,1,cbe519a9ab6ba606ba3d388659bc105dce574e6177fa94a5bed66fba4f5e078a,25/06/2023 22:29:36,ESCANER
12731,"Retalhuleu",11,"Retalhuleu",1,1737,600,12,42,4,21,0,86,4,2,0,1,0,0,0,0,1,173,12,3,188,0,188,--,600,412,173,188,188,Algún campo sin dato,1,17f01eb31e174065f3aa24a6ce2efd1a52440b6c4b97a662cdde237ed6ac8095,26/06/2023 01:42:53,ESCANER
12732,"Retalhuleu",11,"Retalhuleu",1,1737,600,13,66,12,23,4,82,2,3,0,0,0,1,1,0,0,207,8,5,220,0,220,1,600,379,207,220,220,,1,b8b31e9571acc12007562e8549152bd7e79ce51379011dc877ff3a8b6d64c99d,25/06/2023 23:45:02,ESCANER
12733,"Retalhuleu",11,"Retalhuleu",1,1737,600,8,55,2,17,3,97,4,4,1,0,1,2,0,0,4,198,14,1,213,0,213,--,600,387,198,213,213,Algún campo sin dato,1,810a0f543ff31a628592a8f8880e598870a8fd677fa76db3a2a3f01601c5d237,26/06/2023 01:34:04,ESCANER
12734,"Retalhuleu",11,"Retalhuleu",1,1737,600,15,59,4,16,1,91,3,3,0,2,0,0,0,0,1,195,10,2,207,0,207,--,600,393,195,207,207,Algún campo sin dato,1,5534ecc224abac02eebc878e3b2171c4e355c7b287645bd7f531b47271aefd77,25/06/2023 23:43:29,ESCANER
12735,"Retalhuleu",11,"Retalhuleu",1,1737,600,8,57,2,10,0,65,1,5,0,1,0,0,0,2,1,152,16,3,171,3,174,--,600,414,152,171,174,Algún campo sin dato,1,8202342db5e97114b0eeef39afa926b36ebc6dff2511f05b6b35f9927aae0552,25/06/2023 23:36:54,ESCANER
12736,"Retalhuleu",11,"Retalhuleu",1,1737,600,5,24,2,6,0,26,1,0,1,0,0,1,0,0,2,68,2,0,70,0,70,--,600,530,68,70,70,Algún campo sin dato,1,1c393f2d03c72af1f254c992add5c8885bf7af42e486488d5a197cd53b305e73,25/06/2023 23:56:52,ESCANER
12737,"Retalhuleu",11,"Retalhuleu",1,1737,349,1,11,2,3,1,11,1,1,0,0,0,0,0,0,0,31,2,0,33,0,33,0,349,316,31,33,33,,1,d76d57cff740efe1bfbbda2a8d382aebb616ef146eece49173bb75ec719ea97a,25/06/2023 22:25:00,ESCANER
12738,"Retalhuleu",11,"Retalhuleu",1,1737,348,2,6,0,2,0,6,0,1,0,0,0,0,0,0,0,17,0,1,18,0,18,--,348,330,17,18,18,Algún campo sin dato,1,af5926730b4da7803c245152d204df784613aa37c6ff691d494a6e4714ba2eb1,25/06/2023 20:30:37,ESCANER
