TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,37134,26112,70.3183

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,PPN,FCN-NACION,PHG,VAMOS,VALOR,VIVA,UNE,CABAL,CAMBIO,VICTORIA,MI FAMILIA,PODEMOS,ELEFANTE,AZUL,KAQ KOJ,SEMILLA,VOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19015,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,3,1,2,6,64,100,1,14,11,2,7,2,39,0,1,2,0,0,6,261,37,7,305,0,305,--,380,75,261,305,305,Algún campo sin dato,1,02bf37e765779aeb0b2ff24a734c4277de0de64486f0cb80c5089e443f243eaa,26/06/2023 01:25:25,ESCANER
19016,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,2,1,2,4,92,80,3,22,20,3,0,1,36,0,3,4,1,1,5,280,33,10,323,0,323,--,380,57,280,323,323,Algún campo sin dato,1,00e2202592a0482b7a8a422ee790499d43df64244facb027f35e3208047b5941,26/06/2023 01:52:41,ESCANER
19017,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,2,3,1,5,76,102,3,26,16,2,3,0,25,1,5,2,0,0,4,276,35,11,322,0,322,--,380,58,276,322,322,Algún campo sin dato,1,14a7e0c0b66fd38c48b765a8ae3e86fe50ba853ac617feb4c54d183784bebeba,26/06/2023 03:52:34,ESCANER
19018,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,15,3,0,4,72,65,1,7,13,1,3,0,46,2,2,12,0,0,3,249,33,16,298,0,298,--,380,82,249,298,298,Algún campo sin dato,1,9af64ccc909c28b141ba1775e535161d6562daf8f600cc05f8e23a321641462f,26/06/2023 03:05:49,ESCANER
19019,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,18,3,0,7,92,82,3,10,10,3,3,1,29,0,4,5,0,0,8,278,23,9,310,0,310,--,380,70,278,310,310,Algún campo sin dato,1,870aaa882cdb9ad3b201108e16118ce51f8835f0d44f00b5ce1908aa7410311a,26/06/2023 05:04:28,ESCANER
19020,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,12,0,1,10,105,71,0,9,4,8,1,1,32,0,2,2,1,2,17,278,32,12,322,0,322,--,380,58,278,322,322,Algún campo sin dato,1,78ce8c4210e29c0624d5fed7f18a4c894a9792825d70c8f7cfc09d93db9d3e4f,26/06/2023 05:05:31,ESCANER
19021,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,5,1,1,6,111,67,0,7,3,4,4,0,48,1,0,0,1,1,23,283,18,7,308,0,308,--,383,75,283,308,308,Algún campo sin dato,1,0e740bed3dec9dc4fa6e7b143d060a2f030fa242f69ac2dcc1e74fb3767aa942,26/06/2023 03:40:35,ESCANER
19022,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,5,2,1,4,89,72,1,0,14,2,3,0,58,0,0,4,0,0,7,262,20,6,288,0,288,--,380,92,262,288,288,Algún campo sin dato,1,524f872d5a8ccc61c5589d31b551676677acd2262da9c77143e122b5a05f49c6,26/06/2023 01:45:46,ESCANER
19023,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,15,4,0,3,64,82,0,5,7,5,4,0,41,2,1,5,0,0,8,246,13,7,266,0,266,--,380,114,246,266,266,Algún campo sin dato,1,7e405379b54ca69bb446ca57c0d1ba9ff8301fdf5985a9e92b7467587b222d35,26/06/2023 02:45:19,ESCANER
19024,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,6,3,0,6,88,83,1,4,2,7,3,0,34,0,0,3,0,0,8,248,15,2,265,4,269,--,380,111,248,265,269,Algún campo sin dato,1,5b8cb3121d844575cd2446406d48ce9d44199b97a70eff95c8109df3dcc73dac,25/06/2023 23:33:19,ESCANER
19025,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,8,0,0,9,80,89,1,10,2,4,8,0,36,1,0,1,0,0,12,261,7,2,270,0,270,--,380,110,261,270,270,Algún campo sin dato,1,d5bf6523cf02517e0953687d77a344166d414e90d70bf3311c86bac0ca6504fe,26/06/2023 03:31:45,ESCANER
19026,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,4,0,1,7,72,85,1,1,8,3,10,0,38,0,1,4,0,0,13,248,10,2,260,0,260,--,380,120,248,260,260,Algún campo sin dato,1,57c1b6a3876c9adf1b97eb200524fabb0b4e076477ad25b289a47c8f87121499,26/06/2023 00:47:44,ESCANER
19027,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,380,6,0,1,5,92,93,1,1,7,3,4,0,33,0,0,1,1,0,8,256,5,0,261,0,261,--,380,119,256,261,261,Algún campo sin dato,1,aff9799b625b029fd155d85d5a07ab057b302464cee130349f7c3312a302ac5b,26/06/2023 01:42:05,ESCANER
19028,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,317,4,0,0,6,55,59,1,7,4,3,7,0,34,1,0,2,0,0,11,194,9,2,205,0,205,0,317,112,194,205,205,,1,03b6391f807d64814f0940d2db06976d16b4631b758523a84c0b27809a968d98,25/06/2023 23:41:36,ESCANER
19029,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2916,317,7,0,0,9,62,59,1,7,3,8,4,0,24,0,0,2,0,1,12,199,16,3,218,0,218,--,317,99,199,218,218,Algún campo sin dato,1,274731bf90ea5ffdf401e1fbcf6d1a0c9152aff2cd416e88f438490646817910,26/06/2023 02:11:02,ESCANER
19030,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2917,380,4,6,0,1,25,65,1,14,6,0,21,0,50,0,2,11,1,0,1,208,33,8,249,1,250,--,380,130,208,249,250,Algún campo sin dato,1,a148bba6618ca7f824fbd7e3e71ea26a4f8fa0b0cb5b971c39d76207fd75c5fb,26/06/2023 01:38:53,ESCANER
19031,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2917,380,34,6,1,1,51,41,2,13,4,1,39,2,42,1,1,9,0,1,4,253,29,10,292,0,292,--,380,88,253,292,292,Algún campo sin dato,1,fb9c4a9393654180247dee3c5888cf59876c13d2bb0255900795e686423b01b2,26/06/2023 01:58:53,ESCANER
19032,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2917,380,35,8,1,4,30,77,3,24,3,2,30,1,68,0,1,0,0,1,23,311,15,2,328,0,328,--,380,52,311,328,328,Algún campo sin dato,1,d4b86061d903091f493d1de8881e84e8fb48b2ac53d4ef59bbc8f0d996abba52,26/06/2023 02:29:26,ESCANER
19033,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2917,380,22,22,0,6,29,57,3,19,5,0,14,0,50,0,0,9,0,1,7,244,22,8,274,0,274,--,380,106,244,274,274,Algún campo sin dato,1,ba693a586c44cb2b0d7219d3213537a0b799a28af421258d5f223a5b2f31f51f,26/06/2023 03:34:26,ESCANER
19034,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2917,380,9,10,0,3,29,62,4,13,5,1,27,1,59,0,0,2,0,0,8,233,11,5,249,0,249,--,380,131,233,249,249,Algún campo sin dato,1,275f0c863cb276b51f63f920a619e983dbf94dc2d647cebbbbe2503b2e691b12,26/06/2023 02:08:26,ESCANER
19035,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2917,380,19,6,0,2,24,73,1,12,2,0,22,1,52,0,0,7,0,0,5,226,9,8,243,3,246,3,380,134,226,243,246,,1,9b49d49fdcf2e20338089524af2a01355b03efbee451609312c672b433970703,26/06/2023 01:24:39,ESCANER
19036,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2917,262,14,6,0,1,17,53,1,4,1,0,16,0,36,0,0,3,0,0,7,159,5,2,166,0,166,--,262,96,159,166,166,Algún campo sin dato,1,9db0b36dcd387e3d807718326ca7ef9a695c5d2d8ee039d0b439fe9099da5c8f,25/06/2023 22:33:34,ESCANER
19037,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2917,262,4,3,1,4,11,41,0,14,5,1,9,0,26,0,0,9,0,0,8,136,5,3,144,0,136,--,262,118,136,144,144,Sumas Asentadas sin cuadrar,1,0538bf52d0133c6e3e2e5a08e16f79f746291633d9bba65a5d47dd0725e0207a,26/06/2023 01:08:08,ESCANER
19038,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2918,380,6,1,0,1,61,44,1,7,8,2,25,0,42,0,0,1,0,0,3,202,24,11,237,0,237,--,380,143,202,237,237,Algún campo sin dato,1,ea9b9a2d2b06569d9bb0d4fa11546c6bc70f0cc4f5ed458b83f13fb34359214d,26/06/2023 02:13:29,ESCANER
19039,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2918,380,3,5,1,0,65,31,2,18,9,4,26,2,49,2,1,3,0,0,2,223,24,12,259,0,259,--,380,121,223,259,259,Algún campo sin dato,1,857ae185672bdec2aa3801939b15dcbfc268968e834d4e3fe649099bcadf9546,26/06/2023 01:56:24,ESCANER
19040,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2918,380,3,3,0,1,76,20,5,10,10,2,23,1,60,0,1,3,0,0,1,219,30,16,265,0,265,--,380,115,219,265,265,Algún campo sin dato,1,bea844541df0fd2e00b6d290412146c68754a82adcd2cd112d1c6b764e1a4082,26/06/2023 00:31:00,ESCANER
19041,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2918,380,2,2,1,2,61,27,1,9,11,1,21,0,64,0,5,4,1,0,3,215,43,15,273,0,273,--,380,107,215,273,273,Algún campo sin dato,1,f99780b702b160cbd6c6ca0abf6041116512e0023b8ac4920860c9352550ea32,26/06/2023 01:20:27,ESCANER
19042,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2918,380,8,1,0,1,47,47,3,13,10,12,62,1,50,1,1,4,1,0,1,263,32,9,263,0,304,0,380,76,263,304,304,Sumas Asentadas sin cuadrar,1,4fa779ebb46c0d568966f74ab6df64b93d4a30837fdbaa561f04048ed149e625,25/06/2023 22:55:07,ESCANER
19043,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2918,380,9,0,1,4,45,47,0,14,4,16,46,0,59,1,2,3,0,0,1,252,52,8,312,0,312,--,380,68,252,312,312,Algún campo sin dato,1,2a2e914be800df6713d9bcff29204390183481e56fd2f285e5a26dfd405a0075,25/06/2023 23:22:26,ESCANER
19044,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2918,380,10,2,0,3,57,37,2,14,3,5,41,1,51,0,2,4,0,0,1,233,40,8,281,0,281,0,380,99,233,281,281,,1,5a045825c483655dbe72fedc8b351f8b47630b945f6843cac4814df7494cd1fc,25/06/2023 23:53:11,ESCANER
19045,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2918,380,5,1,0,2,53,30,0,12,3,2,40,0,62,2,1,1,0,0,3,217,23,8,248,0,248,--,380,132,217,248,248,Algún campo sin dato,1,f01ddd18d54ec94f61d002517c1a79d157e61029f9919979070cbae296610cf8,26/06/2023 00:23:53,ESCANER
19046,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2918,380,1,0,0,1,59,31,2,5,7,2,48,0,42,1,0,0,1,0,0,200,22,5,227,0,227,--,380,153,200,227,227,Algún campo sin dato,1,b853f741c8bdb082411ea9b1af30585a357ca52974f324557d9981479eb31546,26/06/2023 00:42:21,ESCANER
19047,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2918,380,7,1,1,4,38,30,4,6,4,5,54,1,41,0,2,4,0,0,1,203,24,7,234,0,234,--,380,146,203,234,234,Algún campo sin dato,1,f4f1071b9f69eb96e17bc6a3cacd63f0cb01741ccdbb6f9dcb7d166fd52a81f9,25/06/2023 23:07:18,ESCANER
19048,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2919,380,2,1,0,3,31,34,1,3,6,3,80,0,36,0,0,2,1,0,0,203,12,1,216,0,216,--,380,164,203,216,216,Algún campo sin dato,1,f177afc77d0a7a34c20f842e46d58d6e5bf093c49c4cc7a0788f746a63a5e142,26/06/2023 00:29:36,ESCANER
19049,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2919,349,3,1,0,1,44,24,1,5,1,1,19,0,68,0,0,1,0,0,1,170,8,2,181,0,181,1,349,165,170,180,180,Sumas Asentadas sin cuadrar,1,264d9046468979759cba8b4c099c10e85ce49f5ff833af06aa9276760381b835,26/06/2023 00:54:39,ESCANER
19050,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2920,349,2,2,0,2,28,34,0,11,3,4,21,0,53,1,0,2,1,0,0,164,20,3,187,0,187,--,349,162,164,187,187,Algún campo sin dato,1,fbba7138b84a0867e0ca4e9f3991bf7eddf0f74e79e7f2126252d3343b410547,26/06/2023 01:28:40,ESCANER
19051,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2921,551,3,2,0,10,44,27,8,4,6,0,7,2,48,7,5,6,2,1,29,211,22,8,241,0,241,--,551,310,211,241,241,Algún campo sin dato,1,8348c212e9752eba092408e0110b35962f1e7243dc0aec4b0f16ff8e5e67b481,25/06/2023 22:16:20,ESCANER
19052,"Alta Verapaz",16,"San Cristóbal Verapaz",3,2921,550,3,4,1,11,38,21,2,5,2,1,4,2,28,7,2,1,4,0,22,158,9,1,168,0,168,--,550,382,158,168,168,Algún campo sin dato,1,712286f262090d364df18d80a684f4ec29866ed6fefc41e0012bf14673cd45f6,26/06/2023 00:26:46,ESCANER
