TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,31198,18069,57.9171

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR UNIONISTA,CABAL,UNE,VOS,DESARROLLO,ELEFANTE,AZUL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22841,"Chiquimula",20,"Esquipulas",7,3581,400,46,81,6,2,47,68,2,2,254,14,1,269,0,269,--,400,131,254,269,269,Algún campo sin dato,1,1d766061fd7c5a4c2efa4e7a777fdfc3abcea771dcaf1f0c2d54e27cd2ab226d,26/06/2023 01:09:07,ESCANER
22842,"Chiquimula",20,"Esquipulas",7,3581,280,45,52,5,0,35,26,1,2,166,3,0,169,0,169,--,280,111,166,169,169,Algún campo sin dato,1,77311a0354ddc1c6bc7b366dd96064750d708bdc7b72caf42e03b2ec7228ada5,25/06/2023 23:35:26,ESCANER
22843,"Chiquimula",20,"Esquipulas",7,3581,280,35,52,7,2,28,30,2,1,157,1,0,158,0,158,--,277,119,157,158,158,Algún campo sin dato,1,dfeddc5647180d5dd6abc73e6e45fa10583951f8f11470ce4e4e9948cb4f8f26,26/06/2023 00:14:14,ESCANER
22844,"Chiquimula",20,"Esquipulas",7,3582,400,33,62,4,8,57,86,4,1,255,11,7,273,0,273,--,400,124,255,273,273,Algún campo sin dato,1,86ab576e4a706a162bbc5498b535ad098db1611cbb0eb9ae176c853510c90bca,26/06/2023 01:30:02,ESCANER
22845,"Chiquimula",20,"Esquipulas",7,3582,400,36,90,8,4,50,84,5,3,280,9,3,292,0,292,--,400,108,280,292,292,Algún campo sin dato,1,27300ad9fc4709806377827d042768765708e9114439934bfb5749d3d21aefcb,26/06/2023 01:18:38,ESCANER
22846,"Chiquimula",20,"Esquipulas",7,3582,400,29,85,10,2,58,72,7,4,267,11,5,283,0,283,--,400,117,267,283,283,Algún campo sin dato,1,83cee17a097ff4a3fe1222e94ea2e8dd3842d182733f745ee864892babbea7f6,26/06/2023 00:44:43,ESCANER
22847,"Chiquimula",20,"Esquipulas",7,3582,400,28,59,16,3,56,74,1,1,238,5,0,243,0,243,--,400,157,238,243,243,Algún campo sin dato,1,23f507a7a9b9b35ac7e2db7cfa2549513d9e6940228ab72faee80204d5348202,26/06/2023 00:39:58,ESCANER
22848,"Chiquimula",20,"Esquipulas",7,3582,400,36,60,8,5,65,70,1,1,246,8,2,256,0,256,--,400,144,246,256,256,Algún campo sin dato,1,a7c58e7dc25648b8505be9fccdaaa31141fe44e18034fc84f8c0861f4175370f,26/06/2023 01:22:14,ESCANER
22849,"Chiquimula",20,"Esquipulas",7,3582,400,34,82,2,4,70,67,0,1,260,8,0,268,0,268,--,400,132,260,268,268,Algún campo sin dato,1,416a6ee94ac6688c9cf9ee689a60730d2e4b5228fce1eb3d0dc616830006daf0,25/06/2023 23:16:31,ESCANER
22850,"Chiquimula",20,"Esquipulas",7,3582,314,23,56,7,1,38,57,1,0,183,2,0,185,0,185,--,314,129,183,185,185,Algún campo sin dato,1,9798e332647173734d9fa38a709abe6696d21a605db31dd2bfdda5d5ca909f19,26/06/2023 00:41:11,ESCANER
22851,"Chiquimula",20,"Esquipulas",7,3582,313,17,59,3,1,29,33,2,0,144,3,0,147,0,147,--,313,166,144,147,147,Algún campo sin dato,1,79dd7b6a164248d12c2a7d4622341261090161b282db48ca45fa243a8b6e9909,25/06/2023 22:01:12,ESCANER
22852,"Chiquimula",20,"Esquipulas",7,3583,400,72,61,3,8,20,41,1,0,206,14,6,226,0,226,--,400,174,206,226,226,Algún campo sin dato,1,0b55b8385cfc4bdfaec1c91f2210312de686cd93086240fdf85d3081d1018bad,26/06/2023 00:48:42,MOVIL
22853,"Chiquimula",20,"Esquipulas",7,3583,400,59,64,4,10,26,27,0,2,192,20,8,220,0,220,--,396,176,192,220,220,Algún campo sin dato,1,3e9c4c22b31004c110182f070c87489f5a3b795740372c31e36807c1cea8c106,25/06/2023 23:33:45,MOVIL
22854,"Chiquimula",20,"Esquipulas",7,3583,400,71,65,4,7,11,44,0,1,203,10,5,218,0,218,--,400,182,203,218,218,Algún campo sin dato,1,6d9328c05268dcf959f0b723b5b3b68ddc829cbe68a560fe27a9a0d674478c89,26/06/2023 01:15:52,MOVIL
22855,"Chiquimula",20,"Esquipulas",7,3583,400,59,67,3,8,26,24,1,2,190,7,2,199,0,199,--,400,201,190,199,199,Algún campo sin dato,1,3845912ab91dd1d7df261a77fd00592792285fd9c161329ce21649a276c4b78a,26/06/2023 01:03:51,MOVIL
22856,"Chiquimula",20,"Esquipulas",7,3583,251,37,45,2,1,7,14,0,0,106,1,1,108,0,108,--,251,143,106,108,108,Algún campo sin dato,1,31750740594dc1a6f8e50d73ca617fd1e2dd7c48d998f7ed1a0af8a797d03e30,26/06/2023 00:17:45,MOVIL
22857,"Chiquimula",20,"Esquipulas",7,3583,250,31,44,3,2,11,21,1,0,113,2,1,116,0,116,--,250,134,113,116,116,Algún campo sin dato,1,51359bb0b3b3cc7907864caf41af9b69acfbee637011b813a4e636def368c709,25/06/2023 23:05:38,MOVIL
