TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
55,55,100.0000,55,100.0000,0,20883,12948,62.0025

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,ELEFANTE,VICTORIA,VAMOS,CREO,TODOS,PHG,CABAL,AZUL,PPN,UR,VALOR,VIVA,UNE,PIN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14244,"San Marcos",12,"Catarina",16,1996,400,12,1,47,59,39,1,33,4,4,2,3,0,53,0,258,25,10,293,0,293,--,400,107,258,293,293,Algún campo sin dato,1,88528a16aa66b84a3d39076e6d4843ca03e580802b5269b348347745d240d3f9,26/06/2023 00:56:51,ESCANER
14245,"San Marcos",12,"Catarina",16,1996,400,7,5,44,81,11,4,9,4,0,1,3,0,34,0,203,25,5,233,0,233,--,400,167,203,233,233,Algún campo sin dato,1,5d19512dfa6022f74b0a1ad937c1a74720a85ffb378502987bb952d8d8534cd5,26/06/2023 00:48:21,ESCANER
14246,"San Marcos",12,"Catarina",16,1996,400,11,8,68,75,5,6,12,2,3,1,6,0,28,0,225,18,3,246,0,246,--,400,154,225,246,246,Algún campo sin dato,1,296e4966ad444d1c71559fbd2083065631c00c90632daf45fc8f58aef14dba3e,26/06/2023 01:31:02,ESCANER
14247,"San Marcos",12,"Catarina",16,1996,400,18,5,74,80,8,8,11,3,4,1,4,0,30,0,246,9,1,256,0,256,--,400,144,246,256,256,Algún campo sin dato,1,351b35f11dfd5c6ba1a54bb540855f7157083bbc66017d091d1de5bc577d360b,25/06/2023 23:31:56,ESCANER
14248,"San Marcos",12,"Catarina",16,1996,400,8,11,52,94,13,13,17,1,2,0,4,0,41,1,257,11,4,272,0,272,--,400,128,257,272,272,Algún campo sin dato,1,f11fdae5e4e52e692ad782959e7a4fceb0c3ac0db4496b7faf80c188151614b9,25/06/2023 22:38:01,ESCANER
14249,"San Marcos",12,"Catarina",16,1996,400,13,10,76,94,11,3,8,3,0,2,4,1,39,0,264,10,3,277,0,277,--,400,123,264,277,277,Algún campo sin dato,1,fb3bb51cb9544e750162f29c2c1dd790077e5fe9ad9ca3549721effa4c4ec433,26/06/2023 01:22:46,ESCANER
14250,"San Marcos",12,"Catarina",16,1996,400,18,5,60,77,8,4,15,6,4,1,5,0,37,0,240,7,3,250,0,250,--,400,150,240,250,250,Algún campo sin dato,1,a55eea4603736cabeef247b9007cb0b6cc62af27ab7321e4690be16fd68c850f,26/06/2023 01:32:36,ESCANER
14251,"San Marcos",12,"Catarina",16,1996,400,7,6,65,72,16,7,13,5,0,1,2,1,33,0,228,2,1,231,0,231,--,400,169,228,231,231,Algún campo sin dato,1,19fa0ecec8033a06522586ec2a3e2731da1a35709759cbf67ea7b8c1186ed86c,26/06/2023 01:35:59,ESCANER
14252,"San Marcos",12,"Catarina",16,1996,400,7,4,75,69,9,6,12,5,3,3,4,0,36,0,233,2,0,235,0,235,--,400,165,233,235,235,Algún campo sin dato,1,4a1d56d16ef333ddf8510266a7ef5b255d47556155fc63ef3201d5fa9588e44b,26/06/2023 01:56:18,ESCANER
14253,"San Marcos",12,"Catarina",16,1996,358,14,4,60,71,11,4,12,4,1,1,0,1,26,0,209,2,4,215,0,215,--,358,140,209,215,215,Algún campo sin dato,1,63331cd2202cbda0851124c11f062904271d581c91db56884679d979471471c2,26/06/2023 01:40:25,ESCANER
