TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
101,101,100.0000,101,100.0000,0,37418,18298,48.9015

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VIVA,VAMOS,MLP,CAMBIO,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20855,"Petén",17,"San Luis",9,3242,380,55,11,34,53,5,16,9,183,24,4,211,0,211,--,380,169,183,211,211,Algún campo sin dato,1,017ed0d97b3e3cc8064d20b7602d17db8ee1a618201284b66d45b5dffb46c489,26/06/2023 02:20:46,ESCANER
20856,"Petén",17,"San Luis",9,3242,380,45,23,39,56,1,7,1,172,13,6,191,0,191,--,380,189,172,191,191,Algún campo sin dato,1,27a09a895c9e10f7473788a3ec67aedab9187ed4e9dfd63167d2e775b247bb32,25/06/2023 23:22:46,ESCANER
20857,"Petén",17,"San Luis",9,3242,380,33,16,52,47,2,5,3,158,13,4,175,0,175,--,380,205,158,175,175,Algún campo sin dato,1,96b9834d8c5b8ce2b4c3fe33ec8b7ac9138e11656d4f39747c41d2e00ff611e2,26/06/2023 01:51:31,ESCANER
20858,"Petén",17,"San Luis",9,3242,380,31,16,38,50,2,15,9,161,26,4,191,0,191,--,380,189,161,191,191,Algún campo sin dato,1,b11ac0c17f333f1b0350c930c90f23f5e91b4696aa54ce27d2fd7e18b463ac5e,25/06/2023 23:59:52,ESCANER
20859,"Petén",17,"San Luis",9,3242,380,38,10,36,50,3,17,6,160,5,3,168,13,181,--,380,199,160,168,181,Algún campo sin dato,1,13391134578c921edbce108aed129ee9d3743a02795cc8a5dacd629971f4632e,26/06/2023 00:36:39,ESCANER
20860,"Petén",17,"San Luis",9,3242,380,46,8,29,54,2,5,5,149,1,4,154,17,171,--,380,209,149,154,171,Algún campo sin dato,1,b061c0d06c79264035d18de3e5d8df1e7e15ef27b88b961a5f6089f19a10523e,26/06/2023 00:54:45,ESCANER
20861,"Petén",17,"San Luis",9,3243,380,45,17,30,43,2,7,4,148,14,7,169,0,169,--,380,211,148,169,169,Algún campo sin dato,1,60e218740c8615e9792444990472401653afa7971b114da189a3f3f5eea32c99,26/06/2023 01:16:24,ESCANER
20862,"Petén",17,"San Luis",9,3243,380,52,13,37,66,6,17,0,191,7,0,198,0,198,0,380,182,191,198,198,,1,7b5d4e3a15b69034400908185755c8873b3158ed56745db1aa86ac2916ec0924,25/06/2023 23:26:47,ESCANER
20863,"Petén",17,"San Luis",9,3243,202,21,7,10,21,2,3,2,66,2,4,72,0,72,0,202,130,66,72,72,,1,921a82cd8b83db8ed0215423c84b64177e055853bcf8c402d56ddfc1d02860ff,25/06/2023 21:35:53,ESCANER
20864,"Petén",17,"San Luis",9,3243,201,6,2,5,17,2,5,1,38,4,3,45,0,45,--,201,156,38,45,45,Algún campo sin dato,1,adffae834d72f1cf52a19445a5040f42d147fb4503237501eef21e7c4dde4f7e,25/06/2023 21:45:49,ESCANER
20865,"Petén",17,"San Luis",9,3244,380,55,9,61,22,4,11,3,165,18,6,189,0,189,--,380,191,165,189,189,Algún campo sin dato,1,e424758f678142620e35ae0f4e894fcac7658fa6511cf73e2dc53b0832b4fd02,26/06/2023 03:15:44,ESCANER
20866,"Petén",17,"San Luis",9,3244,380,62,10,67,27,4,12,4,186,21,3,210,0,210,--,380,170,186,210,210,Algún campo sin dato,1,7561a3ab4989668a13ba34085141d24865f9694c75fb13f78a8dd32feeb6ff49,26/06/2023 02:43:58,ESCANER
20867,"Petén",17,"San Luis",9,3244,380,52,9,55,27,5,10,2,160,16,8,184,0,184,--,380,196,160,184,184,Algún campo sin dato,1,c9ef81b41b99b50d171d301775acad4bb71e99ee60e9986f75cbd79dd7cb9b5e,26/06/2023 00:51:37,ESCANER
20868,"Petén",17,"San Luis",9,3244,380,38,14,42,43,6,5,2,150,8,4,162,0,162,--,380,218,150,162,162,Algún campo sin dato,1,4cf036d7eec362ef363fbd24c88dba37ff3b57971013a1f5d9d4e6ef6dc1ce24,25/06/2023 23:33:14,ESCANER
20869,"Petén",17,"San Luis",9,3244,380,47,13,62,17,5,17,4,165,14,7,186,0,186,--,380,194,165,186,186,Algún campo sin dato,1,ca6b42f672c4fc1b3cc77f0b29ef99eb6fa8fa330e20e632555d8832e56c7bd3,26/06/2023 02:09:44,ESCANER
20870,"Petén",17,"San Luis",9,3244,380,60,20,44,20,1,5,3,153,18,10,181,0,181,--,380,199,153,181,181,Algún campo sin dato,1,c2d46ba3defa9f8cf14f61152ace3c6852391777a40e8c4789e8a585d2270717,26/06/2023 02:56:40,ESCANER
20871,"Petén",17,"San Luis",9,3244,380,48,16,43,27,10,10,3,157,22,5,184,0,184,--,377,193,157,184,184,Algún campo sin dato,1,9f99836e0a25d8626304e81f102428974ce4dd2cb1cadc5f19bf7ca346796601,26/06/2023 01:49:45,ESCANER
20872,"Petén",17,"San Luis",9,3244,380,47,21,32,25,4,8,1,138,19,2,159,0,159,--,380,221,138,159,159,Algún campo sin dato,1,65d5495a3a2fa29c7cc0bf4e0f57d91812bb73036d0c1c2dc7173dce199dbf9d,26/06/2023 01:07:32,ESCANER
20873,"Petén",17,"San Luis",9,3244,342,54,8,55,12,4,2,0,135,10,2,147,1,148,--,342,194,135,147,148,Algún campo sin dato,1,2e5529dcf00d9ff72dcd20a127e676c42bb3914d84638f21d1a389ce85efa281,26/06/2023 02:37:28,ESCANER
20874,"Petén",17,"San Luis",9,3244,341,31,15,24,22,10,6,1,109,8,4,121,0,121,--,341,220,109,121,121,Algún campo sin dato,1,08d562491b5b44998645b19755129dc497c8abe7084a06567858e326a19608bd,26/06/2023 03:06:51,ESCANER
20875,"Petén",17,"San Luis",9,3245,380,43,27,19,40,12,14,2,157,4,7,168,24,192,--,380,188,157,168,192,Algún campo sin dato,1,ff93a5fb5bbd1db750f081d97596d1c03bc9f886877c1dd6d52288c7842bafe6,26/06/2023 02:14:49,ESCANER
20876,"Petén",17,"San Luis",9,3245,380,40,16,24,64,7,12,5,168,26,5,199,3,202,1,380,178,168,199,202,,1,f807fb16fd73333c713654a9ff447d5ad81b60d4bea1baa426605d5eeb033e22,26/06/2023 01:53:15,ESCANER
20877,"Petén",17,"San Luis",9,3245,380,43,28,25,37,7,11,1,152,22,4,178,0,178,--,380,202,152,178,178,Algún campo sin dato,1,9ee82498a98cab44a22ab49d633e830f5cb5dfb88848c54ae9e1e8500489bcd9,26/06/2023 00:38:32,ESCANER
20878,"Petén",17,"San Luis",9,3245,358,44,18,13,32,9,13,1,130,10,5,145,0,145,--,355,210,130,145,145,Algún campo sin dato,1,e0a10168e6a7cbe3127bd31ecb5a3b2d5ed2c59b7c902fd8430eb290f69786cc,26/06/2023 00:48:43,ESCANER
20879,"Petén",17,"San Luis",9,3245,357,30,22,13,44,10,14,--,133,10,2,145,0,145,--,357,212,133,145,145,Algún campo sin dato,1,76740062b51b0a7cf543688fb8b6e4f16dbe1826e42c63426c6a02f7b89c8f27,26/06/2023 01:20:11,ESCANER
20880,"Petén",17,"San Luis",9,3246,380,62,45,16,21,5,20,11,180,26,7,213,0,213,--,--,--,180,213,213,Algún campo sin dato,1,54d0bd920a07732994f28deca3ac3735b7f2071a8f4cfc9cd56dc19fded9e6e6,26/06/2023 00:56:01,ESCANER
20881,"Petén",17,"San Luis",9,3246,346,47,32,14,9,6,21,1,130,28,6,164,0,164,--,--,--,130,164,164,Algún campo sin dato,1,d34aa750ca19aed4b9761c850aa70a85944334b574c6f9fb5b88cd23e2f5668a,26/06/2023 01:05:02,ESCANER
20882,"Petén",17,"San Luis",9,3246,346,42,34,9,7,10,13,2,117,7,4,128,0,128,--,--,--,117,128,128,Algún campo sin dato,1,2a7c4a1dcbd04fccd8a2e886ab74f4a615b63084d79f731cc4ce2be00637d43a,26/06/2023 01:02:16,ESCANER
20883,"Petén",17,"San Luis",9,3247,380,86,23,49,6,38,9,2,213,30,5,248,0,248,--,400,152,213,248,248,Algún campo sin dato,1,f964c0586cec57df3cb4d624ee0c123bc17cfb1ec8c0d11efbfc79550cd0dc2c,26/06/2023 00:42:35,ESCANER
20884,"Petén",17,"San Luis",9,3247,380,94,15,54,4,25,11,0,203,17,3,223,0,223,--,380,157,203,223,223,Algún campo sin dato,1,28e19864baf5624c69550e345d5659f49d3fa19567253522174247e5782db597,26/06/2023 02:15:56,ESCANER
20885,"Petén",17,"San Luis",9,3247,255,61,15,43,2,13,7,2,143,12,3,158,0,158,--,255,97,143,158,158,Algún campo sin dato,1,147b179c107f17e26c4f489c41dbddd35d10728f48fe41d7f4d494f929cabb8f,26/06/2023 02:04:21,ESCANER
20886,"Petén",17,"San Luis",9,3247,255,50,11,38,2,15,2,1,119,12,2,133,0,133,--,255,122,119,133,133,Algún campo sin dato,1,8a7da21e4292ab46158082ceebfa510c7e4b99f4f5573c6b43879c1087dd5682,25/06/2023 23:08:49,ESCANER
20887,"Petén",17,"San Luis",9,3248,600,42,10,29,8,11,5,3,108,9,3,120,0,120,--,600,480,108,120,120,Algún campo sin dato,1,2d6e45bc3234ef753697f6100196f2869974cdea3f0bca06a1d99bf87269305d,25/06/2023 22:41:52,ESCANER
20888,"Petén",17,"San Luis",9,3248,368,19,4,20,2,2,2,4,53,5,0,58,0,58,--,365,307,53,58,58,Algún campo sin dato,1,a619a503a9d5f79bd1a4175cff10833034becc26a8ff57e625d10ff396cbec01,25/06/2023 22:49:20,ESCANER
20889,"Petén",17,"San Luis",9,3248,367,11,4,8,4,2,0,1,30,4,0,34,0,34,0,367,333,30,34,34,,1,e9efae34d7ce724f5ec4ecd5d8eff7ed27a0f637906f9630f8b8655896a28706,25/06/2023 22:56:12,ESCANER
