TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
208,208,100.0000,208,100.0000,0,78651,44789,56.9465

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,MLP,VAMOS,UNE,U R N G - MAIZ,VIVA,BIEN,CABAL,UR,PPN,FCN-NACION,MI FAMILIA,VOS,PHG,PR,TODOS,P A N,VICTORIA,AZUL,PODEMOS,CAMBIO,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
4053,"Guatemala",1,"Amatitlán",14,407,400,50,4,4,11,12,3,57,60,3,20,1,5,9,14,1,0,5,1,9,3,1,2,275,10,0,285,0,285,0,400,115,275,285,285,,1,059b9f52b18c3755a9c92af35fc8eabd6135e302d1359e6e42dc2affb2a0b30a,26/06/2023 02:06:50,ESCANER
4054,"Guatemala",1,"Amatitlán",14,407,400,56,5,5,17,9,3,42,55,3,16,4,5,3,4,0,0,4,1,4,2,5,3,246,11,2,259,0,259,--,400,141,246,259,259,Algún campo sin dato,1,b8cf7091fc1b0574919b6c6a1a707d46cdfb02f21026fcdf9117a79824b009a8,26/06/2023 00:42:25,ESCANER
4055,"Guatemala",1,"Amatitlán",14,407,400,56,5,11,14,12,4,60,35,6,15,3,5,8,6,1,0,1,0,5,0,0,2,249,12,2,263,0,263,0,400,137,249,263,263,,1,3ea45985ca10b2516d75cd0098ff419d43958ef023341b0611cd8a8c25171d68,26/06/2023 01:17:04,ESCANER
4056,"Guatemala",1,"Amatitlán",14,407,400,43,2,6,9,8,6,53,40,6,16,3,8,3,8,3,1,1,0,6,4,2,0,228,17,1,246,0,246,--,400,154,228,246,246,Algún campo sin dato,1,ca9010a3c7f2f419dba566eb11785e091f8845086b391655f1ada88f7741efbf,26/06/2023 04:07:37,ESCANER
4057,"Guatemala",1,"Amatitlán",14,408,400,58,7,8,13,11,5,42,57,0,12,1,6,8,9,1,1,0,2,8,0,1,1,251,12,1,264,0,264,0,400,136,251,264,264,,1,59eb77ec3d90e0c384b143461fffbfd6f68a537ee48ecb360c0053bfb175cba9,26/06/2023 02:15:46,ESCANER
4058,"Guatemala",1,"Amatitlán",14,408,400,53,5,4,16,10,4,47,47,1,12,4,8,9,6,0,0,4,0,9,4,2,2,247,9,0,256,1,257,1,400,143,247,256,257,,1,dd26c47704365966f1babf0946b81c6eea80ee49424618c903783de88b334fba,26/06/2023 01:03:16,ESCANER
4059,"Guatemala",1,"Amatitlán",14,408,400,42,4,10,14,10,6,46,42,2,19,1,3,6,10,3,3,0,2,3,3,0,2,231,4,2,237,0,237,--,400,163,231,237,237,Algún campo sin dato,1,e1b49b6bea4b1f60d77e20a74d8c72d64a22b588946c4294d159ea57f9a9ffb2,26/06/2023 00:12:47,ESCANER
4060,"Guatemala",1,"Amatitlán",14,408,400,50,0,7,13,11,6,41,29,0,13,2,3,11,8,3,1,5,2,6,1,2,3,222,14,2,238,0,238,--,403,165,217,233,233,Sumas Asentadas sin cuadrar,1,c30cd0cab6e1131f1b83d25e34247da94b73db291ed16ad2d3ae30b96478aff7,26/06/2023 00:25:15,ESCANER
4061,"Guatemala",1,"Amatitlán",14,408,400,44,10,10,14,7,1,51,40,4,23,1,6,11,8,5,0,0,1,4,2,2,2,246,14,0,260,1,261,--,400,139,246,260,261,Algún campo sin dato,1,2c4f28a8f7242975c204aad7a86a5e0b21eeabe4b6aa73b2ed788bc00e3ad7b2,26/06/2023 00:34:51,ESCANER
4062,"Guatemala",1,"Amatitlán",14,408,400,27,3,5,6,8,6,43,45,4,15,0,4,7,5,3,0,2,1,8,0,2,2,196,10,0,206,0,206,--,400,196,196,206,206,Algún campo sin dato,1,2cdbb7dea3d108639a5f1e700f3896de841f88b0aea3cf55a2e29634fefbe0fe,26/06/2023 00:49:38,ESCANER
