TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
66,66,100.0000,66,100.0000,0,25172,14852,59.0020

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,CABAL,MLP,TODOS,PPN,UNE,VICTORIA,PHG,VAMOS,SEMILLA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11608,"Quetzaltenango",9,"Génova",21,1552,380,33,46,3,2,36,4,0,1,74,0,48,247,12,11,270,0,270,--,380,107,247,270,270,Algún campo sin dato,1,1de4f99803121b42ed6575194d9b526efc6539758fbebc43e32b6ba1a9977f2d,26/06/2023 01:52:56,ESCANER
11609,"Quetzaltenango",9,"Génova",21,1552,380,44,41,6,1,27,6,0,1,84,1,48,259,15,4,278,0,278,--,380,102,259,278,278,Algún campo sin dato,1,e55b2116ac621a223d314efeb1f755cc31a4ee121c4c7a0f8bcb1932a5cdf043,26/06/2023 02:48:08,ESCANER
11610,"Quetzaltenango",9,"Génova",21,1552,380,24,52,8,2,25,8,1,1,77,1,45,244,21,5,270,0,270,--,380,110,244,270,270,Algún campo sin dato,1,b18c31bd9b6d1f8d99a2d3eafd4b3a7c4fa5d99377b0be67ba5a2200cd76867d,26/06/2023 00:46:08,ESCANER
11611,"Quetzaltenango",9,"Génova",21,1552,380,26,27,1,2,32,5,0,0,53,0,27,173,8,1,182,0,182,--,380,198,173,182,182,Algún campo sin dato,1,b926e1bee18f5de2b49ca93bb9d0160da465819a17414d58f3070b573885dfd9,26/06/2023 02:31:36,ESCANER
11612,"Quetzaltenango",9,"Génova",21,1552,380,52,30,2,0,52,4,1,1,80,0,16,238,14,7,259,0,259,--,380,121,238,259,259,Algún campo sin dato,1,c8f1914ff7eda4f97a4bbe934cbff273d8bb116c0aab5f2a53a9e0fce3aca045,26/06/2023 02:11:56,ESCANER
11613,"Quetzaltenango",9,"Génova",21,1552,380,69,38,1,0,31,4,0,1,71,0,21,236,21,11,268,0,268,--,380,112,236,268,268,Algún campo sin dato,1,34f99311f3ee0b7b3fe8986b94fe0a89ca0d6b5c1f12d78b7f4ce1fb039d7604,26/06/2023 02:06:19,ESCANER
11614,"Quetzaltenango",9,"Génova",21,1552,380,47,33,2,0,36,4,2,0,57,1,33,215,12,4,231,0,231,--,380,149,215,231,231,Algún campo sin dato,1,4c0a6ef4b9f170030f322d7b351b885edd82ef24333ab48315dee2361d521471,26/06/2023 01:24:34,ESCANER
11615,"Quetzaltenango",9,"Génova",21,1552,380,58,25,5,1,35,5,1,0,71,1,28,230,11,3,244,136,380,--,380,136,230,244,380,Algún campo sin dato,1,504fd564e6220f31524326b8e3e9308c87124b3ece9031e31d73909192b38b82,26/06/2023 01:26:37,ESCANER
11616,"Quetzaltenango",9,"Génova",21,1552,380,31,29,3,2,47,4,0,0,63,1,28,208,16,4,228,0,228,--,377,149,208,228,228,Algún campo sin dato,1,79750bbc13dceaa7baffb7e4d49d7d8e90770139fb678d34b6ece7d445c8148d,26/06/2023 03:20:21,ESCANER
11617,"Quetzaltenango",9,"Génova",21,1552,380,45,33,1,1,34,4,0,0,48,1,28,195,9,6,210,0,210,--,380,170,195,210,210,Algún campo sin dato,1,81ed3b643fcd5873705959f7066e15fa06d3a648394168f53a7b16ac672f1eb7,25/06/2023 23:42:27,ESCANER
11618,"Quetzaltenango",9,"Génova",21,1552,380,34,24,1,1,47,5,1,0,56,1,28,198,2,1,201,0,201,--,380,179,198,201,201,Algún campo sin dato,1,45f598913636d6329566fcff5f31e88a4bb0d17a445778bce813e78db5526a90,26/06/2023 00:17:05,ESCANER
11619,"Quetzaltenango",9,"Génova",21,1552,380,38,28,5,1,42,2,0,0,60,0,36,212,0,0,212,0,212,--,380,168,212,212,212,Algún campo sin dato,1,f3f852c478477897f79ad2cc7e66959db03ffc7b0b6ba6933cbe9ed71ba3eded,25/06/2023 23:13:54,ESCANER
11620,"Quetzaltenango",9,"Génova",21,1552,326,37,29,3,0,37,4,0,0,45,3,14,172,8,1,181,0,172,--,326,145,172,181,181,Sumas Asentadas sin cuadrar,1,1c92e39b1d7f8c1bea0d02d3dcf3f2f6c3248b3d68f91fd4b839499e8c9ddfd3,26/06/2023 01:09:29,ESCANER
11621,"Quetzaltenango",9,"Génova",21,1552,326,27,22,2,1,22,2,0,0,44,2,33,155,8,2,165,0,165,--,326,161,155,165,165,Algún campo sin dato,1,37bf2559ae0d3c06a2fd3041c9b867518b0f73363d6f3177428d21658b8bb21d,26/06/2023 01:34:52,ESCANER
11622,"Quetzaltenango",9,"Génova",21,1553,600,11,23,2,2,23,3,0,1,39,1,38,143,14,2,159,0,159,--,600,441,143,159,159,Algún campo sin dato,1,228ad31a917475cac0502889640bf3bfb43ee3d3d89a1120fc0ac28721952fca,25/06/2023 23:45:26,ESCANER
11623,"Quetzaltenango",9,"Génova",21,1553,600,5,15,1,3,23,3,0,0,18,2,32,102,4,4,110,0,110,--,600,490,102,110,110,Algún campo sin dato,1,ae1ce5eb0464cc91ec5e262a2dfb8e11d57b3051c4e4df5ec49a7b6d713fbb5e,25/06/2023 23:25:18,ESCANER
11624,"Quetzaltenango",9,"Génova",21,1553,556,7,10,1,0,11,4,1,0,15,1,14,64,2,1,67,0,67,--,67,489,64,67,67,Algún campo sin dato,1,7b0e727b4a7ff22204d8b963a6d35e4ee4ab7879568addc8b2f93980c33099db,25/06/2023 23:02:44,ESCANER
11625,"Quetzaltenango",9,"Génova",21,1553,555,4,4,0,1,4,1,0,0,9,0,7,30,1,0,31,0,31,--,555,524,30,31,31,Algún campo sin dato,1,f60ce355f417943b998a4ca3e7c1a7d553068d154e59e1068628dffe44146280,25/06/2023 23:11:06,ESCANER
