TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
133,133,100.0000,133,100.0000,0,51063,25671,50.2731

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,BIEN,MLP,CCM,UNE,VIVA,UR,VAMOS,WINAQ,AZUL,CABAL,VALOR,VICTORIA,PPN,VOS,CAMBIO,CREO,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10160,"Totonicapán",8,"Momostenango",5,1322,400,9,40,19,3,21,3,7,8,4,1,35,16,4,4,1,19,1,3,198,10,3,211,0,211,0,400,189,198,211,211,,1,1d111c650302d80df0659b993ef2a77b6fa1b2eb6100d393ab2d2f302265df10,25/06/2023 23:39:48,ESCANER
10161,"Totonicapán",8,"Momostenango",5,1322,400,15,23,19,10,13,1,3,8,8,1,35,26,3,5,2,20,2,4,198,6,1,205,0,205,--,397,192,198,205,205,Algún campo sin dato,1,2a897b2e904de64af6dc01bfaa266a191e31ad4f7c5d0691e829a8b53cb3e238,26/06/2023 00:29:18,ESCANER
10162,"Totonicapán",8,"Momostenango",5,1322,400,8,26,18,5,16,2,4,7,10,0,34,32,0,3,0,20,0,2,187,8,0,195,0,195,--,400,205,187,195,195,Algún campo sin dato,1,c1a59197f00aa9f282f702d0c0d5b3b60a72d654b0ff466599cbc24f6658e52c,26/06/2023 00:38:45,ESCANER
10163,"Totonicapán",8,"Momostenango",5,1322,400,5,30,12,25,13,2,4,11,9,0,29,23,1,1,1,19,1,1,187,5,2,194,0,194,0,399,205,187,194,194,,1,48329f3f5ff8b05838276ea474f412c0266c9eea0b8ed7be081b969e281b4e9c,26/06/2023 00:48:07,ESCANER
10164,"Totonicapán",8,"Momostenango",5,1323,318,6,19,15,11,15,0,4,7,5,1,27,25,2,0,2,19,0,1,159,0,1,160,0,160,--,318,158,159,160,160,Algún campo sin dato,1,4b7912d9460df62a90dddff14fcb1b63c9e9f6b6161302e1d2edeb16a5021dd6,25/06/2023 23:01:39,ESCANER
10165,"Totonicapán",8,"Momostenango",5,1323,317,3,25,12,11,7,3,9,7,4,2,24,18,3,0,2,12,2,1,145,3,1,149,0,149,0,317,168,145,149,149,,1,e987570fbf495659e76c31b8999ba00ebc6e8d17c6ff91f53ae4557ec27624ae,26/06/2023 00:50:00,ESCANER
10166,"Totonicapán",8,"Momostenango",5,1324,400,3,62,15,9,13,3,7,9,15,8,54,28,5,1,5,12,2,4,255,12,4,271,0,271,0,400,129,255,271,271,,1,8654a1017d7a79c81ce204301f205d629c2075e18722a6bff63c644fe3f8ffd6,25/06/2023 22:02:07,ESCANER
10167,"Totonicapán",8,"Momostenango",5,1324,400,2,43,15,6,15,3,7,7,12,0,66,13,2,1,0,9,3,3,207,24,2,233,0,233,0,400,167,207,233,233,,1,ae4cd1afb2fa0c46e0684937a3ec3a7bb5b5a04e20f76cc7288ab3afb559bd5b,26/06/2023 00:33:10,ESCANER
10168,"Totonicapán",8,"Momostenango",5,1324,400,2,33,15,9,14,6,2,14,8,7,52,14,2,2,3,6,1,2,192,14,5,211,0,211,0,400,189,192,211,211,,1,41732f8c1034b78304a783b74b548669eae3234f5d54657f8aae42e8d54c6cbc,25/06/2023 22:59:20,ESCANER
10169,"Totonicapán",8,"Momostenango",5,1325,400,2,29,26,3,18,2,1,12,5,1,78,22,0,6,2,7,3,2,219,20,4,243,0,243,0,400,157,219,243,243,,1,a336d3828d2c8896b0a69ade6b294948ce46b53fe4b47597f6b2ab59add374b3,26/06/2023 00:23:12,ESCANER
