TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
50,50,100.0000,50,100.0000,0,19655,11531,58.6670

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,TODOS,UNE,VAMOS,PODEMOS,VIVA,URNG-MAIZ SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11879,"Suchitepéquez",10,"Cuyotenango",2,1598,400,0,3,117,103,3,5,7,238,6,2,246,0,246,--,397,150,238,246,246,Algún campo sin dato,1,9898c51ae9e41dea4c6a19814a57f2ba2cdf839c285a75f23983e1dfad841a7d,26/06/2023 00:24:34,ESCANER
11880,"Suchitepéquez",10,"Cuyotenango",2,1598,400,0,3,118,99,4,0,0,224,23,4,251,0,251,1,396,133,224,251,251,,1,2d8354f1790293dbce7ddab3262a0f7e165d94932e5679e24eda2b103c237077,26/06/2023 02:07:09,ESCANER
11881,"Suchitepéquez",10,"Cuyotenango",2,1598,400,1,2,88,120,6,10,13,240,11,3,254,146,400,--,400,143,240,254,400,Algún campo sin dato,1,552d966f4ed5e27831e149d46a68178b30d27b533c1923bdb34cbf9e01431412,26/06/2023 02:18:19,ESCANER
11882,"Suchitepéquez",10,"Cuyotenango",2,1598,400,0,4,97,93,4,13,8,219,13,7,239,0,239,--,400,161,219,239,239,Algún campo sin dato,1,3aefd755310689e3b22d98ff7f36876b1f8ea0450e2c9dc6f905aa388e1fbe6c,25/06/2023 23:25:27,ESCANER
11883,"Suchitepéquez",10,"Cuyotenango",2,1598,400,0,4,135,77,2,11,2,231,17,5,253,0,253,1,400,146,231,253,253,,1,c47f91644b3b0038cb1bbd66d8f351dbfe2d9bbd54ac776b092646441c2a6bf5,25/06/2023 22:53:23,ESCANER
11884,"Suchitepéquez",10,"Cuyotenango",2,1599,400,2,3,95,107,4,8,12,231,11,6,248,0,248,--,400,152,231,248,248,Algún campo sin dato,1,08668b3e081beed739c2f85e10dc3ac6b73825447324a6e60f2058bd54259a54,26/06/2023 00:55:32,ESCANER
11885,"Suchitepéquez",10,"Cuyotenango",2,1599,400,0,1,98,84,1,6,6,196,13,1,210,0,210,--,397,187,196,210,210,Algún campo sin dato,1,584a6804448ea46dc0077dc8f71888c3a5d9e93d54a12a083a92e474af54abba,25/06/2023 23:09:11,ESCANER
11886,"Suchitepéquez",10,"Cuyotenango",2,1599,400,0,1,96,93,3,2,6,201,7,6,214,0,214,1,400,185,201,214,214,,1,9c8992107e5add965086ae08bce5dd3ebbc508e949c83f503619cf8c1276df90,25/06/2023 23:59:21,ESCANER
11887,"Suchitepéquez",10,"Cuyotenango",2,1599,400,0,3,92,89,6,4,15,209,0,0,209,0,209,--,399,190,209,209,209,Algún campo sin dato,1,584dfde53e8407cefb8e783704fd5a8e335de4c2adcf1f8b05c6395da5aae893,25/06/2023 23:21:52,ESCANER
11888,"Suchitepéquez",10,"Cuyotenango",2,1599,400,1,1,95,123,3,4,3,230,4,1,235,0,235,--,400,165,230,235,235,Algún campo sin dato,1,392e6222ad5374f710e3f61a73a194411392284dc1831feeebf0548d8ea1a464,26/06/2023 00:06:10,ESCANER
11889,"Suchitepéquez",10,"Cuyotenango",2,1599,400,1,1,95,100,4,5,4,210,4,0,214,0,214,--,400,183,210,214,214,Algún campo sin dato,1,96520e18e464cf39bc967382a105a032617cb24ac98f24d789ad0e9cf7f5e30a,26/06/2023 00:28:42,ESCANER
11890,"Suchitepéquez",10,"Cuyotenango",2,1599,400,3,0,85,64,4,5,6,167,3,1,171,0,171,--,400,229,167,171,171,Algún campo sin dato,1,c4abc1ca71c004b728d513cb51ce113e12a5119a5faee7242b3cc6d2b9b21764,25/06/2023 23:14:16,ESCANER
11891,"Suchitepéquez",10,"Cuyotenango",2,1599,213,0,1,59,56,1,4,6,127,2,0,129,0,129,--,213,84,127,129,129,Algún campo sin dato,1,3ed61deb6d733f90e4fb2cf2ba754712d04e6c57b6823d383afccde6a312e057,25/06/2023 23:53:40,ESCANER
11892,"Suchitepéquez",10,"Cuyotenango",2,1599,213,1,1,32,44,4,3,4,89,4,3,96,0,96,--,213,117,89,96,96,Algún campo sin dato,1,9d56f67d0742b73f34b0810b3ca98da4c654ecae2a576a64b45fca3d31694c57,25/06/2023 22:49:12,ESCANER
11893,"Suchitepéquez",10,"Cuyotenango",2,1600,600,2,2,38,45,3,7,7,104,11,0,115,0,115,--,600,485,104,115,115,Algún campo sin dato,1,66bb9328f4e81b9c80231fc2cf33031a5dcaf9fee142b76e17de833260ab2693,25/06/2023 23:54:13,ESCANER
11894,"Suchitepéquez",10,"Cuyotenango",2,1600,600,1,2,28,36,0,5,2,74,9,2,85,0,85,--,598,513,74,85,85,Algún campo sin dato,1,793f9035195d5ae71e9a109d62d0affd80bc8166817981073f3f6c304c0ec681,25/06/2023 22:52:33,ESCANER
11895,"Suchitepéquez",10,"Cuyotenango",2,1600,309,0,0,3,13,1,0,1,18,1,0,19,0,19,--,309,290,18,19,19,Algún campo sin dato,1,5ee2a4b564bf3f0d8d17c07d8f38f0c783fc3294ea911b79123a0fd4fe3340b7,25/06/2023 20:36:20,ESCANER
11896,"Suchitepéquez",10,"Cuyotenango",2,1600,308,0,0,2,7,1,0,1,11,0,0,11,0,11,--,308,297,11,11,11,Algún campo sin dato,1,b7184aa258102ee4e90ecc602d576db6bd965090c0c1054bcaf5e9d579413674,25/06/2023 20:35:44,ESCANER
