TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
32,32,100.0000,32,100.0000,0,12853,8809,68.5365

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,MLP,PPN,ELEFANTE,VAMOS,AZUL,MI FAMILIA,UR,CREO,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5844,"Sacatepéquez",2,"Alotenango",14,608,400,49,26,4,31,64,42,7,5,6,27,6,6,273,8,8,289,0,289,--,400,111,273,289,289,Algún campo sin dato,1,1d45a42c317a9c5bb5a2a65d690b212493be5da6eb475dc4e45f21f97d91c49c,26/06/2023 00:56:06,ESCANER
5845,"Sacatepéquez",2,"Alotenango",14,608,400,42,18,1,35,62,47,9,11,1,19,8,7,260,11,1,272,0,272,--,398,126,260,272,272,Algún campo sin dato,1,95a137e2b70086a99960341d206925ab0fc8ebea815fb9f7192b984fd0814b57,25/06/2023 23:50:00,ESCANER
5846,"Sacatepéquez",2,"Alotenango",14,608,400,43,27,3,35,57,47,6,6,3,24,4,9,264,10,3,277,0,277,--,400,123,264,277,277,Algún campo sin dato,1,e181a440e493e6363e6887067f93b1c281fcabae3a122548eeea44f1b1cb4e4e,25/06/2023 21:55:18,ESCANER
5847,"Sacatepéquez",2,"Alotenango",14,608,400,47,33,4,23,69,34,6,4,3,18,11,8,260,14,3,277,0,277,--,400,123,260,277,277,Algún campo sin dato,1,025f52d622a285ae2820ecdb9398044dde74b6fc73ad3874bf56b163e911a521,26/06/2023 02:58:34,ESCANER
5848,"Sacatepéquez",2,"Alotenango",14,608,400,46,25,5,28,66,31,4,9,2,24,6,7,253,12,4,269,0,269,--,399,130,253,269,269,Algún campo sin dato,1,e4a8bb0be88cd0c20635d9bd405bdc99132ace8c75cea9cc360c8f56dc9c60d1,26/06/2023 00:47:04,ESCANER
5849,"Sacatepéquez",2,"Alotenango",14,609,400,52,29,3,34,58,41,5,7,2,12,5,5,253,7,5,265,0,265,--,398,133,253,265,265,Algún campo sin dato,1,5193320f10c2fa6a865ddbd3f2e6c9eaaa4aaad409b18fa82fbd68920d657765,26/06/2023 01:27:47,ESCANER
5850,"Sacatepéquez",2,"Alotenango",14,609,400,41,36,5,30,50,40,5,7,3,14,11,2,244,9,3,256,0,256,--,399,143,244,256,256,Algún campo sin dato,1,eced087e4fcf4f46db3d3986be4d5a83cb976fd8091aabb5cca5766adc7371be,26/06/2023 01:04:54,ESCANER
5851,"Sacatepéquez",2,"Alotenango",14,609,400,42,32,3,25,54,45,7,6,3,27,4,2,250,8,5,263,0,263,--,401,138,250,263,263,Algún campo sin dato,1,9f2971c543ed7c38cb5264a2f979da184f1e4b9c95fc260cfda44ac717fd8d69,26/06/2023 00:30:17,ESCANER
5852,"Sacatepéquez",2,"Alotenango",14,609,400,64,25,3,21,70,57,8,5,4,33,4,8,302,5,0,307,0,307,--,397,90,302,307,307,Algún campo sin dato,1,ddc076069fe8605e79e79f92739299656d9770f076439f89012a64cd149b9526,26/06/2023 00:44:24,ESCANER
5853,"Sacatepéquez",2,"Alotenango",14,609,400,67,16,7,27,71,46,3,5,2,25,4,9,282,7,2,291,0,291,--,400,109,282,291,291,Algún campo sin dato,1,8697ef7a38403e4439601d71d43151f9d7341ba7f4ec09c4d34c641150667093,25/06/2023 23:54:39,ESCANER
5854,"Sacatepéquez",2,"Alotenango",14,609,400,50,30,2,25,58,50,8,9,5,30,6,7,280,4,3,287,0,287,--,400,113,280,287,287,Algún campo sin dato,1,6633f3f7af85a0b8a0b3656e93499b05e77db9be9a5ff96a5ca99dffab544aee,26/06/2023 00:51:53,ESCANER
5855,"Sacatepéquez",2,"Alotenango",14,609,275,35,27,1,25,34,22,3,7,1,13,4,6,178,4,3,185,0,185,--,275,90,178,185,185,Algún campo sin dato,1,bd17933b0ae9986e97a29ef2f967b3808672d9532cf4dc283799f35bd4360737,25/06/2023 22:38:07,ESCANER
5856,"Sacatepéquez",2,"Alotenango",14,609,274,36,16,1,26,35,25,2,7,1,14,4,4,171,2,1,174,0,--,--,274,100,171,174,174,Algún campo sin dato,1,acba0094c82af6e21b0c69f010268ae910f2837b38a637b4247b39d0e5e78184,25/06/2023 23:22:18,ESCANER
5857,"Sacatepéquez",2,"Alotenango",14,610,552,34,34,3,18,65,54,2,3,1,17,19,7,257,20,6,283,0,283,--,--,--,257,283,283,Algún campo sin dato,1,ee4007959aa0ee72dba2e446998407560ed36fedad07656be5b40037a6e7db76,26/06/2023 00:25:32,ESCANER
5858,"Sacatepéquez",2,"Alotenango",14,610,552,33,25,4,24,53,45,4,5,4,15,5,3,220,17,5,242,0,242,--,549,307,220,242,242,Algún campo sin dato,1,b913ae61349fb11ff690458d6c8ce7c4048e289e34a006a0ddec27448bf4fedb,26/06/2023 00:12:17,ESCANER
