TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
108,108,100.0000,108,100.0000,0,40974,22564,55.0690

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,CCER-19PAZ,VALOR UNIONISTA,VIVA,CAMBIO,UNE,BIEN,SEMILLA,CABAL,P A N,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21906,"Zacapa",19,"Zacapa",1,3394,400,20,104,13,14,5,9,5,8,56,1,235,14,1,250,0,250,0,399,149,235,250,250,,1,49ac172738b7abe9a73c3b7c3aa5eb8763293803f04922f8452390edddf73230,26/06/2023 00:21:44,ESCANER
21907,"Zacapa",19,"Zacapa",1,3394,400,10,108,15,16,5,8,7,11,62,1,243,14,0,257,0,257,0,400,143,243,257,257,,1,610c68f9f65d4f1d6694388cd2a249f6d4b0b6703980add846799827fb451c60,26/06/2023 00:33:23,ESCANER
21908,"Zacapa",19,"Zacapa",1,3394,400,13,93,17,11,3,13,1,15,75,0,241,16,2,259,0,259,0,400,141,241,259,259,,1,aeb68e6ed5e7c69d759b738875c5ed022a9cb7bb894aeb652a8e62b0b6792543,26/06/2023 02:01:08,ESCANER
21909,"Zacapa",19,"Zacapa",1,3394,400,5,116,16,19,0,5,3,15,55,1,235,10,1,246,0,246,0,399,153,235,246,246,,1,a6de079353fdeacd917fc14299302c8795025fa33b9581d02127ed6cbf708c9c,26/06/2023 00:13:42,ESCANER
21910,"Zacapa",19,"Zacapa",1,3394,400,14,101,12,12,3,6,4,17,60,0,229,7,0,236,0,236,0,397,161,229,236,236,,1,ba95e3c7e8fe9ec5360e3a092f323b754fd8d6806685e132255c523fc1d8aa02,26/06/2023 01:44:05,ESCANER
21911,"Zacapa",19,"Zacapa",1,3394,400,6,111,13,10,3,6,0,13,65,0,227,5,0,232,0,232,0,0,0,227,232,232,,1,6e9da0a2018029c62db4d902ebe251b524f7c608fd2bfdfc2d3076a34c860f69,26/06/2023 01:45:47,ESCANER
21912,"Zacapa",19,"Zacapa",1,3394,255,9,72,5,10,1,6,0,11,39,0,153,3,0,156,0,156,0,255,99,153,156,156,,1,74a759cc9eb543c769307d4f2570f810d9bb48c6636555ffcf20b1edf07db084,25/06/2023 22:42:25,ESCANER
21913,"Zacapa",19,"Zacapa",1,3394,254,6,47,8,1,2,2,2,3,25,0,96,2,1,99,0,99,0,254,155,96,99,99,,1,584b552953618a446ad4a423eaccfc9fdcce30857ff2dec3413e52c9ffeb3048,26/06/2023 00:22:27,ESCANER
21914,"Zacapa",19,"Zacapa",1,3395,400,5,116,19,5,2,9,4,15,59,0,234,13,3,250,1,251,0,397,147,234,250,251,,1,2e25a82bfea0fee9217397394f0697c103017b37dcdc1ea75877f1c66d28fe92,26/06/2023 01:57:57,ESCANER
21915,"Zacapa",19,"Zacapa",1,3395,400,16,138,8,2,2,5,0,13,54,2,240,20,1,261,0,261,0,400,139,240,261,261,,1,c31dd04a216fba8f0f743136f88954f952f1fa2b8020d897bb069346bf907e2b,26/06/2023 00:39:23,ESCANER
21916,"Zacapa",19,"Zacapa",1,3395,400,21,146,9,8,2,8,1,3,49,1,248,27,0,275,0,276,1,400,124,248,275,275,Sumas Asentadas sin cuadrar,1,967b34ea99e9d72ec980986df47157a61ec9dc8cb8d79f708b675b37fad99279,26/06/2023 00:30:22,ESCANER
21917,"Zacapa",19,"Zacapa",1,3395,400,23,140,10,5,2,7,0,11,51,3,252,24,2,278,0,278,0,399,121,252,278,278,,1,fdab46abce0491bf9cbd3034364fc024f33b76913218179f57f66c06c154ee5e,26/06/2023 00:34:35,ESCANER
21918,"Zacapa",19,"Zacapa",1,3395,400,19,140,11,7,3,2,0,9,57,3,251,21,2,274,0,274,0,400,126,251,274,274,,1,5d2a5cd5db11877298c379f2b5ad92a8ae97f1c96ec30522702c2adafe82119b,26/06/2023 01:00:20,ESCANER
