TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
47,47,100.0000,47,100.0000,0,17357,12474,71.8672

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,MLP,VALOR,UNE,CAMBIO,CABAL,VAMOS,VIVA,TODOS,ELEFANTE,PPN,PODEMOS,AZUL,PHG,MI FAMILIA,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18938,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2903,400,62,7,72,43,0,5,19,4,4,5,2,8,7,53,0,2,293,18,4,315,1,316,0,400,84,293,315,316,,1,a90e13c51b886e8f5652cb85312720f5a5f64db8c2e67f95903c13326858e962,26/06/2023 04:26:57,ESCANER
18939,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2903,400,80,3,48,32,0,14,29,4,1,2,8,12,7,31,4,0,275,13,3,291,1,292,0,400,108,275,291,292,,1,f21042d02925064028b07c7f8e6c85c535a62acfb557d0a0f2edf9c250f26de6,26/06/2023 03:35:25,ESCANER
18940,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2903,400,65,8,63,33,1,1,23,4,5,6,8,6,4,29,1,2,259,3,1,263,0,263,0,400,137,259,263,263,,1,99884c9cd50f4891f9a50bedf139af47ab25bfbe86ddd199ccd2f1c9c84dc727,25/06/2023 23:59:29,ESCANER
18941,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2903,316,43,3,64,38,0,4,20,2,1,6,1,5,5,34,0,0,226,4,1,231,0,231,0,316,85,226,231,231,,1,fe35f78c8527fb3c85d4fb10e38dc73a1635cd328555af7e33e64a02e86bc435,26/06/2023 02:20:45,ESCANER
18942,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2903,316,47,3,56,36,0,7,16,1,1,4,1,2,8,29,1,1,213,4,2,219,0,219,0,316,97,213,219,219,,1,6b3299b613f66335a6169157e956ba54e2c4b9fc6e923f6e23a9da7e9bebe466,26/06/2023 03:03:09,ESCANER
18943,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2904,380,55,12,62,16,3,6,12,6,11,3,5,11,1,73,0,0,276,13,9,298,0,298,0,377,79,276,298,298,,1,b1488de32ced1641aa8180e0d8c4d852b5bc46e2158c57fab2e679a99c12f913,26/06/2023 04:50:03,ESCANER
18944,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2904,380,70,8,49,15,2,14,9,4,14,1,8,4,1,95,0,0,294,24,7,325,1,326,2,383,55,294,325,326,,1,4cc302bf4016664e8accbddcb51e1ad8efe2e80930013b7ed27542c78902ad5d,26/06/2023 04:54:17,ESCANER
18945,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2904,380,52,13,50,18,2,5,24,9,16,3,5,1,0,74,1,0,273,25,4,302,0,302,0,380,78,273,302,302,,1,462792f452d44cdc22fa829d6ef6f9ef425b83bd66f1c58a9238b23432900a65,26/06/2023 05:49:10,ESCANER
18946,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2904,380,45,14,86,8,5,4,13,4,13,1,7,4,5,71,0,0,280,19,7,306,0,306,0,377,71,280,306,306,,1,a609592961f73f8cef89f389c960d142836e382722a4703ea397281ef3f41cdf,26/06/2023 03:58:22,ESCANER
18947,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2904,380,51,9,69,7,1,9,12,4,14,0,3,5,3,76,1,2,266,12,3,281,0,281,0,380,99,266,281,281,,1,0283ae523961419080b34b5cf437d50d1d57ae608e0b06c9c8500bb517ccdb66,26/06/2023 03:34:43,ESCANER
18948,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2904,380,52,8,65,7,1,4,9,10,13,2,6,7,0,63,0,0,247,20,0,267,0,267,0,377,110,247,267,267,,1,917b2a66cbf2883a13e08bc69cfc46603b9e11e9df4a7292c21caa13469413f3,26/06/2023 03:28:18,ESCANER
18949,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2904,380,42,10,62,8,3,8,13,8,22,5,2,4,4,67,0,0,258,3,1,262,0,262,0,380,118,258,262,262,,1,fa2506bfcbe6971b836942e6c45f57b160d04431abefdd37798c4152919dd235,26/06/2023 02:17:52,ESCANER
18950,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2904,218,22,4,28,4,0,7,6,2,12,3,0,2,0,53,0,0,143,3,1,147,1,148,0,218,70,143,147,148,,1,07d5112d0ef462e8aeb0176a63a9c2e63d71e639fee6275e118dc6e26c3070fc,26/06/2023 00:26:58,ESCANER
18951,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2904,218,31,6,24,2,0,2,4,2,4,1,2,3,0,40,0,0,121,5,0,126,0,126,0,215,89,121,126,126,,1,cd98d805d0f96772307237fc03e62f2c69f8a580390da7cb9c81a5fd1345df6e,26/06/2023 00:54:39,ESCANER
18952,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2905,380,50,1,52,13,6,1,23,5,1,1,5,18,3,76,0,1,256,33,13,302,0,302,2,30,76,256,302,302,,1,0b97aaf7408a534db44174c0d1d0e3510a01ffccd7ce44e69fe805f206c8c8dc,26/06/2023 03:56:00,ESCANER
18953,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2905,341,45,1,40,10,6,0,17,3,5,0,10,20,4,58,0,0,219,15,7,241,0,241,1,338,96,219,241,241,,1,1be4a94e11613e1f5f78991cbf02f1f830c5181cd85dd8231455d8ec56b2e81f,26/06/2023 01:57:34,ESCANER
18954,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2905,340,37,1,53,7,5,0,22,2,2,3,2,17,0,72,0,0,223,6,3,232,0,232,0,340,108,223,232,232,,1,3a9352f9d8a883c2fd7cf96614381aaf6ddeb2e9de2757f986ac311604250b68,26/06/2023 00:40:28,ESCANER
18955,"Alta Verapaz",16,"Santa Cruz Verapaz",2,2906,252,8,3,24,1,2,3,7,5,3,3,3,1,0,7,0,2,72,10,1,83,0,83,0,252,169,72,83,83,,1,c7bec0e20af89e0d5614feb0fe508b01b5603a618882bc7bad4ee8691838f463,25/06/2023 23:40:58,ESCANER
