TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
233,233,100.0000,233,100.0000,0,88301,52553,59.5157

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,VICTORIA,PPN,PPG,UNE,VOS,BIEN,PR,UR,CABAL,TODOS,MLP,SER,PIN,PHG,CAMBIO,SEMILLA,P A N,UNIONISTA,PODEMOS,AZUL,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
4900,"Guatemala",1,"Villa Canales",16,484,400,12,43,7,11,10,69,3,22,2,1,2,5,0,1,12,4,0,22,0,1,6,3,8,244,17,0,261,0,261,--,388,127,244,261,261,Algún campo sin dato,1,fda938acc2517a0d83f7b95eb212fd7311d78252afcbdf0ba2bf4a46d3369dcd,25/06/2023 22:47:25,ESCANER
4901,"Guatemala",1,"Villa Canales",16,484,400,25,52,2,4,6,55,5,23,1,0,3,4,3,0,11,3,0,22,2,0,11,3,8,243,11,0,254,0,254,--,400,146,243,254,254,Algún campo sin dato,1,199403c55470c5e4c4d895f4c535f4ed7bc50a5bf5a0ec4643d43d0240e503ee,26/06/2023 00:13:07,ESCANER
4902,"Guatemala",1,"Villa Canales",16,484,400,16,39,2,9,8,70,7,22,1,2,2,2,1,1,15,8,0,20,0,1,5,1,2,234,18,3,255,0,255,--,388,133,234,255,255,Algún campo sin dato,1,f75575939fec278e14bb77c40aa734e0bb187a887b2a2a43556bf2f5c46360d5,25/06/2023 22:15:43,ESCANER
4903,"Guatemala",1,"Villa Canales",16,484,400,14,40,6,9,7,68,4,24,0,1,3,3,1,2,6,11,0,14,2,4,6,2,5,232,11,3,246,0,246,--,400,154,232,246,246,Algún campo sin dato,1,9c2a0918a3aed8db4a932ed7b6e1fd3afaf64ba78f596a21167a5e842a579495,25/06/2023 23:22:43,ESCANER
4904,"Guatemala",1,"Villa Canales",16,484,400,14,39,2,8,10,65,4,17,1,0,1,6,1,1,13,3,0,10,0,4,9,2,3,213,13,5,231,0,231,--,400,169,213,231,231,Algún campo sin dato,1,ee1a375afc32cd9df0d0b05fb90dcea02efdaadbc2799097a247429d68f11388,26/06/2023 00:56:06,ESCANER
4905,"Guatemala",1,"Villa Canales",16,484,400,23,25,4,4,13,54,4,20,0,0,7,4,0,2,12,5,0,20,1,1,10,0,8,217,14,7,238,0,238,--,400,162,217,238,238,Algún campo sin dato,1,ad53e43122b2c5fd878ed30cd1a4f649352143e190c05e83bd338aa99709d667,26/06/2023 01:00:48,ESCANER
4906,"Guatemala",1,"Villa Canales",16,485,400,13,34,6,8,12,53,3,16,1,2,5,4,3,0,13,2,1,14,4,2,9,2,6,213,12,1,226,1,227,0,392,165,213,226,227,,1,7b3e835491a142fb32031c50d9dfe1bf46910345af17ca490e1c1557555ff8f9,26/06/2023 01:56:22,ESCANER
4907,"Guatemala",1,"Villa Canales",16,485,400,16,41,6,4,7,63,1,22,0,1,2,5,0,2,14,4,1,22,2,1,6,2,5,227,18,1,246,0,246,0,400,154,227,246,246,,1,dbcc65f941021ae9189813cef25df56857fe3444480a286ac7bb929b895a3e82,26/06/2023 02:30:42,ESCANER
4908,"Guatemala",1,"Villa Canales",16,485,400,15,37,10,5,11,67,4,15,1,1,2,0,0,0,18,1,1,34,0,0,5,1,10,238,8,0,246,0,246,--,399,153,238,246,246,Algún campo sin dato,1,1d181b2e54656ce7046b06066b40c5efa7c9a994fe6d17d530d260da9e2cb5f3,26/06/2023 01:37:49,ESCANER
4909,"Guatemala",1,"Villa Canales",16,485,400,9,33,3,6,5,50,7,25,0,0,1,6,0,0,13,5,2,53,2,0,5,3,18,246,7,0,253,0,253,--,400,147,246,253,253,Algún campo sin dato,1,6923566f5944b53a5a763caf12657b12094691717e627d9df5b915d034a0d3a0,26/06/2023 01:18:39,ESCANER
4910,"Guatemala",1,"Villa Canales",16,485,400,15,50,5,5,8,64,1,28,0,0,2,2,0,2,20,1,0,22,1,1,4,0,5,236,9,0,245,0,245,--,397,152,236,245,245,Algún campo sin dato,1,1c0c115da69536e4c16e385893e66428b255d7dd598ee44d00467cd785a81783,26/06/2023 01:05:04,ESCANER
4911,"Guatemala",1,"Villa Canales",16,485,400,17,41,4,7,8,55,2,14,0,0,1,2,0,1,13,3,0,35,0,1,4,1,3,212,7,0,219,0,219,--,387,168,212,219,219,Algún campo sin dato,1,9dbff27adc878e05ef83f1bf620f22ed3cc633db4a4b6c712dd6d2da1ea45e3b,26/06/2023 01:47:55,ESCANER
4912,"Guatemala",1,"Villa Canales",16,485,374,8,41,6,2,9,42,4,11,1,0,2,2,0,1,7,1,0,26,0,2,4,1,2,172,13,2,187,0,187,--,377,190,172,187,187,Algún campo sin dato,1,91cde3a3dddde81b6bb74d641b0460555bc3bc1f5f76fd30f69f679748c4b0c5,25/06/2023 22:44:29,ESCANER
4913,"Guatemala",1,"Villa Canales",16,485,373,10,24,1,3,3,39,1,20,0,1,4,1,0,1,12,3,0,39,0,3,3,1,3,172,7,0,179,0,179,--,373,194,172,179,179,Algún campo sin dato,1,1bb59c09634daeddcf246a7672d8874066a0ab3f32fb516e0f29940e0132bf47,26/06/2023 00:23:12,ESCANER
4914,"Guatemala",1,"Villa Canales",16,486,400,27,64,5,7,4,81,1,17,0,0,2,3,0,0,8,2,1,3,1,1,2,4,2,235,7,1,243,0,243,--,388,145,235,243,243,Algún campo sin dato,1,a8b386428af61151542ee4cd45a9f8eb35147bc70c750e2b5c554726821e13f1,25/06/2023 23:56:03,ESCANER
4915,"Guatemala",1,"Villa Canales",16,486,400,20,51,3,4,3,50,2,23,0,2,3,2,0,0,4,2,0,8,1,3,4,0,1,186,57,6,249,0,249,--,400,151,186,249,249,Algún campo sin dato,1,d36009f440343535cf9e151555e0b498e1229ff83fc824901857e5fd0af7443f,26/06/2023 01:25:07,ESCANER
4916,"Guatemala",1,"Villa Canales",16,486,400,30,60,5,2,4,85,0,14,1,3,3,4,1,1,4,2,0,5,2,0,9,1,1,237,12,1,250,0,250,--,388,138,237,250,250,Algún campo sin dato,1,554cf67065ba73a0a5b1d5d1f3bd0a6632fa4e48ea00eea5719ff9951e6d4107,26/06/2023 00:39:54,ESCANER
4917,"Guatemala",1,"Villa Canales",16,486,400,27,54,1,4,3,74,2,17,0,0,1,5,1,0,7,3,0,3,0,2,1,0,1,206,12,2,220,0,220,--,396,177,206,220,220,Algún campo sin dato,1,f736ec7c50215785ac0d843aa981eb97071df7a08298dd810e07c7201243399c,26/06/2023 01:24:05,ESCANER
4918,"Guatemala",1,"Villa Canales",16,486,400,32,53,7,5,7,84,0,21,1,0,3,6,1,1,5,2,0,5,0,1,0,2,1,237,23,1,261,0,261,--,139,--,237,261,261,Algún campo sin dato,1,c5a921349b2f003c4e509db3e41c09e21c34d7b7e1441a2f79f054db1e7f945b,26/06/2023 01:51:38,ESCANER
4919,"Guatemala",1,"Villa Canales",16,486,400,18,46,8,7,1,89,2,12,0,0,1,4,0,0,3,5,0,10,1,2,0,0,0,209,13,3,225,0,225,--,388,163,209,225,225,Algún campo sin dato,1,817dbe61838a4be88b0120802a0b7ca03a46d60ab0d3bea7bde0b78066e62559,26/06/2023 01:19:20,ESCANER
4920,"Guatemala",1,"Villa Canales",16,486,400,36,40,5,5,2,85,0,8,0,2,0,1,0,0,3,0,0,4,0,1,2,2,1,197,16,7,220,0,220,--,400,180,197,220,220,Algún campo sin dato,1,5db0d576c979b04fe52461fe1fb04eabd846c146e0d944476e76d505c9f34ee2,26/06/2023 00:28:10,ESCANER
4921,"Guatemala",1,"Villa Canales",16,486,400,34,35,4,1,4,69,2,20,0,0,1,0,2,0,2,2,0,8,2,4,0,0,2,192,10,1,203,0,203,--,400,197,192,203,203,Algún campo sin dato,1,544d21695c778db493ee427d7b969cda71820ffbec8fa2ff34b38a8c2a74c6fb,26/06/2023 00:06:38,ESCANER
4922,"Guatemala",1,"Villa Canales",16,486,249,14,39,2,6,1,31,1,15,0,1,0,2,0,0,4,3,0,4,0,0,1,0,1,125,2,0,127,0,127,--,249,122,125,127,127,Algún campo sin dato,1,911a2764e501682ce9238d8554ffe657d342529a82d363baa13409c2b217fad0,25/06/2023 22:11:54,ESCANER
4923,"Guatemala",1,"Villa Canales",16,486,248,21,20,4,5,3,39,2,8,0,1,0,0,1,0,2,0,0,8,1,0,2,0,0,117,2,2,121,0,121,--,248,127,117,121,121,Algún campo sin dato,1,8670cd6c19088fb307d5cc95c7e69b10ea44981b1ce49f4dd66cd1e6ef0a3e85,25/06/2023 22:27:48,ESCANER
4924,"Guatemala",1,"Villa Canales",16,487,400,8,69,13,9,2,68,2,15,0,1,3,3,1,0,12,8,2,7,0,4,5,1,0,233,14,3,250,0,250,--,388,138,233,250,250,Algún campo sin dato,1,e7fc1a580558386fa11625379a0dceca6bcbd79f990cd9c8dffb234d5a5e09cf,26/06/2023 01:41:59,ESCANER
4925,"Guatemala",1,"Villa Canales",16,487,256,7,39,8,4,2,38,1,14,0,0,2,2,0,0,2,10,0,8,1,2,2,0,2,144,9,1,154,102,256,--,256,102,144,154,256,Algún campo sin dato,1,c51f1402c1843065566164f0265601a126b74c87a44392950956402d36e31a0c,25/06/2023 23:05:47,ESCANER
4926,"Guatemala",1,"Villa Canales",16,487,255,5,37,2,6,6,30,3,5,0,0,1,0,0,0,4,11,0,9,1,0,0,2,3,125,8,0,133,0,133,--,255,122,125,133,133,Algún campo sin dato,1,b30e6e6dd5613817278ecb2b02055bed112bc270c8c2dd0b8ac5247b815b9211,25/06/2023 23:30:22,ESCANER
4927,"Guatemala",1,"Villa Canales",16,488,400,4,34,6,5,9,123,7,12,1,1,6,0,0,1,9,2,1,11,4,2,4,0,4,246,13,5,264,0,264,--,400,136,246,264,264,Algún campo sin dato,1,c41b32fc5ffcedc169d7fab68b624b50c0be5b23d59e5241f89ae80fde8809fc,26/06/2023 02:33:11,ESCANER
4928,"Guatemala",1,"Villa Canales",16,488,400,3,47,2,2,12,99,7,11,2,2,8,3,0,0,6,1,0,6,3,0,6,1,2,223,18,2,243,2,245,--,372,127,223,243,245,Algún campo sin dato,1,660dc66818185c48da42cc287776ddf4f959406a1567a9ce5b1df01c98b87051,26/06/2023 02:26:20,ESCANER
4929,"Guatemala",1,"Villa Canales",16,488,400,6,42,0,1,9,106,6,6,0,0,8,6,1,1,6,1,1,11,4,2,9,0,2,228,19,0,247,0,247,--,400,153,228,247,247,Algún campo sin dato,1,c597a99ce998b8d6249d3489ba72100e97d9de861aaa4b08b43cf76988785c40,26/06/2023 03:02:56,ESCANER
4930,"Guatemala",1,"Villa Canales",16,488,400,5,36,1,1,7,109,7,9,0,2,6,6,1,0,7,0,0,7,4,1,5,0,0,214,9,2,225,0,225,--,400,175,214,225,225,Algún campo sin dato,1,174e784687fbd042b010f9dbb197c78e34e84ba6d954ecea7370f73e6a7d2611,26/06/2023 01:00:34,ESCANER
4931,"Guatemala",1,"Villa Canales",16,488,400,5,34,4,2,10,98,8,11,0,7,4,8,0,1,5,2,0,13,3,2,8,0,1,226,17,3,246,0,246,--,400,154,226,246,246,Algún campo sin dato,1,7d1c1d1590740b0e45432260daba02a159de6e92ffcde38e5de68ec1d32dfafb,26/06/2023 01:18:56,ESCANER
4932,"Guatemala",1,"Villa Canales",16,488,400,2,43,1,2,5,109,7,9,0,1,5,3,0,0,19,0,0,12,2,2,5,0,1,230,23,3,256,0,256,--,400,144,228,254,254,Sumas Asentadas sin cuadrar,1,fd0634da4701d1b2461b20f1d5d3906713fb8e6c4d23b27a5ab58c2bf299a0c0,26/06/2023 04:38:31,ESCANER
4933,"Guatemala",1,"Villa Canales",16,488,400,7,31,2,0,6,142,4,12,0,2,3,2,0,0,3,2,0,3,3,2,8,0,0,232,6,4,242,12,254,--,400,140,232,242,254,Algún campo sin dato,1,1a1974683a165ed8b103ee7b8f029717b92cec64d3fa689936be65252e4cdfbd,26/06/2023 02:44:04,ESCANER
4934,"Guatemala",1,"Villa Canales",16,488,400,3,34,1,4,11,125,2,8,0,0,8,0,0,0,2,2,0,8,2,2,2,0,0,214,8,4,226,0,226,--,389,163,214,226,226,Algún campo sin dato,1,e460a742412048afeff770cc6d49bfa4b8be40b4bc10fb3f5800ff77441ad392,26/06/2023 01:30:48,ESCANER
4935,"Guatemala",1,"Villa Canales",16,488,369,3,44,2,1,16,78,6,8,0,1,5,3,0,0,5,0,0,18,0,3,1,0,4,198,9,0,207,0,207,--,370,163,198,207,207,Algún campo sin dato,1,2471bd39e76a4633eb88731986d2eea8cade254eba4c5777c077f8f7c45bc0d4,26/06/2023 01:10:49,ESCANER
4936,"Guatemala",1,"Villa Canales",16,488,369,3,29,0,0,14,83,5,14,0,0,3,1,2,0,3,0,0,13,2,1,4,0,2,179,5,2,186,0,186,--,361,183,179,186,186,Algún campo sin dato,1,f59c89bb8b50c8dc65e894f868bfd8d733899301bdfab3da43bd19aad9ac5aab,26/06/2023 02:18:42,ESCANER
4937,"Guatemala",1,"Villa Canales",16,489,400,39,65,7,0,12,47,6,6,0,2,3,4,0,0,1,4,1,9,0,1,14,2,0,223,18,6,247,0,247,--,400,153,223,247,247,Algún campo sin dato,1,757a649c9469f3350fe5d5c8d09166339598a38ba123e89184f4a50b4ffe39c0,26/06/2023 00:02:53,ESCANER
4938,"Guatemala",1,"Villa Canales",16,489,400,41,56,12,4,8,53,5,11,1,2,4,7,1,1,1,6,1,12,3,1,15,2,1,248,19,2,269,0,269,--,397,128,248,269,269,Algún campo sin dato,1,fbab45bd6f74b75ddf788ddbf0b012fe88a5ae766e96bfa7b3246217c69d79b5,26/06/2023 01:13:41,ESCANER
4939,"Guatemala",1,"Villa Canales",16,489,400,36,72,3,4,7,35,1,13,0,2,4,1,0,0,3,4,0,6,4,1,22,1,1,220,25,4,249,1,250,1,403,153,220,249,250,,1,852a17bde0decca8acaea5e4018f1c1a1659a8ea58c5c797d9ad8b36a4bbc73e,25/06/2023 23:09:51,ESCANER
4940,"Guatemala",1,"Villa Canales",16,489,400,32,50,4,2,0,36,2,11,0,1,2,6,1,2,2,0,0,5,3,26,1,1,1,188,70,10,268,0,268,--,379,111,188,268,268,Algún campo sin dato,1,d6c0cd1a500eb162a02a81b9a3e769cbb8e113b02580189fcbf61a9953f6bed5,26/06/2023 02:12:31,ESCANER
4941,"Guatemala",1,"Villa Canales",16,489,400,31,57,6,4,4,44,3,11,1,5,4,3,0,2,1,5,0,7,2,0,15,1,1,207,26,2,235,0,235,--,400,165,207,235,235,Algún campo sin dato,1,d8130928dc186cd05b781dfb88eb8560672046ac694922dcb0720e8c3055d042,26/06/2023 00:27:10,ESCANER
4942,"Guatemala",1,"Villa Canales",16,489,400,31,64,6,5,4,40,3,5,0,0,3,2,1,1,1,5,0,8,2,4,16,0,0,201,16,2,219,0,219,--,388,169,201,219,219,Algún campo sin dato,1,8ba1be0002cc0dbd7f818f9d11eaefdfc4e70decce6b6ccc4b78560d03571490,25/06/2023 23:13:21,ESCANER
4943,"Guatemala",1,"Villa Canales",16,489,400,22,71,6,8,7,38,3,11,0,3,1,5,1,1,4,3,1,1,6,2,14,3,0,211,16,5,232,0,232,--,400,168,211,232,232,Algún campo sin dato,1,9c496371436ad98974eaef4c2df970d431fc3fcc3dbdd8ab44d9bb6253f12022,25/06/2023 23:25:46,ESCANER
4944,"Guatemala",1,"Villa Canales",16,489,400,28,72,7,2,9,40,2,10,0,6,1,4,1,0,7,6,1,7,4,1,13,2,0,223,13,1,237,0,237,--,392,155,223,237,237,Algún campo sin dato,1,30cfa0c450a5319825f2a4b88cc42e9a5d066f576f80ef7ce299fc9e8b8a0802,26/06/2023 00:18:00,ESCANER
4945,"Guatemala",1,"Villa Canales",16,489,400,24,65,10,4,10,45,3,12,0,0,1,8,0,1,5,4,0,10,1,2,31,0,1,237,22,3,262,0,262,--,400,138,237,262,262,Algún campo sin dato,1,2ad0faf76f6da4890e3eb41353938b1de1b53c68d05ebfa9f2e935de550ac075,25/06/2023 23:50:59,ESCANER
4946,"Guatemala",1,"Villa Canales",16,489,400,38,58,4,2,6,44,4,8,0,1,3,3,1,1,5,6,0,1,3,2,14,3,3,210,6,4,220,9,229,--,392,163,210,220,229,Algún campo sin dato,1,9118f81281909e50d66643098c5e1e97ae98fd94de4c343dcd2fd5666b1d1f46,26/06/2023 01:01:22,ESCANER
4947,"Guatemala",1,"Villa Canales",16,490,400,15,59,3,1,9,50,3,6,1,1,2,4,1,2,1,5,0,4,0,1,11,2,1,182,18,6,206,0,206,1,396,190,182,206,206,,1,e09143cd4d15d6e7dfceff7e1549724a005a4fb15dee5881ec586c034aa6794a,26/06/2023 01:19:06,ESCANER
4948,"Guatemala",1,"Villa Canales",16,490,400,33,54,4,3,8,47,4,7,1,1,2,3,2,1,3,8,1,8,1,1,14,2,0,208,13,5,226,0,226,--,392,166,208,226,226,Algún campo sin dato,1,0b08229da43aa6a9c1d0fe57e3c41d5b7f1e04b6458e06efc250b23d8475f61d,26/06/2023 01:41:19,ESCANER
4949,"Guatemala",1,"Villa Canales",16,490,400,24,78,4,4,9,51,1,6,0,3,2,2,0,0,5,2,0,12,1,2,9,0,4,219,9,2,230,0,230,--,378,148,219,230,230,Algún campo sin dato,1,4d6399b61fc5bcabedcbe6cf348d69c70de617cf91d0d51a1927df39a1f3cd2e,26/06/2023 01:01:42,ESCANER
4950,"Guatemala",1,"Villa Canales",16,490,400,21,79,8,2,14,39,2,3,0,0,0,7,0,0,3,7,0,16,5,0,16,0,1,223,6,1,230,0,230,--,388,158,223,230,230,Algún campo sin dato,1,de09077ce987fb92fb66b5e99399019f2a23a84650499ab696c9e40cd0421191,26/06/2023 00:33:32,ESCANER
4951,"Guatemala",1,"Villa Canales",16,490,211,18,28,2,2,2,21,0,3,0,2,1,2,0,0,1,2,0,3,3,0,11,0,0,101,1,0,102,0,102,--,210,108,101,102,102,Algún campo sin dato,1,f222dc06dbf608a03932e32e88c060b50e2acc12a8ecb2fe6eae0a9b66443d3a,26/06/2023 01:26:07,ESCANER
4952,"Guatemala",1,"Villa Canales",16,490,211,10,20,1,0,2,18,1,4,0,1,0,3,0,0,5,4,0,6,1,0,2,0,2,80,4,1,85,0,85,1,211,125,80,85,85,,1,ddb277aeef25a38c9036a333b2d5f24828901bc1f89123cab538e6504d371bbc,25/06/2023 22:08:01,ESCANER
4953,"Guatemala",1,"Villa Canales",16,491,400,29,82,9,6,17,69,2,11,1,0,4,8,0,0,4,4,0,7,2,2,5,1,1,264,19,2,285,0,285,--,388,103,264,285,285,Algún campo sin dato,1,5cffe06c070ef99c52cbdcd956aaa7bcf6d8274302cf58e733ea750724193b50,26/06/2023 02:33:58,ESCANER
4954,"Guatemala",1,"Villa Canales",16,491,400,40,66,19,5,13,62,1,18,2,2,4,11,2,0,4,2,0,6,4,2,12,4,1,280,17,0,297,0,297,--,400,103,280,297,297,Algún campo sin dato,1,aaaf5e45449af85acf87bd9349bf71f5cb6a10d26a4df24f08c514c99454d91c,26/06/2023 02:35:30,ESCANER
4955,"Guatemala",1,"Villa Canales",16,491,400,24,66,10,3,19,69,3,8,2,1,4,7,0,0,3,5,2,2,3,1,6,1,3,242,18,2,262,0,262,0,400,138,242,262,262,,1,76ec754575fcbcc09e85bc5fb4c9b240a10210cb5e8d1889617b3203782224fc,26/06/2023 02:03:47,ESCANER
4956,"Guatemala",1,"Villa Canales",16,491,400,21,62,13,2,10,66,3,16,1,0,1,4,1,0,4,0,0,4,3,5,8,1,1,226,17,3,246,0,246,--,400,154,226,246,246,Algún campo sin dato,1,4f0e622dcb0687d95081ad06480805596a81cd730a249cffda1d82da6d89e01d,26/06/2023 02:41:11,ESCANER
4957,"Guatemala",1,"Villa Canales",16,492,400,27,56,16,4,17,68,1,13,0,0,3,5,1,0,2,2,0,8,0,0,5,0,1,229,25,4,258,0,258,--,400,142,229,258,258,Algún campo sin dato,1,953c7a9ab92be5c14e859c2da0a3436add04c7a6e2d320f2fbb17c9396f3f1f5,25/06/2023 23:31:18,ESCANER
4958,"Guatemala",1,"Villa Canales",16,492,400,35,62,8,2,3,70,1,14,0,1,2,11,1,1,6,0,0,8,3,1,6,2,0,237,18,0,255,0,255,--,392,137,237,255,255,Algún campo sin dato,1,ba2f0ffa9c8c7d1c68cad9893c17bcd5d0bead228136f0b82d112cb39a02f420,26/06/2023 01:23:43,ESCANER
