TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
39,39,100.0000,39,100.0000,0,14430,10281,71.2474

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VALOR,VAMOS,CAMBIO,UNE,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
24030,"Jutiapa",22,"Atescatempa",7,3766,380,97,48,82,30,5,1,263,14,2,279,0,279,--,380,101,263,279,279,Algún campo sin dato,1,f4441439bebeb8e044650020dc85d8d141079d28da40c156f7be7ba2f6d59bc4,26/06/2023 02:11:24,ESCANER
24031,"Jutiapa",22,"Atescatempa",7,3766,380,112,45,83,16,1,0,257,18,4,279,1,280,--,380,100,257,279,280,Algún campo sin dato,1,22ad57c45fd19d938fd52309c441336613b154f20f3314f2e197a8ba25221fb8,26/06/2023 03:02:31,ESCANER
24032,"Jutiapa",22,"Atescatempa",7,3766,333,93,45,85,22,1,0,246,4,2,252,0,252,--,333,81,246,252,252,Algún campo sin dato,1,bd92c696f268947e17ac2563c670296957dc874243453313f2cead9421dded76,26/06/2023 03:17:49,ESCANER
24033,"Jutiapa",22,"Atescatempa",7,3766,333,90,51,71,7,1,0,220,6,0,226,0,226,--,330,104,220,226,226,Algún campo sin dato,1,637db0e07a207a2941d6433bd62c7ad00e3584d9ff194ec0f7eab6d5ecd6cc75,26/06/2023 01:37:26,ESCANER
24034,"Jutiapa",22,"Atescatempa",7,3767,380,108,53,91,7,2,1,262,19,2,283,0,283,--,380,97,262,283,283,Algún campo sin dato,1,01513969a78ff149524ec678852e6b2c69e482a6f75d82f88acec05d14e2ee7f,26/06/2023 05:05:06,ESCANER
24035,"Jutiapa",22,"Atescatempa",7,3767,380,120,50,96,3,1,0,270,22,2,294,0,294,--,380,86,270,294,294,Algún campo sin dato,1,d56c883c8f1e547128c2c3365b9893753510be11386455b1274cecc0b6d52f82,26/06/2023 01:41:06,ESCANER
24036,"Jutiapa",22,"Atescatempa",7,3767,380,113,61,98,14,4,1,291,16,5,312,0,312,--,380,68,291,312,312,Algún campo sin dato,1,d9cb0d9be96fe8cc5ff9e1a4009709c295b0614eb8bf5114877d8c916253b255,26/06/2023 01:56:32,ESCANER
24037,"Jutiapa",22,"Atescatempa",7,3767,380,127,49,85,12,1,0,274,9,0,283,0,283,--,380,97,274,283,283,Algún campo sin dato,1,854fe2222a7fbc1b8fd2205b741a37958d427c8fd3dc90ea02e05d66a2b40f1b,26/06/2023 03:44:23,ESCANER
24038,"Jutiapa",22,"Atescatempa",7,3767,380,105,53,81,6,2,0,247,8,4,259,0,259,--,380,121,247,259,259,Algún campo sin dato,1,dcf4834c1db0d81435cf0b0755d891a1c1ed440764990e663cfa07363d8860d2,26/06/2023 02:53:48,ESCANER
24039,"Jutiapa",22,"Atescatempa",7,3767,380,105,57,78,6,3,1,250,15,2,267,0,267,--,380,113,250,267,267,Algún campo sin dato,1,47d5b513da673954daa0cecf4831262b3e1932ba77414675e8945aea4d24fe7a,26/06/2023 01:45:59,ESCANER
24040,"Jutiapa",22,"Atescatempa",7,3767,380,116,50,81,8,3,0,258,9,0,267,0,267,--,380,113,258,267,267,Algún campo sin dato,1,d327a56c70a384b459c9a594f7dfee07bcfd3351b94fb7ddffe2da0eb83ec847,26/06/2023 00:07:30,ESCANER
24041,"Jutiapa",22,"Atescatempa",7,3767,353,126,65,82,5,0,0,278,2,2,282,0,282,--,353,71,278,282,282,Algún campo sin dato,1,2df65f060ebf3d184dbcc3146f10c1e4c2afd7cae7599e782dfe19873b778183,26/06/2023 03:50:59,ESCANER
24042,"Jutiapa",22,"Atescatempa",7,3767,352,111,50,55,11,0,0,227,5,5,237,0,237,--,352,115,227,237,237,Algún campo sin dato,1,ef7796886d44edb45a6447b10e19d5a5b01be2b66108cb22d8bf1fc679a6d345,26/06/2023 03:16:56,ESCANER
24043,"Jutiapa",22,"Atescatempa",7,3768,380,78,50,123,4,3,1,259,16,5,280,0,280,--,377,97,259,280,280,Algún campo sin dato,1,b5cec49a001f77f9232e9796f1cfc920235eb7f968e699b693232f661e381929,26/06/2023 03:35:29,ESCANER
24044,"Jutiapa",22,"Atescatempa",7,3768,380,65,58,125,10,7,0,265,17,4,286,0,286,--,380,94,265,286,286,Algún campo sin dato,1,1b155b54389ee12df1c7cd87cfdfc362dcdda237c19c7397fa364ef5347bd94d,26/06/2023 01:00:15,ESCANER
24045,"Jutiapa",22,"Atescatempa",7,3768,380,76,52,92,4,3,0,227,5,7,239,0,239,--,377,138,227,239,239,Algún campo sin dato,1,076829c71ef6d190054fff4ea245fceb0537a3cb631e1642e416b884862bc434,26/06/2023 02:01:57,ESCANER
24046,"Jutiapa",22,"Atescatempa",7,3768,311,52,35,113,4,1,0,205,5,4,214,0,214,--,308,94,205,214,214,Algún campo sin dato,1,fea3da2846fb04674cf236aec53660c0bfa3226191bff388e052ef55ddfff46d,26/06/2023 01:57:43,ESCANER
24047,"Jutiapa",22,"Atescatempa",7,3768,311,52,49,91,3,0,0,195,6,1,202,0,--,--,311,106,195,202,202,Algún campo sin dato,1,ed3d299928b13df7db6d8527965ffae6e3c0ca437fae3d55567b46496f8cc392,26/06/2023 02:14:18,ESCANER
24048,"Jutiapa",22,"Atescatempa",7,3769,381,20,20,22,18,0,0,80,9,0,89,0,89,--,381,292,80,89,89,Algún campo sin dato,1,0a340fdaea4029ab9d912646f8d6e1e205e826f1bab657e13e4bfab44b210443,25/06/2023 22:35:24,ESCANER
24049,"Jutiapa",22,"Atescatempa",7,3769,380,12,6,11,7,0,0,36,2,0,38,0,38,--,380,342,36,38,38,Algún campo sin dato,1,0817328afc5222a0325a69b2350d1df46cf0a8507d92b3ab6b64353e75575055,25/06/2023 23:36:39,ESCANER
