TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
100,100,100.0000,99,99.0000,1,38719,26828,69.2889

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,MLP,VOS,TODOS,VICTORIA,UNE,FUTURO,SEMILLA,AZUL,WINAQ,CAMBIO,MI FAMILIA,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5409,"Sacatepéquez",2,"Antigua Guatemala",1,539,232,0,6,0,62,42,0,0,28,2,3,0,0,7,0,150,5,0,155,0,155,--,232,77,150,155,155,Algún campo sin dato,1,84f31e9df637a40e5c2a38e9819dc08d794d1dd4291f0e50d88be103ea709803,25/06/2023 21:51:00,ESCANER
5410,"Sacatepéquez",2,"Antigua Guatemala",1,540,380,26,21,6,62,53,0,3,54,12,6,9,0,23,1,276,11,0,287,93,380,--,380,93,276,287,380,Algún campo sin dato,1,5b19ae9580f51217f6ac76650c148ad9b09891e7f1e1144e6ff2db4200c838cf,26/06/2023 00:34:21,ESCANER
5411,"Sacatepéquez",2,"Antigua Guatemala",1,540,380,26,24,5,48,37,1,4,62,8,4,8,1,37,2,267,7,1,275,0,275,--,380,105,267,275,275,Algún campo sin dato,1,7ffbe82cd39dcc8b01fefa6dd4b593fdc2da8baf9557000d78044882498e35fe,26/06/2023 00:19:26,ESCANER
5412,"Sacatepéquez",2,"Antigua Guatemala",1,540,380,18,14,8,49,49,3,3,59,11,3,10,0,37,0,264,10,1,275,0,275,--,380,105,264,275,275,Algún campo sin dato,1,e43c4721009e705aabcaa5b642f049c602fe62ccef87e0a8ecf5a8d46575bb21,25/06/2023 23:45:53,ESCANER
5413,"Sacatepéquez",2,"Antigua Guatemala",1,540,380,23,22,6,42,56,1,0,55,11,5,3,1,21,0,246,11,0,257,0,257,--,380,123,246,257,257,Algún campo sin dato,1,1957e0b6bfc24866683bf0f13ded04a819f6d5f4e337ceb85f759e607ce4b8a3,25/06/2023 23:58:56,ESCANER
5414,"Sacatepéquez",2,"Antigua Guatemala",1,541,380,17,10,14,37,44,3,2,69,14,3,10,0,32,6,261,15,2,278,--,278,--,380,102,261,278,278,Algún campo sin dato,1,51659f6c6054056883c0545441d7d855f9b941de8dcd6be8acfa3f83dd03d523,25/06/2023 23:19:26,ESCANER
5415,"Sacatepéquez",2,"Antigua Guatemala",1,541,380,21,14,6,52,37,1,0,52,8,6,3,0,28,1,229,7,2,238,3,241,--,380,139,229,238,241,Algún campo sin dato,1,55ef7878d4cd1762aa9072d4eda6c3b1b3940190b9271c63ffd247b4b29e8a30,25/06/2023 23:51:04,ESCANER
5416,"Sacatepéquez",2,"Antigua Guatemala",1,541,380,26,16,5,50,36,2,2,53,8,1,3,1,27,1,231,14,3,248,0,248,--,380,132,231,248,248,Algún campo sin dato,1,96bf981d81d3002add997a726dc55a1462e5777e91d0c6e46cac65542f2d90aa,25/06/2023 23:57:00,ESCANER
5417,"Sacatepéquez",2,"Antigua Guatemala",1,541,345,15,8,7,38,47,1,1,60,17,2,6,1,21,1,225,7,--,--,1,233,1,338,105,225,232,233,Algún campo sin dato,1,0bb5ea9c6cb60abe63d39c52e072d427e2906d8860ee23f6eb2bfbf8763ae6cd,26/06/2023 02:26:57,ESCANER
5418,"Sacatepéquez",2,"Antigua Guatemala",1,541,344,15,9,5,35,36,1,3,67,16,3,2,0,15,0,207,0,0,207,0,207,--,344,137,207,207,207,Algún campo sin dato,1,d36b0ee2d0365530dadbef6acaaacca6586264bdf36bf4104393c779781843b8,25/06/2023 23:39:46,ESCANER
5419,"Sacatepéquez",2,"Antigua Guatemala",1,542,380,18,16,7,42,52,16,1,60,12,6,7,1,14,2,254,22,0,276,0,276,--,380,104,254,276,276,Algún campo sin dato,1,3cc9aa77c9ef0b17554b1ec6be4267887737069508a5164f81eb456566893277,25/06/2023 23:59:23,ESCANER
5420,"Sacatepéquez",2,"Antigua Guatemala",1,542,380,19,12,13,57,51,13,0,70,12,3,4,1,16,2,273,17,0,290,0,290,--,380,90,273,290,290,Algún campo sin dato,1,dd702786a06c165b8031f758017b687465057ee5bab358ec815165c4e6d0dc88,25/06/2023 23:03:03,ESCANER
5421,"Sacatepéquez",2,"Antigua Guatemala",1,542,380,24,19,14,68,40,9,1,72,10,7,1,1,8,5,279,12,1,292,0,292,--,380,88,279,292,292,Algún campo sin dato,1,370e2308a028d140901270c69470f0364ddaa04d6add6d11f5ff1cf6e347e5ee,26/06/2023 00:10:20,ESCANER
5422,"Sacatepéquez",2,"Antigua Guatemala",1,542,380,12,10,13,45,54,12,0,80,12,3,0,0,5,5,251,7,2,260,0,260,--,--,--,251,260,260,Algún campo sin dato,1,622dbca322f0c13fc706545bad85ce702caa1e55adcb93252115f5e183999b2c,25/06/2023 22:25:38,ESCANER
5423,"Sacatepéquez",2,"Antigua Guatemala",1,542,380,17,13,8,54,44,9,5,69,17,6,4,1,11,1,259,12,2,273,0,273,--,380,107,259,273,273,Algún campo sin dato,1,ee1255fdbee1b72188e2f38b8b0e36224c269c62a52d1bba1a963720057f49c3,25/06/2023 23:37:30,ESCANER
5424,"Sacatepéquez",2,"Antigua Guatemala",1,542,380,17,9,6,46,58,14,3,72,15,2,1,4,4,4,255,12,1,268,0,268,1,380,112,255,268,268,,1,1a3497e3520726efc53a96d6de5e8866404bfef16a2d6fbd71f683f8f40959f2,26/06/2023 00:02:34,ESCANER
5425,"Sacatepéquez",2,"Antigua Guatemala",1,543,380,16,13,9,53,60,7,5,75,13,1,1,2,9,0,264,15,3,282,0,282,1,380,98,264,282,282,,1,4701a71340df2e248a491550cd0d982bd73e0bf6e9ef78e1e56dd1c318b23149,25/06/2023 22:53:25,ESCANER
5426,"Sacatepéquez",2,"Antigua Guatemala",1,543,380,24,10,13,55,39,14,8,65,6,2,2,1,6,5,250,14,0,264,0,264,--,380,116,250,264,264,Algún campo sin dato,1,45f2ade1a4dd681e8627ae42eb64ae2803a015c552e2abc7b1b8282b2968f7a8,25/06/2023 22:46:07,ESCANER
5427,"Sacatepéquez",2,"Antigua Guatemala",1,543,380,13,23,7,51,46,11,3,53,15,2,0,3,11,6,244,6,0,250,0,250,--,380,130,244,250,250,Algún campo sin dato,1,70e86da17440bdbab4cc44cc3402c771fd6fc21e6634d22e19283964e41e71ee,25/06/2023 23:40:17,ESCANER
5428,"Sacatepéquez",2,"Antigua Guatemala",1,543,380,20,10,5,40,34,7,2,89,24,1,5,0,3,5,243,4,3,0,0,250,--,376,127,245,252,252,Sumas Asentadas sin cuadrar,1,d15abcbb6038ca16715378222068b76d621e667e655942fc5f18a7ed072b32fb,25/06/2023 23:21:36,ESCANER
5429,"Sacatepéquez",2,"Antigua Guatemala",1,543,356,15,12,6,38,51,3,4,74,32,0,1,3,8,4,251,6,0,257,0,257,--,356,99,251,257,257,Algún campo sin dato,1,7838fce247fde485f4ec643405d78d400ce83306acde0e6eea013b26df352477,25/06/2023 23:12:45,ESCANER
5430,"Sacatepéquez",2,"Antigua Guatemala",1,543,356,8,9,6,34,36,2,0,82,14,2,1,0,6,1,201,7,0,208,0,208,--,356,148,201,208,208,Algún campo sin dato,1,7d365862b6f6ecd87cb2e341de861fb9cc3cfe06e0542b84e46b67708140d15f,25/06/2023 23:54:05,ESCANER
5431,"Sacatepéquez",2,"Antigua Guatemala",1,544,600,17,16,6,61,54,5,3,59,20,2,8,0,9,3,263,10,2,275,0,275,--,616,341,263,275,275,Algún campo sin dato,1,07f1676182fd2d766f617f439621ea212c2a74d2a98c9f3f7d7233783ab40194,25/06/2023 23:56:14,ESCANER
5432,"Sacatepéquez",2,"Antigua Guatemala",1,544,600,26,13,12,52,44,4,8,68,20,5,9,0,11,0,272,14,2,288,0,288,--,598,310,272,288,288,Algún campo sin dato,1,a641ad7fc350e5183f372c49272d491e764d6e93f4b20e4af8d3a969ecd2526b,25/06/2023 23:13:27,ESCANER
5433,"Sacatepéquez",2,"Antigua Guatemala",1,544,600,18,8,15,60,61,2,3,73,27,4,9,2,8,5,295,16,2,313,0,313,--,608,295,295,313,313,Algún campo sin dato,1,d6fa99b86d3dc56152863822ae3308130318e6db9d4e66d4acce3b5af571459b,26/06/2023 02:17:21,ESCANER
5434,"Sacatepéquez",2,"Antigua Guatemala",1,545,600,29,11,10,62,67,2,3,57,18,11,2,0,15,1,288,18,3,309,0,309,--,600,291,288,309,309,Algún campo sin dato,1,d220e78f1e754e97ffb10d6c716dfdc1f3fa0da35850e2aa000488f814461434,26/06/2023 01:19:01,ESCANER
5435,"Sacatepéquez",2,"Antigua Guatemala",1,545,585,15,10,9,52,48,4,4,62,28,7,1,0,13,2,255,10,2,267,0,267,--,584,317,255,267,267,Algún campo sin dato,1,9e81272148c0dbfda0c5df021e620e9fead6610a24b7a26889a49d3b09ae448b,26/06/2023 01:28:16,ESCANER
5436,"Sacatepéquez",2,"Antigua Guatemala",1,545,585,13,7,5,17,26,0,2,16,8,0,3,0,7,0,104,9,1,114,0,114,--,592,478,104,114,114,Algún campo sin dato,1,779d1482e556fe0d0a34f96c7522d9ae9a4e842e1e0113c30fdd9191484d0f08,25/06/2023 23:31:30,ESCANER
