TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,36444,23519,64.5346

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,ELEFANTE,PHG,PODEMOS,VAMOS,CABAL,PPN,WINAQ,VALOR,MLP,AZUL,CAMBIO,UR,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19221,"Alta Verapaz",16,"Panzós",7,2950,400,46,19,146,0,8,1,0,0,0,0,0,0,0,1,221,13,3,237,1,238,--,399,161,221,237,238,Algún campo sin dato,1,ad8a6bcbf93a11d86b6b15814ea362e752ab515daac192d679870727950df4ab,26/06/2023 03:49:04,ESCANER
19222,"Alta Verapaz",16,"Panzós",7,2950,400,45,24,121,0,15,0,0,0,0,0,0,0,0,1,206,7,4,217,--,--,--,400,183,206,217,217,Algún campo sin dato,1,d89edde9221da200241e581db5b571d21de9f2244f85acaf0a15a165488eaa07,26/06/2023 03:30:18,ESCANER
19223,"Alta Verapaz",16,"Panzós",7,2950,374,50,21,120,0,6,0,0,0,0,0,0,0,1,1,199,13,2,214,0,214,--,374,160,199,214,214,Algún campo sin dato,1,55cc25b26ca7afb759fd5345ebef1e1b6247fe73516689f0915c286eb799c40b,26/06/2023 02:36:07,ESCANER
19224,"Alta Verapaz",16,"Panzós",7,2950,373,43,18,121,0,7,0,0,0,1,0,0,0,0,1,191,13,5,209,0,209,--,373,164,191,209,209,Algún campo sin dato,1,984059b9797518b3f1fbd3e8fedf84a2865d68fdf31dda9602024a33e14432dd,26/06/2023 03:33:11,ESCANER
19225,"Alta Verapaz",16,"Panzós",7,2951,380,179,20,74,0,7,1,0,1,0,1,0,0,0,0,283,13,1,297,0,297,--,--,--,283,297,297,Algún campo sin dato,1,90d66502a728869cba497d560f3fec3ae9f2f8ddf76f6c5f9cda661fedad11a3,26/06/2023 04:04:27,ESCANER
19226,"Alta Verapaz",16,"Panzós",7,2951,380,215,9,76,1,2,0,1,0,0,0,0,0,0,0,304,12,1,317,0,317,--,380,63,304,317,317,Algún campo sin dato,1,cf3782b665b4cb57eacb33d59c528507c97b76fd324c27a5c20014c2001318a1,26/06/2023 02:44:20,ESCANER
19227,"Alta Verapaz",16,"Panzós",7,2951,380,216,12,48,0,3,2,0,1,1,0,0,0,2,0,285,16,2,303,1,304,--,377,73,285,303,304,Algún campo sin dato,1,54a4b0d5ea302b0075928d6f42eac8439b7213746bc2b4eaf711196bc97538bf,26/06/2023 02:25:29,ESCANER
19228,"Alta Verapaz",16,"Panzós",7,2951,380,197,19,51,1,3,0,0,0,0,1,0,0,0,0,272,6,2,280,0,280,--,380,100,272,280,280,Algún campo sin dato,1,02a59cbc12fafb76da6a1fa416f283f075f0f847f6dbd2436232dea9a06a61c7,26/06/2023 01:59:12,ESCANER
19229,"Alta Verapaz",16,"Panzós",7,2951,380,177,6,61,0,2,0,1,2,0,0,0,0,0,0,251,17,2,270,0,270,--,380,110,249,268,268,Sumas Asentadas sin cuadrar,1,1f128e24e755133a5451d0fcecf851fbdbc0da85944a3a1ac79a92d7ab5bf6e4,26/06/2023 00:19:40,ESCANER
19230,"Alta Verapaz",16,"Panzós",7,2951,380,196,12,60,0,5,0,1,2,0,1,0,0,0,0,277,9,2,288,0,288,--,380,92,277,288,288,Algún campo sin dato,1,83ef76a8e51becd53c9e052e2c76d9045b1575fcc61fe6bbb7011a5a3cba1145,26/06/2023 01:35:35,ESCANER
19231,"Alta Verapaz",16,"Panzós",7,2951,380,195,15,54,0,12,0,1,1,0,0,1,0,1,0,280,20,1,301,0,301,--,380,79,280,301,301,Algún campo sin dato,1,88111dc9b966adeaaf406126b654724672a7500ed5e9bc3887830faab64fd0e7,26/06/2023 00:34:10,ESCANER
19232,"Alta Verapaz",16,"Panzós",7,2951,380,188,12,43,0,6,0,0,0,0,0,0,0,0,0,249,14,4,267,0,267,--,380,113,249,267,267,Algún campo sin dato,1,17e78c998e990a224bea648c0649ce426ec5acba8d881e0aa310df0cf8e79a88,26/06/2023 00:47:59,ESCANER
19233,"Alta Verapaz",16,"Panzós",7,2951,380,225,11,34,0,3,0,0,0,0,0,0,0,0,0,273,7,0,280,0,280,--,380,100,273,280,280,Algún campo sin dato,1,354eacd663ab1164759302a527cdc4e743cba1d14e7ff917caa1091d8a29f2a5,26/06/2023 00:57:49,ESCANER
19234,"Alta Verapaz",16,"Panzós",7,2951,380,188,13,49,0,7,0,0,0,0,0,0,0,0,0,257,5,2,264,0,264,--,380,116,257,264,264,Algún campo sin dato,1,988353a832e4df2d77f4b4e019589f1f5e87694bc06cdb136fdb93a03f62cb80,25/06/2023 23:01:14,ESCANER
19235,"Alta Verapaz",16,"Panzós",7,2951,237,104,5,37,0,4,0,0,0,0,0,0,0,0,0,150,6,0,156,0,156,--,237,81,150,156,156,Algún campo sin dato,1,1d9975720fd74a4d76d297a8d3e668aa8959b13c6a49d3b8d5085acb845d8bcc,26/06/2023 01:48:37,ESCANER
19236,"Alta Verapaz",16,"Panzós",7,2951,237,98,5,24,0,5,0,0,1,0,0,0,0,0,0,133,7,5,145,0,145,--,237,92,133,145,145,Algún campo sin dato,1,04a77683d08b3c1bc89cff40394be425c939457254183a9097b53bce84947263,25/06/2023 22:45:15,ESCANER
19237,"Alta Verapaz",16,"Panzós",7,2952,380,86,38,51,1,62,2,1,1,2,3,1,1,0,1,250,30,3,283,0,283,--,--,--,250,283,283,Algún campo sin dato,1,8d69ca1217a60785a97376df2be1cf09c6ccb8c39410bf0f4fbc5df488a31eb4,26/06/2023 02:13:00,ESCANER
19238,"Alta Verapaz",16,"Panzós",7,2952,380,68,28,57,0,41,0,1,2,1,2,1,2,0,0,203,26,6,235,0,235,--,377,142,203,235,235,Algún campo sin dato,1,57ac86e76990f4b3ba0bab14be963397b737a978e6f8d245700fd0c092f5701f,26/06/2023 03:24:52,ESCANER
19239,"Alta Verapaz",16,"Panzós",7,2952,380,97,21,56,0,48,2,2,1,2,2,0,2,0,0,233,34,7,274,0,274,--,380,106,233,274,274,Algún campo sin dato,1,e1f784c961b31bffde84bb0ab201d68f2c319b4c36889ace6017687a75f9488d,26/06/2023 03:17:51,ESCANER
19240,"Alta Verapaz",16,"Panzós",7,2952,380,84,35,61,0,45,0,3,1,5,1,1,3,0,1,240,46,4,290,0,290,--,380,90,240,290,290,Algún campo sin dato,1,0f03f03d8f0fc4c6119b60fdc642851b4bb042c1ec7956f92c7fa9a301b39529,26/06/2023 01:35:36,ESCANER
19241,"Alta Verapaz",16,"Panzós",7,2952,380,66,27,58,0,59,0,1,0,7,3,1,0,0,0,222,31,2,255,0,255,--,381,126,222,255,255,Algún campo sin dato,1,4c33c4bfed942ad803e20d4bd65b3c0846c32da71ccb3242a58440dd3b5a4994,26/06/2023 00:52:11,ESCANER
19242,"Alta Verapaz",16,"Panzós",7,2952,380,70,20,71,0,52,0,3,0,2,2,0,1,0,0,221,19,1,241,0,241,--,376,135,221,241,241,Algún campo sin dato,1,a59a20e6df1451d86743cccaa2de40b1acc35c7064f2e0de92783c83380a7658,26/06/2023 03:41:12,ESCANER
19243,"Alta Verapaz",16,"Panzós",7,2952,380,53,33,48,1,38,1,1,1,2,2,0,2,1,0,183,36,5,224,0,183,--,380,156,183,224,224,Sumas Asentadas sin cuadrar,1,681078d9c3023807a7420d772f977b316788f5a959286f37a6cce2a35f60665a,26/06/2023 04:29:18,ESCANER
19244,"Alta Verapaz",16,"Panzós",7,2952,380,75,34,52,1,47,0,3,1,3,4,1,1,0,0,222,33,0,255,0,222,--,380,125,222,255,255,Sumas Asentadas sin cuadrar,1,419b072c9906f0a7410b2c486ab47cf46ae93ae9567336c38ae61f8a7c770011,26/06/2023 01:57:22,ESCANER
19245,"Alta Verapaz",16,"Panzós",7,2952,380,85,38,41,0,42,2,4,2,3,4,0,1,1,0,223,32,4,259,0,259,2,380,119,223,259,259,,1,afe21da2d2e53832a6cb96151ee91f853366ec086240b14b9593761bab747d65,26/06/2023 02:39:27,ESCANER
19246,"Alta Verapaz",16,"Panzós",7,2952,380,87,54,43,0,37,0,1,1,0,2,0,0,0,1,226,40,4,270,0,270,--,380,110,226,270,270,Algún campo sin dato,1,e11051db1dc4101a4a1169dde673e5f2838b71f6289d87f88fae6ffcb04fd3bd,26/06/2023 01:59:53,ESCANER
19247,"Alta Verapaz",16,"Panzós",7,2952,380,91,16,63,0,57,0,4,1,4,0,1,2,0,1,240,41,7,288,0,288,--,380,92,240,288,288,Algún campo sin dato,1,abe0327f69a3fc620b09b14f21153c0dbbfef9172ac82f91d5ef2d7322e8d56c,26/06/2023 01:11:29,ESCANER
19248,"Alta Verapaz",16,"Panzós",7,2952,380,60,33,62,0,55,0,5,4,6,1,0,0,0,0,226,32,3,261,0,261,--,380,119,226,261,261,Algún campo sin dato,1,ff4a5a01318d76585a42e00badf1974db9feb40441c73008edb8805aaeebe753,25/06/2023 23:48:25,ESCANER
19249,"Alta Verapaz",16,"Panzós",7,2952,380,71,32,38,0,55,3,4,1,2,4,2,2,0,0,214,7,3,224,24,248,--,380,132,214,224,248,Algún campo sin dato,1,90d405c76fba1ac2bc30bc44e632df415bdd81bf5d1e29d87c4961c6c0bdac95,26/06/2023 03:31:35,ESCANER
19250,"Alta Verapaz",16,"Panzós",7,2953,380,60,28,44,0,43,0,0,1,1,4,0,1,0,0,182,15,0,197,0,197,--,380,183,182,197,197,Algún campo sin dato,1,7ca3bf2f3e30842aae06129efb68bf51df55af791fe1713d6baaab8887bf0073,26/06/2023 03:21:36,ESCANER
19251,"Alta Verapaz",16,"Panzós",7,2953,380,73,39,48,0,47,1,1,3,4,2,1,0,0,0,219,22,1,242,0,242,--,380,138,219,242,242,Algún campo sin dato,1,084563b196c5559b689af8fc69a08d9872e4daa9b45fa21ec629f0ef1bf19194,26/06/2023 03:25:52,ESCANER
19252,"Alta Verapaz",16,"Panzós",7,2953,380,85,41,49,0,42,3,1,1,3,0,1,0,1,1,228,41,2,271,0,271,0,380,109,228,271,271,,1,b6003dba166e7562c134590859050fb8963940b30b73af6e5d2a589299681782,26/06/2023 02:14:56,ESCANER
19253,"Alta Verapaz",16,"Panzós",7,2953,380,49,28,44,0,49,3,2,0,1,1,3,1,0,0,181,42,2,225,0,225,--,--,--,181,225,225,Algún campo sin dato,1,5c407ce8ac3891692f9a2b2ac161bcf401c09203ee4ea441c75034e4ee10de86,26/06/2023 00:40:16,ESCANER
19254,"Alta Verapaz",16,"Panzós",7,2954,380,76,26,39,0,61,2,5,0,2,1,1,2,--,--,215,40,5,260,0,260,--,380,120,215,260,260,Algún campo sin dato,1,d300927d0d2b8872482375720adfc0686139fe09eb6a411aaf07a59f224bba63,26/06/2023 01:16:13,ESCANER
19255,"Alta Verapaz",16,"Panzós",7,2954,380,69,22,48,0,47,6,3,0,2,4,2,0,0,0,203,32,4,239,0,239,1,381,141,203,239,239,,1,0401c239daa0c241658c3e18e0b4f553fb2c477c70bce5558a88638c4b9773da,26/06/2023 02:06:42,ESCANER
19256,"Alta Verapaz",16,"Panzós",7,2955,380,87,27,49,0,38,0,6,0,3,1,2,1,0,0,214,23,6,243,0,243,--,380,137,214,243,243,Algún campo sin dato,1,5848369e9219be7cc6cb20f5950cdcda851924babcb20d0e4b1768bd00f7b4dc,26/06/2023 03:24:07,ESCANER
19257,"Alta Verapaz",16,"Panzós",7,2955,380,60,27,46,0,41,0,2,1,6,2,0,1,0,0,186,18,2,206,0,206,1,381,175,186,206,206,,1,6be112f50d828b658061d97d14bf181483219a602e52a3c57e1cabcfa6683783,26/06/2023 01:14:12,ESCANER
19258,"Alta Verapaz",16,"Panzós",7,2955,380,84,32,55,0,34,1,3,0,4,1,0,1,0,0,215,4,0,219,0,219,--,377,158,215,219,219,Algún campo sin dato,1,54c05b87d1ea57890b30656681bb66239b8cccd06f6f3b2fa0f470c5ce7468e7,26/06/2023 03:37:34,ESCANER
19259,"Alta Verapaz",16,"Panzós",7,2956,380,70,28,54,0,40,0,5,1,4,1,1,2,1,0,207,11,3,221,0,221,--,380,159,207,221,221,Algún campo sin dato,1,3e44e9a413c2951d040487d834299e60bcc9793926e1ce7b78597fd4004b0f04,26/06/2023 01:59:07,ESCANER
19260,"Alta Verapaz",16,"Panzós",7,2956,380,60,23,62,1,38,0,2,2,1,1,1,1,0,0,192,16,1,209,0,209,--,380,171,192,209,209,Algún campo sin dato,1,16f4d8ccead300a3cfb8d93addeee3527e46c8ea64d08dd4ef00a0adc97ee8c8,26/06/2023 00:57:01,ESCANER
19261,"Alta Verapaz",16,"Panzós",7,2956,319,49,18,37,1,25,0,3,1,0,0,0,1,0,0,135,14,2,151,--,151,--,319,168,135,151,151,Algún campo sin dato,1,1b2ef6101e469cbc39ba0346e9a7078bcd66e87737f618fead085fc6667393a2,26/06/2023 02:29:42,ESCANER
19262,"Alta Verapaz",16,"Panzós",7,2956,318,65,15,45,1,32,1,3,--,2,--,1,1,--,1,167,21,5,193,--,--,--,315,122,167,193,193,Algún campo sin dato,1,a4714eec493a04cc457e3f2e47f45a25a2fafacedc82295513bc468049f204cc,26/06/2023 02:48:18,ESCANER
19263,"Alta Verapaz",16,"Panzós",7,2957,380,101,39,62,0,20,6,2,1,3,8,2,1,0,1,246,21,3,270,1,271,--,380,109,246,270,271,Algún campo sin dato,1,15eecd818914aceccc8260d1654168d6c9fe1c3b80ef325b8f97205d21441f7c,26/06/2023 05:07:04,ESCANER
19264,"Alta Verapaz",16,"Panzós",7,2957,380,145,31,59,0,15,9,2,1,7,6,0,1,0,1,277,17,5,299,0,299,--,380,78,277,299,299,Algún campo sin dato,1,9809474ccffa153ff5f6e72c23a35316595d1e13d9a9c7cbb364df8ef854ee16,26/06/2023 04:51:40,ESCANER
19265,"Alta Verapaz",16,"Panzós",7,2957,380,89,28,73,0,9,5,0,0,4,3,1,0,0,0,212,24,5,241,0,241,--,380,139,212,241,241,Algún campo sin dato,1,d2cd20abcf77441f5fe1d2c82659cb7e0b88f92afbae9d666826d22eb1fba4c8,26/06/2023 04:36:00,ESCANER
19266,"Alta Verapaz",16,"Panzós",7,2957,380,106,24,63,1,14,3,3,0,1,5,3,2,2,0,227,26,1,254,0,254,--,380,126,227,254,254,Algún campo sin dato,1,e7802ea66b69f2f0db577bbb84ff514b1ae9f960266d1b1e51934b0e7328739e,26/06/2023 05:00:23,ESCANER
19267,"Alta Verapaz",16,"Panzós",7,2957,380,114,32,68,0,19,5,4,0,3,4,0,0,1,0,250,32,4,286,0,286,--,380,94,250,286,286,Algún campo sin dato,1,d7d4c58064d98346a8609fe5a9bada71d51ab203359da6b3b5a0201f882959a8,26/06/2023 04:24:36,ESCANER
19268,"Alta Verapaz",16,"Panzós",7,2957,380,120,36,53,0,12,2,2,3,0,6,2,0,1,0,237,32,3,272,0,272,--,280,108,237,272,272,Algún campo sin dato,1,f0515fc258f16e11eea9e557587453b9b8db513b59ed6d773b051c58822ae082,26/06/2023 04:13:50,ESCANER
19269,"Alta Verapaz",16,"Panzós",7,2958,380,92,40,60,0,10,5,1,0,2,1,1,0,0,0,212,25,6,243,1,243,--,380,136,212,243,244,Sumas Asentadas sin cuadrar,1,3f05b49bb1cd6b1e7eec9943a433a9780038bea34ec0f021bd9aa08f9bfbbcf0,26/06/2023 05:05:57,ESCANER
19270,"Alta Verapaz",16,"Panzós",7,2958,380,86,29,55,0,9,0,1,0,1,4,0,1,0,0,186,15,0,201,0,201,--,380,179,186,201,201,Algún campo sin dato,1,25b03c02003bf3efe07fcfcaadd2e1237cbfda28af5222be68e7f497b472afcf,26/06/2023 05:17:43,ESCANER
19271,"Alta Verapaz",16,"Panzós",7,2958,380,95,25,59,0,8,0,3,0,3,5,0,0,0,0,198,29,8,235,0,235,--,380,145,198,235,235,Algún campo sin dato,1,acc404e4ec8796e25e319afcd195cab1f9736e43fc0ba4fdec753c2f2e74a814,27/06/2023 19:56:23,ESCANER
19272,"Alta Verapaz",16,"Panzós",7,2958,380,98,23,61,0,13,3,5,0,4,6,2,0,0,0,215,47,6,268,0,268,--,380,112,215,268,268,Algún campo sin dato,1,d6326bf067d41ffbee9294917c420191b0d0eb075df8b1ab3c4bd1b205d5d335,26/06/2023 04:59:55,ESCANER
19273,"Alta Verapaz",16,"Panzós",7,2958,380,100,28,46,0,9,5,4,0,2,3,0,1,0,0,198,35,8,241,0,241,--,380,139,198,241,241,Algún campo sin dato,1,c250c207d15ef3102ec24ab5baca76566223258b3148736c08b09c6bc5539059,27/06/2023 19:43:16,ESCANER
19274,"Alta Verapaz",16,"Panzós",7,2958,380,78,35,46,0,13,3,3,0,1,3,1,2,1,0,186,19,5,210,1,211,--,380,169,186,210,211,Algún campo sin dato,1,1483d756c644d5490507394429c8e0535d6adf2ac510f98133cf2d494b9a84fb,26/06/2023 04:25:56,ESCANER
19275,"Alta Verapaz",16,"Panzós",7,2958,372,96,18,53,0,5,5,0,0,3,1,0,1,0,0,180,0,1,181,7,188,--,369,181,182,183,190,Sumas Asentadas sin cuadrar,1,fbeca4bfcde77f535006215b8c9bde6aa080429218d54398db2dbd26599257e4,26/06/2023 05:54:07,ESCANER
19276,"Alta Verapaz",16,"Panzós",7,2958,372,84,20,42,0,12,4,1,0,0,2,2,0,0,0,167,12,0,179,0,0,--,369,190,167,179,179,Algún campo sin dato,1,58e1e8e548e53298e58fefc902e4e1a52e99e39b3968f997bbcc7316502a1695,26/06/2023 04:45:49,ESCANER
19277,"Alta Verapaz",16,"Panzós",7,2959,380,59,49,81,0,12,4,2,7,1,22,0,0,2,0,239,32,0,271,0,271,--,381,110,239,271,271,Algún campo sin dato,1,decb6b23158de823e6faeba132ba3669420e7fc1222ece25069c5605685ef999,26/06/2023 05:08:23,ESCANER
19278,"Alta Verapaz",16,"Panzós",7,2959,380,67,28,80,--,9,1,5,10,--,15,--,--,--,1,216,35,4,255,--,255,--,380,125,216,255,255,Algún campo sin dato,1,a31ab671e46dbd93b11fbe454b1c1900fe680f14109119af8da8e558bcd67591,26/06/2023 05:54:19,ESCANER
19279,"Alta Verapaz",16,"Panzós",7,2959,380,71,43,69,1,7,3,3,8,2,27,1,1,1,1,238,29,6,273,0,273,0,380,107,238,273,273,,1,bbbbd25b4a57c9f621b4cae034b27bb5a6a49d17036c2332fb70b55fa5987206,26/06/2023 06:39:13,ESCANER
19280,"Alta Verapaz",16,"Panzós",7,2959,380,79,48,81,0,2,1,1,5,0,9,0,0,0,1,227,41,4,272,0,272,--,380,108,227,272,272,Algún campo sin dato,1,ad6fee43b083300d941b0352dddea7509ef72a4c9305dc34aa9d4056fdebbb6b,26/06/2023 05:01:29,ESCANER
19281,"Alta Verapaz",16,"Panzós",7,2959,380,67,30,60,0,8,6,5,7,1,21,0,0,2,0,207,42,4,253,0,253,--,380,127,207,253,253,Algún campo sin dato,1,bf01db35ef662308febc767bc81a6b1a1e1dd5ca57dfe1539fc80bcea311f173,26/06/2023 04:46:32,ESCANER
19282,"Alta Verapaz",16,"Panzós",7,2960,380,61,24,50,0,8,4,1,6,0,26,0,0,2,0,182,42,5,229,1,230,--,380,150,182,229,230,Algún campo sin dato,1,f2af7a2376bbf99b2049d5b1141ae21dc92403f4ec85362291dda93fd2a45f4e,27/06/2023 19:53:29,ESCANER
