TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,36444,23519,64.5346

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,ELEFANTE,PHG,PODEMOS,VAMOS,CABAL,PPN,WINAQ,VALOR,MLP,AZUL,CAMBIO,UR,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19283,"Alta Verapaz",16,"Panzós",7,2960,380,56,28,65,0,8,1,4,6,2,16,0,0,1,0,187,18,7,212,0,212,--,377,165,187,212,212,Algún campo sin dato,1,547f27c3ed956ec195b3fff67ec3207fc44ad0839ef7c54d62558ced3ffe3ef5,26/06/2023 05:05:45,ESCANER
19284,"Alta Verapaz",16,"Panzós",7,2960,380,50,42,73,0,6,0,2,3,1,16,0,0,0,1,194,20,3,217,0,217,--,380,163,194,217,217,Algún campo sin dato,1,9753c4f246b7ff243dfa64b1f6939fe287d27571db7b16305cd73b61c6cf630d,27/06/2023 19:58:52,ESCANER
19285,"Alta Verapaz",16,"Panzós",7,2960,218,34,32,32,0,1,0,2,1,0,4,1,0,0,0,107,0,1,108,12,120,--,215,95,107,108,120,Algún campo sin dato,1,16ae08209b36a1dd8ebd308bcb0738dd6e14a146ba35c6a24ddf29c93f3a0fa5,26/06/2023 04:59:18,ESCANER
19286,"Alta Verapaz",16,"Panzós",7,2960,217,27,26,30,0,4,0,3,3,1,6,0,0,0,1,101,16,2,119,4,123,--,217,94,101,119,123,Algún campo sin dato,1,62113cf26992775129be7a64fabc4e5df502c94601b519c4d66c5f3c8d9b8013,26/06/2023 06:38:01,ESCANER
19287,"Alta Verapaz",16,"Panzós",7,2961,380,91,27,59,0,28,2,4,3,3,1,1,17,0,0,236,27,3,266,0,266,--,380,114,236,266,266,Algún campo sin dato,1,bdf5d17c752059d2acc2950ecff8a67246f228d6305f432c7600a74eb98f81fc,26/06/2023 03:47:36,ESCANER
19288,"Alta Verapaz",16,"Panzós",7,2961,380,93,25,62,0,26,3,0,0,5,3,1,29,0,1,249,5,8,262,20,282,--,380,98,248,261,281,Sumas Asentadas sin cuadrar,1,0255ff36df7041753007908ef9499176654618e0dd58928e6d8b479f9948e26f,26/06/2023 04:57:27,ESCANER
19289,"Alta Verapaz",16,"Panzós",7,2961,380,106,17,76,0,24,1,5,2,1,3,1,31,1,1,269,26,3,298,0,298,--,380,82,269,298,298,Algún campo sin dato,1,714b8cded49f3ab827e29449872592bf790bacab286572dd18536ec5619572cc,26/06/2023 03:47:06,ESCANER
19290,"Alta Verapaz",16,"Panzós",7,2961,380,122,14,46,0,23,1,5,1,13,5,0,1,0,1,232,18,10,260,0,260,--,380,120,232,260,260,Algún campo sin dato,1,6b6a7158413f4df8bca5eabc735dc7761352f2fb10de1c2dfc5a78045ac9484f,26/06/2023 03:59:48,ESCANER
19291,"Alta Verapaz",16,"Panzós",7,2961,380,88,18,73,1,21,1,2,1,8,3,0,14,0,0,230,2,3,249,14,249,0,380,128,230,235,249,Sumas Asentadas sin cuadrar,1,3667ed4e7a65b4234de2a860a53b59c152bd0053f4e178710af917bf07ca631c,26/06/2023 02:40:18,ESCANER
19292,"Alta Verapaz",16,"Panzós",7,2961,380,96,23,64,0,27,5,6,4,7,3,0,10,0,0,245,16,5,266,0,266,--,380,114,245,266,266,Algún campo sin dato,1,32bb967ec52034ee5934bd0c47030d47b81dca143bc0c3f1682f51b9f662f7e3,26/06/2023 01:50:34,ESCANER
19293,"Alta Verapaz",16,"Panzós",7,2961,380,113,29,44,0,31,3,3,2,4,1,1,14,2,1,248,21,2,271,0,271,--,377,106,248,271,271,Algún campo sin dato,1,0d2bf0a1acc21da8e62182446f38378888c126b8a4e1025f5670039d5cb17ad3,26/06/2023 01:44:29,ESCANER
19294,"Alta Verapaz",16,"Panzós",7,2961,380,91,14,67,0,16,4,3,0,5,4,1,14,0,0,219,11,1,231,0,231,--,380,149,219,231,231,Algún campo sin dato,1,ab6159c2238232dc8d379f671cc6d9092041a3fbb3b50b8ec9d9c149cfeaf085,26/06/2023 03:30:45,ESCANER
19295,"Alta Verapaz",16,"Panzós",7,2961,380,111,25,53,1,25,5,2,0,2,3,0,10,0,1,238,17,3,258,0,258,--,380,122,238,258,258,Algún campo sin dato,1,a70574cc7b1949da270897b58757c7691128bffde8a34c145224a207f5ea22cf,26/06/2023 05:05:35,ESCANER
19296,"Alta Verapaz",16,"Panzós",7,2961,380,104,15,50,1,14,1,1,0,3,2,1,14,0,1,207,18,6,231,0,207,--,380,149,207,231,231,Sumas Asentadas sin cuadrar,1,a108be16c0ed0c790ba2bb458566fdc4af9b2a5122ee2011113d5532b90bba1b,26/06/2023 05:17:31,ESCANER
19297,"Alta Verapaz",16,"Panzós",7,2961,380,102,11,55,0,24,1,3,1,2,1,0,9,0,0,209,7,3,219,0,219,--,380,161,209,219,219,Algún campo sin dato,1,35820675ed88524f5a103b50a01c06db393811710be7256cf7c2dfdc144512c1,25/06/2023 23:37:58,ESCANER
19298,"Alta Verapaz",16,"Panzós",7,2961,379,92,16,48,0,15,1,3,0,5,0,0,12,0,0,192,3,0,195,--,--,--,376,181,192,195,195,Algún campo sin dato,1,5a7bc4050ce94bd40b2d17fd130bd638f4a014af8eb74f9b268323a49a516b94,26/06/2023 03:22:24,ESCANER
19299,"Alta Verapaz",16,"Panzós",7,2961,379,98,16,36,0,17,0,0,1,4,1,0,11,0,1,185,0,3,188,14,202,--,376,174,185,188,202,Algún campo sin dato,1,0c157ffbce2832b26ec5e06896607d495dfd678690ff829fa4560a69ef4779ae,26/06/2023 01:36:55,ESCANER
19300,"Alta Verapaz",16,"Panzós",7,2962,375,14,12,28,0,9,1,0,0,1,0,0,1,0,0,66,8,1,75,0,75,--,375,300,66,75,75,Algún campo sin dato,1,3c66e971b345b7d6199ad6e9e4e1a6734ac3e7fe19230f2ca1537f258656bc4e,25/06/2023 22:27:43,ESCANER
19301,"Alta Verapaz",16,"Panzós",7,2962,374,5,10,14,0,4,0,0,0,0,0,0,0,1,1,35,4,0,39,0,39,1,374,334,35,39,39,,1,89b06ad6017e0962bf1351c7326c885d788cb96883019c7c824c4bfe64097f25,25/06/2023 22:39:03,ESCANER
