TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,70,100.0000,70,100.0000,0,25921,14405,55.5727

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UR,TODOS,CABAL,UNE,VALOR,PHG,URNG-MAIZ   SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15379,"Huehuetenango",13,"Jacaltenango",7,2238,380,16,0,30,33,155,1,2,0,237,3,3,243,0,243,--,380,137,237,243,243,Algún campo sin dato,1,bd37d0ace5651c33183a451e37bd72bd86ef57d5310a7db1eea2ae6495493691,26/06/2023 01:22:11,ESCANER
15380,"Huehuetenango",13,"Jacaltenango",7,2238,380,18,3,24,16,170,0,2,1,234,5,8,247,0,247,--,389,142,234,247,247,Algún campo sin dato,1,5b7acd9f588ff76c9d28dc4de4706915b6b660ec0bec467225322bd546f09d31,26/06/2023 01:29:21,ESCANER
15381,"Huehuetenango",13,"Jacaltenango",7,2238,380,25,2,19,21,172,0,1,1,241,13,6,260,0,260,--,392,132,241,260,260,Algún campo sin dato,1,3a448375747514357d85a7b60d2a1748cf97ab09758fcac60ba8580debff961b,26/06/2023 00:37:10,ESCANER
15382,"Huehuetenango",13,"Jacaltenango",7,2238,380,16,1,24,19,196,0,5,1,262,16,4,282,0,282,--,392,110,262,282,282,Algún campo sin dato,1,0c95bb34a5bd41bfca28a7e33da494ea23a790df891b641b9c252fa8f16f9326,26/06/2023 01:33:58,ESCANER
15383,"Huehuetenango",13,"Jacaltenango",7,2238,380,15,3,17,18,193,1,2,1,250,3,0,253,0,253,--,383,130,250,253,253,Algún campo sin dato,1,c96eb0789afe0ee78bd02f989c7365ca341d12f80f7df91a52e32424e5df41ac,26/06/2023 00:07:29,ESCANER
15384,"Huehuetenango",13,"Jacaltenango",7,2238,380,11,1,24,22,120,0,3,1,182,3,2,187,0,187,--,401,214,182,187,187,Algún campo sin dato,1,214b750417b11cdc587499da6bdd90d578514a01130f5af2ae1f29776c111021,25/06/2023 23:36:43,ESCANER
15385,"Huehuetenango",13,"Jacaltenango",7,2238,380,12,1,24,32,156,1,1,0,227,1,1,229,0,229,--,389,160,227,229,229,Algún campo sin dato,1,5ab5b806d62ed347c78342beaa66f05f0a291cac3d005ff1be543ebf93d21e19,26/06/2023 01:44:36,ESCANER
15386,"Huehuetenango",13,"Jacaltenango",7,2238,380,12,1,17,33,129,2,5,0,199,5,4,208,0,208,--,375,167,199,208,208,Algún campo sin dato,1,b9d4c0e0ae56e7080dd4b84daa5c9d76f3a014b4ed9fe54cc1c1c161cb104f27,26/06/2023 01:16:41,ESCANER
15387,"Huehuetenango",13,"Jacaltenango",7,2238,380,15,0,19,18,137,0,2,1,192,3,0,195,0,195,--,380,185,192,195,195,Algún campo sin dato,1,58ec4ba9003ce467457cd1a2f997d5e0178357930eb7ee9350c03b5589b44cbf,26/06/2023 00:11:07,ESCANER
15388,"Huehuetenango",13,"Jacaltenango",7,2238,344,8,0,30,12,99,0,5,0,154,0,0,154,0,154,--,341,187,154,154,154,Algún campo sin dato,1,c95aaa0d918866240bcaea1df36c492005e09cc7786f1209fb2cc7c4af1d21d4,25/06/2023 23:14:12,ESCANER
