TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
84,76,90.4761,76,90.4761,0,29016,15549,53.5876

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,TODOS,MLP,CAMBIO,UR,VALOR,CABAL,PPN,VICTORIA,UNE,VAMOS,VIVA,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23283,"Jalapa",21,"San Pedro Pinula",2,3657,400,8,10,4,0,6,37,41,18,0,36,68,3,0,231,15,4,250,0,250,0,400,150,231,250,250,,1,8d67c1c62675c059eb0e72cd7a9398d5da41f8e92a182b013618ebf661a27876,26/06/2023 02:54:57,ESCANER
23284,"Jalapa",21,"San Pedro Pinula",2,3657,400,13,12,4,3,8,41,28,11,0,31,65,4,0,220,25,5,250,0,250,--,400,150,220,250,250,Algún campo sin dato,1,4962e520baf7443da67d9b928f98935a84ccce1c8acc9c2162baac92322db658,26/06/2023 03:01:19,ESCANER
23285,"Jalapa",21,"San Pedro Pinula",2,3657,400,9,13,4,5,2,55,30,13,0,39,78,1,1,250,27,6,283,0,283,--,400,117,250,283,283,Algún campo sin dato,1,96f6a4f85f86731d2921505331ddee9b66827d4f409d4e61761b807407f44ab4,26/06/2023 19:57:03,ESCANER
23286,"Jalapa",21,"San Pedro Pinula",2,3657,400,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
23287,"Jalapa",21,"San Pedro Pinula",2,3657,400,9,13,14,1,5,64,23,7,0,41,64,1,3,245,23,6,274,0,274,--,397,123,245,274,274,Algún campo sin dato,1,4ae8f3ee782090efb2d1a846319c4ea2a6fa885cba2c7c37daac9d371c468834,26/06/2023 03:13:50,ESCANER
23288,"Jalapa",21,"San Pedro Pinula",2,3657,400,5,21,6,0,3,53,43,19,1,33,76,0,1,261,13,5,279,0,279,--,380,101,261,279,279,Algún campo sin dato,1,75a63e04d002f91dfa76b4890ecca4394c1f1b4429f4275c8c131cf2499096bf,26/06/2023 04:16:38,ESCANER
23289,"Jalapa",21,"San Pedro Pinula",2,3657,400,10,16,0,2,2,42,41,24,4,27,94,1,0,263,22,0,285,0,285,--,400,115,263,285,285,Algún campo sin dato,1,199ce194e3ee362ed3ca8f0997efb9fbb2b76d910c8d6a4d5c74c2759c08a617,26/06/2023 04:19:05,ESCANER
23290,"Jalapa",21,"San Pedro Pinula",2,3657,400,7,22,3,7,1,42,46,24,1,32,72,4,0,261,25,6,292,0,292,--,380,88,261,292,292,Algún campo sin dato,1,2544e85e8908a823f2d09cc574f8ff7c149a1e81954254d6aadbe8eb9ec1fdb3,26/06/2023 04:13:39,ESCANER
23291,"Jalapa",21,"San Pedro Pinula",2,3657,400,7,25,2,4,1,50,29,14,0,25,64,1,2,224,23,7,254,0,254,--,400,146,224,254,254,Algún campo sin dato,1,58e1aff950bab4fadaa74004b937a762ed3a4e0edcc39dd561fe05fd813d115f,26/06/2023 04:21:43,ESCANER
23292,"Jalapa",21,"San Pedro Pinula",2,3657,400,4,20,2,6,1,44,37,14,0,30,66,0,1,225,8,5,238,0,238,--,400,162,225,238,238,Algún campo sin dato,1,444ddd66816b15c3cd33153e99fb9df56bdab4a151446d186f3190c5a4a8b34d,26/06/2023 04:49:23,ESCANER
23293,"Jalapa",21,"San Pedro Pinula",2,3658,400,8,15,3,6,4,42,38,15,1,29,68,0,1,230,11,1,242,0,242,--,401,159,230,242,242,Algún campo sin dato,1,1253247b80588104baeb6b47b8425551d0e9c1f6c8bf664abb4309010a7c8955,26/06/2023 04:32:17,ESCANER
23294,"Jalapa",21,"San Pedro Pinula",2,3658,400,5,10,3,4,0,52,43,18,1,20,84,1,0,241,9,4,254,0,254,--,380,126,241,254,254,Algún campo sin dato,1,4216157013963bcccfaedb4fcf51a867d4b1cabae4db1cfc4a38b4eaa8598704,25/06/2023 23:37:27,ESCANER
23295,"Jalapa",21,"San Pedro Pinula",2,3658,400,7,18,4,7,2,46,46,15,0,23,58,0,1,227,18,3,248,0,248,--,404,156,227,248,248,Algún campo sin dato,1,56e392e179d82834bb5e261d5dc1398cc60d64e23d341bb60a8b68c5bf0de424,26/06/2023 04:45:55,ESCANER
23296,"Jalapa",21,"San Pedro Pinula",2,3658,400,4,9,0,4,2,47,44,9,0,31,85,2,0,237,25,5,267,0,267,--,380,113,237,267,267,Algún campo sin dato,1,d3a69fa87041fa731b71bcca6499a5d6614711f2063767fa1d13dc2bf14a5c9d,26/06/2023 04:47:04,ESCANER
23297,"Jalapa",21,"San Pedro Pinula",2,3658,400,13,18,4,0,2,38,24,18,0,25,81,0,0,223,4,5,232,0,232,--,400,168,223,232,232,Algún campo sin dato,1,551360241c123f19218c586356c452ca8177319bbe4feaef922329f98a0769b7,26/06/2023 04:38:24,ESCANER
23298,"Jalapa",21,"San Pedro Pinula",2,3658,400,7,17,2,4,0,55,31,11,0,23,47,1,0,198,4,3,205,0,205,--,380,175,198,205,205,Algún campo sin dato,1,95c0d83af3076ce8c6278ee4df141d07c16923f96700d4f8c26d5590b1064208,26/06/2023 04:46:00,ESCANER
23299,"Jalapa",21,"San Pedro Pinula",2,3658,400,3,28,6,1,1,38,31,12,0,29,59,0,0,208,2,3,213,0,213,--,400,187,208,213,213,Algún campo sin dato,1,2ef0e153e2016a90590041256b8d5e51b9d06e00fbd995eb8370038a62b00522,26/06/2023 03:16:07,ESCANER
