TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
33,33,100.0000,33,100.0000,0,12454,8749,70.2505

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,AZUL,CABAL,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8885,"Santa Rosa",6,"Guazacapán",11,1071,400,100,123,9,35,0,267,11,6,284,0,284,--,400,116,267,284,284,Algún campo sin dato,1,ed7f209ebe24eb64e0adc5c01235064d86a19c54f8525fec31fa99da8f4c01c2,26/06/2023 00:21:16,ESCANER
8886,"Santa Rosa",6,"Guazacapán",11,1071,400,107,107,7,38,0,259,4,0,263,5,268,--,400,132,259,263,268,Algún campo sin dato,1,53d5075075c60c2a3c3d8924c6acc73280600d1b103fdbe7ebc764d3292ee1af,26/06/2023 01:05:34,ESCANER
8887,"Santa Rosa",6,"Guazacapán",11,1072,400,90,140,2,55,0,287,15,1,303,0,303,--,400,97,287,303,303,Algún campo sin dato,1,505c0439b1a5b4f625654599ef4fbe2c4163d6461e99e970a1a1f4a1df34ea4b,26/06/2023 01:37:01,ESCANER
8888,"Santa Rosa",6,"Guazacapán",11,1072,235,69,56,3,28,0,156,8,0,164,0,164,--,235,71,156,164,164,Algún campo sin dato,1,9f4f2091b6bb7773c8df25dce491ae5a48fb8a858e651ac9cf6d17d12b4ca612,25/06/2023 22:49:04,ESCANER
8889,"Santa Rosa",6,"Guazacapán",11,1072,234,52,50,5,25,0,132,2,1,135,3,138,--,234,96,132,135,138,Algún campo sin dato,1,3244c20bc339ce3794a9e2f3a8609a2d27dbb46918380a89acbe02e35f596d2d,25/06/2023 23:27:02,ESCANER
8890,"Santa Rosa",6,"Guazacapán",11,1073,400,93,103,9,46,1,252,20,3,275,1,276,--,400,124,252,275,276,Algún campo sin dato,1,6e10d1c83c48670e8cd5cc2bc7321d41f563021cfc83620e87e0a96888d67677,25/06/2023 23:47:47,MOVIL
8891,"Santa Rosa",6,"Guazacapán",11,1073,400,101,107,9,52,2,271,28,6,305,0,305,--,400,95,271,305,305,Algún campo sin dato,1,c2b3ecbf987d6d9bfa8ed7dfd8e8b41a0b675b7c6b425586e6d06a662e43115c,26/06/2023 04:28:07,ESCANER
8892,"Santa Rosa",6,"Guazacapán",11,1073,400,121,116,8,57,0,302,25,2,329,0,329,--,399,70,302,329,329,Algún campo sin dato,1,eea5760d2cad4aeb2ec666ec859a16354a84640875f8a7f75e9285551d33f4fb,26/06/2023 04:24:15,ESCANER
8893,"Santa Rosa",6,"Guazacapán",11,1073,400,129,128,13,61,1,332,19,1,352,0,352,--,400,48,332,352,352,Algún campo sin dato,1,46765332b3749e5c30c1338c6214c60cf6f00081f796faa21852dfeca35043bd,26/06/2023 03:01:50,ESCANER
8894,"Santa Rosa",6,"Guazacapán",11,1073,400,126,115,12,50,2,305,25,1,331,0,331,--,400,69,305,331,331,Algún campo sin dato,1,49e320381a18b9c481a1041320e9d68e4415c48fb0ac3f3cd677f4472f1c2641,26/06/2023 01:49:23,MOVIL
8895,"Santa Rosa",6,"Guazacapán",11,1073,400,104,97,16,36,0,253,7,1,261,2,263,--,400,137,253,261,263,Algún campo sin dato,1,e63f17bb4775274ccc53c80e96461eb046981ce61cd65589dc8cd8a4873b152d,26/06/2023 00:55:56,MOVIL
8896,"Santa Rosa",6,"Guazacapán",11,1073,400,113,93,16,34,0,256,16,3,275,0,275,--,400,125,256,275,275,Algún campo sin dato,1,7f2bef4d11e72938e511dfbd2ec22ba0dfa5d80358f32c886f6fad5f933976ee,26/06/2023 00:32:01,MOVIL
8897,"Santa Rosa",6,"Guazacapán",11,1073,400,105,98,17,39,3,262,16,3,281,1,282,--,400,118,262,281,282,Algún campo sin dato,1,bfc6d547ce4f7d734fda318d784db8bc17183838ffa82edc7959bc2cff281929,26/06/2023 02:58:42,ESCANER
8898,"Santa Rosa",6,"Guazacapán",11,1073,400,107,77,7,35,0,226,33,6,265,0,265,--,400,135,226,265,265,Algún campo sin dato,1,d8a97ed74004c620321ee02b0e56bb2fb8c258f843c24071ce1cdf0df87058b8,26/06/2023 01:40:30,MOVIL
8899,"Santa Rosa",6,"Guazacapán",11,1073,400,105,96,7,40,1,249,9,0,258,0,258,--,400,142,249,258,258,Algún campo sin dato,1,493142dfe811443e5404ddf25e615a8ec4da3a6242cd23d09c8088122dde1c20,26/06/2023 02:42:24,ESCANER
8900,"Santa Rosa",6,"Guazacapán",11,1073,400,94,77,7,78,0,256,9,0,265,0,265,--,399,134,256,265,265,Algún campo sin dato,1,0bd99c5b1a59d61d8740568a9ea2670727dadb8c747e8407c7abaa68e64b0879,25/06/2023 23:03:46,MOVIL
8901,"Santa Rosa",6,"Guazacapán",11,1074,207,55,58,4,21,0,138,5,0,143,0,143,--,207,64,138,143,143,Algún campo sin dato,1,eb571ac8edc914deefe8f46eabfbac5616fd5f88cda3fce9e33051cb65caf69f,25/06/2023 22:57:43,ESCANER
8902,"Santa Rosa",6,"Guazacapán",11,1074,207,37,53,3,16,0,109,7,0,116,0,116,2,207,91,109,116,116,,1,98a527d1de269f4bb5efcd8d6a6a184ea60553d6466e7cf518ca8a98a645a9d2,25/06/2023 23:36:54,ESCANER
8903,"Santa Rosa",6,"Guazacapán",11,1075,386,54,62,4,26,2,148,6,1,155,8,163,--,386,223,148,155,163,Algún campo sin dato,1,b46445baed043e1efc79ac860d6d4bdc99aa3eede2938cd33c8c760a25b9c9d5,25/06/2023 22:51:35,ESCANER
8904,"Santa Rosa",6,"Guazacapán",11,1075,385,29,51,3,9,1,93,16,2,111,0,111,1,385,274,93,111,111,,1,547c0fbb56995e908a081c8817cea496719ed568f6e6fd5c64a8c83c376caef1,25/06/2023 23:55:13,ESCANER
