TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
119,119,100.0000,119,100.0000,0,45560,25215,55.3446

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,ELEFANTE,VICTORIA,COCIG,PR,VAMOS,SEMILLA,PHG,DESHE,CABAL,U R N G - MAIZ,MLP,BIEN,PODEMOS,VALOR,PPN,CREO,TODOS,VOS,PIN,AZUL,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13224,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,38,28,11,12,12,13,17,7,0,14,12,22,26,1,9,22,1,32,1,1,1,8,278,13,2,293,0,293,0,400,107,288,303,303,Sumas Asentadas sin cuadrar,1,c3f70802e38c765af837d5ee8c27382feab23efec5355e62163a036fc769e7eb,26/06/2023 02:17:37,ESCANER
13225,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,41,30,13,14,5,19,14,5,1,6,2,23,18,2,9,21,1,29,2,0,2,3,260,10,1,271,0,271,--,400,129,260,271,271,Algún campo sin dato,1,3d80aa1c3c37caa1b795d3f2ff5c340d40ddbbfbffd0dad53c05058b1b311889,26/06/2023 03:33:13,ESCANER
13226,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,46,17,6,10,8,20,22,6,0,4,3,21,11,1,7,15,2,18,2,2,3,4,228,5,2,235,0,235,0,400,165,228,235,235,,1,2c55cd0ff6b03aaf630e362851e66111979c79be2fc91b6a15c18088defd9805,25/06/2023 23:25:20,ESCANER
13227,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,46,28,7,8,4,16,9,4,2,18,3,12,19,1,11,28,1,18,1,2,3,6,247,8,2,257,0,257,0,403,146,247,257,257,,1,2bf99d43c0ad5718f9609c02529eeb4f39b6bff3d77b688952c4fa10c943d024,26/06/2023 01:11:57,ESCANER
13228,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,39,33,8,8,7,44,13,3,0,11,0,14,15,1,6,25,0,30,3,1,0,3,264,11,1,276,0,276,--,400,124,264,276,276,Algún campo sin dato,1,a33235868e1732cba46d06ad193c9f557757641ea0046f957be8ff2e7b034e36,26/06/2023 01:59:33,ESCANER
13229,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,46,14,7,10,6,27,15,8,0,8,1,22,15,4,10,22,1,23,5,3,1,3,251,3,2,256,144,400,0,400,144,251,256,400,,1,a9dde45dddc3aba2f2ab2f2ad09b3a4df24fc6525f7b4d106a44ec328e434b4d,26/06/2023 00:08:47,ESCANER
13230,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,41,24,8,7,3,20,15,6,1,8,4,29,14,2,9,15,1,28,3,0,4,4,246,12,3,261,0,261,--,400,136,246,261,261,Algún campo sin dato,1,202b35498e0e0ea5a4f95ef6027cfad04ba669782493818935b39bd831bf0ff1,26/06/2023 00:37:09,ESCANER
13231,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,39,26,13,20,6,18,16,3,2,7,2,11,15,2,13,17,1,21,1,0,5,4,240,10,5,255,0,255,--,400,145,242,257,257,Sumas Asentadas sin cuadrar,1,2ecd80e1a180129f392b5006d8496c5d721b73bfa0aa6e19c35a25ee3cc7071c,26/06/2023 03:49:06,ESCANER
13232,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,43,29,8,12,7,20,16,5,2,9,5,25,10,0,7,19,2,29,1,2,4,0,255,9,1,265,0,265,--,400,135,255,265,265,Algún campo sin dato,1,df8a72bb900233a83773fd0280d66bd343bdffb72f7a3ec08d0594b4fbd56815,26/06/2023 01:37:01,ESCANER
13233,"San Marcos",12,"San Pedro Sacatepéquez",2,1803,400,40,16,6,12,8,19,26,6,1,19,4,16,8,3,7,33,1,26,0,2,5,4,262,10,5,277,0,277,0,400,123,262,277,277,,1,9ef68306b44aee437054ed22a38d4804d9db24fd802443805e35731b2bed50d0,26/06/2023 01:51:28,ESCANER
