TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
30,30,100.0000,30,100.0000,0,11068,7540,68.1243

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,VIVA,PODEMOS,TODOS,VAMOS,AZUL,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22566,"Chiquimula",20,"San Juan Ermita",3,3521,380,90,0,19,2,1,121,1,1,235,14,2,251,1,252,--,380,128,235,251,252,Algún campo sin dato,1,21903484a5a805d599f1675345ff7fb1d988594c72a88cec462ec00e6321d943,26/06/2023 03:48:47,ESCANER
22567,"Chiquimula",20,"San Juan Ermita",3,3521,380,93,2,21,0,0,142,2,2,262,12,8,282,0,282,--,380,98,262,282,282,Algún campo sin dato,1,d99ca7edaea0ed0f33dc60378ccdf8da4134438cff18f4f213a61bdc126725ca,26/06/2023 03:59:07,ESCANER
22568,"Chiquimula",20,"San Juan Ermita",3,3521,380,127,1,13,0,1,113,2,0,257,21,2,280,0,280,1,383,102,257,280,280,,1,6ff4bb90ba86b950112f8684e10e85a2275c0a8f447baed96712bfaca2283560,26/06/2023 04:13:14,ESCANER
22569,"Chiquimula",20,"San Juan Ermita",3,3521,380,111,1,5,1,0,158,0,3,279,10,3,292,0,292,--,380,88,279,292,292,Algún campo sin dato,1,34f024d114180b5629f209c77078d39668aec6b191e02f0494b47b652a4dfc7a,26/06/2023 04:27:02,ESCANER
22570,"Chiquimula",20,"San Juan Ermita",3,3521,380,73,1,9,0,1,160,0,0,244,20,5,269,0,269,1,383,114,244,269,269,,1,b84a7a2a7fd1819220c73994d5859aff7e586a7d001839763e7a741b05763ea1,26/06/2023 03:25:50,ESCANER
22571,"Chiquimula",20,"San Juan Ermita",3,3521,380,104,0,12,1,0,156,0,0,289,10,6,289,0,--,--,377,88,273,289,289,Sumas Asentadas sin cuadrar,1,55e33c7f27cee354c69959996e5532288a0f151816fc740231975fd3d48f708c,26/06/2023 04:47:10,ESCANER
22572,"Chiquimula",20,"San Juan Ermita",3,3522,380,53,1,15,0,0,149,0,0,218,9,0,227,0,227,--,380,153,218,227,227,Algún campo sin dato,1,e5278553c5affdab34c67e2e5bb695138b9cc07c2ed50388e0c74eeacd064972,26/06/2023 01:19:22,MOVIL
22573,"Chiquimula",20,"San Juan Ermita",3,3522,380,77,1,8,0,0,129,0,2,217,10,5,232,0,232,--,380,148,217,232,232,Algún campo sin dato,1,46413f682236cd1302eb673b6ccb7a4f356446020cc5215e45903455dd31f8b8,26/06/2023 01:31:54,MOVIL
22574,"Chiquimula",20,"San Juan Ermita",3,3522,380,97,0,10,1,0,134,0,4,246,1,1,248,0,248,--,377,129,246,248,248,Algún campo sin dato,1,01e8a39abc8608c5bfb57de9079c454c4dd346afa3853e1a9d314617c2c6af68,26/06/2023 00:26:24,MOVIL
22575,"Chiquimula",20,"San Juan Ermita",3,3523,251,58,0,4,0,0,107,0,0,169,1,2,172,0,172,--,251,79,169,172,172,Algún campo sin dato,1,40ef38556ddd58999efda06dc4fad6e30545c157a67e981588af7e14e21f1203,26/06/2023 01:53:52,MOVIL
22576,"Chiquimula",20,"San Juan Ermita",3,3523,250,53,0,0,0,1,99,0,0,153,3,3,159,--,--,--,250,91,153,159,159,Algún campo sin dato,1,0251c01e3ac64e3f08ff159c8f0ad3132b9f14b7107db93dc8e94ae44e82b0d2,25/06/2023 23:23:34,MOVIL
22577,"Chiquimula",20,"San Juan Ermita",3,3524,244,11,0,1,0,0,13,0,0,25,3,1,29,0,29,--,244,215,25,29,29,Algún campo sin dato,1,55ab614ba2998e8e21189f1b26e1407244e67575bf4f71887fb942d6a00e6802,25/06/2023 21:14:37,MOVIL
