TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,67,95.7142,67,95.7142,0,24807,16391,66.0740

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PODEMOS,PHG,UNE,BIEN,VICTORIA,TODOS,VALOR,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15236,"Huehuetenango",13,"Nentón",5,2208,375,99,83,1,12,0,8,0,13,0,216,2,2,220,0,220,--,375,155,216,220,220,Algún campo sin dato,1,ceb5931790b111f46b1d1387bf5c7851e2492c830a0b9c6f68e95567d4bb60e2,25/06/2023 22:45:02,ESCANER
15237,"Huehuetenango",13,"Nentón",5,2208,375,59,76,0,23,1,7,0,23,2,191,2,5,198,0,198,--,375,177,191,198,198,Algún campo sin dato,1,8ca18ee76ecacfa3917136dfde98287b668c5832456a1ec2df3a7377f8cfc988,25/06/2023 21:52:42,ESCANER
15238,"Huehuetenango",13,"Nentón",5,2209,380,128,121,0,33,2,0,1,4,0,289,2,4,295,0,295,--,380,85,289,295,295,Algún campo sin dato,1,e436fe63d6493cf4d2dc3bac9e2d09d3785ca7b14233ac6dbc9646fa3e92b55d,26/06/2023 00:53:57,ESCANER
15239,"Huehuetenango",13,"Nentón",5,2209,380,134,96,0,48,2,0,0,6,1,287,10,4,301,0,301,--,380,79,287,301,301,Algún campo sin dato,1,17a0bfe1eb9421e490a0e2f8ebe957e0056b3ea838ad5a82777cd4b99449272a,25/06/2023 23:34:57,ESCANER
15240,"Huehuetenango",13,"Nentón",5,2209,380,112,94,1,54,2,1,0,5,0,269,6,0,275,0,275,--,380,102,269,275,275,Algún campo sin dato,1,870bb25396f3e1452cfb59bd94145953c427c630efdde25db930ce70fba6aa21,26/06/2023 01:23:45,ESCANER
15241,"Huehuetenango",13,"Nentón",5,2209,380,94,65,0,125,2,0,0,7,0,293,7,2,302,0,302,1,380,77,293,302,302,,1,76a4cd577a719ec2eca6ddeff4e5543224ac12d6420833cccb53cbafb5f07a89,25/06/2023 23:11:22,ESCANER
15242,"Huehuetenango",13,"Nentón",5,2209,380,120,71,0,72,1,11,0,3,0,269,2,3,274,0,274,--,380,106,278,283,283,Sumas Asentadas sin cuadrar,1,531509fef083072b4e3c4297cc23a89982234ec90a9c7a1fd13184c8cf77e294,25/06/2023 22:34:02,ESCANER
15243,"Huehuetenango",13,"Nentón",5,2209,380,94,78,1,54,0,0,0,8,3,238,1,1,240,0,240,--,380,140,238,240,240,Algún campo sin dato,1,89cede8c2ee4c045b0948e96ed16996a21dd5765e1384287fc9924f749fe2d11,26/06/2023 00:26:40,ESCANER
15244,"Huehuetenango",13,"Nentón",5,2209,380,92,102,0,40,2,0,0,5,1,242,7,4,253,0,253,--,380,127,242,253,253,Algún campo sin dato,1,b65aaedee9dfb4e6d4ede5eb2bf9fefbd0fe60c274aa14b665464cf6a0fc345b,26/06/2023 01:22:42,ESCANER
15245,"Huehuetenango",13,"Nentón",5,2209,380,120,82,0,50,1,2,1,4,0,260,4,4,268,0,268,--,380,112,260,268,268,Algún campo sin dato,1,780146da5f631237f782fc4ac42c8a31ce9db8175c1412fa8e1cd14c5ee4bc8e,25/06/2023 23:30:46,ESCANER
15246,"Huehuetenango",13,"Nentón",5,2209,380,89,0,0,73,1,1,0,7,2,277,25,52,277,0,277,--,380,103,173,250,250,Sumas Asentadas sin cuadrar,1,50b376821cd7f9cb2aff21e9a8e47ffabdfa356d9fd80243e5be0fc764cf9052,26/06/2023 02:40:22,ESCANER
15247,"Huehuetenango",13,"Nentón",5,2209,380,113,82,0,47,1,0,1,1,1,246,3,1,250,0,250,--,376,126,246,250,250,Algún campo sin dato,1,7f0ae0806d49bc206520375da3e8460acd03e7a4f2d1cb867cf6a7d00935e4e6,26/06/2023 00:47:05,ESCANER
15248,"Huehuetenango",13,"Nentón",5,2209,380,67,68,0,86,0,0,0,4,0,225,0,0,225,0,225,--,380,155,225,225,225,Algún campo sin dato,1,47018aa00a26ad989b7d3953a7bfbe9ce32fbec4138fe09ba8f1d5787b1bf6a2,25/06/2023 22:06:18,ESCANER
15249,"Huehuetenango",13,"Nentón",5,2209,380,88,98,0,56,0,1,0,6,0,249,0,3,252,0,252,--,380,128,249,252,252,Algún campo sin dato,1,84ec9b7692c7e8ce3e22f127eb2af0e05276015d359b0e6789fa899866e50249,25/06/2023 23:23:40,ESCANER
15250,"Huehuetenango",13,"Nentón",5,2210,380,119,93,0,61,0,0,0,4,0,277,0,0,277,0,277,--,--,--,277,277,277,Algún campo sin dato,1,158bf5f77c7638c7494749e41b03c212daefc0ca704d9474cdd01f7563648862,25/06/2023 23:58:35,MOVIL
