TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
206,206,100.0000,204,99.0291,2,76935,49192,63.9396

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,MLP,TODOS,VICTORIA,VAMOS,PPN,PODEMOS,UR,AZUL,VIVA,U R N G - MAIZ,CREO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17173,"Quiché",14,"Chichicastenango",6,2590,380,103,53,2,0,1,28,11,0,1,2,2,0,1,4,208,20,5,233,0,233,0,381,148,208,233,233,,1,ee434aabb2da57649d9fc14309926d78cb92e868152191a1bf7f818044fa6fbf,26/06/2023 00:45:02,ESCANER
17174,"Quiché",14,"Chichicastenango",6,2590,380,68,53,2,1,1,59,1,0,1,1,3,0,2,16,208,9,5,222,0,222,0,377,155,208,222,222,,1,dbc3023660910535f9fb75d5496d5c7de082006a3054e40ff39856541dbceea2,25/06/2023 23:24:39,ESCANER
17175,"Quiché",14,"Chichicastenango",6,2590,380,86,34,4,0,1,57,3,0,0,0,6,1,0,20,212,10,14,236,0,236,0,380,144,212,236,236,,1,bbbe08b39a8ca8ddb4a317e94f099052551a4c7ee76d8c9a116f8ca0d2a7e173,26/06/2023 01:08:06,ESCANER
17176,"Quiché",14,"Chichicastenango",6,2590,380,72,44,2,0,8,46,2,2,0,2,4,1,1,13,197,7,8,212,0,212,--,380,168,197,212,212,Algún campo sin dato,1,edcdb02529063412317425b2135c57652fa2d644105dc1d35edb5d4bc306cc42,26/06/2023 04:17:51,ESCANER
17177,"Quiché",14,"Chichicastenango",6,2590,380,68,37,1,3,2,42,1,1,0,1,3,0,2,17,178,10,6,194,0,194,0,380,186,178,194,194,,1,1ad118f2e66c6b2885d07a2face1ec0612368b76bc25ac82238a5240930d44c9,26/06/2023 00:29:27,ESCANER
17178,"Quiché",14,"Chichicastenango",6,2590,380,69,56,1,1,1,50,2,1,1,--,4,--,--,15,201,2,3,206,--,206,0,380,174,201,206,206,Algún campo sin dato,1,00e5e1de59e821764e0042382411dc749ff3e0d49553693b7ffb2f5b73bf5ce1,26/06/2023 01:23:46,ESCANER
17179,"Quiché",14,"Chichicastenango",6,2590,380,54,57,2,1,8,53,3,0,0,1,4,1,1,28,213,1,1,215,0,215,0,380,165,213,215,215,,1,40c41cd0ba1ff4a5a4586626f38afa4dc7e1ec8064e8be89def349f95bfc9888,26/06/2023 01:10:27,ESCANER
17180,"Quiché",14,"Chichicastenango",6,2590,380,65,58,2,2,4,45,0,0,0,0,2,0,0,18,196,4,1,201,0,201,0,380,179,196,201,201,,1,4373f1cfbf0a6f5dd53f56d6a3c45d49f9b9033e8a65b6df3a675faf7dfdbd96,26/06/2023 00:16:46,ESCANER
17181,"Quiché",14,"Chichicastenango",6,2590,380,55,39,0,2,3,47,4,0,0,2,3,0,1,24,180,4,6,190,0,190,0,380,190,180,190,190,,1,a02dfd8abae579060c5e79f0c621020d803a6c52899c4cbc3e4cd70bc6525f6a,25/06/2023 23:17:40,ESCANER
17182,"Quiché",14,"Chichicastenango",6,2591,380,56,44,2,8,2,43,1,1,15,4,8,1,0,19,204,23,28,255,--,255,0,380,125,204,255,255,Algún campo sin dato,1,514b0752afeefc918f9d7e5277ffaa0463255d657fe23244e6f4e88e8ed99f53,26/06/2023 00:15:17,ESCANER
