TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
49,49,100.0000,49,100.0000,0,18592,12628,67.9216

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,CABAL,AZUL,MLP,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
22267,"Zacapa",19,"La Unión",9,3464,400,59,124,25,4,4,48,264,2,1,267,0,267,0,400,133,264,267,267,,1,16e19cfad832e4e09eb0fa97dbf55c97efa3de08ce31609524beef9af23f6bd2,26/06/2023 04:17:37,ESCANER
22268,"Zacapa",19,"La Unión",9,3465,298,49,86,24,4,1,33,197,4,0,201,0,201,0,298,97,197,201,201,,1,786427c0585962159f95d0d4933493806830a3fe3f2646240167a11fa54b2567,26/06/2023 05:56:20,ESCANER
22269,"Zacapa",19,"La Unión",9,3465,298,42,72,16,4,0,20,154,4,0,158,0,158,1,298,139,154,158,158,,1,3ef23d2c1bca871410913347abd48c2bc61488a2622e66851b92797c9c2b9657,26/06/2023 03:56:18,ESCANER
22270,"Zacapa",19,"La Unión",9,3466,400,40,148,26,4,0,16,234,30,8,272,0,272,0,396,124,234,272,272,,1,aa635d917546ad91cba640737569fce2b22188294828341b8e00be9144643fa5,26/06/2023 03:46:09,ESCANER
22271,"Zacapa",19,"La Unión",9,3466,400,43,153,21,2,0,30,249,23,3,275,0,275,0,400,125,249,275,275,,1,bcbb08cdec310def6f7e885b79f86fce31ad61bd523f49c4283f87ef5b6bbfd2,26/06/2023 03:48:03,ESCANER
22272,"Zacapa",19,"La Unión",9,3466,400,52,110,49,5,2,39,257,21,3,281,0,281,0,400,119,257,281,281,,1,3e228401e1fe07e9fd832ec1f395b0ce951d20d41118dc2502f25cb9e77269d8,26/06/2023 03:57:00,ESCANER
22273,"Zacapa",19,"La Unión",9,3466,400,63,116,45,6,0,44,274,28,5,307,0,307,0,396,89,274,307,307,,1,79ac6f5fd018518ffdb554883091866d48cff675328df16e1dea35dda94b2c58,26/06/2023 04:01:45,ESCANER
22274,"Zacapa",19,"La Unión",9,3466,400,64,133,35,9,2,33,276,15,4,295,0,295,0,400,105,276,295,295,,1,c5a4611c1a46206f4be223a52ff85a15f2c493c40577afdc84056b42392b563d,26/06/2023 05:57:05,ESCANER
22275,"Zacapa",19,"La Unión",9,3466,400,105,110,38,7,4,41,305,23,2,330,0,330,0,400,70,305,330,330,,1,f9bc04929a1f947bdf79fd4a581775d771c5cec45d0319e16fc3b99085da9e8c,26/06/2023 05:35:16,ESCANER
22276,"Zacapa",19,"La Unión",9,3466,400,82,128,39,3,4,39,295,18,2,315,0,315,0,400,85,295,315,315,,1,fa819481d293a4a76ee2cb3f2758224e778facd849759d712d7b02e08a8d4bce,26/06/2023 06:07:08,ESCANER
