TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
69,69,100.0000,69,100.0000,0,25674,15855,61.7550

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,VICTORIA,VIVA,PODEMOS,WINAQ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16030,"Huehuetenango",13,"San Mateo Ixtatán",18,2357,400,79,13,10,119,0,18,239,3,3,245,0,245,--,397,152,239,245,245,Algún campo sin dato,1,341c74b74bc84dfce1e232ed3a6084d4da4fc3a6e8af3151d4ef3eb03f0fd265,25/06/2023 22:02:35,ESCANER
16031,"Huehuetenango",13,"San Mateo Ixtatán",18,2357,400,120,17,7,74,0,17,235,2,5,242,0,235,--,400,158,235,242,242,Sumas Asentadas sin cuadrar,1,fbf5810b937ec519ef576fa3981d1554ad8771e7cbe7213a01c7d3add6b04dc6,25/06/2023 22:50:29,ESCANER
16032,"Huehuetenango",13,"San Mateo Ixtatán",18,2357,345,70,18,3,59,0,5,155,3,6,168,4,159,--,345,177,155,164,168,Sumas Asentadas sin cuadrar,1,7c47b1fa3ceb7323fb583f1bf651953a3366ca5a56a71a7f4f3f170910247864,25/06/2023 21:05:42,ESCANER
16033,"Huehuetenango",13,"San Mateo Ixtatán",18,2357,344,75,14,9,87,--,12,197,4,3,204,140,344,--,204,140,197,204,344,Algún campo sin dato,1,8ceb810ded8d40fe84b5664e645372533878d59ce2b61e7da814496a383ef4fd,26/06/2023 00:26:55,ESCANER
16034,"Huehuetenango",13,"San Mateo Ixtatán",18,2358,400,46,85,1,23,0,19,174,4,5,183,0,183,--,400,217,174,183,183,Algún campo sin dato,1,4d6d902ceb0f0361abc5e6d73b97e7f923eb6852d9f9e864458fb283c81c873a,25/06/2023 21:44:51,ESCANER
16035,"Huehuetenango",13,"San Mateo Ixtatán",18,2358,400,12,28,4,38,0,31,113,4,4,121,1,122,--,400,279,113,121,122,Algún campo sin dato,1,ad155249b27f2aef7046c7ea01e9668b74600f0edf5defa5e857864862a1faf8,25/06/2023 21:52:22,ESCANER
16036,"Huehuetenango",13,"San Mateo Ixtatán",18,2358,400,32,52,4,24,0,13,125,3,2,130,0,130,--,400,270,125,130,130,Algún campo sin dato,1,2ec5df1e51d53e8636d311de50e814047292532062963075fb4cf0bf8f32e3cb,25/06/2023 20:34:51,ESCANER
16037,"Huehuetenango",13,"San Mateo Ixtatán",18,2358,400,35,50,2,27,0,20,134,0,3,137,0,137,--,400,263,134,137,137,Algún campo sin dato,1,8c0e39ae5106d10677c667be20cdbfaffb03db8fafc5b93b4e6ddbdbafe89c3d,25/06/2023 21:22:33,ESCANER
16038,"Huehuetenango",13,"San Mateo Ixtatán",18,2358,339,29,50,0,25,0,14,118,3,3,124,0,124,--,339,215,118,124,124,Algún campo sin dato,1,4deaf88ae18191f477ed53c1efa6536482beab9c2a57f5d4884cd96be187390c,25/06/2023 21:33:29,ESCANER
16039,"Huehuetenango",13,"San Mateo Ixtatán",18,2358,339,20,46,2,29,0,8,105,3,1,109,0,109,--,339,230,105,109,109,Algún campo sin dato,1,7e71e07750eb61101ebfe0030b477cfd1ccecd83fc6107f167a3036eaa0aca41,25/06/2023 21:04:14,ESCANER
16040,"Huehuetenango",13,"San Mateo Ixtatán",18,2359,380,158,51,6,45,0,2,262,9,4,275,1,276,0,377,101,262,275,276,,1,c886a8bd3a03a4c47d0c396bdc8e3f2c1147073e8f89fce97446d954092e21cc,26/06/2023 01:01:28,ESCANER
16041,"Huehuetenango",13,"San Mateo Ixtatán",18,2359,380,181,47,1,34,0,1,264,2,4,270,5,275,--,--,--,264,270,275,Algún campo sin dato,1,1c7451b5bd90ea9d2020dbe6c07f088c6e402c30a93f6c2ea8ec19cfbc7b36a5,26/06/2023 01:38:17,ESCANER
16042,"Huehuetenango",13,"San Mateo Ixtatán",18,2359,380,117,34,0,61,0,2,214,5,9,14,0,228,--,377,149,214,228,228,Sumas Asentadas sin cuadrar,1,1a7bab1514f7e05cdb754871b67d50a834a1163edb24250c635b45c9f3cf2056,26/06/2023 01:15:23,ESCANER
16043,"Huehuetenango",13,"San Mateo Ixtatán",18,2359,380,111,33,8,43,0,3,198,9,3,210,0,210,--,385,175,198,210,210,Algún campo sin dato,1,e26038fa73e023714261221b7fa3db3bb603d1b860058ccebec3c3dc7fd39e0b,25/06/2023 22:09:08,ESCANER
16044,"Huehuetenango",13,"San Mateo Ixtatán",18,2359,380,118,37,5,47,0,5,212,3,5,220,0,0,--,220,157,212,220,220,Algún campo sin dato,1,3765227d8953a974b7c84a2fa8637cd7454a8ef8a29ffba0c55b9241bd6c9293,26/06/2023 01:18:59,ESCANER
