TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
103,98,95.1456,95,92.2330,3,35835,24300,67.8107

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPN,VALOR,UNE,MLP,VAMOS,VIVA,SEMILLA,AZUL,TODOS,WINAQ,ELEFANTE,UR,MAR,CABAL,MI FAMILIA,PODER,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7982,"Escuintla",5,"San José",9,915,380,25,56,39,0,66,7,0,0,5,0,17,0,3,3,1,2,2,226,32,5,263,0,263,--,380,117,226,263,263,Algún campo sin dato,1,8c5c7ce26c7ed572e350dc2e25bc96d3832735a543da439fbce4356adb2deb41,26/06/2023 02:24:09,ESCANER
7983,"Escuintla",5,"San José",9,915,380,17,79,30,3,77,4,2,4,3,2,22,0,4,8,0,0,1,256,19,3,278,0,278,0,380,102,256,278,278,,1,8f8bbd1ac65ed872067367da8a108f32c89461c9f141ff4d977ac8b20ec38688,26/06/2023 03:55:45,ESCANER
7984,"Escuintla",5,"San José",9,915,380,18,60,31,0,51,1,3,13,0,0,19,0,0,0,1,0,0,--,19,4,220,0,220,--,380,160,197,220,220,Algún campo sin dato,1,967ec17ac9ee0e717ad87c32d3c73939dcb1eb8bafb45b11ba6dec39586d3b43,26/06/2023 02:03:15,ESCANER
7985,"Escuintla",5,"San José",9,915,312,77,75,31,0,54,4,1,0,4,0,14,0,1,3,0,0,2,206,8,1,215,0,215,--,312,97,266,275,275,Sumas Asentadas sin cuadrar,1,cb2c6f90f9e441839d08def474f3d0c2504f2e53a97ad84f7ab7861df9aa224c,27/06/2023 19:12:03,ESCANER
7986,"Escuintla",5,"San José",9,915,311,16,55,20,2,49,4,4,0,3,0,11,0,1,2,0,0,1,168,9,2,179,0,179,--,311,132,168,179,179,Algún campo sin dato,1,fd1581adae3e070e9611569b746f04f5c43913ce65de5fa3e4bc1fb08735796f,26/06/2023 03:49:18,ESCANER
7987,"Escuintla",5,"San José",9,916,380,6,86,58,1,67,11,1,1,7,2,14,0,2,1,2,0,0,259,20,6,285,0,285,--,380,95,259,285,285,Algún campo sin dato,1,9da720d21ebccf5fbce8d36f5402d3ab18530a7b9af969213cc001ca65601a49,26/06/2023 00:13:57,ESCANER
7988,"Escuintla",5,"San José",9,916,380,7,87,65,1,56,5,0,3,2,1,15,0,6,2,3,0,1,254,17,3,274,0,274,0,380,106,254,274,274,,1,e2eb21ced141a1d917dc4c4018ee7844dcd8c9caf9c97f90ad1cdff83c3b043d,26/06/2023 01:03:31,ESCANER
7989,"Escuintla",5,"San José",9,916,380,6,91,51,0,69,5,2,0,2,1,19,1,2,2,0,2,0,253,13,4,270,0,270,--,380,110,253,270,270,Algún campo sin dato,1,86dabf6c70631ffa236d25b70f8ea1f54cca4d7a66add9129cc24e6f075ef2da,25/06/2023 23:46:04,ESCANER
7990,"Escuintla",5,"San José",9,916,380,6,84,64,1,55,1,0,0,3,0,15,0,6,2,3,0,0,240,19,5,264,0,264,0,0,0,240,264,264,,1,c6c2840765e6df430b0b12b37047944ada253861c93f3ebf212eda8a382dfd57,26/06/2023 01:20:36,ESCANER
7991,"Escuintla",5,"San José",9,916,232,3,51,42,0,39,3,2,1,2,1,9,0,1,1,0,0,0,155,7,0,162,0,162,0,0,0,155,162,162,,1,ed3214127382980a612fcef33993a7eb14f6547916e259cb80ca0335ee586534,25/06/2023 22:42:02,ESCANER
7992,"Escuintla",5,"San José",9,916,231,4,52,46,0,26,0,1,0,3,0,6,0,0,2,2,0,0,142,8,0,150,0,150,1,231,80,142,150,150,,1,5401458121c788b2ef4d8958062db1fa366ce18be50ba8db271b1d3248e0c66b,25/06/2023 22:58:33,ESCANER
7993,"Escuintla",5,"San José",9,917,380,25,81,45,2,47,7,2,1,11,1,12,0,0,3,1,1,1,240,31,5,276,0,276,--,380,104,240,276,276,Algún campo sin dato,1,cfc9dc26cd00acfd1204776ccd0fde1abd21b1dd2ddaf87e9b08ed117e893ed1,26/06/2023 02:33:50,ESCANER
7994,"Escuintla",5,"San José",9,917,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,6e8d1615de83614b595951a8cc6a0b5d72052bb8925324da9bf75143492576f0,27/06/2023 23:48:56,ESCANER
7995,"Escuintla",5,"San José",9,917,380,23,84,51,1,51,10,7,0,11,1,14,2,3,1,2,0,0,261,30,5,296,0,296,0,380,84,261,296,296,,1,a7f69add16535bcc25bf4001eebb4fb7eb1410abc4b6e9857e2fff7decc558fe,27/06/2023 14:01:27,ESCANER
7996,"Escuintla",5,"San José",9,917,380,25,89,40,0,59,9,5,0,7,1,21,1,1,1,5,0,0,264,23,2,289,0,289,--,380,91,264,289,289,Algún campo sin dato,1,7a777ea808f73df893680de86040059c21e24de9f5c51e2876f17bab4dcb8c08,27/06/2023 20:25:43,ESCANER
7997,"Escuintla",5,"San José",9,917,380,34,85,34,0,52,8,1,1,7,0,15,0,0,1,0,0,0,238,24,2,264,0,264,0,380,116,238,264,264,,1,1dcc700a0dd369908268cbebcb3ee73e474287c087dc82ae4a4a751a90eae136,26/06/2023 03:11:40,MOVIL
7998,"Escuintla",5,"San José",9,917,380,35,79,52,1,35,13,0,2,5,1,13,0,2,2,0,0,0,240,23,5,268,--,--,--,--,--,240,268,268,Algún campo sin dato,1,f34e4a970005f8e423e75066e973a292296956f51163a01d2a1108da74fffb32,26/06/2023 02:11:05,ESCANER
7999,"Escuintla",5,"San José",9,917,380,24,77,36,0,42,4,3,0,10,1,6,0,1,1,0,0,1,206,23,2,231,0,231,0,380,149,206,231,231,,1,6ef2f89ec096a267683f7d150b33c6c6a706795b17ab8628eb9c1e3b2dbad469,25/06/2023 23:43:29,ESCANER
8000,"Escuintla",5,"San José",9,917,380,26,79,41,1,49,7,3,2,9,0,20,0,2,0,1,0,1,241,13,2,256,0,256,--,--,--,241,256,256,Algún campo sin dato,1,ff6938fd503b15682e6afe14ee5dc234157ffd35905d830f5f2cecdee6c542f0,27/06/2023 15:44:10,ESCANER
8001,"Escuintla",5,"San José",9,917,380,28,64,45,0,47,6,4,2,9,0,14,0,1,4,0,1,0,225,28,1,254,0,254,--,380,126,225,254,254,Algún campo sin dato,1,d23151349f0eea1830a9e09d3222be541536b2169ae8283ad398b2d9280a43fc,27/06/2023 16:47:54,ESCANER
8002,"Escuintla",5,"San José",9,917,380,22,76,33,0,38,7,4,0,2,0,16,0,1,1,0,0,0,200,8,0,208,0,208,--,380,172,200,208,208,Algún campo sin dato,1,1188b98ef77ab48738aac27ec9a599d2402f3dcf463323d2f6f12d610b569573,25/06/2023 23:57:14,ESCANER
8003,"Escuintla",5,"San José",9,917,380,27,98,33,0,58,9,2,0,10,0,8,0,0,2,0,0,0,247,6,0,253,0,253,0,376,123,247,253,253,,1,42cf37d31c30035929324e56c69354263fb59cb092becd7447104b9a7a1908f0,26/06/2023 01:19:20,ESCANER
8004,"Escuintla",5,"San José",9,917,265,14,44,28,0,29,4,2,0,6,0,7,0,1,0,0,0,0,135,5,2,142,123,265,--,265,123,135,142,265,Algún campo sin dato,1,4aced44f54a0553b9983242314e3c5527b7d5ffe53a72726413e524703f11c9e,25/06/2023 23:37:19,ESCANER
8005,"Escuintla",5,"San José",9,917,265,12,50,28,0,26,7,3,0,5,0,7,0,0,2,0,0,0,140,5,3,148,9,157,--,262,105,140,148,157,Algún campo sin dato,1,b224fbef78b5cb7808fb443113b9b64fa141493a7f14ee1cf81f4933226d3f29,26/06/2023 01:50:16,ESCANER
8006,"Escuintla",5,"San José",9,918,380,19,35,104,0,47,6,1,3,2,1,19,0,1,1,1,9,2,251,21,5,277,0,277,0,380,103,251,277,277,,1,fcd85de09cb026a8b538601f6c61c0281e14d34bf087c2d7ca4af97e9544e27e,26/06/2023 01:43:02,ESCANER
8007,"Escuintla",5,"San José",9,918,380,16,41,87,1,56,4,0,1,3,0,21,0,3,1,2,4,0,240,23,5,268,0,268,0,380,112,240,268,268,,1,c85d407f7b59b61d35a5b3c735367e9c7fc52e108b0734079d11c6000cb4c383,25/06/2023 23:06:36,ESCANER
8008,"Escuintla",5,"San José",9,918,380,23,33,84,1,47,8,0,3,3,0,15,2,1,2,2,11,4,239,22,6,267,0,267,0,380,113,239,267,267,,1,ab4792a6ecafcf641270de99dfbcacae1632be83a312950ff68ef00192b6bb33,25/06/2023 23:45:48,ESCANER
8009,"Escuintla",5,"San José",9,918,380,18,39,92,1,33,1,2,2,0,0,15,0,0,2,1,4,1,211,17,3,231,1,232,0,380,148,211,231,232,,1,cf7026a2f6888b88b0177e6174945ee39503bef1be878d1de9b8fda59fb6e756,25/06/2023 23:50:14,ESCANER
8010,"Escuintla",5,"San José",9,918,380,18,29,100,1,42,5,2,2,2,1,15,0,1,0,2,12,4,236,29,5,270,0,270,--,380,110,236,270,270,Algún campo sin dato,1,96e13d2b32ed06698a09ecb8449b8c586a1b98d73e87696ce92d786e8f225c77,26/06/2023 05:48:31,ESCANER
8011,"Escuintla",5,"San José",9,918,380,28,27,89,0,47,4,2,2,3,0,17,0,0,1,1,7,1,229,30,6,265,0,265,0,377,112,229,265,265,,1,93ff665c7d776e015af246728754b35cae7702e49fed389aaa7f4ec8cdf20cb7,25/06/2023 23:10:29,ESCANER
8012,"Escuintla",5,"San José",9,918,380,25,36,84,0,31,4,0,4,4,1,28,0,3,0,4,7,0,231,16,4,251,0,251,0,380,129,231,251,251,,1,ea72e11d6323f1b46cec6a70df2484e2efba7ae64aa92a414672c38e6c757cad,26/06/2023 01:10:57,ESCANER
8013,"Escuintla",5,"San José",9,918,380,21,32,83,0,37,5,4,1,1,0,3,0,0,0,0,7,0,194,24,160,378,0,378,--,378,160,194,378,378,Algún campo sin dato,1,22fcd57e992ead8807e65fd905ef806e618b4c400f80cc7465ccb0698c82004b,26/06/2023 05:46:43,ESCANER
8014,"Escuintla",5,"San José",9,918,380,15,32,77,0,38,9,3,1,1,1,18,1,0,0,0,12,1,209,7,0,216,0,216,0,380,164,209,216,216,,1,2d8878e73a4e862b21d01d3dcfd5f4f580a15384f1ed1ce988c484d9188e6df2,26/06/2023 01:17:29,ESCANER
8015,"Escuintla",5,"San José",9,918,319,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Suma Excede Padrón,0,211c90542445e27ff98157f59ccf926f2355b8e3e9c16a7e05f93fb031e8a276,26/06/2023 05:45:28,ESCANER
8016,"Escuintla",5,"San José",9,918,318,12,28,54,0,33,3,1,0,4,0,10,0,0,0,1,1,0,147,12,3,162,0,162,--,318,156,147,162,162,Algún campo sin dato,1,8dcf87e8a269dbe2ccc4c2eacfd3be3ff109c24346d68c8877dced327a27de73,26/06/2023 02:12:56,ESCANER
8017,"Escuintla",5,"San José",9,919,600,28,77,46,1,73,7,1,2,20,1,21,2,5,8,1,1,0,294,22,4,320,0,320,0,598,278,294,320,320,,1,6c42dd532c849327b2c17e16b3c2ac74a600f0017386688f483bcbd7afe5ee2d,25/06/2023 23:46:54,ESCANER
8018,"Escuintla",5,"San José",9,919,585,16,64,54,5,50,8,4,2,9,1,12,0,2,4,1,1,1,234,16,6,256,0,256,0,584,325,234,256,256,,1,dfd19b4add52781548985ef780da868e50ce483ab71f119f84cccd194f6fb381,25/06/2023 23:04:45,ESCANER
8019,"Escuintla",5,"San José",9,919,584,7,23,14,0,18,1,0,1,2,0,2,0,2,1,0,0,0,71,4,1,76,0,76,--,581,505,71,76,76,Algún campo sin dato,1,fe881aa38a77d223ceb0499cee3469170434bcdbb116ab646926c586ea2cc0b7,25/06/2023 23:58:45,ESCANER
