TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
103,98,95.1456,95,92.2330,3,35835,24300,67.8107

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PPN,VALOR,UNE,MLP,VAMOS,VIVA,SEMILLA,AZUL,TODOS,WINAQ,ELEFANTE,UR,MAR,CABAL,MI FAMILIA,PODER,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7933,"Escuintla",5,"San José",9,907,400,28,90,49,3,49,11,5,2,18,2,11,0,2,4,0,1,0,275,10,115,275,0,400,--,400,115,275,400,400,Sumas Asentadas sin cuadrar,1,7d1646eb2aa81277c22b9d7f3b7d6f8441b47ab3b931294f69e0be8a3c663a56,27/06/2023 13:53:56,ESCANER
7934,"Escuintla",5,"San José",9,907,400,19,93,46,1,46,3,2,0,5,0,10,0,4,8,0,1,0,238,20,1,259,0,259,--,400,141,238,259,259,Algún campo sin dato,1,9d0e53d84e1cbaba4dffc6dc7d8a04a5eeb3fd5d53e6863a32095f4c6e849920,26/06/2023 02:35:16,ESCANER
7935,"Escuintla",5,"San José",9,907,400,16,93,46,0,71,5,2,0,6,0,12,0,8,7,1,3,0,270,11,0,281,0,281,--,400,119,270,281,281,Algún campo sin dato,1,ddca1d1e6cd0d0cd55e7aa8d3eaf979f3b9210a25ebcfd8c6ef0892398183c61,27/06/2023 13:55:42,ESCANER
7936,"Escuintla",5,"San José",9,908,400,25,84,58,1,67,6,3,0,8,2,11,1,4,1,0,0,0,271,21,0,292,0,292,--,400,108,271,292,292,Algún campo sin dato,1,e238cdedfdb2f942227898b7177bede286e3e24074ce92adeb6268962e979c73,27/06/2023 14:11:52,ESCANER
7937,"Escuintla",5,"San José",9,908,400,8,80,52,3,57,11,2,0,16,3,11,1,0,3,0,0,1,248,13,3,264,0,264,--,400,136,248,264,264,Algún campo sin dato,1,8570c32e17a029db29d2b00306515b3c7d6aa496469562fd001dccccd6dfa790,26/06/2023 01:41:58,ESCANER
7938,"Escuintla",5,"San José",9,908,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
7939,"Escuintla",5,"San José",9,908,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
7940,"Escuintla",5,"San José",9,908,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
7941,"Escuintla",5,"San José",9,908,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
7942,"Escuintla",5,"San José",9,908,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
7943,"Escuintla",5,"San José",9,908,400,15,86,50,2,46,6,1,0,4,0,2,0,6,4,0,2,0,--,11,1,224,--,236,--,400,164,224,236,236,Sumas Asentadas sin cuadrar,1,b7446ec85abad2e4c3b5673d318cb04905e1fc629c68438d16fcf45da4af6251,26/06/2023 00:29:33,ESCANER
7944,"Escuintla",5,"San José",9,908,204,16,37,34,--,25,--,2,--,5,--,6,--,3,3,--,1,--,134,2,2,--,--,136,--,--,--,132,136,136,Sumas Asentadas sin cuadrar,1,fdfb705d4f165cd53318a1f79d283cdde55222613d70914e21eae352d986f558,25/06/2023 22:33:57,ESCANER
7945,"Escuintla",5,"San José",9,908,204,7,37,21,0,19,1,2,0,8,0,3,1,2,2,0,1,0,104,7,2,113,0,113,0,204,91,104,113,113,,1,fa9bbf53ebbffd57006e038a25fae9abb6659a4f86e67a58eed9a8b6ff577999,26/06/2023 01:11:21,ESCANER
7946,"Escuintla",5,"San José",9,909,400,17,100,55,0,54,7,3,2,11,1,8,2,1,2,0,1,1,265,22,2,289,0,289,--,400,111,265,289,289,Algún campo sin dato,1,64491d88c117bf3592fccafb8dba970b60b85d0c6f3f1d1eace1256f29ab93c1,27/06/2023 14:08:09,ESCANER
7947,"Escuintla",5,"San José",9,909,400,7,98,62,1,69,9,1,1,7,0,12,0,1,4,0,3,1,276,16,2,294,0,294,--,397,103,276,294,294,Algún campo sin dato,1,4defc1ead41837ffd4c743cee8869ef529df8dbe78eb7a351018f760e1c6de93,26/06/2023 01:49:45,ESCANER
7948,"Escuintla",5,"San José",9,909,400,15,77,48,0,76,6,2,0,14,0,20,0,1,2,0,0,4,265,13,122,400,0,400,--,400,116,265,400,400,Algún campo sin dato,1,c3a78b09495de123891de1648ee3ba7fb8cce9177a4bb3110c57fee374b93ad0,27/06/2023 14:10:17,ESCANER
7949,"Escuintla",5,"San José",9,909,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,48d81eab616055e2f8af74375ea16b4ddfb8a2c1821f0448a7be5c4faa8d067e,27/06/2023 16:00:47,ESCANER
7950,"Escuintla",5,"San José",9,909,400,7,99,52,0,79,7,3,0,8,0,19,0,1,7,0,0,2,284,15,2,301,0,301,--,400,99,284,301,301,Algún campo sin dato,1,8a09807ad1c03b3425b29d3c00136247e24c571aace1bf2c14b565c52280eb4c,27/06/2023 14:06:57,ESCANER
7951,"Escuintla",5,"San José",9,909,400,15,118,51,0,64,4,1,0,11,0,16,0,1,3,1,0,0,285,16,2,303,0,400,--,400,97,285,303,303,Sumas Asentadas sin cuadrar,1,8ad90d3f83bccf0af588c6783eb29946967e70c90f6924897dee8c6118f97b2f,27/06/2023 14:04:53,ESCANER
7952,"Escuintla",5,"San José",9,909,400,19,121,37,1,80,6,3,1,9,0,13,2,1,2,0,0,1,296,19,1,316,0,316,--,400,84,296,316,316,Algún campo sin dato,1,e755f0d26d2c9d33be093c4c2c60609226688a3c1466a3fd173f462f5895eea5,27/06/2023 14:02:53,ESCANER
7953,"Escuintla",5,"San José",9,909,400,20,104,44,3,86,2,2,0,13,0,21,0,2,3,1,1,1,303,21,5,329,0,329,--,400,71,303,329,329,Algún campo sin dato,1,643f9c78e0ede1232540fb42ef2ccee3c880c18c561d557a6f695d69515e7e7e,26/06/2023 00:10:09,ESCANER
7954,"Escuintla",5,"San José",9,909,400,14,91,57,0,57,7,4,0,12,1,8,0,1,1,0,2,0,255,18,1,274,0,274,--,400,126,255,274,274,Algún campo sin dato,1,23ff438013d0ecef8a0bb7dbe36e41c7805324ec74cb6620f26c8c763394b5ac,26/06/2023 01:08:06,ESCANER
7955,"Escuintla",5,"San José",9,909,400,17,102,55,2,61,7,1,0,6,0,7,0,3,3,1,0,1,266,7,2,275,0,275,--,400,125,266,275,275,Algún campo sin dato,1,2c26aefa8bd8896d19d21dadfb3cf4df6ae5c670ed31758b745caf9d0e103716,26/06/2023 00:28:44,ESCANER
7956,"Escuintla",5,"San José",9,910,400,22,87,62,2,83,6,0,0,5,0,4,0,2,1,0,0,1,293,13,5,293,0,293,--,396,103,275,293,293,Sumas Asentadas sin cuadrar,1,3330c9ceed90be15ebf4d58daac7903b005ff0daccf0cf444f7f972478cc1efc,25/06/2023 22:53:02,ESCANER
7957,"Escuintla",5,"San José",9,910,400,15,85,56,3,78,8,2,1,9,0,10,0,2,4,0,0,2,275,29,2,306,0,306,--,400,94,275,306,306,Algún campo sin dato,1,c5eb9a12c73e815b0a4717c5a5dd2debb815d570e8530dd7107f590089e1f2b6,26/06/2023 05:48:58,MOVIL
