TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,43,100.0000,0,16049,11057,68.8952

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PODEMOS,VIVA,MLP,CAMBIO,TODOS,CABAL,VALOR,UNE,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12530,"Suchitepéquez",10,"Río Bravo",20,1712,400,104,1,5,1,0,77,5,20,4,0,217,4,0,221,0,221,--,400,179,217,221,221,Algún campo sin dato,1,94f3e7aef052dcf04a7bc68931388bf346b827609f213f3b9ac31bad2844370f,26/06/2023 04:35:47,ESCANER
12531,"Suchitepéquez",10,"Río Bravo",20,1712,400,137,1,3,0,0,106,3,32,1,0,283,1,1,285,0,285,--,--,--,283,285,285,Algún campo sin dato,1,815e75f3c0939bdd1267c21449b1c288c2d123eb1c2d337e8819fb622f9bf65b,26/06/2023 00:40:09,ESCANER
12532,"Suchitepéquez",10,"Río Bravo",20,1712,400,105,0,3,0,1,96,2,37,3,1,248,9,1,258,0,258,--,400,142,248,258,258,Algún campo sin dato,1,69faafd0169f19222b7e7a806b0c83886d580cc935fcad816cf9777e1fdfddef,26/06/2023 05:52:14,ESCANER
12533,"Suchitepéquez",10,"Río Bravo",20,1712,219,45,0,3,1,1,54,0,17,2,0,123,2,1,126,0,126,--,219,93,123,126,126,Algún campo sin dato,1,f8f83ae0dd8350255329927bae8d94bd28ab524196013972fa018625dd8b6f47,25/06/2023 23:42:08,ESCANER
12534,"Suchitepéquez",10,"Río Bravo",20,1712,218,49,1,4,0,1,37,1,10,1,0,104,4,2,110,0,110,--,218,108,104,110,110,Algún campo sin dato,1,077c5d6ce4bdb5cfcdfcb3d4ebb84029d55bc683725c718f8048b7035bc6452f,25/06/2023 23:25:33,ESCANER
12535,"Suchitepéquez",10,"Río Bravo",20,1713,400,106,7,8,0,1,103,8,11,4,2,250,36,2,288,0,288,--,400,112,250,288,288,Algún campo sin dato,1,3b25c678a6801f7df63c64629c525c74af9707950d26fd8c5a7391a548c70bcc,26/06/2023 01:13:22,ESCANER
12536,"Suchitepéquez",10,"Río Bravo",20,1713,400,111,5,15,1,1,93,12,24,11,1,274,30,5,309,0,309,0,400,91,274,309,309,,1,6327b9515064318054622adfdf3293ad7ecb86876f98908655f49caf1141e314,25/06/2023 23:58:39,ESCANER
12537,"Suchitepéquez",10,"Río Bravo",20,1713,400,103,3,16,1,1,102,14,26,10,0,276,43,83,400,0,400,--,400,81,276,402,402,Sumas Asentadas sin cuadrar,1,4f0c8ec8a6428bc1c84369f1038a41d1b21e0a50bed78e0026896e52d8155526,26/06/2023 01:35:04,ESCANER
12538,"Suchitepéquez",10,"Río Bravo",20,1713,400,111,3,8,0,1,98,5,25,11,1,263,40,7,310,0,310,--,400,90,263,310,310,Algún campo sin dato,1,64878e14599330a3e6527f70acde0aa17ff9fe5bac15d6e82fc7f2e62986e012,25/06/2023 23:49:43,ESCANER
12539,"Suchitepéquez",10,"Río Bravo",20,1713,400,96,0,7,1,2,117,6,12,9,2,252,25,2,279,0,279,--,400,118,252,279,279,Algún campo sin dato,1,620c1c39a1f379365df9420e9388ade56f45b24d37a74627932f18bfb6761f22,26/06/2023 00:13:51,ESCANER
