TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
69,69,100.0000,69,100.0000,0,26438,13961,52.8065

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,PPN,CREO,VICTORIA,UNE,MLP,CABAL,VOS,ELEFANTE,PODEMOS,AZUL,BIEN,PHG,SEMILLA,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13980,"San Marcos",12,"El Tumbador",13,1964,400,71,91,15,1,4,1,1,2,3,2,1,2,0,0,1,195,16,1,212,0,212,--,400,188,195,212,212,Algún campo sin dato,1,9e27a1fad36648928068d50f809729ad25da51f9a4b64e6a30d7c619859581fd,26/06/2023 02:01:44,ESCANER
13981,"San Marcos",12,"El Tumbador",13,1964,400,76,74,18,3,8,3,0,1,2,2,0,3,0,0,6,196,22,3,221,0,221,--,400,179,196,221,221,Algún campo sin dato,1,6e32f40e75414571eb198d0cbaf78231bf3c976ea1634650930a7b7b0d27c88e,26/06/2023 00:00:34,ESCANER
13982,"San Marcos",12,"El Tumbador",13,1964,400,83,92,18,0,7,0,1,5,1,2,1,1,1,0,3,215,11,5,231,0,231,--,400,164,215,231,231,Algún campo sin dato,1,7466596b71ce06443dad4cbe3de974b1c10247ae1fcd36b5690d59b988aa6d50,26/06/2023 01:42:34,ESCANER
13983,"San Marcos",12,"El Tumbador",13,1964,367,83,70,12,0,3,0,0,4,0,3,0,3,1,1,1,181,2,1,184,0,184,--,367,183,181,184,184,Algún campo sin dato,1,2f2ac94a5b3bae5c738446debfc8c19a52691e37c2ed73cfb58e3d2dcb4ee43e,25/06/2023 22:51:47,ESCANER
13984,"San Marcos",12,"El Tumbador",13,1964,367,65,86,13,1,2,0,0,2,1,1,0,0,1,0,2,174,6,1,181,0,181,--,367,186,174,181,181,Algún campo sin dato,1,b3bc29c0f4f9e3353217fdb19921dff2ef0ea9f3fc8bf7ef3e6a6be1fadb0fa0,26/06/2023 01:22:48,ESCANER
13985,"San Marcos",12,"El Tumbador",13,1965,380,84,71,7,1,3,1,2,2,2,3,1,1,0,0,0,178,20,7,205,0,205,1,381,176,178,205,205,,1,be227648c78a1705d1d0d5b588cb62785f2e8c09ecd82912a41378d268fb8839,26/06/2023 05:12:32,ESCANER
13986,"San Marcos",12,"El Tumbador",13,1965,380,64,91,21,4,3,2,2,2,1,0,1,2,0,1,1,195,24,9,228,0,228,--,380,152,195,228,228,Algún campo sin dato,1,49d217966adb35dfaf145c42ac43605fe17cd01c782fd10a7b9b41bf3f153e54,26/06/2023 04:48:29,ESCANER
13987,"San Marcos",12,"El Tumbador",13,1965,380,66,79,11,0,7,2,0,3,0,0,2,3,0,1,4,178,32,7,217,0,217,--,380,163,178,217,217,Algún campo sin dato,1,743a9e1f32b420c6fa33b02af785f8030116c6730b73fe846272039bbb095444,26/06/2023 04:50:39,ESCANER
13988,"San Marcos",12,"El Tumbador",13,1965,380,74,88,17,1,8,0,2,2,0,2,1,1,0,0,3,199,29,3,231,0,231,--,380,149,199,231,231,Algún campo sin dato,1,7db7627b1bd891466cc4e2927a542ea4b5bf722d8e22143a14bf8f4b83217cb2,26/06/2023 04:32:41,ESCANER
13989,"San Marcos",12,"El Tumbador",13,1965,380,122,63,20,0,2,4,0,5,0,2,2,0,0,0,1,221,14,6,241,--,--,--,380,139,221,241,241,Algún campo sin dato,1,cc3354445b985c823664f28b06f4723ecf23c376da999e0495d10f609a3f15d0,26/06/2023 05:53:33,ESCANER
