TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
98,97,98.9795,96,97.9591,1,34446,18528,53.7885

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,ELEFANTE,BIEN,AZUL,UNE,WINAQ,PODEMOS,VICTORIA,VIVA,VAMOS,VOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13534,"San Marcos",12,"Concepción Tutuapa",6,1871,380,87,2,25,74,0,2,1,0,1,4,0,1,0,197,19,4,220,0,220,--,380,160,197,220,220,Algún campo sin dato,1,02dd0d9acc5643042f28bec9591a3a98a51e32c7eeb05c346c8657a6f322ea09,25/06/2023 23:43:22,ESCANER
13535,"San Marcos",12,"Concepción Tutuapa",6,1871,280,47,1,14,38,0,4,0,1,2,1,0,0,0,108,8,2,118,0,118,--,277,159,108,118,118,Algún campo sin dato,1,e61e83b616eed465d752135cb324030a587ae137ba6cf7feaa9d7e8244c654e3,25/06/2023 23:15:01,ESCANER
13536,"San Marcos",12,"Concepción Tutuapa",6,1871,279,47,1,17,37,1,3,0,0,4,0,0,0,0,110,11,1,122,0,122,--,276,154,110,122,122,Algún campo sin dato,1,9b97a504941b3781120d6a7e3416a1f37c4097674489f4485d8422fe1da77808,25/06/2023 23:38:22,ESCANER
13537,"San Marcos",12,"Concepción Tutuapa",6,1872,380,34,2,80,32,2,2,0,0,1,1,0,0,0,154,18,12,184,0,184,--,380,196,154,184,184,Algún campo sin dato,1,020d32cb6eec939c68d0059670ad6d01dd1aa4fac78ea1403e9f04340d4f1f95,26/06/2023 00:26:51,ESCANER
13538,"San Marcos",12,"Concepción Tutuapa",6,1872,380,50,0,84,50,2,1,3,1,1,3,2,0,0,197,13,10,220,0,220,--,380,160,197,220,220,Algún campo sin dato,1,915ace216709e336e7147523904b02371fe48bca39e7c3e96e14376462756663,26/06/2023 00:08:51,ESCANER
13539,"San Marcos",12,"Concepción Tutuapa",6,1872,380,55,0,36,78,0,2,0,1,1,3,1,0,0,177,18,13,208,0,208,--,380,169,177,208,208,Algún campo sin dato,1,bfd124c50a2bed385976a736b060bdeaecee54b0a5fa5fd0589bdba709dbc9c5,26/06/2023 00:37:56,ESCANER
13540,"San Marcos",12,"Concepción Tutuapa",6,1872,380,30,1,59,46,3,1,0,0,2,0,1,0,0,143,15,10,168,0,168,--,380,212,143,168,168,Algún campo sin dato,1,92814f652c14be4dd9ee135294160ee0e6ebc5df9bf12a7e1d3df233ca597177,26/06/2023 00:21:21,ESCANER
13541,"San Marcos",12,"Concepción Tutuapa",6,1873,380,44,1,46,48,1,2,0,0,1,4,0,0,0,147,6,7,160,0,160,--,380,220,147,160,160,Algún campo sin dato,1,949f567b2685d1d36b4652dba2fd52080769e4d1bb2fd4fc933fc399003659fe,26/06/2023 00:58:58,ESCANER
13542,"San Marcos",12,"Concepción Tutuapa",6,1873,380,37,0,44,58,3,3,0,0,1,1,0,0,0,147,9,9,0,0,165,--,380,215,147,165,165,Algún campo sin dato,1,223390ef2fd828b8286e787c645ad9777ed3e08250b9a4c596a8c81ef4a10e0d,26/06/2023 01:06:10,ESCANER
13543,"San Marcos",12,"Concepción Tutuapa",6,1873,225,20,1,36,59,0,2,0,0,0,0,0,0,0,118,4,1,123,0,123,--,225,102,118,123,123,Algún campo sin dato,1,c8fbb797dd04379be816ae53a960b0960e400be65951b83cd0144b30093aa8d4,26/06/2023 00:25:36,ESCANER
13544,"San Marcos",12,"Concepción Tutuapa",6,1873,225,16,0,16,50,0,1,0,0,0,0,1,0,0,84,5,5,94,0,94,--,225,131,84,94,94,Algún campo sin dato,1,0c6b98b976ebae4a856eae5ed280644522865e32d98c7f8dd5970d5774489946,26/06/2023 00:40:57,ESCANER
