TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
98,97,98.9795,96,97.9591,1,34446,18528,53.7885

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,ELEFANTE,BIEN,AZUL,UNE,WINAQ,PODEMOS,VICTORIA,VIVA,VAMOS,VOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13579,"San Marcos",12,"Concepción Tutuapa",6,1879,338,20,10,31,80,0,3,1,2,1,1,0,0,0,149,7,3,159,1,160,--,338,179,149,159,160,Algún campo sin dato,1,33c5ecbafc51bff6ce021a61c7d5904f77127f7b017c8e11bfd8c300ef1d641c,26/06/2023 03:40:24,MOVIL
13580,"San Marcos",12,"Concepción Tutuapa",6,1879,337,29,8,23,85,0,5,0,0,0,0,0,0,0,150,8,2,160,0,160,--,337,174,150,160,160,Algún campo sin dato,1,145eaa49db8e8b6e40d6184d03b1bccb91e14a1f1eaf6138912ecbc26440df44,26/06/2023 02:16:37,MOVIL
13581,"San Marcos",12,"Concepción Tutuapa",6,1880,380,88,0,20,78,4,3,0,1,15,4,2,0,0,215,26,3,244,0,244,0,380,136,215,244,244,,1,6c05557e027ba92e9275def790b667bf1b2aa610a69742a48e57e27066fa90f5,26/06/2023 00:46:54,ESCANER
13582,"San Marcos",12,"Concepción Tutuapa",6,1880,380,83,2,35,64,3,5,0,0,7,1,3,0,0,203,22,14,239,0,239,--,380,141,203,239,239,Algún campo sin dato,1,0ff7a75173d98f2e93410f886d61f212dde0f3644610fe3bc2d439e1355c22d4,26/06/2023 00:48:31,ESCANER
13583,"San Marcos",12,"Concepción Tutuapa",6,1880,380,66,0,35,62,3,5,1,0,1,2,2,0,0,177,28,11,216,0,216,--,380,164,177,216,216,Algún campo sin dato,1,9ea4529742c841dc26dbdceb156b1564e77f73b7ca5ceaf1d26bbcc944b90fa2,26/06/2023 00:52:53,ESCANER
13584,"San Marcos",12,"Concepción Tutuapa",6,1880,222,25,0,10,33,1,0,0,0,1,1,1,0,0,72,4,4,80,0,80,--,219,139,72,80,80,Algún campo sin dato,1,c1651a2e8a640cfc4e42f7e3c7303b1671fe636483ec73a1d8dae71eff9a68f2,26/06/2023 00:38:09,ESCANER
13585,"San Marcos",12,"Concepción Tutuapa",6,1880,222,27,0,4,26,0,1,0,0,2,0,0,0,0,60,8,1,69,0,69,--,219,150,60,69,69,Algún campo sin dato,1,dac2af15f8c9e6be98f06c70a189e56cfb744a924dfaae5205ef7b3e1d19d86e,25/06/2023 21:23:31,MOVIL
13586,"San Marcos",12,"Concepción Tutuapa",6,1881,380,29,6,64,105,4,7,0,0,2,6,1,0,0,--,19,7,250,--,--,0,380,130,224,250,250,Algún campo sin dato,1,6e27b4662fa7d491d473f9b2df2a99c9f18e49724253c18a6942c429dd188cc0,27/06/2023 14:13:32,ESCANER
13587,"San Marcos",12,"Concepción Tutuapa",6,1881,380,48,8,55,88,3,7,0,1,0,1,2,0,0,213,15,8,236,0,236,0,380,144,213,236,236,,1,b3b153739bde2174de5e8bbf9627159e88bdc4ef40afbdc604bffe4085a17f8a,27/06/2023 14:21:23,ESCANER
13588,"San Marcos",12,"Concepción Tutuapa",6,1881,380,32,7,24,89,2,0,0,0,0,5,0,0,0,159,26,7,192,0,192,--,376,184,159,192,192,Algún campo sin dato,1,bdb224b038240301356c0f8f7c3502c47246c442f25529adfbcb0d4014f5007c,26/06/2023 02:02:43,ESCANER
13589,"San Marcos",12,"Concepción Tutuapa",6,1881,216,18,3,21,47,0,3,0,0,1,3,0,0,0,96,3,4,103,0,103,0,216,113,96,103,103,,1,8b56c71912e47c0ca5378257ac2e1e03bf9795e940d2a49884d46b2202249326,26/06/2023 04:34:13,ESCANER
13590,"San Marcos",12,"Concepción Tutuapa",6,1881,216,17,2,21,50,0,1,0,0,1,0,0,0,0,92,3,1,96,0,96,0,216,120,92,96,96,,1,d1279a9cea067d87730a301fac85b07c80beda066bc1f298ae87a1c5c51257cd,27/06/2023 14:27:38,ESCANER
13591,"San Marcos",12,"Concepción Tutuapa",6,1882,380,79,5,3,126,1,13,1,0,2,5,1,0,0,236,18,15,269,0,269,--,380,111,236,269,269,Algún campo sin dato,1,13b390203637269c05f969e480e110616cd504abc87537b04d0a0b3d1696080b,26/06/2023 01:35:11,ESCANER
13592,"San Marcos",12,"Concepción Tutuapa",6,1882,380,84,1,4,135,0,11,0,0,2,2,1,1,--,241,14,5,260,0,260,--,380,120,241,260,260,Algún campo sin dato,1,161af10afd0e4d46e599e9337a86818e65402e623ef759178ab7f05d1dc81a6e,26/06/2023 04:12:04,ESCANER
13593,"San Marcos",12,"Concepción Tutuapa",6,1882,380,81,2,4,129,0,11,0,2,0,1,2,3,0,235,23,11,269,--,269,--,377,108,235,269,269,Algún campo sin dato,1,50e072d11f8b6055cc3e8ff871e22ce1b9ee18028036f16b6c584eb4529ef452,26/06/2023 00:55:24,ESCANER
13594,"San Marcos",12,"Concepción Tutuapa",6,1882,380,55,1,4,100,0,7,2,0,1,8,1,0,0,179,7,2,188,0,188,--,380,192,179,188,188,Algún campo sin dato,1,4fa642cf679590e75477e7b69dafb2382164afe079240fda57db3ba5fc5281bd,26/06/2023 01:02:18,ESCANER
13595,"San Marcos",12,"Concepción Tutuapa",6,1882,379,63,0,5,107,0,7,1,0,1,1,0,1,0,186,9,6,201,0,201,--,379,178,186,201,201,Algún campo sin dato,1,755da868effe20a625daa1fd5b2170644d7b7bf47436dc0bb50fcaf6296afd78,26/06/2023 01:11:47,ESCANER
13596,"San Marcos",12,"Concepción Tutuapa",6,1882,378,56,2,2,122,0,4,0,0,0,0,0,4,0,190,8,3,201,--,--,--,378,177,190,201,201,Algún campo sin dato,1,f17bbeec1577654864898d53db436d20ca8ceb24f8ae5fdf9a4f4147aa8215fd,26/06/2023 01:26:02,ESCANER
13597,"San Marcos",12,"Concepción Tutuapa",6,1883,380,69,5,34,78,2,4,0,1,5,3,0,2,0,203,18,15,236,144,380,--,380,144,203,236,380,Algún campo sin dato,1,9aaab07315be615e042613aec98b667ac68c6c30501b9e9295d3df2ddf1a8d5b,26/06/2023 02:09:38,ESCANER
13598,"San Marcos",12,"Concepción Tutuapa",6,1883,380,79,4,19,103,3,5,0,0,1,1,1,1,0,217,15,11,243,0,243,--,380,137,217,243,243,Algún campo sin dato,1,0e2c8ef1d036396a5f8542b79b78b93924a43e13be2f25f2c621114af41d4735,26/06/2023 02:02:11,ESCANER
13599,"San Marcos",12,"Concepción Tutuapa",6,1883,380,82,1,25,87,0,3,1,0,5,2,0,0,0,206,12,12,230,1,231,--,380,149,206,230,231,Algún campo sin dato,1,3dc171e87a712540d28453a473f2f10eccbf8d1c886b79b04d1bd83b50c5a0a4,26/06/2023 01:57:20,ESCANER
13600,"San Marcos",12,"Concepción Tutuapa",6,1883,380,53,1,20,67,0,3,0,0,0,2,1,0,0,147,7,6,160,0,160,--,380,220,147,160,160,Algún campo sin dato,1,f1ee7a4db58a3973867844829d1fd2b9735c2198ace115b9e4c4402d2be6b5e9,26/06/2023 01:50:02,ESCANER
13601,"San Marcos",12,"Concepción Tutuapa",6,1883,317,52,2,23,73,1,0,0,0,2,0,0,0,0,153,9,2,164,150,314,0,314,150,153,164,314,,1,899299f903d0f9b56080a4f334481c63675818649be7f8a5ad67a22160221a7a,27/06/2023 14:05:53,ESCANER
13602,"San Marcos",12,"Concepción Tutuapa",6,1883,316,50,0,18,77,0,2,0,0,2,1,0,0,0,150,5,2,157,159,316,0,316,159,150,157,316,,1,3d5f222928dc57dc73cb910d882d119316e030cef506c37e16240938bbd5c925,26/06/2023 02:52:59,ESCANER
13603,"San Marcos",12,"Concepción Tutuapa",6,1884,380,91,1,25,80,0,8,1,1,1,6,1,1,1,217,15,11,243,0,243,--,380,137,217,243,243,Algún campo sin dato,1,4dc276f1f8f658929679942e5cec865367c5a87a79c9c7068779c657c3501f45,26/06/2023 01:25:38,ESCANER
13604,"San Marcos",12,"Concepción Tutuapa",6,1884,380,88,4,18,63,2,3,0,0,1,4,0,1,0,184,14,4,202,0,202,--,380,178,184,202,202,Algún campo sin dato,1,c2ab0dbc1dcf8a230632adcf5593bf8d9685849569deb77499318c32714895c9,26/06/2023 01:25:29,ESCANER
13605,"San Marcos",12,"Concepción Tutuapa",6,1884,380,96,1,20,77,3,6,1,--,1,1,2,2,0,0,10,6,210,210,226,--,381,155,210,226,436,Sumas Asentadas sin cuadrar,1,f2096e408c862226f77a03b0ead1baf0e525cbf5b280a03dfec7add309aea4ee,26/06/2023 01:59:42,ESCANER
13606,"San Marcos",12,"Concepción Tutuapa",6,1884,380,90,1,20,61,2,6,0,0,1,0,0,0,0,181,17,12,210,0,210,--,380,170,181,210,210,Algún campo sin dato,1,8fd68923d26cabeb865e5f0ab9c50b6f88dd73d3f53a90dd60d7d8c862be9298,26/06/2023 01:16:48,ESCANER
13607,"San Marcos",12,"Concepción Tutuapa",6,1884,380,85,0,17,76,0,9,0,0,1,3,0,0,0,191,13,8,212,0,212,--,377,165,191,212,212,Algún campo sin dato,1,50e8f539452878d5455fc55439286085ba105dd755d5bbb2a649d8f31c7666e8,26/06/2023 01:01:25,ESCANER
13608,"San Marcos",12,"Concepción Tutuapa",6,1884,380,78,0,17,69,1,6,0,0,3,2,0,0,0,176,12,11,199,--,199,--,380,181,176,199,199,Algún campo sin dato,1,954a6b8500ed693fbfaa5d668df0fe4617ef030d5312c0fdd086422b60ef0352,26/06/2023 01:32:07,ESCANER
13609,"San Marcos",12,"Concepción Tutuapa",6,1884,380,64,0,19,73,3,3,1,0,0,3,0,2,0,168,11,5,184,0,184,--,380,196,168,184,184,Algún campo sin dato,1,e0fd415fcdc382d346497a2e77e5dc020a660ed19829c19a00642e352406197b,26/06/2023 01:31:21,ESCANER
13610,"San Marcos",12,"Concepción Tutuapa",6,1884,271,54,1,8,59,0,2,0,0,1,0,0,0,0,125,3,1,129,0,129,--,271,142,125,129,129,Algún campo sin dato,1,d0237ed27883e74af9d2697092f35340b291b2a53be9c206145ff61989e69bb3,26/06/2023 01:11:02,ESCANER
13611,"San Marcos",12,"Concepción Tutuapa",6,1884,271,38,1,8,45,1,1,0,1,0,0,0,0,0,95,3,5,103,0,103,0,271,168,95,103,103,,1,c7eec814d19217ec8ef2d6c17c6d648aa921b226168654616a167d2fd0a731c6,26/06/2023 01:03:36,ESCANER
13612,"San Marcos",12,"Concepción Tutuapa",6,1885,600,71,1,21,52,3,11,0,0,3,6,3,1,0,172,27,7,206,0,206,0,598,392,172,206,206,,1,de1069c528da7c6c58fca7d3070e43dc3f5775e37851749e7194116fab218b75,25/06/2023 23:11:38,ESCANER
13613,"San Marcos",12,"Concepción Tutuapa",6,1885,374,35,0,10,28,0,4,1,0,0,1,1,0,0,80,11,3,94,0,94,0,374,280,80,94,94,,1,1ea2a86def5468b962aff9956a6c8fb214eca88cf9d3b7f09c211f1775110c56,25/06/2023 23:14:13,ESCANER
13614,"San Marcos",12,"Concepción Tutuapa",6,1885,373,16,1,6,10,0,0,0,1,1,2,0,0,0,37,3,1,41,0,41,--,373,332,37,41,41,Algún campo sin dato,1,8dcc585c5163e3365f0dd1604e8c7f334cc10c8039d2640ba3b3a90e80ec7fbf,25/06/2023 23:06:04,ESCANER
