TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,15072,11308,75.0265

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,MLP,PHG,UNE,VAMOS,CABAL,CAMBIO,AZUL,VALOR,TODOS,WINAQ,ELEFANTE,PPN,VIVA,P A N,CREO,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19844,"Alta Verapaz",16,"Lanquín",11,3042,400,7,0,52,68,22,26,18,6,2,17,6,0,14,11,8,5,3,265,3,6,274,1,275,0,400,125,265,274,275,,1,e75b360cfd51c272ddd76d6bc4f8aa43af13d9242717f2069a71bb5b79173e5f,26/06/2023 04:47:17,ESCANER
19845,"Alta Verapaz",16,"Lanquín",11,3043,400,8,1,52,79,26,23,11,5,2,43,7,0,12,12,9,3,0,293,10,5,308,0,308,1,400,91,293,308,308,,1,67619e2792417167dca36b431e45b43d89281c0a49ce9f70feea17a35291a7f8,26/06/2023 01:49:08,ESCANER
19846,"Alta Verapaz",16,"Lanquín",11,3043,400,9,1,47,75,31,16,18,2,6,19,4,1,13,12,8,2,1,265,19,8,292,0,292,0,400,108,265,292,292,,1,c6d10b6e01c9c65fd37af6b0e899ce987c748d8c0fbd04dc330a12460a3679fa,26/06/2023 01:26:13,ESCANER
19847,"Alta Verapaz",16,"Lanquín",11,3044,400,7,0,46,72,28,28,19,2,3,14,7,0,7,13,15,1,0,262,6,0,268,0,268,0,400,132,262,268,268,,1,996c615559793a89c8795fdbb3263aca1ed858add503494c041662fd0f34bc5e,26/06/2023 00:57:47,ESCANER
19848,"Alta Verapaz",16,"Lanquín",11,3044,400,4,0,52,69,28,22,16,4,5,13,7,0,10,4,9,0,2,245,2,4,251,0,251,0,400,149,245,251,251,,1,5e9a02d53dcf730c7dcdff768abf51a8b2f7d2b6ede78f72facbbcb3c01eb1ca,26/06/2023 00:12:28,ESCANER
19849,"Alta Verapaz",16,"Lanquín",11,3044,393,10,2,40,84,22,21,20,4,3,15,1,0,22,10,15,4,0,273,1,3,277,0,277,0,393,116,273,277,277,,1,d4033c1d27c217a006e98c4a518fc96b5cd876fe3ee5596884366356c269243e,26/06/2023 01:48:32,ESCANER
19850,"Alta Verapaz",16,"Lanquín",11,3044,392,12,0,67,74,18,27,22,3,5,22,2,1,6,11,2,0,0,272,2,6,280,0,280,0,392,112,272,280,280,,1,ae89e81f104743682b1958b45eb72ae78abed6d8cb1173044413dac17ae88194,26/06/2023 02:39:56,ESCANER
19851,"Alta Verapaz",16,"Lanquín",11,3045,380,12,0,28,69,35,77,41,1,11,7,1,2,3,1,25,1,0,314,4,9,327,0,327,0,380,53,314,327,327,,1,63d8a3ec816bbadc355f4ace9ea102f60e234b833cda854c7a83137efe4876b2,26/06/2023 02:38:28,ESCANER
19852,"Alta Verapaz",16,"Lanquín",11,3045,380,5,3,37,45,34,77,32,20,9,3,2,1,3,1,11,1,0,284,4,11,299,0,299,1,380,80,284,299,299,,1,267725c5fa159b373bdecef692d6972a4cb31f32bc4b5a0b077072ea5166ade5,26/06/2023 00:03:17,ESCANER
19853,"Alta Verapaz",16,"Lanquín",11,3045,218,2,0,40,33,7,35,23,8,8,2,2,0,1,1,8,0,0,170,0,3,173,0,173,--,218,45,170,173,173,Algún campo sin dato,1,bb13df04f7dc9cdc43940577d2f2f2a39a5228510a27db1cab46185aee91653d,25/06/2023 23:06:55,ESCANER
19854,"Alta Verapaz",16,"Lanquín",11,3045,217,6,0,25,35,9,36,36,3,4,5,1,5,1,0,13,0,0,179,1,0,180,0,180,0,217,37,179,180,180,,1,296eb6f73003d0372eaacd818b841672f3253a09352e86c7bf8ddc7257885ace,25/06/2023 23:33:51,ESCANER
19855,"Alta Verapaz",16,"Lanquín",11,3046,380,6,2,52,44,61,16,10,5,6,13,5,0,25,4,8,2,0,259,24,8,291,0,291,0,380,89,259,291,291,,1,e7d12445fd3cde0fe9b3df6bb5ab2c57c68c07ef3690135852936942234bcebf,26/06/2023 03:21:15,ESCANER
19856,"Alta Verapaz",16,"Lanquín",11,3046,380,4,0,50,101,60,21,14,10,6,5,4,0,20,3,4,1,2,305,17,3,325,0,325,0,380,55,305,325,325,,1,a1b42913d8df82d295254e3decf1226107b231397a6b7a0ac7791817eb31d630,26/06/2023 02:23:12,ESCANER
19857,"Alta Verapaz",16,"Lanquín",11,3046,380,18,1,30,40,49,33,5,3,5,3,4,0,63,4,7,7,0,272,19,8,299,0,299,0,380,81,272,299,299,,1,00a6b270bd12842d072264347c2e2c0f3b91cf2201c24f1883a193ddea4a83c7,26/06/2023 02:47:28,ESCANER
19858,"Alta Verapaz",16,"Lanquín",11,3046,380,16,1,41,66,35,49,9,9,2,4,7,0,20,3,8,5,0,275,16,6,297,1,298,0,377,79,275,297,298,,1,bbb78674831cddcdf520e9fe36fe8e6a33c36512d97e0056d22f15fd5782432a,26/06/2023 02:15:57,ESCANER
19859,"Alta Verapaz",16,"Lanquín",11,3046,380,10,1,29,53,54,15,10,4,9,5,7,0,34,1,4,2,1,239,18,14,271,0,271,--,377,106,239,271,271,Algún campo sin dato,1,d19f1f8eb58cb09d4f1f132bfce6365da79f9fbed8440446bf8b1469f46e0697,26/06/2023 07:45:33,ESCANER
19860,"Alta Verapaz",16,"Lanquín",11,3046,380,7,2,38,59,41,26,4,3,6,1,0,0,24,1,2,5,0,219,16,7,242,0,242,0,380,138,219,242,242,,1,42007ac2c296edf26026158d39a8567f40a20d8aa25cd1f554c07dbd9c58b184,26/06/2023 04:16:47,ESCANER
19861,"Alta Verapaz",16,"Lanquín",11,3046,237,3,0,27,57,33,20,5,3,2,2,1,0,5,1,6,0,2,167,2,2,171,0,171,0,237,66,167,171,171,,1,77ea1474a68d6de6af3f2fc876cf6af7d2d9a911f409ad28598bb026c23ff011,25/06/2023 23:49:10,ESCANER
19862,"Alta Verapaz",16,"Lanquín",11,3046,236,6,2,23,33,30,15,5,2,5,3,2,0,12,0,3,2,1,144,3,1,148,0,148,0,236,88,144,148,148,,1,2dd8a75901a90ed89634c5aeb00ea06964384b7b1a5661a16129f885a51cd3d0,26/06/2023 03:41:13,ESCANER
19863,"Alta Verapaz",16,"Lanquín",11,3047,380,2,3,70,27,53,11,82,2,2,3,4,1,25,1,6,4,0,296,4,6,306,0,306,0,380,74,296,306,306,,1,5b7f97ffecd1715f3ec80e0a041035b1f3a27608f182ee04ab3ee38d0d8b920d,26/06/2023 01:44:43,ESCANER
19864,"Alta Verapaz",16,"Lanquín",11,3047,380,3,1,51,58,59,12,61,2,3,2,3,1,29,0,4,3,0,292,6,0,298,0,298,0,380,82,292,298,298,,1,ca30e319a17ba178d4754bbd727699c8bc0bd6801506f8bc210a03e9195d47d1,25/06/2023 23:42:45,ESCANER
19865,"Alta Verapaz",16,"Lanquín",11,3047,380,1,6,58,51,62,13,60,5,2,2,3,1,32,0,4,2,0,301,5,4,310,0,310,--,377,67,302,311,311,Sumas Asentadas sin cuadrar,1,897a650ce944886cd4f722ec1df0ac03701a8ec9bdd08f30a3b4b5558e8e29c4,26/06/2023 05:55:08,ESCANER
19866,"Alta Verapaz",16,"Lanquín",11,3047,380,0,2,50,53,43,14,43,2,1,4,5,2,24,1,4,3,0,251,8,8,267,0,267,--,377,110,251,267,267,Algún campo sin dato,1,4cda5215bb9b7629ca2306a92225aa6602fa8d884435d01a2e8ce56fd66b6031,26/06/2023 05:55:32,ESCANER
19867,"Alta Verapaz",16,"Lanquín",11,3047,297,2,0,64,36,25,11,62,3,2,1,3,2,12,0,2,2,0,227,1,0,228,0,228,0,297,64,227,228,228,,1,e5aeb081b900adce40c3eff1f3555aa7965e1198fde4d748f5eb07d6795f250d,25/06/2023 23:50:49,ESCANER
19868,"Alta Verapaz",16,"Lanquín",11,3047,296,0,1,43,36,31,15,56,1,2,3,5,0,13,0,4,1,0,211,1,2,214,2,216,0,296,80,211,214,216,,1,4b52b54fb01295ccf438ec281c9e712dad273bfdd100962d3830e23cc070505e,26/06/2023 00:08:54,ESCANER
