TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
123,123,100.0000,123,100.0000,0,45663,25133,55.0401

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,MLP,PPN,AZUL,VAMOS,VIVA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17468,"Quiché",14,"Joyabaj",12,2650,238,0,1,1,30,0,71,1,35,139,2,0,141,0,141,--,238,97,139,141,141,Algún campo sin dato,1,539cda3921403b8bb44f829b56be4da205911301c3d4b6ee6fc3fa0346e6f907,25/06/2023 21:03:55,ESCANER
17469,"Quiché",14,"Joyabaj",12,2650,237,0,1,0,23,0,60,0,53,137,1,1,139,0,139,--,237,98,137,139,139,Algún campo sin dato,1,6a8b61714dbfe530adf9e1c9acc9e9041d3316bff634351eed7be2b95c33828f,25/06/2023 21:06:00,ESCANER
17470,"Quiché",14,"Joyabaj",12,2651,380,26,18,4,15,0,56,5,82,206,13,4,223,0,223,--,380,157,206,223,223,Algún campo sin dato,1,eaa48b6a547ef0089f461d936d26bf6f2ffb19f5864f2871b338af28ab7e1693,26/06/2023 00:13:40,ESCANER
17471,"Quiché",14,"Joyabaj",12,2651,380,26,15,3,20,0,53,3,96,216,11,4,231,0,231,--,380,149,216,231,231,Algún campo sin dato,1,5bd3b0ff51aa826015fcfce9ddd8825a94aac0f9fc82025b99ee802587092f63,26/06/2023 03:30:24,ESCANER
17472,"Quiché",14,"Joyabaj",12,2651,380,13,11,--,23,1,57,7,82,194,13,3,210,--,210,--,380,170,194,210,210,Algún campo sin dato,1,b69c7352b7218589069d135440588f736cf3a18623d922d64d33ae5e53252ebf,26/06/2023 01:12:00,ESCANER
17473,"Quiché",14,"Joyabaj",12,2651,380,27,10,1,10,0,74,2,52,176,6,5,187,0,187,0,380,193,176,187,187,,1,7393cb79adbf88d5b4b70c5130f7a4f334f56b147a8822b911a015546be7bf77,25/06/2023 22:37:06,ESCANER
17474,"Quiché",14,"Joyabaj",12,2651,331,15,7,1,14,1,47,6,72,163,3,1,167,0,167,--,331,164,163,167,167,Algún campo sin dato,1,6a76d4fd1b78f1b2b5e964f3ff83bdb9224d60d84b0f339c07ae605d238e1904,25/06/2023 22:02:45,ESCANER
17475,"Quiché",14,"Joyabaj",12,2651,330,10,4,0,12,0,50,2,71,149,1,3,153,0,153,0,330,177,149,153,153,,1,21cb4d439d45d9c59ab9b5871aeb12d6df451afaed5e2f1377644fd41b538210,26/06/2023 00:07:01,ESCANER
17476,"Quiché",14,"Joyabaj",12,2652,380,3,9,1,20,2,104,0,80,219,11,6,236,0,236,0,380,144,219,236,236,,1,17fa8b2628a46f1b788ad0123e544138b9bec3e70de6278c9ae9ffee789d592b,26/06/2023 00:34:44,ESCANER
17477,"Quiché",14,"Joyabaj",12,2652,380,2,10,0,19,1,121,5,55,213,12,6,231,0,231,--,380,149,213,231,231,Algún campo sin dato,1,190e150e3945ca0e18a78c8c70a3b628aea1a08c56fcf4c27642d7fc6f4a1765,26/06/2023 01:20:56,ESCANER
17478,"Quiché",14,"Joyabaj",12,2652,380,2,4,6,21,0,67,1,68,169,18,11,198,0,198,--,380,182,169,198,198,Algún campo sin dato,1,3d8da3cc0b148db55a70a8c622774759db83e2721f81c0115630424eb04aee62,26/06/2023 00:17:20,ESCANER
17479,"Quiché",14,"Joyabaj",12,2652,380,2,6,3,21,1,98,1,58,190,16,8,214,0,214,--,380,166,190,214,214,Algún campo sin dato,1,2bbdab2c07fe5cf21ccae3325669ecef75d75abc9ff0976c9e8be748389d7128,25/06/2023 23:04:55,ESCANER
17480,"Quiché",14,"Joyabaj",12,2652,380,1,4,1,20,0,80,3,60,169,7,3,179,1,180,--,380,200,169,179,180,Algún campo sin dato,1,8fcaa332d94823ef3b8e7790c2d9d336fc59f1d59993199f6fe0f6ce1c0728c0,25/06/2023 22:54:18,ESCANER
17481,"Quiché",14,"Joyabaj",12,2652,380,0,1,2,19,0,80,1,65,168,8,3,179,0,179,--,380,201,168,179,179,Algún campo sin dato,1,16afbb75c89889aa1c1e7d922644090781752f2ef4fd7479e3f2bdf63e3ab2cf,25/06/2023 23:55:54,ESCANER
17482,"Quiché",14,"Joyabaj",12,2653,366,2,2,3,29,0,98,1,67,202,4,0,206,0,206,--,363,157,202,206,206,Algún campo sin dato,1,448a15c0b6051d9b8a95fee64f5dd59b485281c929f6ecde8d02fa7ae07bb24d,26/06/2023 01:32:40,ESCANER
17483,"Quiché",14,"Joyabaj",12,2653,366,3,9,0,17,0,84,0,70,183,2,2,187,0,187,--,366,179,183,187,187,Algún campo sin dato,1,dfed82245702dcb9692aea58513d6613df2428eb91cd9be82e4c69e748546dd9,26/06/2023 00:09:13,ESCANER
17484,"Quiché",14,"Joyabaj",12,2654,380,9,14,4,11,4,56,2,119,219,18,11,248,1,249,--,380,131,219,248,249,Algún campo sin dato,1,40536616d21ba8c9e2b4beddeed5410ea55657da400f4700b671467371c01b60,26/06/2023 02:43:38,ESCANER
17485,"Quiché",14,"Joyabaj",12,2654,380,1,7,4,12,3,120,2,76,225,10,10,245,0,245,--,380,135,225,245,245,Algún campo sin dato,1,02188010bed6087ccb8609f79721d5f3deb8b9560840e2fd5aa1699ff4113da2,26/06/2023 01:03:40,ESCANER
17486,"Quiché",14,"Joyabaj",12,2654,380,2,21,6,16,2,76,3,84,210,13,3,226,0,226,--,380,154,210,226,226,Algún campo sin dato,1,c274b2e2eb362eee3706dd926a7f482d0436425924cc653d344172c75e185ef3,26/06/2023 02:35:36,ESCANER
17487,"Quiché",14,"Joyabaj",12,2654,380,3,8,0,12,1,89,2,65,180,9,8,197,0,197,--,380,183,180,197,197,Algún campo sin dato,1,dca81d229acb40ce4c6293b90f6c2b4bb9e91b62cc3bb7bba70caf24c27e8860,26/06/2023 02:07:52,ESCANER
17488,"Quiché",14,"Joyabaj",12,2654,380,2,11,1,13,1,59,0,94,181,1,2,184,0,184,--,380,196,181,184,184,Algún campo sin dato,1,9487d53e4f14c75f8f3fe5135e03e81abc705304692efca1bef978946195a20a,26/06/2023 01:30:26,ESCANER
17489,"Quiché",14,"Joyabaj",12,2654,250,1,2,0,13,0,50,0,61,127,4,2,133,0,133,--,250,117,127,133,133,Algún campo sin dato,1,7579c58a6f40a0f77538351d784c726a89fb25d039e3a6189baded7f6641a066,26/06/2023 01:55:17,ESCANER
17490,"Quiché",14,"Joyabaj",12,2654,250,3,9,0,4,0,77,0,53,146,1,5,152,0,152,--,250,98,146,152,152,Algún campo sin dato,1,02d3508cad76639724c6372a1401b67b75aa61484e91ed39ae4bac2650e9bb25,26/06/2023 02:11:14,ESCANER
