TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,15625,9851,63.0464

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,WINAQ,AZUL,CABAL,VAMOS,TODOS,BIEN,VOS,PPN,UNE,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10772,"Quetzaltenango",9,"Olintepeque",3,1429,380,24,4,22,34,89,46,3,1,0,2,1,226,18,6,250,0,250,--,380,130,226,250,250,Algún campo sin dato,1,b38e5ee9df957a58d8aa6940588f3aedfa6e873ce7a91c3479c72aa717c0be5c,26/06/2023 01:19:54,ESCANER
10773,"Quetzaltenango",9,"Olintepeque",3,1429,380,20,5,23,28,84,28,4,3,2,0,6,203,23,7,233,0,233,--,380,147,203,233,233,Algún campo sin dato,1,6284edd29ebcf716792a887918d793b1862a12e75d31170907115dc1f1e98dc7,26/06/2023 01:59:46,ESCANER
10774,"Quetzaltenango",9,"Olintepeque",3,1429,380,11,4,20,47,65,50,1,2,0,0,1,201,13,7,221,0,221,--,380,159,201,221,221,Algún campo sin dato,1,ca8d651c95cbc33a4a5c3c4b7fa8921a4b44cfde82b27b108912ea6decf571d6,26/06/2023 01:11:44,ESCANER
10775,"Quetzaltenango",9,"Olintepeque",3,1429,380,14,6,16,55,70,43,4,3,1,2,1,215,9,7,231,0,231,--,380,149,215,231,231,Algún campo sin dato,1,1f6e8c167cf7d06e30689744e3561c53819c8d19f6ba4f98d276e3e296a87a23,26/06/2023 01:42:42,ESCANER
10776,"Quetzaltenango",9,"Olintepeque",3,1429,380,17,6,18,55,66,47,1,5,1,3,3,222,12,4,238,0,238,--,380,142,222,238,238,Algún campo sin dato,1,d63966e8de06f498319babfee7a959012307662c0e95f178a8c517b415766434,26/06/2023 01:51:57,ESCANER
10777,"Quetzaltenango",9,"Olintepeque",3,1429,380,15,8,18,39,80,36,3,2,0,1,2,204,1,0,205,0,205,--,380,175,204,205,205,Algún campo sin dato,1,0782ea72cd8dabef85a7ab64a18d118c882fbb8be64b400ca3926b2eadfb0629,26/06/2023 01:34:22,ESCANER
10778,"Quetzaltenango",9,"Olintepeque",3,1429,232,25,7,15,21,55,19,4,1,1,1,0,149,1,0,150,0,150,--,232,82,149,150,150,Algún campo sin dato,1,3581c68da6a1f15b6f8952645db78647ddd2829ef418bfd585e09edb6b1b1230,26/06/2023 01:02:53,ESCANER
10779,"Quetzaltenango",9,"Olintepeque",3,1429,231,16,2,19,23,53,28,0,1,0,0,0,142,2,0,144,0,144,--,231,87,142,144,144,Algún campo sin dato,1,6e32bfc0cf3727706c6a1b59681de028e047765cb63489907d8d16131de3bb17,26/06/2023 01:27:05,ESCANER
10780,"Quetzaltenango",9,"Olintepeque",3,1430,380,2,12,20,75,24,123,4,4,1,0,2,267,8,6,281,0,281,--,380,99,267,281,281,Algún campo sin dato,1,1f91b01432632bf287f846065599744e1f479a841ea07bfba6aa8cf576344610,26/06/2023 03:15:39,ESCANER
10781,"Quetzaltenango",9,"Olintepeque",3,1430,380,11,8,24,68,13,123,5,6,1,0,3,262,12,4,278,0,278,--,380,102,262,278,278,Algún campo sin dato,1,22fe71d1db32aa492dbb8f7f3c8dbd1182dcdcb95ec77a1f312708d4fcd74ac8,26/06/2023 03:39:32,ESCANER
10782,"Quetzaltenango",9,"Olintepeque",3,1430,355,6,3,17,62,21,98,0,4,2,0,2,215,10,3,228,0,228,--,352,124,215,228,228,Algún campo sin dato,1,3eb3f885075e73e00e9ff7cbbc3b4a795e4ffbee7ca57c94372799bdc18af836,26/06/2023 03:28:59,ESCANER
10783,"Quetzaltenango",9,"Olintepeque",3,1430,354,10,1,13,91,15,94,5,2,0,0,2,233,5,1,239,0,239,--,354,1,233,239,239,Algún campo sin dato,1,71976c4239708b55a6e49723c76b99d99a9e2523565522135525a7367f3d0758,26/06/2023 03:51:55,ESCANER
10784,"Quetzaltenango",9,"Olintepeque",3,1431,581,19,4,40,48,13,40,4,2,0,0,2,172,21,6,199,0,199,--,585,386,172,199,199,Algún campo sin dato,1,f865fdbf0b4ff4a1a8a6c13b94e87f4a6e4db30272845e538ede28838c8a402c,26/06/2023 00:10:57,ESCANER
10785,"Quetzaltenango",9,"Olintepeque",3,1431,581,16,2,17,53,10,29,6,2,1,0,4,140,7,4,151,0,151,--,581,430,140,151,151,Algún campo sin dato,1,efa760f280ad9e20e8dc421f6d19d011241262acad0e049faa59d895a7c711b4,26/06/2023 00:27:41,ESCANER
