TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
76,76,100.0000,76,100.0000,0,29355,12335,42.0200

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VAMOS,UNE,TODOS,PODEMOS,CABAL,AZUL,VIVA,VALOR,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15433,"Huehuetenango",13,"Soloma",8,2245,400,1,18,18,10,84,65,0,3,9,0,208,9,4,221,0,221,--,400,179,208,221,221,Algún campo sin dato,1,5da9d2f7d8dcfc96281c5aa88283959e29f2ac1a2d657de737885b2eb458c2df,26/06/2023 01:41:16,ESCANER
15434,"Huehuetenango",13,"Soloma",8,2246,400,0,9,12,12,70,50,1,11,12,0,177,4,3,184,0,184,--,400,216,177,184,184,Algún campo sin dato,1,f637c84d411e1c26162e6dfea7fbc7098479e1d9a6f4661354b9e58941f1a3b5,26/06/2023 01:44:02,ESCANER
15435,"Huehuetenango",13,"Soloma",8,2246,400,0,11,12,9,46,49,1,8,15,1,152,3,1,156,0,152,--,400,244,152,156,156,Sumas Asentadas sin cuadrar,1,3425b8448ca298fb9f64535cba712dd2232deb1c57c6b362c590d6385c64da68,25/06/2023 23:53:22,ESCANER
15436,"Huehuetenango",13,"Soloma",8,2246,400,3,12,9,12,44,36,0,16,5,0,137,6,2,145,0,145,--,400,255,137,145,145,Algún campo sin dato,1,f628e0d3882c862785b4de32e4bc82050a59968e0e9e499a7825f823c568fde9,26/06/2023 00:26:17,ESCANER
15437,"Huehuetenango",13,"Soloma",8,2246,400,1,9,13,15,57,40,1,17,12,1,165,8,7,181,0,181,--,400,197,166,181,181,Sumas Asentadas sin cuadrar,1,34ac352a1804943bdb3148dcd8f08f2d96fe31fd9a98e263bd0b65498d0bc319,26/06/2023 01:04:06,ESCANER
15438,"Huehuetenango",13,"Soloma",8,2246,400,1,13,15,10,47,49,1,15,13,0,165,9,3,177,0,177,--,400,223,164,176,176,Sumas Asentadas sin cuadrar,1,0a5a61314794d73e025f671cc0e97a38cb0501624f885da0ca0f2c32ea52f6f2,26/06/2023 01:45:07,ESCANER
15439,"Huehuetenango",13,"Soloma",8,2246,400,2,16,25,12,56,64,1,12,15,1,204,8,7,219,0,219,--,400,181,204,219,219,Algún campo sin dato,1,c0fb3c23ff09db14ace2fa3c3aaaad8b0aa8b5bcc18f78374dcd9eedf8d467b3,25/06/2023 23:49:41,ESCANER
15440,"Huehuetenango",13,"Soloma",8,2246,400,1,15,15,18,47,44,1,5,17,2,165,11,4,180,0,180,--,400,217,165,180,180,Algún campo sin dato,1,9dbc1a669230ac836b7c228bbf21164b2c4ff6bb7d8d03c251d050fbff2677d5,26/06/2023 01:05:20,ESCANER
15441,"Huehuetenango",13,"Soloma",8,2246,400,2,13,13,11,53,47,2,4,18,1,164,1,2,167,0,167,--,400,230,164,167,167,Algún campo sin dato,1,2da060f4c52288cdac4aa4134a85c214835779116cd70ab943d0470757920df9,26/06/2023 01:16:04,ESCANER
15442,"Huehuetenango",13,"Soloma",8,2247,400,2,18,12,16,54,50,0,5,13,2,172,4,3,179,0,179,--,400,221,172,179,179,Algún campo sin dato,1,0b0bd955f918e849baf90bf622fd07272035e9e7ddbefd8e363c63935381b587,26/06/2023 01:06:49,ESCANER
15443,"Huehuetenango",13,"Soloma",8,2247,400,1,15,28,11,57,46,0,8,12,2,180,5,0,185,0,185,--,400,215,180,185,185,Algún campo sin dato,1,5154f2f8ae6e75bc8f92ecc4c3353e0686f4b4204fffa60e558386d07f0e7481,26/06/2023 02:18:27,ESCANER
15444,"Huehuetenango",13,"Soloma",8,2247,400,2,16,14,12,54,51,1,5,13,0,168,3,2,173,0,173,--,400,227,168,173,173,Algún campo sin dato,1,2c5e87250131618b983bf8ae9d394546792ac76735a25742bba7518e5f2e33a6,26/06/2023 01:38:56,ESCANER
15445,"Huehuetenango",13,"Soloma",8,2247,400,1,13,15,18,51,46,1,10,10,0,165,9,5,179,0,179,--,400,221,165,179,179,Algún campo sin dato,1,d36fc1f691f92b2bc885e39f697b3fd3295b3c681dd51f9f2d4162226fc694f4,26/06/2023 01:46:42,ESCANER
15446,"Huehuetenango",13,"Soloma",8,2247,400,0,27,75,8,67,54,3,19,16,0,198,7,3,--,--,208,--,400,208,269,279,279,Sumas Asentadas sin cuadrar,1,d06e5632d1e169fa5a905c4c132a229b7e1e03598af8aa55530f998e46e6064e,26/06/2023 04:54:36,ESCANER
15447,"Huehuetenango",13,"Soloma",8,2247,400,2,14,14,9,53,51,2,12,10,1,168,1,6,175,0,175,--,400,225,168,175,175,Algún campo sin dato,1,a7d4ab59ec2626bf1011d7f77c4e6411b6fc086940d010cb08b07a42a32495bc,26/06/2023 00:31:45,ESCANER
15448,"Huehuetenango",13,"Soloma",8,2247,400,3,9,14,10,39,37,1,11,26,0,150,2,1,153,153,--,153,--,--,150,153,306,Algún campo sin dato,1,b8a46cd273eef6fd442bb423ec43e3e5728986ddc689f4068227d1b39234afe1,26/06/2023 04:41:34,ESCANER
15449,"Huehuetenango",13,"Soloma",8,2247,400,2,15,17,13,49,45,1,7,14,1,164,7,2,173,2,175,2,400,225,164,173,175,,1,036b869106246aeaed5d288955cabaa3810dd441aa677d99a680e95118da5708,26/06/2023 02:09:02,ESCANER
