TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
86,86,100.0000,86,100.0000,0,32091,23292,72.5810

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VALOR,UNE,AZUL,VIVA,UR,TODOS,CABAL,ELEFANTE,MLP,VOS,UNIONISTA,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
3969,"Guatemala",1,"Fraijanes",13,396,400,106,114,16,10,4,1,1,7,1,1,1,1,0,263,16,0,279,1,280,--,400,120,263,279,280,Algún campo sin dato,1,b6c757b4a9428881ae7939744113f002724ed77ec8a0af57730c90d7d27a3aa0,25/06/2023 23:59:31,ESCANER
3970,"Guatemala",1,"Fraijanes",13,396,400,104,98,25,8,6,1,0,10,0,3,4,2,0,261,14,1,277,1,277,--,400,123,261,276,277,Sumas Asentadas sin cuadrar,1,5f53396c57dcb3ca7bbb5ca3eb2eaf3ddb5152c054cd3577b1d57d6f6fab9f2f,26/06/2023 01:31:13,ESCANER
3971,"Guatemala",1,"Fraijanes",13,396,400,107,108,16,12,5,0,0,6,2,2,4,3,0,265,2,4,271,10,281,1,400,118,265,271,281,,1,12b7fc262d8c2656d6aef19ea1c33d1d9d2bd9f8a61cad71b899e682b6fecdba,26/06/2023 01:19:33,ESCANER
3972,"Guatemala",1,"Fraijanes",13,396,400,128,113,18,8,1,0,0,3,0,4,0,0,0,275,5,1,281,0,281,--,400,119,275,281,281,Algún campo sin dato,1,b65c37560fc363d2cc0aa37335889e624dcbb923428a6b7099bc487b384ed7e8,26/06/2023 01:24:16,ESCANER
3973,"Guatemala",1,"Fraijanes",13,396,400,94,132,19,7,8,2,1,1,3,4,8,0,0,279,9,1,289,0,289,--,400,111,279,289,289,Algún campo sin dato,1,cefbda7d2d957d2957a75253ba0c1c4d9534db9abf80b7b47e6ee2528b7ada3f,26/06/2023 01:36:54,ESCANER
3974,"Guatemala",1,"Fraijanes",13,396,400,98,122,13,10,8,1,0,8,2,6,8,3,0,279,4,0,283,0,283,--,400,117,279,283,283,Algún campo sin dato,1,54123bb486c58c9b762ba067b2418b4b9ee82fa668c576f9175f271ee06ddad6,26/06/2023 00:15:08,ESCANER
3975,"Guatemala",1,"Fraijanes",13,397,400,129,128,17,15,0,0,0,2,0,3,2,0,0,296,6,0,302,0,302,--,400,98,296,302,302,Algún campo sin dato,1,4e26ea4ad97dacd6656e32554563db3f88647e310cda13cbb842ebba4dec83dc,25/06/2023 22:57:17,ESCANER
3976,"Guatemala",1,"Fraijanes",13,397,400,126,132,11,8,2,0,0,2,1,3,2,0,0,287,3,1,291,0,291,--,400,109,287,291,291,Algún campo sin dato,1,170a2fcf4ed47f376c2c33ff2a40758ab29169cf984682108c24664c81119230,25/06/2023 23:27:02,ESCANER
3977,"Guatemala",1,"Fraijanes",13,397,292,67,78,11,3,3,3,0,3,3,4,0,2,0,177,2,0,179,0,179,--,292,113,177,179,179,Algún campo sin dato,1,186683e52c169e72f1105714322c9fa34f001c4576b87649a10d735b4246841a,25/06/2023 21:53:11,ESCANER
3978,"Guatemala",1,"Fraijanes",13,397,291,55,95,8,2,1,0,5,2,2,5,10,4,0,189,6,2,197,0,197,--,288,91,189,197,197,Algún campo sin dato,1,024c0eb58db7cb6456ca1445ee7892570a66f4fa065c72dff4fb086335fd04bd,26/06/2023 00:47:24,ESCANER
3979,"Guatemala",1,"Fraijanes",13,398,361,98,114,8,3,4,0,2,1,1,2,3,1,0,237,13,0,250,--,--,--,358,108,237,250,250,Algún campo sin dato,1,2306096f6b5a0c184c0949358c6a97b2bdc8ebb92f70f036870d34a81e269e5c,26/06/2023 01:26:13,ESCANER
3980,"Guatemala",1,"Fraijanes",13,399,400,119,111,33,1,1,0,0,27,0,5,0,1,0,298,13,0,311,89,400,--,400,89,298,311,400,Algún campo sin dato,1,ef46268dc7fdd4088d880609d6250af061e365e0a8e7eefc7cf1a015d468f89f,26/06/2023 00:53:33,ESCANER
3981,"Guatemala",1,"Fraijanes",13,399,400,107,129,31,2,2,0,0,20,1,3,1,0,1,297,20,3,320,0,320,--,--,--,297,320,320,Algún campo sin dato,1,c1a85f0695ba5c5b892a8819c36328afd949f977b8c492c25a5d969c0ffb707f,26/06/2023 02:34:31,ESCANER
3982,"Guatemala",1,"Fraijanes",13,399,400,122,138,26,5,0,0,0,25,0,3,1,0,0,320,10,7,337,0,337,--,400,63,320,337,337,Algún campo sin dato,1,c5d0c952d9bd0d20b161b4978eac228fcf5193d410869bfa05b72c89270f3594,26/06/2023 01:14:22,ESCANER
3983,"Guatemala",1,"Fraijanes",13,399,400,116,132,14,1,2,0,0,19,0,3,0,1,0,228,18,2,308,0,308,--,396,88,288,308,308,Sumas Asentadas sin cuadrar,1,f067edc45008975ebbb2d5fec993a0eaf098328a1977e93d7df4d541966336ac,26/06/2023 00:15:45,ESCANER
3984,"Guatemala",1,"Fraijanes",13,400,400,119,143,21,2,2,0,0,22,0,2,0,0,0,311,14,3,328,0,328,--,400,72,311,328,328,Algún campo sin dato,1,eb5ce218c1bb907ede70b15e192dfe2377690593d97ed4a5d3ad74b5861356e8,26/06/2023 02:06:37,ESCANER
3985,"Guatemala",1,"Fraijanes",13,400,400,100,125,30,3,4,0,0,24,2,2,1,0,0,292,9,3,304,0,304,1,400,96,291,303,303,Sumas Asentadas sin cuadrar,1,6c447ef92b3d5743398c520dc2989c9d56ccde1d7e91e8fadc10e022e0054244,26/06/2023 04:55:35,ESCANER
3986,"Guatemala",1,"Fraijanes",13,400,400,104,152,20,1,2,0,0,14,0,4,0,0,0,297,1,0,298,2,300,1,380,80,297,298,300,,1,b47229f09b4ace9ed9c22d63e6ab4c57fdc4f2b2c0305d4059011dbe53a42eaf,26/06/2023 02:33:30,ESCANER
3987,"Guatemala",1,"Fraijanes",13,400,258,83,87,21,0,1,0,0,17,0,2,1,0,0,212,0,2,214,0,214,1,258,43,212,214,214,,1,04ece1710111d688e05efffca7c1c16762b7a0edc54457c8bbedc5f9966f72bd,26/06/2023 02:02:38,ESCANER
3988,"Guatemala",1,"Fraijanes",13,400,258,63,89,14,0,0,0,0,9,0,0,1,0,0,176,3,0,179,0,179,--,258,79,176,179,179,Algún campo sin dato,1,29d76349ed876fb9e3ab75d3033c6ff4136eeb387623e21e69c13ff9dc5d951f,25/06/2023 23:44:40,ESCANER
3989,"Guatemala",1,"Fraijanes",13,401,380,117,114,36,3,3,1,0,3,1,2,1,0,1,282,19,2,303,0,303,--,400,97,282,303,303,Algún campo sin dato,1,e13b7ede84e10fe644db373eb7c5b58c8869dffe0f9573adf570e543b10884c0,26/06/2023 01:29:43,ESCANER
3990,"Guatemala",1,"Fraijanes",13,401,380,108,129,41,3,2,0,0,4,3,7,0,0,0,297,11,4,312,0,312,--,380,68,297,312,312,Algún campo sin dato,1,af223517c1fcf4356c2caae743c2526c96202fced8d71ef78a5dab851c2470d8,26/06/2023 01:11:09,ESCANER
3991,"Guatemala",1,"Fraijanes",13,401,380,112,134,34,0,0,0,1,1,0,1,0,0,0,283,17,2,302,0,302,--,380,78,283,302,302,Algún campo sin dato,1,f77c301720c5edc9bbace770782e56aeb6eb47d12e067f080490b8857464e61d,26/06/2023 01:18:30,ESCANER
3992,"Guatemala",1,"Fraijanes",13,401,380,121,129,19,2,6,1,1,5,4,7,1,1,0,297,17,2,316,0,316,--,380,64,297,316,316,Algún campo sin dato,1,46ff4ff290cef8dae1a30077409710a31ac100adcf13d765ca3c7d94ffe22fbf,26/06/2023 01:05:16,ESCANER
3993,"Guatemala",1,"Fraijanes",13,401,380,118,120,37,3,2,0,0,4,1,4,1,0,0,290,17,1,308,0,308,--,380,72,290,308,308,Algún campo sin dato,1,c3cd5b7ebd79ca8a73ea8ef210d83c84d5a2a8052b741ebf5d8bb595418e9d06,26/06/2023 01:49:04,ESCANER
3994,"Guatemala",1,"Fraijanes",13,401,380,121,105,28,2,0,0,0,5,1,5,0,1,0,268,10,0,278,0,278,--,380,102,268,278,278,Algún campo sin dato,1,e656d6a230c54f27f00d347e3ef73ade3f9bcfe004ff4dae596fcbaa832c1b57,26/06/2023 01:27:05,ESCANER
3995,"Guatemala",1,"Fraijanes",13,401,380,136,114,20,2,3,0,0,3,1,4,1,1,1,286,16,3,305,0,305,--,380,75,286,305,305,Algún campo sin dato,1,781664063a9abc4d02a444929a71b793a23cf5608d9cca4e2d426e48ae816e89,26/06/2023 01:43:07,ESCANER
3996,"Guatemala",1,"Fraijanes",13,401,380,113,117,26,3,1,1,0,2,1,3,0,2,0,269,18,4,291,0,291,--,380,89,269,291,291,Algún campo sin dato,1,0b28f597aee67d0c3be41e4dcde1ce3bffe845dc646998fd152e3a2548c3c96e,26/06/2023 01:58:01,ESCANER
3997,"Guatemala",1,"Fraijanes",13,401,380,124,113,20,5,0,0,1,1,1,2,0,0,0,267,12,5,284,0,284,--,380,96,267,284,284,Algún campo sin dato,1,21a29a124eba33e900db2c2d38a4427818cb561503d6fa8b6fd3e7041210fbba,26/06/2023 01:37:22,ESCANER
3998,"Guatemala",1,"Fraijanes",13,401,380,111,143,26,3,7,0,0,4,6,2,3,1,0,294,4,0,298,0,298,--,380,82,306,310,310,Sumas Asentadas sin cuadrar,1,c82fb76ea0df83234ad5be6715c397fa7e6195bcd89edc55b3ea6183b33a6120,26/06/2023 01:26:54,ESCANER
3999,"Guatemala",1,"Fraijanes",13,401,242,64,81,20,0,0,0,0,1,0,1,0,0,0,167,3,0,170,0,170,--,239,69,167,170,170,Algún campo sin dato,1,6dec02667d37b769aab80aac5d66e10eebcf44273651077265f9a4b9c5f0f1d0,26/06/2023 01:39:08,ESCANER
4000,"Guatemala",1,"Fraijanes",13,401,241,59,68,16,3,0,0,1,0,1,4,0,0,0,152,3,0,155,0,155,--,241,86,152,155,155,Algún campo sin dato,1,6f923b980a91ef594432da32e761f3ddb36c4b3a1e36eb0de3cc15819599494c,26/06/2023 02:04:29,ESCANER
4001,"Guatemala",1,"Fraijanes",13,402,380,81,98,15,3,19,1,2,2,2,2,13,15,0,253,19,4,276,0,276,--,377,101,253,276,276,Algún campo sin dato,1,c23834d50746277ad7400225364949ed6403683cad6d9475bb4a2b249f6c0335,26/06/2023 00:50:41,ESCANER
4002,"Guatemala",1,"Fraijanes",13,402,380,79,91,16,3,14,1,2,13,2,4,8,19,0,252,18,2,272,0,272,--,375,103,252,272,272,Algún campo sin dato,1,43a51f9eaf69ea1d521bd7934518210493e9f50addbafc7603cd847f28d1f4c5,26/06/2023 01:22:45,ESCANER
4003,"Guatemala",1,"Fraijanes",13,402,380,81,106,11,3,12,3,2,8,1,5,7,13,1,253,12,0,265,5,270,--,377,107,253,265,270,Algún campo sin dato,1,aab03877f2ac7c21dbd6c0e465a6b07bf398138b6075df6597bb85f79cc700db,26/06/2023 02:41:16,ESCANER
4004,"Guatemala",1,"Fraijanes",13,402,380,75,108,15,3,19,0,4,10,1,5,9,18,2,269,16,2,287,0,287,--,380,91,269,287,287,Algún campo sin dato,1,9328d0443a8e0c5aff8a49680c23730fae4f511a105989fe7a72903d7f0733bd,26/06/2023 01:20:59,ESCANER
4005,"Guatemala",1,"Fraijanes",13,402,380,65,98,9,1,12,9,5,7,3,5,8,28,--,250,18,1,269,--,269,--,383,111,250,269,269,Algún campo sin dato,1,8ed7f19e5c88025b4df1965a388e644489e857bbccd490209483684f93afb08c,26/06/2023 00:47:03,ESCANER
4006,"Guatemala",1,"Fraijanes",13,402,380,59,105,15,4,19,2,3,15,5,3,7,18,1,256,14,1,271,0,271,--,380,109,256,271,271,Algún campo sin dato,1,e4b9412cc51ec0e2009e73f0662aaf685f4e8d40e4e7c8f5c34ab5cab966a59e,26/06/2023 00:26:42,ESCANER
4007,"Guatemala",1,"Fraijanes",13,402,380,66,103,14,4,12,1,4,6,3,2,14,18,0,247,19,0,266,0,266,--,379,110,247,266,266,Algún campo sin dato,1,db87b0ac2d294cb01b6d1dee8e977f5fa684670626ad9c84e7c176f4191926ec,26/06/2023 01:50:45,ESCANER
4008,"Guatemala",1,"Fraijanes",13,402,380,61,105,8,1,17,3,1,12,1,1,12,33,2,257,16,0,273,0,273,--,380,107,257,273,273,Algún campo sin dato,1,47a5f19fdd575665a9038953712584b1383637429fae52b48e8274cd1025a159,25/06/2023 23:05:08,ESCANER
4009,"Guatemala",1,"Fraijanes",13,402,380,58,114,12,5,18,2,6,6,6,2,8,22,0,259,13,0,272,0,272,--,380,108,259,272,272,Algún campo sin dato,1,66ea6914892d8581e9c977b8c0a7edaa694d02067187c386a336bb75b5f878ba,25/06/2023 23:32:18,ESCANER
4010,"Guatemala",1,"Fraijanes",13,402,380,51,97,9,4,14,2,0,3,2,4,15,19,0,220,14,0,234,0,234,--,--,--,220,234,234,Algún campo sin dato,1,dbfaceeee9d4bd38c3872450e11add89f82df96e5dd5a4421a8aac5338046e1b,25/06/2023 23:51:22,ESCANER
4011,"Guatemala",1,"Fraijanes",13,402,380,50,119,3,4,14,2,5,9,1,4,14,22,1,248,9,1,259,1,--,--,380,121,248,258,259,Sumas Asentadas sin cuadrar,1,57670c8dd8be7918e03d308a14c1d67667e5256384260b95bda33bccd91c6871,26/06/2023 00:32:01,ESCANER
4012,"Guatemala",1,"Fraijanes",13,402,295,56,101,11,4,6,2,2,4,2,4,11,13,0,216,4,1,221,0,221,--,295,74,216,221,221,Algún campo sin dato,1,5295be983e17ff4740e9ed74e0541fa1eec6e8faa2b7d911a06bc8f38835655f,25/06/2023 23:38:50,ESCANER
4013,"Guatemala",1,"Fraijanes",13,402,295,39,74,5,0,7,2,4,7,1,5,13,24,0,181,6,4,191,0,191,--,245,104,181,191,191,Algún campo sin dato,1,f253971edd0136c3bf1642ed676bf2fb29c44a54a67d71bd4840eeb48a5a8b68,25/06/2023 22:44:04,ESCANER
4014,"Guatemala",1,"Fraijanes",13,403,380,56,103,18,4,20,4,3,15,5,2,11,19,0,260,18,4,282,0,282,--,378,96,260,282,282,Algún campo sin dato,1,eda3393ed603bc212b155869562823b8a4e3caab4927622f0d6058eb67000d92,26/06/2023 01:23:54,ESCANER
4015,"Guatemala",1,"Fraijanes",13,403,380,51,100,12,3,23,4,1,18,3,2,21,18,0,256,33,2,291,0,291,--,380,89,256,291,291,Algún campo sin dato,1,22d0572fb03a6ac4ab4752da822782b05859f0ff3b030bfc40f66a3d8b04d6ff,25/06/2023 23:34:55,ESCANER
