TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
28,28,100.0000,28,100.0000,0,10808,8221,76.0640

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,M.U.P,CABAL,VAMOS,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5491,"Sacatepéquez",2,"Pastores",3,557,400,102,159,13,12,286,15,2,303,0,303,--,400,97,286,303,303,Algún campo sin dato,1,1696dbaf08a764a2d3eeefc8294dca81642b83507d28a4fb6ce69acec5c4ecdd,25/06/2023 23:46:54,ESCANER
5492,"Sacatepéquez",2,"Pastores",3,557,400,113,153,4,11,281,18,2,301,0,301,--,400,99,281,301,301,Algún campo sin dato,1,b6b4fb0e4662321f0970a87b702ee8466007c0b5c83be8c91d2a30c2eb701984,25/06/2023 23:55:38,ESCANER
5493,"Sacatepéquez",2,"Pastores",3,558,400,112,130,4,13,259,10,2,271,0,271,--,400,129,259,271,271,Algún campo sin dato,1,456e3632d85eec247fbf8282191df4b5bcc8c97115b011892cb71a04e75afd38,26/06/2023 01:05:12,ESCANER
5494,"Sacatepéquez",2,"Pastores",3,558,400,115,151,9,12,287,11,0,298,0,298,--,400,102,287,298,298,Algún campo sin dato,1,bc29ce6278136426b17060fb5c92ad5c67b13810ea7f4fedc6b922146f51ea79,26/06/2023 02:08:37,ESCANER
5495,"Sacatepéquez",2,"Pastores",3,558,400,118,157,3,10,288,13,2,303,0,303,--,400,97,288,303,303,Algún campo sin dato,1,838ef56de6dd73dabb7c66f73c03cb64912929a91651132112eaab8feca6710f,26/06/2023 01:23:17,ESCANER
5496,"Sacatepéquez",2,"Pastores",3,559,400,109,185,14,9,317,8,1,326,0,326,--,400,74,317,326,326,Algún campo sin dato,1,490e361ef365013d19dc1ae5eda21c5323531819db30aaa5f6f3f93bf97df6fc,26/06/2023 00:54:22,ESCANER
5497,"Sacatepéquez",2,"Pastores",3,559,400,128,150,3,10,291,9,2,302,0,302,--,400,98,291,302,302,Algún campo sin dato,1,51750d316efb73a8cbfa1193cee66baf5f326bc0e8b06592cd990fca1474af40,26/06/2023 01:01:11,ESCANER
5498,"Sacatepéquez",2,"Pastores",3,559,400,105,172,10,14,301,7,0,308,0,308,0,400,92,301,308,308,,1,ad16ff0e4a88ce083b73e96fdf78d55ad3cfc8f293ca9e5990a8083943de44a1,26/06/2023 01:01:46,ESCANER
5499,"Sacatepéquez",2,"Pastores",3,559,230,87,60,4,4,155,3,0,158,0,158,--,230,72,155,158,158,Algún campo sin dato,1,aa99eb346450fbdad59aa6ad0dba0eaf35c13caa406f909d83a437a79bbd15b0,25/06/2023 22:26:25,ESCANER
5500,"Sacatepéquez",2,"Pastores",3,559,229,63,79,2,6,150,5,1,156,0,156,--,229,73,150,156,156,Algún campo sin dato,1,4da35109b707ceaf3cb17fa46ab65c74b0c591f0c2f7b25cc0f87a6527a5b1b9,25/06/2023 22:42:05,ESCANER
5501,"Sacatepéquez",2,"Pastores",3,560,349,40,84,5,8,137,7,1,145,0,145,--,349,204,137,145,145,Algún campo sin dato,1,e6218cc6a94c6b1d31f39611ceb2cf5cb72bbbf0e5b7830f60c0b96196c1bd8f,26/06/2023 01:42:35,ESCANER
