TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
43,43,100.0000,43,100.0000,0,17079,11482,67.2287

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,UNE,CREO,PODEMOS,VOS,VICTORIA,TODOS,PHG,VAMOS,CAMBIO,FCN-NACION,MI FAMILIA,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7603,"Escuintla",5,"Siquinalá",4,858,400,116,10,31,37,6,35,2,6,14,0,4,0,0,261,15,2,278,--,278,--,390,119,261,278,278,Algún campo sin dato,1,8a9342fcba6b3274d4a9d37f7a1f94881f8982de33d25a7ee2ef5146c4629b9f,26/06/2023 02:34:02,ESCANER
7604,"Escuintla",5,"Siquinalá",4,858,400,103,13,29,36,10,44,2,8,7,0,3,0,2,257,12,3,272,0,272,0,385,113,257,272,272,,1,f1530f8286b596521df334e4283fe97cca00c1ede1da16b00a12b27ba0d89329,26/06/2023 01:16:39,ESCANER
7605,"Escuintla",5,"Siquinalá",4,858,400,117,12,37,37,4,34,4,4,13,0,4,1,1,268,14,4,286,0,286,--,400,114,268,286,286,Algún campo sin dato,1,358a65f08c31f04b0d2dec8da442662d86f757196b779cdef1e36c9e83355a5d,26/06/2023 01:54:02,ESCANER
7606,"Escuintla",5,"Siquinalá",4,858,400,97,5,26,45,0,39,4,8,11,0,4,1,0,240,18,2,260,0,260,0,400,140,240,260,260,,1,6646c36276af8ff84d3ac4c3edbe49c7ebb0fb49222109c9abd99bac74dab0de,26/06/2023 01:13:49,ESCANER
7607,"Escuintla",5,"Siquinalá",4,858,400,93,10,26,37,5,41,0,1,15,0,4,0,0,232,20,9,261,0,261,1,400,139,232,261,261,,1,a2600f5de51b78af0f7865052d7dfc7b2e62c5285b7c19dc1f614745ec6a1b52,26/06/2023 02:10:52,ESCANER
7608,"Escuintla",5,"Siquinalá",4,858,400,95,13,31,35,5,45,1,3,11,0,4,1,0,244,14,3,261,0,261,0,400,139,244,261,261,,1,36e6c7ca2ce3e54a34504e5eb95497ac71d691ee8fa7840fbf0fa75a3c30b9f9,26/06/2023 02:00:21,ESCANER
7609,"Escuintla",5,"Siquinalá",4,858,400,109,12,31,38,5,33,1,5,9,0,4,1,2,250,12,2,264,0,264,0,400,136,250,264,264,,1,c2eaf7d0fd350672dfee393ada40f5db9ee18a678210c1076234ed77c79bd7e2,26/06/2023 00:24:31,ESCANER
7610,"Escuintla",5,"Siquinalá",4,859,400,107,13,27,29,3,36,4,4,5,0,5,0,2,235,23,8,266,0,266,--,397,131,235,266,266,Algún campo sin dato,1,e94989e9fa86b03c8c0c45fb6945ebb3eccc8b56e24df0b14d2ca0acf0475a05,26/06/2023 03:33:45,ESCANER
7611,"Escuintla",5,"Siquinalá",4,859,400,99,13,30,28,6,47,3,8,19,0,7,1,2,263,14,3,280,0,280,--,400,120,263,280,280,Algún campo sin dato,1,4c307daf211d86228a7bfc9a3f2f08098d2a8936bb7ea7f7776f184a4b80d794,26/06/2023 03:23:47,ESCANER
7612,"Escuintla",5,"Siquinalá",4,859,400,100,9,27,26,2,39,3,6,14,0,6,0,0,232,19,4,255,0,256,1,396,140,232,255,255,Sumas Asentadas sin cuadrar,1,8949c377ed0fb6889c147f96a3fa155cd450f8b1404e46a984cc789cd58293fc,26/06/2023 04:13:55,ESCANER
7613,"Escuintla",5,"Siquinalá",4,859,400,97,14,30,38,3,35,2,6,14,0,3,0,0,242,30,4,276,0,276,--,401,125,242,276,276,Algún campo sin dato,1,0620b9621eaacf3c23cc4a16285a07f5029fd914e8e36081fa619adad582a04d,26/06/2023 02:09:02,ESCANER
7614,"Escuintla",5,"Siquinalá",4,859,400,84,13,26,42,4,39,5,5,11,0,6,2,1,238,20,3,261,0,261,1,400,138,238,261,261,,1,6c92138282306aff59e430addb8fcc9fed298f308e29ec782971e33cff25a589,26/06/2023 01:32:20,ESCANER
7615,"Escuintla",5,"Siquinalá",4,859,400,94,16,27,55,2,55,6,3,10,--,3,--,1,272,6,0,0,0,278,--,400,12,272,278,278,Algún campo sin dato,1,b4cc9696c880d8fbfbb46a8194ae048e4b31728fc608c053b79310afcdd968f0,26/06/2023 05:46:04,ESCANER
7616,"Escuintla",5,"Siquinalá",4,860,400,105,14,23,37,7,37,4,9,14,0,4,1,1,256,9,1,266,0,266,--,400,134,256,266,266,Algún campo sin dato,1,c4e8dc2b47e492a75a39c8dcbc4bed7eaa0ef66afd76035be80a267d6975c945,26/06/2023 01:41:39,ESCANER
7617,"Escuintla",5,"Siquinalá",4,860,400,107,17,16,38,3,42,1,9,10,1,5,0,0,264,12,3,0,--,264,--,400,136,249,264,264,Sumas Asentadas sin cuadrar,1,6da19710861f749108e8342cb8ec8419cc6bc26b93f191f533979fb5c61055a8,26/06/2023 04:41:17,ESCANER
7618,"Escuintla",5,"Siquinalá",4,860,400,103,10,22,47,4,32,7,7,9,0,3,0,1,256,10,1,256,0,256,--,400,144,245,256,256,Sumas Asentadas sin cuadrar,1,aba5f8a3cf1eee6a5afa34741a0660a7de8af5b68c408d2abe2f208cbeb0feb6,26/06/2023 03:23:08,ESCANER
7619,"Escuintla",5,"Siquinalá",4,860,400,95,11,27,51,5,25,4,6,10,0,2,0,0,236,7,1,244,--,--,--,400,156,236,244,244,Algún campo sin dato,1,f2a8075ba04693fc7e31771a1424c90f0a4b6c8adf1f8f9a324b875a14e0332b,26/06/2023 02:41:22,ESCANER
7620,"Escuintla",5,"Siquinalá",4,860,400,111,11,36,39,5,56,2,3,4,0,7,0,0,274,4,0,278,0,278,--,400,122,274,278,278,Algún campo sin dato,1,cc8ef30050ce53e9031b71f93253f6dfefc7b1368c7f9ca09e6065ba5413b81f,26/06/2023 04:26:09,ESCANER
7621,"Escuintla",5,"Siquinalá",4,860,400,123,9,27,52,0,47,4,8,9,0,1,0,0,280,4,0,284,0,284,--,400,116,280,284,284,Algún campo sin dato,1,33b501593e2c45980e786d004f867c438b1c7942cb4fcca922b5efeb36214480,26/06/2023 02:21:01,ESCANER
7622,"Escuintla",5,"Siquinalá",4,860,400,104,11,38,51,4,31,1,11,11,1,2,1,0,266,4,3,273,0,273,--,398,125,266,273,273,Algún campo sin dato,1,fc6e331d73df7d2910409f5978e86220c4794d2678c718fbe28ad8f5cc9a2180,26/06/2023 02:06:47,ESCANER
7623,"Escuintla",5,"Siquinalá",4,860,400,106,7,23,35,4,34,6,5,5,0,1,0,0,226,12,2,240,0,240,--,400,160,226,240,240,Algún campo sin dato,1,b986064b040923f4ae863296b061dbd896ac84a5de465a38162ac596d597a935,26/06/2023 03:11:24,ESCANER
7624,"Escuintla",5,"Siquinalá",4,860,400,79,21,34,33,0,41,2,6,8,0,3,0,2,229,6,1,236,0,236,--,396,160,229,236,236,Algún campo sin dato,1,a6f354d0d3a154c8fb0f31b2024ce21d79351f3365e26267fc143fe083054bfd,26/06/2023 01:34:21,ESCANER
7625,"Escuintla",5,"Siquinalá",4,860,213,47,4,18,13,0,17,2,1,11,0,3,0,0,116,7,1,124,0,124,--,213,89,116,124,124,Algún campo sin dato,1,ec13f3013359932eb27aedd681b94b2b9d26220cc072b0d57eca01eeb8592674,26/06/2023 02:52:46,ESCANER
7626,"Escuintla",5,"Siquinalá",4,861,213,43,7,18,21,3,15,1,6,3,0,3,0,0,120,5,1,126,0,126,5,213,84,120,126,126,,1,5fe4d6c7b6869146e1c76206df1b9fc04317d58fadd03f9eecdf91484faa7aa5,26/06/2023 04:09:13,ESCANER
7627,"Escuintla",5,"Siquinalá",4,862,527,118,14,27,39,6,40,2,10,9,0,3,0,2,270,15,3,288,--,--,1,527,235,270,288,288,Algún campo sin dato,1,fb1c43d83f4e7ca27f833f9312649cd7489a9f6cb9f6229cd5875b8ca1fd8687,26/06/2023 02:29:28,ESCANER
7628,"Escuintla",5,"Siquinalá",4,862,526,80,9,19,13,8,47,3,2,9,0,3,0,1,194,13,2,209,0,209,--,523,314,194,209,209,Algún campo sin dato,1,8e2a27851302ae0b7db6a8bbcbe92f88ce4156e053c1fab092b0aceb1ee9e63a,26/06/2023 01:33:43,ESCANER
