TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
32,32,100.0000,32,100.0000,0,12530,10470,83.5594

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,PIN,VAMOS,VALOR UNIONISTA,C.C.A.,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11116,"Quetzaltenango",9,"Almolonga",13,1488,400,1,160,3,163,327,2,1,330,0,330,--,400,70,327,330,330,Algún campo sin dato,1,18eb0a364c7408bad40250cf2b0d1a48d4dc89a2ff24804c5b40b7f92eec60b3,25/06/2023 22:49:03,ESCANER
11117,"Quetzaltenango",9,"Almolonga",13,1489,400,1,166,3,169,339,1,0,340,0,340,--,400,60,339,340,340,Algún campo sin dato,1,754c10b1c797ce68dade3808b2334eec5600c39a43ad3823756ffca272d4ffbd,26/06/2023 00:21:44,ESCANER
11118,"Quetzaltenango",9,"Almolonga",13,1489,400,1,154,6,180,341,2,0,343,0,343,--,400,57,341,343,343,Algún campo sin dato,1,18fc78046d397d33e0dfac12f0fc90da2d9546da2555cdd337ec3ba053a95262,25/06/2023 23:46:39,ESCANER
11119,"Quetzaltenango",9,"Almolonga",13,1489,400,0,145,5,191,341,4,1,346,0,346,--,400,54,341,346,346,Algún campo sin dato,1,d6ce176de076a02d16dc7cad6cb5ab6688248864fa4ba76f239b969d7a406157,26/06/2023 00:19:27,ESCANER
11120,"Quetzaltenango",9,"Almolonga",13,1490,293,0,120,6,119,245,1,1,247,0,247,--,293,46,245,247,247,Algún campo sin dato,1,abc28f84599223ca54ce57071e46bbd9aca9817a70d4d24455c5676775efc1e6,26/06/2023 01:09:51,ESCANER
11121,"Quetzaltenango",9,"Almolonga",13,1490,292,0,94,2,132,228,0,1,229,0,229,--,292,63,228,229,229,Algún campo sin dato,1,10d6c8dd6dd879abdd17e17538b19724588b140157f649b3209e11c136a65d24,25/06/2023 23:11:13,ESCANER
11122,"Quetzaltenango",9,"Almolonga",13,1491,400,3,176,10,164,353,2,7,362,0,362,--,400,38,353,362,362,Algún campo sin dato,1,39ba37b769f4da79f42b9b6ccf8f042ce58d0551e97de2b82a99bc4f3b59e470,25/06/2023 23:34:16,ESCANER
11123,"Quetzaltenango",9,"Almolonga",13,1491,400,3,151,2,172,328,1,5,334,0,334,--,400,66,328,334,334,Algún campo sin dato,1,2fa097f6ba290ef7a71ba18455837d560b97c22c6e1b473b78b870ea82bacd7e,25/06/2023 23:28:45,ESCANER
11124,"Quetzaltenango",9,"Almolonga",13,1492,400,2,152,2,169,325,3,1,329,0,329,--,400,71,325,329,329,Algún campo sin dato,1,623d590b917b20ca4ab169a4825d009dd032a07d895f287b579c3c841dd7a3c2,26/06/2023 01:01:54,ESCANER
11125,"Quetzaltenango",9,"Almolonga",13,1492,400,3,162,6,146,317,4,4,325,0,325,--,400,75,317,325,325,Algún campo sin dato,1,e3f0f81e79992637398de9aaa663ddd6e9c8b06b15535bd410b91bc1e34d8713,26/06/2023 00:49:15,ESCANER
11126,"Quetzaltenango",9,"Almolonga",13,1493,324,1,130,2,119,252,2,2,256,0,256,--,324,68,252,256,256,Algún campo sin dato,1,93fd568584c820067daca6093d489fc00b54f1ee77ab36e1a469cb8c9ad1a061,25/06/2023 23:53:22,ESCANER
11127,"Quetzaltenango",9,"Almolonga",13,1493,324,3,128,1,132,264,2,2,268,0,268,--,324,56,264,268,268,Algún campo sin dato,1,b606adb4d17d207d57c54061e98f3a4885a53ed90b639bbbef41250119c3bb64,25/06/2023 23:21:14,ESCANER
11128,"Quetzaltenango",9,"Almolonga",13,1494,497,2,108,5,145,260,11,3,274,0,274,--,497,223,260,274,274,Algún campo sin dato,1,db527410485140a9ece8417839553dd75d39c24ecdd266d5c285d386615b61f9,26/06/2023 01:27:02,ESCANER
