TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,33533,17048,50.8394

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,TODOS,VAMOS,CABAL,VIVA,PHG,PPN,UNE,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11275,"Quetzaltenango",9,"Colomba",17,1514,380,0,103,86,1,1,12,9,8,0,3,223,20,4,247,0,247,--,380,133,223,247,247,Algún campo sin dato,1,0b32770bc0686556d96229c8b2ac9108f2cbf7429940eda2d8d53a18a7223e48,26/06/2023 11:54:20,ESCANER
11276,"Quetzaltenango",9,"Colomba",17,1514,380,0,82,113,0,5,3,16,6,3,1,229,23,6,258,0,258,--,380,122,229,258,258,Algún campo sin dato,1,3698f47bd3577eac25ba8d93df5347f28c0797e95e01b13acb1f6ee6a15c5eec,26/06/2023 16:32:10,ESCANER
11277,"Quetzaltenango",9,"Colomba",17,1514,380,0,89,108,1,4,3,8,6,1,0,220,19,5,244,0,244,--,380,136,220,244,244,Algún campo sin dato,1,858943b0e252eba397478a98f72f3d13499e38359ba104f6a196ac33e56e261e,25/06/2023 22:53:04,ESCANER
11278,"Quetzaltenango",9,"Colomba",17,1514,380,1,101,96,0,5,7,14,6,2,1,233,17,7,257,0,257,--,380,123,233,257,257,Algún campo sin dato,1,66f70f145286527ef4e504440ab85261281cf561ea8ac4964ea6ce333b0ff8ef,25/06/2023 23:30:08,ESCANER
11279,"Quetzaltenango",9,"Colomba",17,1514,380,0,85,94,1,2,8,22,8,2,2,224,14,5,243,0,243,--,380,137,224,243,243,Algún campo sin dato,1,caa2c6df65fc6c2ceeefabdfd66f8947dccb733347c207b8a8e73306c3408cdd,25/06/2023 22:52:29,ESCANER
11280,"Quetzaltenango",9,"Colomba",17,1514,380,2,95,79,3,0,3,16,5,3,3,209,8,1,218,0,218,--,380,162,209,218,218,Algún campo sin dato,1,ba7353d0bac564745af1e1f77cefb9a6640067c6aac758268d05d4ab8caa7831,25/06/2023 22:42:35,ESCANER
11281,"Quetzaltenango",9,"Colomba",17,1514,380,1,84,104,2,1,3,17,4,--,2,218,20,3,241,0,241,--,380,139,218,241,241,Algún campo sin dato,1,9620dbf56c03878da4073e5b2651344faabbbbf488ebd647183fa4afe39e7823,26/06/2023 16:31:03,ESCANER
11282,"Quetzaltenango",9,"Colomba",17,1514,380,6,99,82,1,2,9,23,3,3,1,229,13,0,242,0,242,--,380,138,229,242,242,Algún campo sin dato,1,b2b4b556616a63746e74082a7d5e0d0bede7a5ddc83e977642098a6b28072bf3,25/06/2023 23:48:15,ESCANER
11283,"Quetzaltenango",9,"Colomba",17,1514,380,6,86,92,0,0,5,22,3,1,3,218,13,4,235,0,235,--,380,145,218,235,235,Algún campo sin dato,1,5f037946c82286050a03ca26eeda061d8a9dc127cd81caffc109ebaa31ceee8f,25/06/2023 23:42:48,ESCANER
11284,"Quetzaltenango",9,"Colomba",17,1514,380,2,83,99,0,1,3,26,5,0,1,220,11,1,232,0,232,--,380,148,220,232,232,Algún campo sin dato,1,ae397cf23757fa2bcaae45d6e4677d6fcbbb0eb01172fd9f23788acccec2bd5d,26/06/2023 00:29:15,ESCANER
11285,"Quetzaltenango",9,"Colomba",17,1514,380,2,78,96,0,1,6,11,7,3,4,208,16,4,228,0,228,--,380,152,208,228,228,Algún campo sin dato,1,ffd7152f91e3d8cc525bbe5a61df066f66e095e34b8c7082febb059cea89e210,25/06/2023 23:15:46,ESCANER
11286,"Quetzaltenango",9,"Colomba",17,1514,380,1,90,91,1,3,5,18,6,2,1,218,10,7,235,0,235,--,380,145,218,235,235,Algún campo sin dato,1,b3344b3c97e9fc77fe122343823fab5b0b864609f60fe5a7bd444a747f4c9d4a,25/06/2023 22:43:03,ESCANER
11287,"Quetzaltenango",9,"Colomba",17,1514,380,1,82,74,0,2,5,15,3,2,2,184,15,8,207,0,207,--,380,168,186,209,209,Sumas Asentadas sin cuadrar,1,4d52affa662e16457d12974aac4c189c665bc6185aaca9a0614105cc524f4042,26/06/2023 00:02:38,ESCANER
11288,"Quetzaltenango",9,"Colomba",17,1514,380,2,86,66,1,0,4,19,1,1,0,180,10,0,190,0,0,--,--,--,180,190,190,Algún campo sin dato,1,44207cf7964c515aebfa63db2440f46e262ff5c93e581f498dcacac3b3902212,26/06/2023 12:08:07,ESCANER
