TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,33533,17048,50.8394

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,TODOS,VAMOS,CABAL,VIVA,PHG,PPN,UNE,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11303,"Quetzaltenango",9,"Colomba",17,1516,380,1,107,65,1,3,0,3,13,1,0,194,28,6,228,0,228,--,380,152,194,228,228,Algún campo sin dato,1,c310aadcc6149c058ccca0f6396bf313f6abe9ebe2202f6db4075fc66d994615,25/06/2023 23:51:15,ESCANER
11304,"Quetzaltenango",9,"Colomba",17,1516,380,1,101,44,1,2,0,3,13,0,1,166,27,5,198,0,198,--,380,182,166,198,198,Algún campo sin dato,1,95a0b31c8da6beafefddf381e89fda3f9fe0f02029c78d50d19707b3d265ed50,25/06/2023 22:26:09,ESCANER
11305,"Quetzaltenango",9,"Colomba",17,1516,380,0,92,59,1,3,3,1,21,1,1,182,23,6,211,0,211,--,380,169,182,211,211,Algún campo sin dato,1,d97f61a91e42e9b945456853c9e722da3121ad4f999132a7156d67ea0809e47b,26/06/2023 00:02:12,ESCANER
11306,"Quetzaltenango",9,"Colomba",17,1516,380,0,88,61,3,1,2,3,12,0,0,170,12,6,188,0,188,--,380,192,170,188,188,Algún campo sin dato,1,ebdc5dfa40f1001d717948fa1d4d8f8154f7a5fa72b025b07c2d98c6abaef16c,25/06/2023 23:21:03,ESCANER
11307,"Quetzaltenango",9,"Colomba",17,1516,380,0,80,61,4,4,2,2,12,2,2,169,9,7,185,0,185,--,380,195,169,185,185,Algún campo sin dato,1,c2168d53782e0d0ae57af22ef729901dda6550bcd772295daa629854913e94f6,25/06/2023 23:16:38,ESCANER
11308,"Quetzaltenango",9,"Colomba",17,1516,380,4,84,56,0,2,1,1,15,1,0,164,17,6,187,0,187,--,380,193,164,187,187,Algún campo sin dato,1,edaa9ef867f30629a3169e723614b012c67262ccdc77316707edea8cadb79804,25/06/2023 23:33:55,ESCANER
11309,"Quetzaltenango",9,"Colomba",17,1516,380,0,79,53,4,1,2,1,9,1,0,150,13,7,170,0,170,--,380,210,150,170,170,Algún campo sin dato,1,ef1acd0d33078499b56ed826ed22cb288bab4e46e1f6252adc2ec46883eacf77,25/06/2023 22:56:10,ESCANER
11310,"Quetzaltenango",9,"Colomba",17,1516,350,0,96,44,2,1,2,1,13,1,1,161,3,1,165,0,165,--,350,185,161,165,165,Algún campo sin dato,1,cac0337d7f5452f65bce9cdc22048d290f76c3753f7b0fd473c32caafa3c73a1,25/06/2023 22:33:48,ESCANER
11311,"Quetzaltenango",9,"Colomba",17,1516,350,1,75,39,3,0,1,0,9,0,0,128,3,1,132,0,132,--,350,218,128,132,132,Algún campo sin dato,1,f6f6a44a81f6e2e591eb4a09507d47df76e37f2cf715ab4310d94dd46b23e849,25/06/2023 23:45:08,ESCANER
11312,"Quetzaltenango",9,"Colomba",17,1517,380,1,61,93,2,1,0,10,14,0,1,183,30,5,218,0,218,--,380,162,183,218,218,Algún campo sin dato,1,169e301f7cbfcb5dbfe329ea6dc5cec34149215b545f74e8edb1d89f18a815b1,25/06/2023 23:13:25,ESCANER
11313,"Quetzaltenango",9,"Colomba",17,1517,380,1,66,85,6,3,1,6,10,0,0,178,18,2,198,0,198,--,380,182,178,198,198,Algún campo sin dato,1,d196f21388c3e1139b86eb81e94291dffab71b2dc0e805564e8520e8b39a7643,25/06/2023 22:42:37,ESCANER
