TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
78,78,100.0000,78,100.0000,0,29651,12198,41.1385

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,U R N G - MAIZ,TODOS,VALOR,CABAL,PHG,BIEN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15201,"Huehuetenango",13,"Cuilco",4,2199,380,26,19,76,6,7,3,3,0,1,141,12,2,155,0,155,--,380,225,141,155,155,Algún campo sin dato,1,fb63c16055dadf19b16a0b561a5e08b1f9ee1511dd09c7d6ac43747ec8f882e2,26/06/2023 00:27:43,ESCANER
15202,"Huehuetenango",13,"Cuilco",4,2200,362,29,20,62,0,6,2,4,2,0,125,9,6,140,0,140,--,362,222,125,140,140,Algún campo sin dato,1,3c11938c6ba616351f2246975ec11fdaaccc8b7670ee7a7a5abd717610a06fd7,25/06/2023 23:38:01,ESCANER
15203,"Huehuetenango",13,"Cuilco",4,2200,361,24,17,63,1,1,2,2,0,2,112,4,2,118,0,118,--,361,243,112,118,118,Algún campo sin dato,1,00403f774127a52d5033d2e28982f14836a5e3aeb948162deddf79b5e961e332,25/06/2023 23:41:00,ESCANER
15204,"Huehuetenango",13,"Cuilco",4,2201,380,23,16,133,39,6,0,0,0,0,217,25,5,247,0,247,--,380,133,217,247,247,Algún campo sin dato,1,5bdf560f55e9a8a2202dacbe5014a23eb3c333e8283e035b7101ada6360c37e7,26/06/2023 01:24:42,ESCANER
15205,"Huehuetenango",13,"Cuilco",4,2201,229,10,9,48,26,0,2,0,0,0,95,9,1,105,0,105,--,229,124,95,105,105,Algún campo sin dato,1,0c25c1928426ef6b0153e717ffce04f80863ef7a986dfdc8b93f5f0de89dae5e,26/06/2023 02:49:13,ESCANER
15206,"Huehuetenango",13,"Cuilco",4,2202,228,9,12,49,22,8,0,0,0,0,100,5,2,107,0,107,--,228,121,100,107,107,Algún campo sin dato,1,cfcc8046555d16b688f10269363734ef797eae36cd33d83224e2d827d8e12a02,26/06/2023 00:38:35,ESCANER
15207,"Huehuetenango",13,"Cuilco",4,2203,380,53,53,30,18,1,7,3,3,1,169,18,8,195,0,195,--,380,185,169,195,195,Algún campo sin dato,1,fff3cec483d4bc57fc4b03fe8672f513202f4240dfe7312638cb12513233848b,26/06/2023 00:46:50,ESCANER
15208,"Huehuetenango",13,"Cuilco",4,2203,380,85,63,21,10,3,6,2,0,1,191,22,3,216,0,216,--,377,161,191,216,216,Algún campo sin dato,1,ea4f1e8ee0fd5d695d21ef6f3b21b6a5ef04339abff71ed22c9e5dcd7fe4bd61,26/06/2023 01:00:28,ESCANER
15209,"Huehuetenango",13,"Cuilco",4,2204,380,35,21,82,10,6,2,5,0,0,161,12,5,178,0,178,--,380,202,161,178,178,Algún campo sin dato,1,8232acb13f931aaed8b16b5c79fcee7fa8fcf628470f558d97aa86d36557e4bd,26/06/2023 01:14:19,ESCANER
15210,"Huehuetenango",13,"Cuilco",4,2204,380,32,37,16,18,2,5,23,--,1,135,17,8,160,0,160,--,379,219,134,159,159,Sumas Asentadas sin cuadrar,1,e1e26c2190bf44f9f2c5da796af151b890c9f7fe7335fa3807aea30be91b4842,26/06/2023 03:53:20,ESCANER
15211,"Huehuetenango",13,"Cuilco",4,2204,358,40,36,25,7,1,3,7,1,0,120,13,5,138,0,138,--,358,220,120,138,138,Algún campo sin dato,1,83c8e0738c82d3cb02d7c32d74497b0dfc1c3e4e92e70907a68cabc7aa629729,26/06/2023 02:35:12,ESCANER
15212,"Huehuetenango",13,"Cuilco",4,2204,357,36,50,28,12,1,6,2,0,2,137,3,2,142,1,143,--,357,214,137,142,143,Algún campo sin dato,1,b86faa8c67b8cfe74eafe55c25b758fb2b94c79ae2055363d7adba2037f0479a,26/06/2023 00:06:33,ESCANER
15213,"Huehuetenango",13,"Cuilco",4,2205,600,26,9,29,2,2,4,4,0,1,77,8,2,87,0,87,--,600,513,77,87,87,Algún campo sin dato,1,c87da1482721693c0a776b2f626eefb985f77e339ac81ab7287f2f069e0f0cd6,25/06/2023 22:08:50,ESCANER
15214,"Huehuetenango",13,"Cuilco",4,2205,600,14,9,25,2,9,8,4,0,0,71,5,3,79,0,79,--,600,521,71,79,79,Algún campo sin dato,1,58e1b2292cf468742e5f4065f7e0e714c37dbc5e44c7953de67d26800085e5ab,25/06/2023 23:55:50,ESCANER
15215,"Huehuetenango",13,"Cuilco",4,2205,600,16,15,18,4,7,3,2,0,2,67,0,3,80,10,80,--,603,523,67,70,80,Sumas Asentadas sin cuadrar,1,a7513d3530d84df308c83015f60db77278690f05034baba2ed6bff53471b034d,25/06/2023 21:21:57,ESCANER
15216,"Huehuetenango",13,"Cuilco",4,2205,589,11,9,13,2,4,5,4,0,0,48,4,1,53,0,53,--,589,536,48,53,53,Algún campo sin dato,1,4664359c38b2997e0e2fa567c712e9ade6a0c0179ace98e9395fcdd2f0ee62cb,25/06/2023 21:29:33,ESCANER
15217,"Huehuetenango",13,"Cuilco",4,2205,588,5,2,4,2,2,1,3,0,0,19,5,0,24,0,24,--,588,564,19,24,24,Algún campo sin dato,1,3644b0d018c57ca581347ae0d2680a062aaf8dca903fce607ce40a548537679f,25/06/2023 20:58:35,ESCANER
