TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
71,71,100.0000,71,100.0000,0,25563,16477,64.4564

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,UNE,MLP,U R N G - MAIZ,PODEMOS,PHG,TODOS,AZUL,ELEFANTE,BIEN,VALOR,CABAL,WINAQ,PPN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15519,"Huehuetenango",13,"Ixtahuacán",9,2258,358,45,18,1,3,18,1,34,2,0,40,4,15,4,6,11,202,6,5,213,0,213,--,358,145,202,213,213,Algún campo sin dato,1,52e598fb12ecb46aed3604c879ccc01238da4ed753095f64584125da5f06bedc,26/06/2023 01:25:36,ESCANER
15520,"Huehuetenango",13,"Ixtahuacán",9,2259,380,24,23,15,40,14,6,33,1,0,42,2,22,8,2,2,234,35,9,378,0,378,--,380,102,234,278,278,Sumas Asentadas sin cuadrar,1,7b50fde69e7b1bb7c8e5cbe4f270494cd39a78a9dd722b81c49ffde4af4705b4,26/06/2023 01:20:17,ESCANER
15521,"Huehuetenango",13,"Ixtahuacán",9,2259,380,11,33,19,70,13,7,27,2,1,52,0,17,3,1,1,257,27,8,292,0,292,--,380,88,257,292,292,Algún campo sin dato,1,3f29cf1f5d2b12db8cc8f81842623de286d94c981eb843d6b8bb83ec2a90c45b,26/06/2023 00:30:39,ESCANER
15522,"Huehuetenango",13,"Ixtahuacán",9,2259,380,20,30,21,50,15,6,29,3,4,48,5,17,6,0,3,261,19,5,285,0,285,--,377,92,257,281,281,Sumas Asentadas sin cuadrar,1,cc42f60ee466111f907f1fe98c62f05de2006e02be061b7ae58c6b3ec52e3e9b,26/06/2023 01:15:18,ESCANER
15523,"Huehuetenango",13,"Ixtahuacán",9,2259,380,23,21,17,33,6,4,36,2,2,47,0,22,1,0,2,216,12,11,239,0,239,--,380,141,216,239,239,Algún campo sin dato,1,98e79a7cef2ebbd8acf5e33701601b5503f18e39f70eeedc2b41194bb39c9166,26/06/2023 00:24:25,ESCANER
15524,"Huehuetenango",13,"Ixtahuacán",9,2259,380,20,29,4,25,15,7,29,5,4,41,2,23,2,0,3,209,19,8,236,0,236,--,380,144,209,236,236,Algún campo sin dato,1,3dfae5ae78b5ad772646a8a4a025f5cc74bbcbd82cd85c81855edd006f132df9,25/06/2023 23:48:23,ESCANER
15525,"Huehuetenango",13,"Ixtahuacán",9,2259,380,10,33,16,36,9,3,26,5,3,37,2,23,3,0,1,207,23,5,235,0,235,--,380,145,207,235,235,Algún campo sin dato,1,09dc590251f2568fff27ed22747e9798163f0bed8e66080419607e549c9b88f7,25/06/2023 22:45:45,ESCANER
15526,"Huehuetenango",13,"Ixtahuacán",9,2259,380,15,26,22,42,12,5,17,3,1,32,1,19,3,0,2,200,20,17,237,0,237,--,380,143,200,237,237,Algún campo sin dato,1,e4e26278c7e335f6bcdfec5bdbeae25a43ae3671f8ea9076f2d1eb2b32e7cbe6,25/06/2023 23:26:30,ESCANER
15527,"Huehuetenango",13,"Ixtahuacán",9,2259,380,9,36,17,30,9,2,35,2,1,38,1,33,5,0,0,218,10,5,233,0,233,--,380,147,218,233,233,Algún campo sin dato,1,765623561dbd0469813ca4d09e7828a1f5e1bf31c09ab27c4b1d7947827bc967,26/06/2023 00:20:42,ESCANER
15528,"Huehuetenango",13,"Ixtahuacán",9,2259,289,12,19,15,39,7,1,15,2,2,45,1,14,3,1,1,177,8,3,188,0,188,--,289,101,177,188,188,Algún campo sin dato,1,1801d04402250860fc5f9855ccfb397ea8a04a2a307c3b5061b4203b40e30137,26/06/2023 01:44:08,ESCANER
15529,"Huehuetenango",13,"Ixtahuacán",9,2259,289,12,26,12,23,8,0,10,2,2,40,0,13,1,0,2,151,9,6,166,0,166,--,289,123,151,166,166,Algún campo sin dato,1,803fc7d5bc5cee752b9c676dfa798db649dc2932508a211ac8a2daf3f1293ac5,25/06/2023 23:06:08,ESCANER
15530,"Huehuetenango",13,"Ixtahuacán",9,2260,380,47,18,3,0,98,7,6,0,0,54,0,19,4,0,3,259,18,10,287,0,287,--,380,93,259,287,287,Algún campo sin dato,1,a7a20ab3c58f7cd6530265acdd1c482e08a5cdc88541294650486cbf9d039246,25/06/2023 23:25:43,ESCANER
15531,"Huehuetenango",13,"Ixtahuacán",9,2260,380,49,24,4,0,85,7,5,3,2,53,2,17,2,4,0,257,23,11,291,0,291,--,380,89,257,291,291,Algún campo sin dato,1,6be1701b8a460082df3c7e674d11885fe607e29410182619d8427a254c466b7a,26/06/2023 04:24:51,ESCANER
15532,"Huehuetenango",13,"Ixtahuacán",9,2260,380,61,13,2,0,81,5,6,2,1,42,0,12,2,3,0,230,16,7,253,0,253,--,380,127,230,253,253,Algún campo sin dato,1,e227157bc095c1c5bd6105cc4536ed69aa5b25d141d62510e18130111f3d8c93,26/06/2023 01:47:59,ESCANER
