TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,14417,9918,68.7937

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16329,"Huehuetenango",13,"San Sebastián Coatán",25,2425,380,127,123,250,1,5,256,0,256,--,380,124,250,256,256,Algún campo sin dato,1,4294b60cc1106cf7145e149ec40ff72aa9c4b760179a69d584413bc1c49df5a0,26/06/2023 00:53:09,ESCANER
16330,"Huehuetenango",13,"San Sebastián Coatán",25,2425,380,139,104,243,2,5,250,0,250,--,380,130,243,250,250,Algún campo sin dato,1,19fe27beaba933b60b5dcec5787633532812b43c78cc138a10ab07469e58f110,26/06/2023 01:36:25,ESCANER
16331,"Huehuetenango",13,"San Sebastián Coatán",25,2426,380,133,103,236,3,1,240,0,240,--,380,140,236,240,240,Algún campo sin dato,1,a76bdbf9b886ac3a0a1472bec901b2207ff9eac58b565543159e043db5e5482f,25/06/2023 22:05:35,ESCANER
16332,"Huehuetenango",13,"San Sebastián Coatán",25,2426,380,147,142,289,3,0,292,0,292,--,380,88,289,292,292,Algún campo sin dato,1,356de364e933d12674e22e1340bdbf16c60886036098e56b0759299e68f4f77a,26/06/2023 00:32:54,ESCANER
16333,"Huehuetenango",13,"San Sebastián Coatán",25,2426,335,124,115,239,0,3,242,0,242,--,332,90,239,242,242,Algún campo sin dato,1,18574c879f0d1002dd8dff9631303434f3bc4d44cc0eee73b747222029398a91,26/06/2023 00:12:25,ESCANER
16334,"Huehuetenango",13,"San Sebastián Coatán",25,2426,334,105,75,180,0,1,181,0,181,--,334,153,180,181,181,Algún campo sin dato,1,598f1136ba1038057c7e74e74c44255b666d64cdd6d94de190f75b9173fd512b,25/06/2023 21:51:09,ESCANER
16335,"Huehuetenango",13,"San Sebastián Coatán",25,2427,380,122,129,251,2,4,257,0,257,--,380,122,251,257,257,Algún campo sin dato,1,8098b69349d6cce4ee1b2458e8316b8d742a93e81941c05ce32d0d6b878af69b,26/06/2023 01:06:38,ESCANER
16336,"Huehuetenango",13,"San Sebastián Coatán",25,2427,380,132,138,270,0,3,273,1,274,--,273,107,270,273,274,Algún campo sin dato,1,cbd2e9f6a8d866f5528037ba2396cb4c36b4e229312ce7d7e0bfc3cba0e45036,26/06/2023 00:56:36,ESCANER
16337,"Huehuetenango",13,"San Sebastián Coatán",25,2427,380,122,116,238,1,3,242,0,242,--,380,138,238,242,242,Algún campo sin dato,1,4a899f318573c090bf7f09c5df1c8d176dbf834e50066e416b5636f902239f9a,26/06/2023 00:27:12,ESCANER
16338,"Huehuetenango",13,"San Sebastián Coatán",25,2427,380,124,132,256,0,4,260,0,260,--,380,120,256,260,260,Algún campo sin dato,1,e54b9c2a2df368a1110cf1e2b1567932942e0e5bf19bff66a9ef9e94bf1a2898,26/06/2023 00:35:31,ESCANER
16339,"Huehuetenango",13,"San Sebastián Coatán",25,2427,352,142,114,256,0,0,256,0,256,--,352,96,256,256,256,Algún campo sin dato,1,ae8c694a655548d30bb692d22f57a00a9f1c50eb8bded77d127d3fdd3ef85f1e,26/06/2023 01:15:57,ESCANER
16340,"Huehuetenango",13,"San Sebastián Coatán",25,2427,351,126,126,252,0,0,252,0,252,--,351,99,252,252,252,Algún campo sin dato,1,6508303968cee08e32422191acad26d2e1a521f8d1ca5328ad947bd46b0ef90c,26/06/2023 00:59:53,ESCANER
16341,"Huehuetenango",13,"San Sebastián Coatán",25,2428,380,166,113,279,1,5,285,0,285,--,380,95,279,285,285,Algún campo sin dato,1,c0c67d8bac7d8d60999280484f593c36c1c4611947bdc88f72edabd90c1c2536,25/06/2023 23:07:30,ESCANER
16342,"Huehuetenango",13,"San Sebastián Coatán",25,2428,380,194,93,287,2,0,289,0,289,--,380,91,287,289,289,Algún campo sin dato,1,c592907afb9a0147985d7559b560a7486247884359b34e720d233423524f24bc,26/06/2023 00:02:29,ESCANER
16343,"Huehuetenango",13,"San Sebastián Coatán",25,2428,380,164,91,255,1,2,258,0,258,--,376,118,255,258,258,Algún campo sin dato,1,92664fa863b4461eb026ff2f97a1f78ba5ffb29e1087245f3a250353d1ae08cb,26/06/2023 00:04:16,ESCANER
16344,"Huehuetenango",13,"San Sebastián Coatán",25,2429,380,154,72,226,0,6,232,0,232,--,380,148,226,232,232,Algún campo sin dato,1,13a8ca6a033133e0b3e83362f950ed2e19208a2919d71776522866f3ba50384b,25/06/2023 23:35:26,ESCANER
16345,"Huehuetenango",13,"San Sebastián Coatán",25,2429,357,189,83,272,1,1,274,0,274,--,357,83,272,274,274,Algún campo sin dato,1,38cce2625bb0c21d42a2ace7055513eb4c3f7014ff4fc8a4040478c23ae5870d,25/06/2023 23:52:47,ESCANER
16346,"Huehuetenango",13,"San Sebastián Coatán",25,2430,356,147,105,252,0,2,254,0,254,--,356,102,252,254,254,Algún campo sin dato,1,1df32817b99eace1385afcda8cb91d313e1339fd2d409ebaace399fbec92d76f,26/06/2023 01:01:15,ESCANER
16347,"Huehuetenango",13,"San Sebastián Coatán",25,2431,395,12,7,19,1,1,21,0,21,--,395,374,19,21,21,Algún campo sin dato,1,ac2e33fbc6366238fe598832160c531bfc39941ad167c8b932aa3090ec5cc7f1,25/06/2023 20:14:38,ESCANER
