TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
69,69,100.0000,68,98.5507,1,24355,16541,67.9162

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CREO,MLP,UNE,BIEN,AZUL,TODOS,WINAQ,VIVA,VAMOS,PODEMOS,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13498,"San Marcos",12,"San Miguel Ixtahuacán",5,1865,380,141,0,3,79,2,35,1,2,4,0,0,267,19,5,291,0,291,--,380,89,267,291,291,Algún campo sin dato,1,3201a9ae54fb57ff78a55d8a0d1c8c923ffa08cc21f95c7d85ae849153f8a268,26/06/2023 00:11:34,ESCANER
13499,"San Marcos",12,"San Miguel Ixtahuacán",5,1865,380,129,0,5,80,3,22,0,3,1,0,0,271,18,10,271,0,271,--,380,109,243,271,271,Sumas Asentadas sin cuadrar,1,eb754e41706c24ed2945da81bc7b6b08c5dec28695f727a32a31c48c64e1a49c,26/06/2023 01:57:03,ESCANER
13500,"San Marcos",12,"San Miguel Ixtahuacán",5,1865,380,123,1,0,72,0,32,0,0,0,0,0,228,10,1,239,0,239,--,380,141,228,239,239,Algún campo sin dato,1,a748b3596aee15acc5b0fe536a5a78eb204c0617e840069848e09b358f5a11d9,26/06/2023 01:25:27,ESCANER
13501,"San Marcos",12,"San Miguel Ixtahuacán",5,1865,291,96,0,1,55,0,19,0,0,1,1,0,173,6,1,180,0,180,--,291,111,173,180,180,Algún campo sin dato,1,0ea069150353dd1123efa2611ea813dc81ad3414b7e8280f17b968afd5324db9,26/06/2023 00:56:42,ESCANER
13502,"San Marcos",12,"San Miguel Ixtahuacán",5,1865,290,89,0,1,60,2,18,0,1,1,0,0,172,5,1,178,0,178,--,290,112,172,178,178,Algún campo sin dato,1,6a5877a462459115c08ff8337d0ed63355d08f54c22a77a2b69982a7c71535e4,26/06/2023 01:07:51,ESCANER
13503,"San Marcos",12,"San Miguel Ixtahuacán",5,1866,380,116,2,2,89,2,29,3,6,2,0,0,251,28,7,286,0,286,--,380,94,251,286,286,Algún campo sin dato,1,f045272bea6bb310e0155f1598664f837e77ae80d4a4c25db9d0894ae3f92fda,26/06/2023 04:24:31,MOVIL
13504,"San Marcos",12,"San Miguel Ixtahuacán",5,1866,380,83,1,0,141,6,34,2,6,4,0,0,283,30,5,318,0,318,--,380,62,277,312,312,Sumas Asentadas sin cuadrar,1,6850c08d3bf638b49e0e9c8d71d71a76bc97dbe7c002dda86be91a64419eae2a,26/06/2023 05:48:30,MOVIL
13505,"San Marcos",12,"San Miguel Ixtahuacán",5,1866,380,137,0,3,93,2,35,8,10,4,0,0,292,21,9,322,0,322,--,380,58,292,322,322,Algún campo sin dato,1,4296fd882edb2c656eedbd62ca7f34436dca9da04bd3929773ba62f956795c68,26/06/2023 05:46:24,MOVIL
13506,"San Marcos",12,"San Miguel Ixtahuacán",5,1866,380,132,4,5,98,3,31,0,5,3,0,0,281,30,3,314,0,314,--,380,66,281,314,314,Algún campo sin dato,1,bb7defdc058b9c46418da0cb4681bf94e69cfb70e25ad70f257e81f93b102cd5,26/06/2023 11:14:09,ESCANER
13507,"San Marcos",12,"San Miguel Ixtahuacán",5,1866,380,99,3,2,90,1,26,3,4,1,0,1,230,13,5,248,0,248,--,380,132,230,248,248,Algún campo sin dato,1,b362140a9b928c7e72f54ab71f3135ffd7cb679e24eb1edf5ac3536c659db779,26/06/2023 01:26:35,ESCANER
13508,"San Marcos",12,"San Miguel Ixtahuacán",5,1866,380,113,2,1,75,1,23,5,8,5,0,0,233,13,3,249,0,249,--,380,131,233,249,249,Algún campo sin dato,1,b9a76967e60bc7d0e559879b06bed06ef5081e135e129b8b35e56a163ec439f6,25/06/2023 23:40:16,ESCANER
13509,"San Marcos",12,"San Miguel Ixtahuacán",5,1866,380,95,2,0,90,1,21,2,1,0,0,1,213,4,3,220,0,220,--,381,161,213,220,220,Algún campo sin dato,1,6bbf15f00fa9d12c7410c8132c32c202af0e26721a75a1f1e629cf36f2dd4db0,26/06/2023 04:50:12,MOVIL
13510,"San Marcos",12,"San Miguel Ixtahuacán",5,1866,199,57,0,0,41,0,11,0,2,0,0,0,111,1,2,114,0,114,--,199,85,111,114,114,Algún campo sin dato,1,c2e6d079db7d25bff6b658e293737c289f27315a53ca99fd5b6ad11da0ce3c34,25/06/2023 23:08:53,ESCANER
13511,"San Marcos",12,"San Miguel Ixtahuacán",5,1866,198,63,1,0,44,1,10,1,0,0,0,0,120,5,1,126,0,126,--,198,72,120,126,126,Algún campo sin dato,1,fe308b1af3d2a68626cd40030e5a87f91d9f0974c47ce8910c44bcad6fcdcd1a,25/06/2023 23:03:03,ESCANER
13512,"San Marcos",12,"San Miguel Ixtahuacán",5,1867,380,103,2,1,27,1,126,5,4,0,0,0,269,13,12,294,0,294,--,380,86,269,294,294,Algún campo sin dato,1,9de36857d0b194d28593dda23ede40847a349abb6fe28ec89f77a064c811db1e,26/06/2023 01:38:57,ESCANER
13513,"San Marcos",12,"San Miguel Ixtahuacán",5,1867,222,66,1,1,16,0,50,4,0,0,0,0,138,8,2,148,0,148,--,222,74,138,148,148,Algún campo sin dato,1,51b28d4691eec9a9ab886f9ff9f5c6380adbb35b84bd8b985e8ee0b5fe03df13,26/06/2023 01:18:55,ESCANER
13514,"San Marcos",12,"San Miguel Ixtahuacán",5,1867,221,60,0,0,13,0,53,3,0,0,0,0,129,3,0,132,0,132,--,221,89,129,132,132,Algún campo sin dato,1,8c18c36916de38bac963adf3bb33b3ef4abeb3a02c0b734b57d64bf0f7d51a4e,26/06/2023 00:06:42,ESCANER
13515,"San Marcos",12,"San Miguel Ixtahuacán",5,1868,437,95,0,6,60,3,30,1,5,0,0,0,200,15,8,223,0,223,0,437,214,200,223,223,,1,beee0ed43ec2ca34fa76b4c65fa66817119cf6d9516400dfb258cec59fea3e71,26/06/2023 02:37:48,ESCANER
13516,"San Marcos",12,"San Miguel Ixtahuacán",5,1868,437,50,0,3,23,0,9,1,0,1,0,0,87,10,4,101,0,101,0,437,336,87,101,101,,1,39861617bc71b50956eea3fc816ab85d7177cd4de4effb60b18ebc536deef886,26/06/2023 01:59:40,ESCANER
