TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
29,29,100.0000,29,100.0000,0,10864,7179,66.0806

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,VIVA,TODOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18467,"Baja Verapaz",15,"Granados",5,2833,380,107,104,3,1,215,9,2,226,0,226,--,379,153,215,226,226,Algún campo sin dato,1,1eb0f141a74f871d040c77e2566299c732f0e4d7dce381c33adeefe7d5baae83,25/06/2023 23:51:59,ESCANER
18468,"Baja Verapaz",15,"Granados",5,2833,380,103,130,7,4,244,6,5,255,0,255,--,379,124,244,255,255,Algún campo sin dato,1,bdeafa60f16f92544b30d8e69a1b2b0c5d6084106a13369c91e2ec346616dbfa,26/06/2023 00:21:48,ESCANER
18469,"Baja Verapaz",15,"Granados",5,2833,380,108,127,7,2,244,13,1,258,0,258,--,380,122,244,258,258,Algún campo sin dato,1,c4bc54e55ae2e0620ef448e7638ed0ea4a8eec80095571fcf11857cd8ade7b0a,25/06/2023 23:04:32,ESCANER
18470,"Baja Verapaz",15,"Granados",5,2833,380,129,128,5,3,265,8,5,278,0,278,--,380,102,265,278,278,Algún campo sin dato,1,c0d09f82217288458ca243805ebd4ea51940f50dbd0737cd9ec134e8ae850ffc,25/06/2023 23:46:33,ESCANER
18471,"Baja Verapaz",15,"Granados",5,2834,380,99,113,4,0,216,4,2,222,0,222,--,381,159,216,222,222,Algún campo sin dato,1,822b5243abaafdec6f8bd537d1e0eb3893c754ca4a9ae7fc59a10f6167dd846c,26/06/2023 00:06:00,ESCANER
18472,"Baja Verapaz",15,"Granados",5,2834,380,113,116,7,1,237,6,0,243,0,243,--,380,137,237,243,243,Algún campo sin dato,1,0198f153996a8ed130b6a51a15dd71c4354dad7d7fa93fdd7f45133cf6401abd,25/06/2023 23:48:52,ESCANER
18473,"Baja Verapaz",15,"Granados",5,2834,380,113,132,7,1,253,8,3,264,0,264,--,380,116,253,264,264,Algún campo sin dato,1,d45eabea339fb91fac2aa59f4a8c3da246db11b7292d6295559af3dbd196d845,26/06/2023 00:58:05,ESCANER
18474,"Baja Verapaz",15,"Granados",5,2834,313,93,96,3,1,193,1,2,196,0,196,--,313,117,193,196,196,Algún campo sin dato,1,da3fd35d84d8a17409b2355a9458b4b5ecbfce179c7b7ac2c145d8c1c732b0a6,25/06/2023 22:07:22,ESCANER
18475,"Baja Verapaz",15,"Granados",5,2834,312,80,93,5,1,179,5,0,184,1,185,--,312,127,179,184,185,Algún campo sin dato,1,351d1ab77de69056f2a0b535e3d4580f6bb4995e21edfcc51d7e26c22a78e7d6,25/06/2023 22:42:32,ESCANER
18476,"Baja Verapaz",15,"Granados",5,2835,451,25,40,4,1,70,2,0,72,0,72,--,451,379,70,72,72,Algún campo sin dato,1,eca0699557354a76dd69adf9f50124d24df2e7e42e2b0c955343827c5ef14bd7,25/06/2023 21:10:58,ESCANER
