TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
126,126,100.0000,126,100.0000,0,45765,21289,46.5180

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,U R N G - MAIZ,AZUL,VAMOS,TODOS,CABAL,VALOR,UNIONISTA,VIVA,CAMBIO,UR,PPN,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
14998,"Huehuetenango",13,"Chiantla",2,2148,400,28,1,2,58,4,7,36,6,15,0,2,1,0,160,15,0,175,0,175,--,400,225,160,175,175,Algún campo sin dato,1,04de89ad5b73fc1491c7dd01bfd6d8656e4f84f93e2275f617d8bf729511e67a,25/06/2023 23:08:49,ESCANER
14999,"Huehuetenango",13,"Chiantla",2,2148,400,24,2,0,81,3,9,26,8,11,0,4,0,0,168,10,2,180,0,180,--,400,220,168,180,180,Algún campo sin dato,1,142fbe88393e619bcb919c974f94cdc1f82a8a9b2b940c4ea5038630c104905a,25/06/2023 23:27:44,ESCANER
15000,"Huehuetenango",13,"Chiantla",2,2148,400,37,1,4,72,4,10,31,2,18,0,1,2,0,182,8,1,191,0,191,--,400,209,182,191,191,Algún campo sin dato,1,a38d5581743add6aaa6a70c04418d3284e1bcb71335121d82efc07ffeacb593c,26/06/2023 00:20:47,ESCANER
15001,"Huehuetenango",13,"Chiantla",2,2149,368,20,1,1,55,3,12,23,3,13,0,1,2,0,134,2,0,136,1,137,--,365,228,134,136,137,Algún campo sin dato,1,7cf2550395b5667066a814e22b5fa7a0a39869d35500aabce6e7c2f204c2287f,25/06/2023 23:07:50,ESCANER
15002,"Huehuetenango",13,"Chiantla",2,2149,368,27,1,2,47,5,4,28,3,14,0,1,2,0,134,2,0,136,5,141,--,368,227,134,136,141,Algún campo sin dato,1,8e0a3a480b720d607eb412ccd3e64e902fbc01bb2f6d44f034a3c2b753fd8143,26/06/2023 00:15:21,ESCANER
15003,"Huehuetenango",13,"Chiantla",2,2150,400,32,4,2,51,11,5,27,0,7,0,0,0,0,139,15,8,162,0,162,--,400,238,139,162,162,Algún campo sin dato,1,555531f7b6edca9791fbfc1c133a99767e0d8327a6e0b2fb4ceba7def5917f10,25/06/2023 23:30:08,ESCANER
15004,"Huehuetenango",13,"Chiantla",2,2150,400,33,6,0,56,11,6,27,1,9,0,1,0,0,150,14,3,167,0,167,--,400,233,150,167,167,Algún campo sin dato,1,b00ca25a595e6c7b64403fbd59bf1b6701d2fc847a8367564a5753a764f4ed65,26/06/2023 00:40:01,ESCANER
15005,"Huehuetenango",13,"Chiantla",2,2150,400,35,2,1,58,6,8,18,3,15,0,1,0,0,147,10,8,165,0,165,0,396,231,147,165,165,,1,cee02a0cc0c61267e8773d7f74ee78743f6b7308feed824e65d4f1df05d28502,26/06/2023 01:03:36,ESCANER
15006,"Huehuetenango",13,"Chiantla",2,2150,281,28,1,1,46,2,1,16,2,5,0,0,0,0,102,4,4,110,0,110,--,281,171,102,110,110,Algún campo sin dato,1,a3f71f786fdf54e2e0e35055c02359a6170689ca218dd9de407ca76d5772c04b,25/06/2023 23:56:06,ESCANER
15007,"Huehuetenango",13,"Chiantla",2,2150,280,15,2,0,31,6,4,15,0,8,0,1,0,0,82,1,0,83,0,83,--,280,197,82,83,83,Algún campo sin dato,1,4d885d89ba857f59f8e9f21c2b8862b6602d78afb65a7b994e0b3a258540ff5a,26/06/2023 00:48:45,ESCANER
