TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
31,31,100.0000,31,100.0000,0,11534,9414,81.6195

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,PPN,UNE,CABAL,VALOR,VIVA,VAMOS,P A N,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19123,"Alta Verapaz",16,"Tamahú",5,2932,380,16,13,113,1,50,106,9,4,1,313,4,7,324,0,324,1,380,56,313,324,324,,1,521d490293d6cc3dde020867a2969372b24a516c4bf08a2eff54b7a80c7657d1,26/06/2023 00:57:12,ESCANER
19124,"Alta Verapaz",16,"Tamahú",5,2932,380,7,11,108,3,53,89,11,3,1,286,8,2,296,2,298,2,380,82,286,296,298,,1,3d941567cd88756215a39b2b88c3d629cafda4dc1e3645ee0b174479d3417701,26/06/2023 01:05:38,ESCANER
19125,"Alta Verapaz",16,"Tamahú",5,2932,380,12,9,116,1,54,84,7,4,1,288,4,5,297,0,297,--,380,83,288,297,297,Algún campo sin dato,1,96b5eca2ddd5f3442898207c542d9fa56d750ddeeb071d4d84f64fe4c3d117b2,25/06/2023 23:33:53,ESCANER
19126,"Alta Verapaz",16,"Tamahú",5,2932,304,4,13,88,2,38,80,7,4,0,236,4,1,241,0,241,--,304,63,236,241,241,Algún campo sin dato,1,755bae5505852244a01d2598a4c2bb4c8c195a728ad95a5a333b5c6ed4e50973,26/06/2023 04:13:57,ESCANER
19127,"Alta Verapaz",16,"Tamahú",5,2932,303,4,3,106,1,36,77,4,3,0,234,2,3,239,0,239,--,303,64,234,239,239,Algún campo sin dato,1,bea8d2be7f83dbee99632c624e47c0dcaac5a638ae0864a9cc1ca0f1586b3735,25/06/2023 22:53:12,ESCANER
19128,"Alta Verapaz",16,"Tamahú",5,2933,380,1,5,118,2,51,121,7,2,2,299,6,4,319,0,319,--,380,61,309,319,319,Sumas Asentadas sin cuadrar,1,223f226f48010df68fb95758fcdc9b1c65944732835d837c4f0b5f1f7e0b6cbf,25/06/2023 22:59:00,ESCANER
19129,"Alta Verapaz",16,"Tamahú",5,2933,380,2,10,108,2,61,136,8,0,2,329,3,9,341,--,341,--,380,39,329,341,341,Algún campo sin dato,1,fe62831706886ed58ea5a050117a86c38120763ba122ac24030166edeb7fe9c1,25/06/2023 23:42:04,ESCANER
19130,"Alta Verapaz",16,"Tamahú",5,2933,380,1,11,82,1,66,144,7,1,2,315,2,4,321,0,321,--,377,56,315,321,321,Algún campo sin dato,1,6b35ff8a319af9450d9a66accae4e4722d83164134801c3f5e51729703f3e749,25/06/2023 23:13:52,ESCANER
19131,"Alta Verapaz",16,"Tamahú",5,2933,380,2,9,89,4,86,127,14,2,0,333,3,2,338,0,338,--,380,42,333,338,338,Algún campo sin dato,1,88302f2e8d500a0c348625549e45aae2e319edee42d49ae557feea21a983f432,26/06/2023 00:01:33,ESCANER
19132,"Alta Verapaz",16,"Tamahú",5,2933,380,0,6,94,1,82,139,8,2,1,333,0,2,335,2,337,--,380,43,333,335,337,Algún campo sin dato,1,126917d582e2c1a9e177e80e7ff531502e78dfaba259e0a5f03c29c801b1b752,26/06/2023 00:45:26,ESCANER
19133,"Alta Verapaz",16,"Tamahú",5,2933,380,0,7,92,2,73,132,6,1,0,313,2,1,316,2,318,--,380,62,313,316,318,Algún campo sin dato,1,62857f0e41cdc4a11e9182323cdeaaf6f650bd27031a096697ffe943ae200e9e,26/06/2023 00:41:48,ESCANER
19134,"Alta Verapaz",16,"Tamahú",5,2933,380,2,7,87,3,64,115,8,1,2,289,9,3,301,0,301,--,380,79,289,301,301,Algún campo sin dato,1,809f83afa0b0053f30dfcb6285e458d6b0093848ebdb88d38288e3ff09a9ae44,26/06/2023 00:38:42,ESCANER
19135,"Alta Verapaz",16,"Tamahú",5,2933,380,0,3,99,0,47,141,2,0,0,292,3,0,295,0,295,1,377,81,292,295,295,,1,a05ea900364d85dc3d28fcb41dae17b26d414b4fa1c4ff788c7e8912da2585a0,26/06/2023 00:23:42,ESCANER
19136,"Alta Verapaz",16,"Tamahú",5,2933,380,0,9,88,0,70,131,5,2,1,306,0,2,308,0,308,--,380,72,306,308,308,Algún campo sin dato,1,03cc3a7ce9a53a0dc4fbfc9ef35909e228b3cb0d9ed0d4c4221ec9ca89144fb3,25/06/2023 23:28:32,ESCANER
19137,"Alta Verapaz",16,"Tamahú",5,2933,253,0,6,65,0,50,78,3,1,0,203,0,1,204,0,204,--,253,49,203,204,204,Algún campo sin dato,1,8939149d6b09a26eec28ce8b0212d3765a4f50569dc1057babe6aaf6027c5e04,25/06/2023 21:49:34,ESCANER
19138,"Alta Verapaz",16,"Tamahú",5,2933,252,3,0,64,1,45,88,4,1,0,206,0,0,206,2,208,--,252,44,206,206,208,Algún campo sin dato,1,fb26e95f905ae9cdb396f0ee2fe21e58ad30cc2425a0df997fa4081def47647f,26/06/2023 00:28:52,ESCANER
