TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
128,128,100.0000,128,100.0000,0,45860,25165,54.8735

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,UNE,MLP,ELEFANTE,CABAL,CAMBIO,VALOR,PODEMOS,UR,AZUL,VIVA,PPN,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21420,"Izabal",18,"Lívingston",2,3324,245,11,6,28,0,2,32,21,0,0,1,0,0,0,1,102,3,3,108,0,108,--,245,137,102,108,108,Algún campo sin dato,1,97d01fecaea426a4f08a79135da8b397717a14f44dc3424f3e0b111fb23ba9ca,25/06/2023 21:41:25,ESCANER
21421,"Izabal",18,"Lívingston",2,3325,400,48,24,30,1,11,35,90,1,0,2,1,1,1,1,246,31,7,284,0,284,--,400,116,246,284,284,Algún campo sin dato,1,0dda0c0cbd5a7bf646fe5c50008e8a4661520e7e050359d4fb5a85b412d2c25d,25/06/2023 23:38:47,ESCANER
21422,"Izabal",18,"Lívingston",2,3325,297,36,10,14,0,5,26,72,2,1,0,1,1,0,2,170,18,2,190,0,190,--,297,107,170,190,190,Algún campo sin dato,1,f9323ef9c53e6fe086fafc3361594f8e0493183f69de8e3b85a53c6c379ba9c5,25/06/2023 21:33:31,ESCANER
21423,"Izabal",18,"Lívingston",2,3325,296,32,15,9,0,3,15,66,1,0,0,1,2,0,0,144,5,1,150,0,150,--,296,146,144,150,150,Algún campo sin dato,1,fca25d34bfa64055adf72e5e729adb2b84c85193218b8e161694c2b039cce6d7,26/06/2023 01:06:13,ESCANER
21424,"Izabal",18,"Lívingston",2,3326,400,64,9,30,0,2,33,76,2,0,1,3,2,0,2,224,28,2,254,0,254,--,390,136,224,254,254,Algún campo sin dato,1,c171af4c5141d457cd97760b1b25d318c8eb890ba41fbd989193a35935aa5de3,26/06/2023 01:18:03,ESCANER
21425,"Izabal",18,"Lívingston",2,3326,366,40,16,25,1,2,20,59,2,1,2,6,1,0,2,177,20,3,200,0,200,--,366,166,177,200,200,Algún campo sin dato,1,90fb239fda43d64e9c157ba206ac013a8e2be67fc8056db22aa923dbea5b62cd,26/06/2023 00:25:08,ESCANER
21426,"Izabal",18,"Lívingston",2,3326,366,26,15,22,1,3,24,65,0,0,0,0,0,0,3,159,5,5,169,0,169,--,366,197,159,169,169,Algún campo sin dato,1,a5e1c41ce806a43c0abe5fcdcfc5e9744956748397bc78322d3c764ea3e69ff3,26/06/2023 00:41:05,ESCANER
21427,"Izabal",18,"Lívingston",2,3327,380,38,10,71,0,4,64,23,4,0,1,0,7,0,0,222,24,7,253,0,253,--,377,124,222,253,253,Algún campo sin dato,1,18da07ca11bb0db37a1dd314f9a1ed5c399dce9865f8a03daae553ef3c1e2c34,26/06/2023 00:32:50,ESCANER
21428,"Izabal",18,"Lívingston",2,3327,380,35,13,66,1,6,72,16,0,0,0,2,7,0,1,219,19,9,247,0,247,--,380,133,219,247,247,Algún campo sin dato,1,e8857f864dc3510fc96c5a6987fb398fa0acec93b789554efc7953401dfaab65,25/06/2023 23:14:57,ESCANER
21429,"Izabal",18,"Lívingston",2,3327,380,33,7,71,2,7,40,64,4,0,3,1,4,2,0,238,26,2,266,0,266,--,380,114,238,266,266,Algún campo sin dato,1,0e76ff891b39729ab8d55bc580fbd689964fa8bd1f4ed814a47efe42d2952cbb,25/06/2023 23:31:21,ESCANER
21430,"Izabal",18,"Lívingston",2,3327,380,23,13,61,0,4,46,42,5,0,0,1,5,2,0,202,6,2,210,7,217,--,380,163,202,210,217,Algún campo sin dato,1,32e45b371c7c38221148acfdb48481cbea3015fb6020534664818a9dd647638f,26/06/2023 00:56:32,ESCANER
21431,"Izabal",18,"Lívingston",2,3327,380,24,11,49,0,3,38,31,0,1,0,0,9,0,0,166,17,6,189,0,189,--,380,191,166,189,189,Algún campo sin dato,1,aa626b932bcfb40faada5a6d96d2f343a19dc11305134e2f0ee8115667d7ccc1,25/06/2023 23:40:30,ESCANER
21432,"Izabal",18,"Lívingston",2,3327,380,28,11,55,0,6,52,26,2,0,0,1,3,2,1,187,19,5,211,0,211,--,377,166,187,211,211,Algún campo sin dato,1,8d53006192d09b3a35027e9360ca6515f9bdc1dab1a395a291490f2786a86ef6,26/06/2023 01:03:52,ESCANER
21433,"Izabal",18,"Lívingston",2,3328,380,29,9,46,1,12,43,23,0,0,1,0,10,1,0,175,27,4,206,0,206,--,380,174,175,206,206,Algún campo sin dato,1,ae090ffdd253ee7339308e7784dd94b95860e7b4ef84c83bb6c5d8b4aadbd676,25/06/2023 23:34:16,ESCANER
21434,"Izabal",18,"Lívingston",2,3328,380,22,10,55,0,10,50,22,0,0,0,0,8,0,0,177,16,3,196,0,196,--,380,184,177,196,196,Algún campo sin dato,1,292d211c9c4d4b55259466c95ec2e985d383ed6d1d1aa16ac6d706d72bdc313f,26/06/2023 04:41:20,ESCANER
21435,"Izabal",18,"Lívingston",2,3328,380,26,17,60,1,4,39,38,1,0,0,0,10,0,0,196,8,1,205,0,205,--,380,175,196,205,205,Algún campo sin dato,1,1fd16e804ed56776fa406ba7ee64a31c60c5ee7f5aabab0287bccdcae4229542,26/06/2023 01:00:57,ESCANER
21436,"Izabal",18,"Lívingston",2,3328,280,14,10,42,0,4,21,41,2,0,0,0,6,1,0,141,7,1,149,0,149,--,280,131,141,149,149,Algún campo sin dato,1,9c752f64e84a220b98792948f05b18c2d009012caf6197bae0810d04755172cb,25/06/2023 23:50:45,ESCANER
21437,"Izabal",18,"Lívingston",2,3328,280,20,9,41,0,5,27,16,0,0,0,0,4,0,0,122,12,4,138,1,139,--,280,141,122,138,139,Algún campo sin dato,1,7847f41dd33289f76ec1303858723340b72888680bb9c623582121511d2e767e,26/06/2023 01:25:27,ESCANER
21438,"Izabal",18,"Lívingston",2,3329,380,98,1,72,2,2,33,72,0,0,0,0,0,5,0,285,5,3,293,0,293,--,380,87,285,293,293,Algún campo sin dato,1,a7b6278a503b0623729af58ba72c9f921ffdcd11b5b6a38325af6ed2bf9f543e,26/06/2023 00:21:46,ESCANER
