TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
128,128,100.0000,128,100.0000,0,45860,25165,54.8735

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,UNE,MLP,ELEFANTE,CABAL,CAMBIO,VALOR,PODEMOS,UR,AZUL,VIVA,PPN,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21472,"Izabal",18,"Lívingston",2,3334,380,53,4,29,5,8,27,34,0,0,4,0,2,1,0,167,15,7,189,0,189,--,380,191,167,189,189,Algún campo sin dato,1,bee0148d437d83c1dcb734717e7f3dbd9358d9719c0b8135d33cf5fe7d308858,26/06/2023 00:25:44,ESCANER
21473,"Izabal",18,"Lívingston",2,3334,380,52,7,29,13,5,29,42,1,0,4,0,0,0,0,182,11,2,182,0,182,--,380,185,182,195,195,Sumas Asentadas sin cuadrar,1,4a84b64932ad38fee0df9b456c9574821b1842f51bcc291e16fe979dd0d28d4e,25/06/2023 23:11:03,ESCANER
21474,"Izabal",18,"Lívingston",2,3334,380,36,3,39,8,6,22,46,2,0,2,0,0,0,0,164,7,0,171,0,164,--,380,209,164,171,171,Sumas Asentadas sin cuadrar,1,2a142a5ec7406178876fedf8184de93c73080c57ddd5a291f997fb2f54788d1d,26/06/2023 01:14:14,ESCANER
21475,"Izabal",18,"Lívingston",2,3335,380,39,3,41,13,5,19,40,0,0,1,0,0,0,0,161,3,1,165,0,165,--,379,214,161,165,165,Algún campo sin dato,1,54dbed05e9555f81357bf0b8e9b04104b451b7f3e2ee32fedef907de69076152,26/06/2023 01:45:29,ESCANER
21476,"Izabal",18,"Lívingston",2,3335,216,23,4,23,1,8,13,17,0,1,0,0,0,3,0,93,5,2,100,0,100,--,216,116,93,100,100,Algún campo sin dato,1,3d8aaef0608d32ff19c6bdc2b8ae0aa13293a484bba8bb3d58a0f52ac8629d79,26/06/2023 01:55:36,ESCANER
21477,"Izabal",18,"Lívingston",2,3335,215,14,1,13,5,3,16,20,0,0,2,1,0,1,0,76,9,3,88,0,88,--,213,125,76,88,88,Algún campo sin dato,1,fd1739ad79dc6bd98fded52073265cce04306a4d02ba4a320d4ad4928a588d11,26/06/2023 00:05:46,ESCANER
21478,"Izabal",18,"Lívingston",2,3336,380,81,3,75,1,1,7,121,1,0,0,0,0,0,0,290,12,8,310,3,380,--,380,67,290,310,313,Sumas Asentadas sin cuadrar,1,1b2dbc88cc59a8554a6f2a06b5e7821d61dedf4de64962c31d5e05d5bea6ba95,26/06/2023 06:20:11,ESCANER
21479,"Izabal",18,"Lívingston",2,3336,380,67,5,74,5,0,10,121,0,0,1,0,3,0,0,286,9,10,378,0,378,--,378,73,286,305,305,Sumas Asentadas sin cuadrar,1,0e8e9a54f10bd0938a026aadde01c53c069ead31560ed6c9cde506850de05d99,26/06/2023 06:44:31,ESCANER
21480,"Izabal",18,"Lívingston",2,3336,380,73,2,58,0,0,10,121,0,0,0,0,1,0,0,265,10,10,285,0,285,1,380,95,265,285,285,,1,0786909d40bfeaf8b4ccd0b5ade66d59bf28a04e366ca475280027c4c8c33086,26/06/2023 06:37:22,ESCANER
21481,"Izabal",18,"Lívingston",2,3336,380,91,0,77,0,0,6,96,0,0,1,0,0,1,0,272,4,2,278,0,278,--,380,102,272,278,278,Algún campo sin dato,1,78bff75f1364675c48be8818242a529357997e9cfb7a8ac882e8b28c542425af,26/06/2023 06:30:48,ESCANER
21482,"Izabal",18,"Lívingston",2,3336,380,78,1,79,3,0,7,77,0,0,1,1,0,0,0,247,9,7,263,0,263,1,380,113,247,263,263,,1,16f8bb7d4226f8331728797ffd32ff79318ff3bac924739d517c4f6d4cd5cf78,26/06/2023 06:09:21,ESCANER
21483,"Izabal",18,"Lívingston",2,3336,380,55,1,56,1,0,9,108,1,0,0,1,0,1,0,233,4,3,240,0,240,--,378,138,233,240,240,Algún campo sin dato,1,d74512660b98b68766b49aa4d9e18066f63213732c5eb0bf1fb99095ebf0c633,26/06/2023 05:57:19,ESCANER
21484,"Izabal",18,"Lívingston",2,3336,380,63,2,40,1,0,4,127,0,0,0,1,0,0,0,238,1,1,240,0,240,--,376,136,238,240,240,Algún campo sin dato,1,928debfc42a7e2a06215cd8823db03bbc0ef4c6efc6c200f2d78e38f77a91b1b,26/06/2023 06:01:46,ESCANER
21485,"Izabal",18,"Lívingston",2,3336,192,29,3,30,0,0,4,45,0,0,0,0,0,1,0,112,1,3,116,1,--,--,189,73,112,116,117,Algún campo sin dato,1,096670ca1c81a8c2af07ecc02f0a631072dd44ec5d50ea49c05186b04ad9775d,26/06/2023 06:21:46,ESCANER
21486,"Izabal",18,"Lívingston",2,3336,191,38,2,39,0,0,1,44,1,0,0,0,0,0,0,125,6,2,133,0,133,--,191,58,125,133,133,Algún campo sin dato,1,259fce9d77f6be7fb6258b1598e8decad1f32e699c79d02018a452a9431d2d55,26/06/2023 06:35:09,ESCANER
21487,"Izabal",18,"Lívingston",2,3337,380,38,11,62,2,10,40,80,1,0,0,2,1,0,0,247,1,5,253,14,267,--,377,110,247,253,267,Algún campo sin dato,1,2b04b5d818d8e68771f41dbf46c1d3b516404e3899b40cf8cad59c712a1d6255,26/06/2023 09:53:33,ESCANER
21488,"Izabal",18,"Lívingston",2,3337,380,48,17,71,0,2,29,94,1,0,1,2,0,0,0,265,20,7,292,0,292,--,377,85,265,292,292,Algún campo sin dato,1,0d4900bf863992ca34ed2d941431d0fa72fa612352a4a5e395f2532766e62ee2,26/06/2023 10:14:38,ESCANER
21489,"Izabal",18,"Lívingston",2,3337,380,34,21,50,1,6,19,84,1,0,0,1,0,0,2,218,4,2,224,0,224,--,379,155,219,225,225,Sumas Asentadas sin cuadrar,1,035705dd5628c56fdce5bc2995132fb80a2c3130a50221f5eda9b19ea3807649,26/06/2023 10:09:04,ESCANER
21490,"Izabal",18,"Lívingston",2,3337,210,22,7,32,0,4,22,45,0,0,0,0,0,0,0,132,2,0,134,0,134,--,210,76,132,134,134,Algún campo sin dato,1,2dc5d55a8958d7c3a8e785ec7d72edac2c684d60f9e6e0f3964972ec3c1234e5,26/06/2023 09:44:29,ESCANER
21491,"Izabal",18,"Lívingston",2,3337,209,20,6,27,0,2,11,43,1,0,0,0,0,0,0,110,1,1,112,0,112,--,209,97,110,112,112,Algún campo sin dato,1,c40f943ebb9ed333aacb83f0c9495cc34a4c8bbc9a1d9b2c4e540d3feae02cc1,26/06/2023 08:10:09,MOVIL
21492,"Izabal",18,"Lívingston",2,3338,380,39,2,47,1,4,49,77,5,0,0,0,2,0,0,226,15,21,262,0,262,--,377,115,226,262,262,Algún campo sin dato,1,6d450b7ada5bed2d8e6adc3d74b881ef5095f45afc5825bfa0286a4c7a9707ed,26/06/2023 01:38:00,ESCANER
21493,"Izabal",18,"Lívingston",2,3338,203,15,4,17,1,2,18,51,0,0,0,0,0,0,0,108,2,1,111,7,118,--,203,85,108,111,118,Algún campo sin dato,1,2434d1f2f236c8a1fe70cdadc0e6a1ae49478e3e4ce53637e6ef49ee7ff61113,25/06/2023 23:33:25,ESCANER
21494,"Izabal",18,"Lívingston",2,3338,202,17,0,15,0,1,10,51,0,0,0,0,0,0,0,94,0,2,96,5,101,--,202,101,94,96,101,Algún campo sin dato,1,79381f44a77ee76c500c04150388c5ddd23e6c11416f399e96e98738c3cd629c,25/06/2023 23:13:06,ESCANER
21495,"Izabal",18,"Lívingston",2,3339,380,51,5,34,5,31,22,33,3,1,0,0,2,1,0,188,31,7,226,0,226,--,377,151,188,226,226,Algún campo sin dato,1,ef0982fb838ddb2c42ac359845aa2eacc5c8cbbdde6195b3860bbe457c85a1aa,26/06/2023 00:01:04,ESCANER
21496,"Izabal",18,"Lívingston",2,3339,380,52,14,38,7,33,19,36,0,0,2,1,3,0,2,207,33,3,243,0,243,--,380,137,207,243,243,Algún campo sin dato,1,1d83fe2142f4be4f49fd5f84489336d94fc7cabe742726917eb838b14b52c3ed,26/06/2023 01:02:55,ESCANER
21497,"Izabal",18,"Lívingston",2,3339,380,56,13,29,2,29,32,21,4,0,1,1,1,3,0,192,33,5,230,0,230,--,380,150,192,230,230,Algún campo sin dato,1,410636e65ccc731301e7af3e8175d425e313c2bd9cd01397e1e66cf6a3cc4044,26/06/2023 00:47:49,ESCANER
21498,"Izabal",18,"Lívingston",2,3339,380,60,8,30,12,19,35,37,2,2,0,0,3,1,2,211,27,6,244,0,244,--,380,136,211,244,244,Algún campo sin dato,1,f3568489ba36c549e9d003fdaf5b2ed7424bd4de731f516076b138491f91d383,26/06/2023 00:14:48,ESCANER
21499,"Izabal",18,"Lívingston",2,3339,380,37,13,41,8,25,37,26,0,0,1,2,2,2,0,194,14,9,217,11,228,--,380,152,194,217,228,Algún campo sin dato,1,0bf1037b232e8ee9b93cd951d0b3fa504970f9164804c12278ff8dc98a78e822,26/06/2023 01:21:45,ESCANER
21500,"Izabal",18,"Lívingston",2,3339,380,47,7,39,4,26,49,37,4,1,0,0,4,1,0,219,26,10,255,0,255,--,377,122,219,255,255,Algún campo sin dato,1,9d39d684dcd3c63a92f720aa6c78075f7276f9dc03c234e1869915c8a29f2fb0,26/06/2023 00:38:26,ESCANER
21501,"Izabal",18,"Lívingston",2,3339,380,51,6,38,1,21,34,36,3,1,1,1,4,0,0,197,15,5,217,0,217,--,380,163,197,217,217,Algún campo sin dato,1,7bb0f0b06ec3fcc0a591e6111e6b0ef20538b9ac90dca2030e630c73cdf60053,26/06/2023 00:36:26,ESCANER
21502,"Izabal",18,"Lívingston",2,3339,380,45,10,24,7,18,35,23,3,0,0,2,3,0,1,171,20,6,197,0,197,--,384,187,171,197,197,Algún campo sin dato,1,ff4765d3ee1e1bbfcd87709f67fc2a8cddec8b6e64daaec9856cd61b821671f4,26/06/2023 01:28:49,ESCANER
21503,"Izabal",18,"Lívingston",2,3339,380,38,13,29,7,28,34,21,2,0,0,0,2,0,0,177,24,2,203,0,203,--,380,177,174,200,200,Sumas Asentadas sin cuadrar,1,17376af7b998eb26fdaf8d6b05d1e68c272fd353e4005a7acab353b0043ab1ce,26/06/2023 01:44:37,ESCANER
21504,"Izabal",18,"Lívingston",2,3339,380,44,14,31,4,21,26,32,5,0,1,2,2,3,1,186,28,3,217,0,217,--,380,163,186,217,217,Algún campo sin dato,1,91e24680f9bab07040181154151242a98a50c6c55bd95716e2721d698ccaf096,26/06/2023 00:31:03,ESCANER
21505,"Izabal",18,"Lívingston",2,3339,380,46,10,20,2,32,42,28,3,2,0,1,2,0,1,189,18,8,215,0,215,--,380,164,189,215,215,Algún campo sin dato,1,2a748ee304e3943a6385c261e07fb5503d9721c9ce8c34ce9b97b4787c0b0546,25/06/2023 23:18:46,ESCANER
21506,"Izabal",18,"Lívingston",2,3339,380,38,4,24,5,29,36,25,6,1,0,1,1,1,1,172,19,9,200,0,200,--,380,180,172,200,200,Algún campo sin dato,1,1bfcf4965a9d4705ea3140c9586a601038099ada9a69d03f442c0843a30b3ea3,26/06/2023 00:21:24,ESCANER
21507,"Izabal",18,"Lívingston",2,3339,380,53,11,22,3,36,25,23,1,1,0,1,3,1,1,181,9,1,191,0,191,--,--,--,181,191,191,Algún campo sin dato,1,ca134dc9dc3faeccba0c18be90bfbe171543ff57544eebd954b8462c89abba9c,26/06/2023 00:15:07,ESCANER
21508,"Izabal",18,"Lívingston",2,3339,380,28,9,13,4,22,25,36,3,0,0,0,1,0,0,141,11,1,153,0,153,--,380,227,141,153,153,Algún campo sin dato,1,375f083f7a3c2014f7ee3c1db7d9f5fee0b4fbeeb6357768a3283a03eeace2e2,26/06/2023 00:43:40,ESCANER
21509,"Izabal",18,"Lívingston",2,3339,380,26,10,35,3,10,23,34,0,0,0,1,1,3,0,146,4,2,152,2,154,--,380,224,146,152,154,Algún campo sin dato,1,76b57c0490f9872a0b529424903e390c6deacb63de0f8b68694eb93b164725d5,26/06/2023 01:18:40,ESCANER
21510,"Izabal",18,"Lívingston",2,3339,380,39,5,25,0,26,25,25,2,0,0,0,0,1,1,149,7,2,158,0,158,--,380,222,149,158,158,Algún campo sin dato,1,5c6b7f18521c6912349c81521a47931083f340fdfbe77310ec050a2ba256cede,26/06/2023 00:11:06,ESCANER
21511,"Izabal",18,"Lívingston",2,3339,354,41,12,19,1,17,21,45,2,0,0,1,1,1,0,161,5,0,166,0,166,--,354,188,161,166,166,Algún campo sin dato,1,3eefe58f5e8739dad4d4ded9d8053014b37702ea473428b353308236474e5177,26/06/2023 00:28:34,ESCANER
21512,"Izabal",18,"Lívingston",2,3339,354,26,4,18,3,19,29,21,1,0,0,1,3,1,0,126,5,3,134,0,134,--,354,220,126,134,134,Algún campo sin dato,1,7f89c970e464749c5582aaf87eb0bcf921b77339702d0a3caf1d80d201726f67,26/06/2023 01:16:50,ESCANER
21513,"Izabal",18,"Lívingston",2,3340,380,59,4,59,1,4,24,18,2,0,0,2,1,0,0,174,41,10,225,0,225,--,380,155,174,225,225,Algún campo sin dato,1,0cba92d3b8ff357e18519da3bd3688acc6503d6ec3849328bb82bdf5bf0b7b98,25/06/2023 23:41:48,ESCANER
21514,"Izabal",18,"Lívingston",2,3340,380,49,9,88,1,2,22,20,2,0,0,1,2,1,2,199,24,5,228,0,228,--,400,172,199,228,228,Algún campo sin dato,1,0a822007fc44b424853e33b3440435b5b2105a0844a1e82adfd5005a68f4ca1a,26/06/2023 01:23:17,ESCANER
21515,"Izabal",18,"Lívingston",2,3340,380,47,5,45,3,4,39,16,2,1,0,1,0,0,1,164,16,6,186,0,186,--,380,194,164,186,186,Algún campo sin dato,1,747b8fb0db0a24cfeb4d1ee28e0234269e1b069a96356bde88696d40b78edbf9,26/06/2023 01:21:53,ESCANER
21516,"Izabal",18,"Lívingston",2,3340,380,47,3,54,0,7,37,18,1,0,1,2,0,0,0,170,20,5,195,0,195,--,401,206,170,195,195,Algún campo sin dato,1,5215b7e5d60ea2e7d308437de006dabe11cfa8badc6ae4e94c5729ab67ea78a2,26/06/2023 01:57:11,ESCANER
21517,"Izabal",18,"Lívingston",2,3340,376,46,5,58,0,3,30,13,2,0,0,0,2,0,0,159,10,3,172,0,172,--,376,204,159,172,172,Algún campo sin dato,1,103175edf46caa9ff5032d0418594c27901448d94ef9dee516211592a8a17db9,26/06/2023 01:35:08,ESCANER
21518,"Izabal",18,"Lívingston",2,3340,376,38,6,71,0,3,25,24,0,0,0,1,0,0,0,168,9,2,179,0,179,--,373,194,168,179,179,Algún campo sin dato,1,c5b2e6b488c8d502c3d76ffc48dfd419c7661fb15ae77286b0acc187d8601b3d,26/06/2023 00:06:55,ESCANER
21519,"Izabal",18,"Lívingston",2,3341,380,52,19,58,0,8,41,50,4,0,3,3,1,17,2,258,31,6,295,0,295,--,380,82,258,295,295,Algún campo sin dato,1,deb27fc60a14a08b792a759315b80c9b999db498683c338b0d1b5febfd50b134,26/06/2023 01:35:40,ESCANER
21520,"Izabal",18,"Lívingston",2,3341,297,40,9,25,2,7,32,47,3,0,1,0,1,9,2,178,14,1,193,1,194,--,297,103,178,193,194,Algún campo sin dato,1,e5427877fe414e9e28d1ca14408be55f60eac804aae3673ed179990209b9a7a8,26/06/2023 02:04:33,ESCANER
21521,"Izabal",18,"Lívingston",2,3341,297,37,7,18,1,3,39,46,0,0,2,1,0,8,0,162,5,1,168,0,168,--,297,129,162,168,168,Algún campo sin dato,1,d459ac2689face5eef285fa1df4ceb6a65e859867654adc5e4d9ace852729f43,26/06/2023 01:01:30,ESCANER
21522,"Izabal",18,"Lívingston",2,3342,600,14,9,4,0,0,12,14,2,0,1,2,2,0,1,61,2,1,64,0,64,--,600,536,61,64,64,Algún campo sin dato,1,e8a3162e6199638f9332dd06604c408d9345512f6ecaae359cab05a07ec23cda,25/06/2023 22:47:32,ESCANER
21523,"Izabal",18,"Lívingston",2,3342,352,5,3,1,0,0,7,5,0,0,0,1,1,0,0,23,0,1,24,0,24,--,352,328,23,24,24,Algún campo sin dato,1,8f393e0b724e35981fd822deba6db37ad21d4e0e8c3a83fba69c8863d75074f4,25/06/2023 20:55:05,ESCANER
21524,"Izabal",18,"Lívingston",2,3342,352,5,2,1,0,1,7,2,1,0,0,0,0,0,1,20,0,0,20,0,20,--,252,332,20,20,20,Algún campo sin dato,1,aa714133ca6043c92feea41f5ab804b891aad003af6e27dd2ab0c212ba689988,25/06/2023 21:06:36,ESCANER
