TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
146,146,100.0000,146,100.0000,0,55528,25689,46.2631

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,MLP,VALOR,UNE,PODEMOS,AZUL,WINAQ,VAMOS,BIEN,VICTORIA,CABAL,VOS,VIVA,PHG,ELEFANTE,TODOS,CAMBIO,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16463,"Huehuetenango",13,"Barillas",26,2445,380,8,0,1,35,32,0,0,18,41,1,4,3,1,2,0,0,0,0,146,8,1,155,0,155,--,380,225,146,155,155,Algún campo sin dato,1,00d50d3e65a486c7951e4e1b91cbfb054bc0ba4b8e627082b3b7ae8f327ca05b,26/06/2023 04:14:02,ESCANER
16464,"Huehuetenango",13,"Barillas",26,2445,380,1,0,0,31,36,1,1,34,34,1,5,1,3,3,0,0,0,0,151,12,1,164,0,164,--,362,198,151,164,164,Algún campo sin dato,1,60c0cc741732f0ec7f42b3ad140bb641f1189795e25b6655ce708d55984c4477,26/06/2023 04:25:46,ESCANER
16465,"Huehuetenango",13,"Barillas",26,2445,249,1,1,4,35,16,0,0,15,29,0,0,2,1,0,0,0,0,0,104,6,4,114,0,114,--,248,134,104,114,114,Algún campo sin dato,1,8965a22819b16cec6a6adef660c247555d536e0b0eeac27e162c9652913f97a5,26/06/2023 04:14:51,ESCANER
16466,"Huehuetenango",13,"Barillas",26,2445,248,13,1,1,13,11,0,0,15,27,2,8,2,0,5,0,0,0,0,98,4,1,103,0,103,--,248,145,98,103,103,Algún campo sin dato,1,91a0140c0e76d6521e776af59b4dac48d618c2c8e619cc98d4d695d422f16c72,26/06/2023 04:09:05,ESCANER
16467,"Huehuetenango",13,"Barillas",26,2446,380,6,1,3,36,10,0,0,8,53,2,31,1,3,8,0,0,1,0,163,24,9,196,0,196,--,377,181,163,196,196,Algún campo sin dato,1,d92fab87616f8572041a38ac65e6aafed52afa0aff6e9c3ad5f2166381a087f3,26/06/2023 00:33:43,ESCANER
16468,"Huehuetenango",13,"Barillas",26,2446,380,5,2,9,19,8,2,2,11,56,10,32,3,6,23,0,0,0,0,188,18,11,217,0,217,--,380,163,188,217,217,Algún campo sin dato,1,6a5dde0a500123989b5d348155e91bb50207e21f8698edc9fc35fe3b5460456a,26/06/2023 00:05:03,ESCANER
16469,"Huehuetenango",13,"Barillas",26,2446,380,3,3,3,8,5,3,1,14,49,4,32,2,1,15,0,0,0,0,143,13,10,166,0,166,--,380,214,143,166,166,Algún campo sin dato,1,18a414a67576e67669ef24c0bb13c935460819a6c73eaf9a04bebb3ec5195cc5,25/06/2023 21:39:46,ESCANER
16470,"Huehuetenango",13,"Barillas",26,2446,378,1,2,7,9,10,3,0,8,51,6,29,2,1,14,0,0,0,0,143,13,6,162,0,162,--,378,216,143,162,162,Algún campo sin dato,1,76ee958813052957e6239b34643ebf0a1a77bc4410e806c469eec609ec356365,25/06/2023 23:06:53,ESCANER
16471,"Huehuetenango",13,"Barillas",26,2446,378,0,2,4,15,9,1,1,9,52,5,23,1,1,10,1,0,0,0,134,13,0,147,0,147,--,375,228,134,147,147,Algún campo sin dato,1,8e0bcb6edfb801e895f70d18d4a0357c02171c90783a02284870c13fc001d28f,25/06/2023 23:25:57,ESCANER
16472,"Huehuetenango",13,"Barillas",26,2447,380,1,0,5,55,12,1,0,15,46,12,4,3,0,10,0,0,0,0,164,13,3,180,0,180,--,380,200,164,180,180,Algún campo sin dato,1,1a82f2a8c53a5d745d594f932212f0a31a3f8d3307b4b17defd2769ee7da3d41,26/06/2023 00:45:30,ESCANER
