TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
146,146,100.0000,146,100.0000,0,55528,25689,46.2631

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,MLP,VALOR,UNE,PODEMOS,AZUL,WINAQ,VAMOS,BIEN,VICTORIA,CABAL,VOS,VIVA,PHG,ELEFANTE,TODOS,CAMBIO,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16358,"Huehuetenango",13,"Barillas",26,2432,400,14,5,8,52,12,1,6,51,34,1,3,4,5,10,0,0,1,0,207,10,5,222,0,222,--,400,178,207,222,222,Algún campo sin dato,1,caca376ef5b7a943397762b5a3c8f47a82f313590f162916fc0c00c19ed72c24,25/06/2023 22:52:04,ESCANER
16359,"Huehuetenango",13,"Barillas",26,2432,400,18,7,6,48,8,1,5,65,39,2,7,3,2,5,0,0,0,0,216,18,5,239,0,239,--,400,161,216,239,239,Algún campo sin dato,1,f2eb5ff0672a18056ceb840a7965762b919f01c57785834f6b57a154adc8df50,26/06/2023 01:33:00,ESCANER
16360,"Huehuetenango",13,"Barillas",26,2432,400,15,4,5,31,12,1,7,47,47,0,4,4,2,5,0,0,0,1,185,9,4,198,0,198,--,400,202,185,198,198,Algún campo sin dato,1,889ddc78148365a02dfa97e143a9022ad2339774a318438ff68ad9ad40c44660,26/06/2023 02:37:09,ESCANER
16361,"Huehuetenango",13,"Barillas",26,2432,400,6,2,4,27,7,0,11,59,24,1,1,3,1,7,0,0,0,0,153,4,2,159,0,159,--,400,241,153,159,159,Algún campo sin dato,1,249b267aa2094c638e2ad4227a946e04723bb8528e0994caa39e70b9ae5a13d1,26/06/2023 00:42:25,ESCANER
16362,"Huehuetenango",13,"Barillas",26,2433,400,12,6,5,33,13,1,9,50,25,4,6,0,4,3,2,0,0,0,173,13,3,189,0,189,--,400,211,173,189,189,Algún campo sin dato,1,e2885caf1edc6d3a65a317f4cb4a718f5e8dd27e5862b404f60b1780c03aa3b7,25/06/2023 23:54:57,ESCANER
16363,"Huehuetenango",13,"Barillas",26,2433,400,9,5,3,30,10,0,10,43,37,2,3,3,2,3,0,0,0,1,161,19,5,185,0,185,--,400,215,161,185,185,Algún campo sin dato,1,a8959d7db85dea49cd2a370ac980a4056a82c985a10cac05527bad8e4964c311,25/06/2023 20:40:42,ESCANER
16364,"Huehuetenango",13,"Barillas",26,2433,400,10,2,8,47,14,1,16,45,30,3,6,2,4,6,1,0,0,0,195,19,5,219,0,219,--,398,179,195,219,219,Algún campo sin dato,1,df904d4db19ca5546e85875942f3b613544b52e4837e57d3658c627bcf2af735,26/06/2023 02:51:56,ESCANER
16365,"Huehuetenango",13,"Barillas",26,2433,400,14,0,0,33,5,0,10,56,35,3,3,2,1,7,0,0,0,0,169,11,7,187,0,187,--,400,213,169,187,187,Algún campo sin dato,1,d08d5b215e3d40df5b15f1e243d5f33b6a4f8b3e6b1bb050ca7b986439046421,25/06/2023 23:39:57,ESCANER
16366,"Huehuetenango",13,"Barillas",26,2433,400,15,6,8,38,13,0,4,52,32,1,5,2,5,7,1,0,0,0,189,10,3,202,0,202,--,399,197,189,202,202,Algún campo sin dato,1,75fb5386952c767e351520fa610676bf6a9f5abc77c8639df794fe0de7b9d1b1,26/06/2023 00:09:09,ESCANER
16367,"Huehuetenango",13,"Barillas",26,2433,400,10,8,13,32,12,1,13,56,39,2,2,0,3,4,0,0,0,0,195,15,1,211,0,211,0,400,189,195,211,211,,1,84153af757e70b2942d1c1c5c93fa40d459c74a8f8b1b0569821a32016fa20f8,26/06/2023 04:55:41,ESCANER
16368,"Huehuetenango",13,"Barillas",26,2433,400,13,1,14,36,11,1,3,42,39,1,7,4,4,3,1,0,1,0,181,7,2,190,0,190,--,400,210,181,190,190,Algún campo sin dato,1,7f984ca72a905b1c4f2964543a38f87b229e10f49f62dc5338bce41d76619c6b,26/06/2023 01:05:30,ESCANER
16369,"Huehuetenango",13,"Barillas",26,2433,400,18,2,11,39,2,1,7,49,39,2,5,1,2,9,0,0,0,0,187,13,5,205,0,205,--,400,195,187,205,205,Algún campo sin dato,1,20913b20e9f6ada0ca9aeba345493d0bf93e03d9fe5f1e0c592cd5c9b1c9f62b,25/06/2023 23:45:52,ESCANER
16370,"Huehuetenango",13,"Barillas",26,2433,400,8,4,9,32,5,1,11,38,43,4,5,1,0,7,0,0,0,0,168,10,4,182,0,182,--,400,218,168,182,182,Algún campo sin dato,1,141b45cd1153685e7ae6af2f6c6cd1259da55f297daa3a06386221fea664f398,25/06/2023 22:44:56,ESCANER
16371,"Huehuetenango",13,"Barillas",26,2433,400,17,4,6,41,6,2,7,42,38,3,11,3,2,7,0,0,0,0,189,14,4,207,0,207,--,400,193,189,207,207,Algún campo sin dato,1,cf786d8b2c0775263dd7cdb0f38d16f5b7dc1518ba9da98beedd90cde46ac049,26/06/2023 01:13:59,ESCANER
16372,"Huehuetenango",13,"Barillas",26,2433,400,12,2,11,30,5,0,6,55,34,1,5,0,3,9,0,0,0,0,173,18,9,200,0,200,--,400,200,173,200,200,Algún campo sin dato,1,b58fa3ae3c9d262fb68bd44e9fa47a0f15ede672623620c413a4be2539344287,26/06/2023 01:11:21,ESCANER
16373,"Huehuetenango",13,"Barillas",26,2433,400,10,2,2,28,9,1,7,39,39,2,4,1,2,8,0,0,0,0,154,14,13,181,0,--,--,397,217,154,181,181,Algún campo sin dato,1,90f3fba9b1226316c7a120320938a472b28f309b8e310b57c17e871c99f199ca,25/06/2023 23:58:34,ESCANER
16374,"Huehuetenango",13,"Barillas",26,2434,400,10,2,7,27,6,1,4,44,40,2,4,3,0,5,0,0,0,0,155,16,3,174,0,174,--,400,226,155,174,174,Algún campo sin dato,1,6301bdcff141776a5b5122adb54843c13854340f71f41b9c5db425fb955e3442,25/06/2023 21:06:45,ESCANER
16375,"Huehuetenango",13,"Barillas",26,2434,400,9,3,3,24,8,0,10,44,24,2,2,1,0,6,0,0,0,0,136,11,3,150,0,150,--,400,250,136,150,150,Algún campo sin dato,1,9c20b59e52ca54349c37be25c67f76f699d5ed661e9b8294a0d905cb0957b5d9,25/06/2023 21:42:54,ESCANER
16376,"Huehuetenango",13,"Barillas",26,2434,400,6,5,9,33,8,0,8,50,47,1,3,0,2,4,0,0,0,0,176,5,2,183,0,183,--,398,215,176,183,183,Algún campo sin dato,1,53443f2e24a31ea214089ab97b35d14320da6009439e6882f349e92f7bd7b479,26/06/2023 00:18:05,ESCANER
16377,"Huehuetenango",13,"Barillas",26,2434,400,3,11,4,24,11,0,11,54,37,3,4,0,2,3,0,0,0,0,167,6,0,173,0,173,--,400,227,167,173,173,Algún campo sin dato,1,5f62a2e104ba01ac24dde69df64c352c3d95d38dfed9c47ba50203581b1c18d1,26/06/2023 00:09:12,ESCANER
16378,"Huehuetenango",13,"Barillas",26,2434,400,3,2,4,27,6,0,5,37,34,1,4,6,3,6,0,0,0,0,138,8,3,149,0,149,--,400,251,138,149,149,Algún campo sin dato,1,5c606a2ba2082848dc8aefd78ae71228a596fa44fc16e14ffb4333c432ec9b82,25/06/2023 21:49:25,ESCANER
16379,"Huehuetenango",13,"Barillas",26,2434,400,12,6,4,27,11,0,4,43,34,0,3,1,1,4,0,0,0,0,150,10,2,162,0,162,--,400,238,150,162,162,Algún campo sin dato,1,40c9b2379d6e814e3e70d60f6202d00b73b04444298f4300f0440b46b4fb49b7,26/06/2023 00:37:42,ESCANER
16380,"Huehuetenango",13,"Barillas",26,2434,400,6,1,8,33,4,0,7,45,35,3,3,3,3,1,0,0,0,0,152,16,4,172,0,172,--,397,225,152,172,172,Algún campo sin dato,1,602cd1aa5f953e511b812157c789a12bf1e7b59ff8285e056f5592f56494ed5f,26/06/2023 05:07:49,ESCANER
16381,"Huehuetenango",13,"Barillas",26,2434,400,8,4,6,40,3,1,6,46,24,2,1,4,3,4,0,0,0,0,152,4,3,159,0,159,--,400,241,152,159,159,Algún campo sin dato,1,dec391d4e7b96333df2e2bba26cc14c8ffc0780bce627f370b34ceb1477a8ff1,25/06/2023 22:23:36,ESCANER
16382,"Huehuetenango",13,"Barillas",26,2434,400,8,1,9,32,8,0,9,50,40,0,3,4,1,6,0,0,0,0,171,15,0,186,0,186,--,400,214,171,186,186,Algún campo sin dato,1,93d6d970169649bba16c1bfefa722d348562500e0814e9944f519673b02c0899,25/06/2023 22:14:06,ESCANER
16383,"Huehuetenango",13,"Barillas",26,2434,395,7,2,9,22,9,0,8,54,38,0,4,4,3,7,0,0,0,0,167,9,0,176,--,--,--,395,219,167,176,176,Algún campo sin dato,1,d1bf51fe9a1c130bedfd967e2d0c12da8f03d2f42a0961cdb745294d2b522fd7,25/06/2023 21:56:47,ESCANER
16384,"Huehuetenango",13,"Barillas",26,2434,394,4,4,5,27,7,0,14,42,15,1,3,4,0,0,0,0,0,0,126,5,4,135,0,135,--,394,259,126,135,135,Algún campo sin dato,1,033525d6ef7f5c5f465d30f31c1af6411ca2072528e86d2298311146b592a103,25/06/2023 21:34:54,ESCANER
16385,"Huehuetenango",13,"Barillas",26,2435,400,6,5,2,55,12,1,21,65,22,2,3,2,0,2,0,1,0,0,199,11,11,221,--,--,--,400,179,199,221,221,Algún campo sin dato,1,c1bbdaeda05ef5f072d18f972e132ef39319dfa58a4ceece7be00c2e0638b47e,26/06/2023 01:06:59,ESCANER
16386,"Huehuetenango",13,"Barillas",26,2435,400,3,1,10,33,7,0,18,84,26,0,1,4,0,3,1,0,0,0,191,16,9,216,0,216,--,400,184,191,216,216,Algún campo sin dato,1,0d295989bed86614a42fa3f59dda9a5ed264fe0d13cd7e935d53d0e87eb0ac2c,25/06/2023 21:26:55,ESCANER
16387,"Huehuetenango",13,"Barillas",26,2435,400,3,2,4,35,15,4,17,77,40,0,1,1,3,2,1,0,0,1,206,11,6,223,0,223,--,--,--,206,223,223,Algún campo sin dato,1,581cd7e86e62f63c52c8085818762130b02d862333dae471869e2988816232b3,26/06/2023 01:16:58,ESCANER
16388,"Huehuetenango",13,"Barillas",26,2435,400,4,1,4,39,10,1,13,75,37,1,7,2,1,1,0,0,0,0,196,16,12,224,0,224,--,397,173,196,224,224,Algún campo sin dato,1,5f6e672c47ae154266cc2b2688f8a8bfb9f2b0f7a01cffd33f2a2fce62d6d1ce,26/06/2023 01:15:12,ESCANER
16389,"Huehuetenango",13,"Barillas",26,2435,400,5,2,5,53,14,0,14,87,22,0,0,6,1,3,1,0,0,0,213,9,4,226,0,226,--,400,174,213,226,226,Algún campo sin dato,1,370ba1bdc16aa47b1505ca57562c9fafcabd3f6cf4bd4c543d67676bcb7d86aa,25/06/2023 22:04:29,ESCANER
16390,"Huehuetenango",13,"Barillas",26,2435,400,6,6,4,25,10,1,26,90,23,0,7,3,2,2,0,0,0,0,205,18,11,234,0,234,400,166,--,205,234,234,Algún campo sin dato,1,7f46ac3129d50161670be8f1543e2b25909a10a0274c8332ea4bb36196f58541,26/06/2023 05:15:22,ESCANER
16391,"Huehuetenango",13,"Barillas",26,2435,400,5,0,5,32,8,1,18,102,37,1,0,3,1,2,0,0,0,1,216,15,8,239,0,239,--,400,161,216,239,239,Algún campo sin dato,1,9a5e17432f0ef0fe77aa974b4edaa4a58ccbb5c7d3706e152144e5b4b65ad9a1,25/06/2023 23:52:33,ESCANER
16392,"Huehuetenango",13,"Barillas",26,2435,400,2,2,4,47,4,3,35,88,34,0,5,1,3,2,0,0,0,1,231,13,2,246,0,246,--,400,154,231,246,246,Algún campo sin dato,1,958a9a8408a0d08cf62c4aea0c6cd88ae1fe94077b242537b33c95adb629e297,25/06/2023 23:41:06,ESCANER
16393,"Huehuetenango",13,"Barillas",26,2435,400,3,8,4,40,12,2,18,82,37,0,4,3,3,2,0,0,0,0,218,14,6,238,0,238,--,400,162,218,238,238,Algún campo sin dato,1,bfe4de3d7e8bf01c8ea4a3f71759674bda44ef17d53f88c5dc344c66801f2f78,26/06/2023 03:05:06,ESCANER
16394,"Huehuetenango",13,"Barillas",26,2435,400,3,3,2,32,11,1,15,80,22,0,3,1,0,2,0,1,0,0,176,9,3,188,0,188,--,396,208,176,188,188,Algún campo sin dato,1,27ad151951147605299abe2fcb2e6aac8c7804af1a4543cabdf771ce413fd527,26/06/2023 02:59:19,ESCANER
16395,"Huehuetenango",13,"Barillas",26,2436,400,3,4,2,40,15,2,18,71,24,0,0,0,4,3,2,0,0,0,188,11,8,207,0,207,--,400,193,188,207,207,Algún campo sin dato,1,047773fba70ab2158463f56266022e4160f2004c9c35cdd83b394212e29d37c2,26/06/2023 01:25:01,ESCANER
16396,"Huehuetenango",13,"Barillas",26,2436,400,2,7,3,36,18,0,8,79,22,2,6,1,0,0,0,0,0,1,185,14,5,204,0,204,--,400,196,185,204,204,Algún campo sin dato,1,d4f418f8321e669ce3b67d98a823506d2d67c2ea296ffa61bb15dcf19f46c193,25/06/2023 22:46:14,ESCANER
16397,"Huehuetenango",13,"Barillas",26,2436,400,3,3,6,27,8,1,14,62,27,3,2,6,1,4,0,0,0,0,167,9,7,183,0,183,0,400,217,167,183,183,,1,5310dc5f81c1422511f36b1b7f7b505f7be7750b9ae458c0f2bc25316c742331,26/06/2023 00:23:31,ESCANER
16398,"Huehuetenango",13,"Barillas",26,2436,400,3,4,3,38,6,2,8,52,27,2,4,2,2,1,0,0,0,0,154,12,3,169,0,169,--,400,231,154,169,169,Algún campo sin dato,1,5ddafe2735f37c0b02ec655fb1e122c83bd9e54d6ae501267fb9732c37964bde,25/06/2023 22:09:14,ESCANER
16399,"Huehuetenango",13,"Barillas",26,2436,400,6,1,3,29,9,1,10,60,25,0,1,2,1,0,1,0,0,0,149,7,6,162,0,162,--,397,235,149,162,162,Algún campo sin dato,1,9acd4bdbc25087477080e93d7a6fe72188f93aabd4fb1dd2cd8b13a0a9e9be41,25/06/2023 22:35:49,ESCANER
16400,"Huehuetenango",13,"Barillas",26,2437,400,4,3,2,30,6,0,14,73,16,2,3,2,1,1,1,0,0,0,158,7,1,166,0,166,--,400,234,158,166,166,Algún campo sin dato,1,b53e969cc3751b17552d3e96829b469e177daa005e0fc60299a954f2f48c4340,25/06/2023 23:44:01,ESCANER
16401,"Huehuetenango",13,"Barillas",26,2437,400,3,6,3,34,4,0,11,57,20,2,2,1,2,1,0,0,0,0,146,6,2,154,0,154,--,400,246,146,154,154,Algún campo sin dato,1,4ac0b3876ab0f3479dd2a8acd58d64fe33ea44e6f05db5c8cc5bccc936eabc07,26/06/2023 00:31:20,ESCANER
16402,"Huehuetenango",13,"Barillas",26,2437,400,8,4,0,29,12,0,18,78,27,1,2,2,0,0,2,0,0,0,183,9,3,195,2,197,--,400,203,183,195,197,Algún campo sin dato,1,7af32499485808bd116ea810b807b2a785215cb4e356f5274a65300f7a70a9f8,25/06/2023 21:38:03,ESCANER
16403,"Huehuetenango",13,"Barillas",26,2437,335,3,1,2,17,3,0,15,54,17,1,0,2,1,4,0,0,0,0,120,7,3,130,0,130,--,332,202,120,130,130,Algún campo sin dato,1,f2b9058ddac572b276ab3cd83239c60e67f21fe53a56fe1cbf4fc892fa8349c1,25/06/2023 23:44:07,ESCANER
16404,"Huehuetenango",13,"Barillas",26,2437,334,2,4,5,27,3,0,15,48,14,0,1,0,2,0,0,0,0,0,121,1,4,126,0,126,--,334,208,121,126,126,Algún campo sin dato,1,5d3860da4389761df5426579d91dace42ffeb80c7a50539f560942a0c1c3cce9,26/06/2023 01:33:08,ESCANER
16405,"Huehuetenango",13,"Barillas",26,2438,380,20,2,2,36,14,0,3,19,37,1,5,0,2,1,0,0,0,0,142,30,11,183,0,183,--,380,197,142,183,183,Algún campo sin dato,1,f3b05db1d643d0d0581bbd4b4ac8e2a15f0a8180e5c141edcb779df549bb8f3b,26/06/2023 00:18:32,ESCANER
16406,"Huehuetenango",13,"Barillas",26,2438,380,9,0,6,41,9,0,6,14,59,1,0,2,3,3,0,0,0,0,153,12,7,172,0,172,--,380,208,153,172,172,Algún campo sin dato,1,3278b3b7e2e928305a78eae0b0761feefef0a137f06d6834335ba42cac6cb607,26/06/2023 00:24:14,ESCANER
16407,"Huehuetenango",13,"Barillas",26,2438,380,10,0,5,19,15,2,4,8,42,1,3,0,4,1,2,0,0,0,116,11,253,380,0,380,--,380,253,116,380,380,Algún campo sin dato,1,0a774bb3b1ea1157de8592a93f060dbebb46e9bc51660f6bd8ba83057abd139f,26/06/2023 00:10:17,ESCANER
16408,"Huehuetenango",13,"Barillas",26,2438,372,6,0,3,37,14,1,3,5,32,3,3,2,1,4,0,0,0,0,114,11,247,372,0,372,--,372,247,114,372,372,Algún campo sin dato,1,671a71afb7184d441321f0a4d01305549966f1a90c342ccb85bf81a910909186,25/06/2023 22:36:15,ESCANER
16409,"Huehuetenango",13,"Barillas",26,2438,371,5,1,2,22,7,0,2,5,31,2,2,1,2,4,0,0,0,0,86,6,9,101,0,101,--,371,270,86,101,101,Algún campo sin dato,1,284c40b0313b81792dd5f6eb78323e2b40279a3982891495903915f1806acdfd,25/06/2023 23:37:54,ESCANER
16410,"Huehuetenango",13,"Barillas",26,2439,380,1,0,5,30,4,2,14,26,31,0,1,1,3,6,0,1,0,0,125,18,14,157,0,157,--,380,223,125,157,157,Algún campo sin dato,1,d166487360d2325883776b2d43de4ed8707160cb2bcb7dd92973e4ac4c700343,26/06/2023 00:19:09,ESCANER
16411,"Huehuetenango",13,"Barillas",26,2439,380,4,1,4,21,10,1,12,33,54,0,1,3,0,1,0,1,0,0,146,25,4,175,0,175,--,380,205,146,175,175,Algún campo sin dato,1,5fbe01ead02e78dd97400609003d324df9ad3774c1ec1d956c3fbaae8eae9ca9,26/06/2023 00:27:55,ESCANER
16412,"Huehuetenango",13,"Barillas",26,2439,380,3,0,4,33,9,3,18,41,49,0,3,1,1,1,0,0,0,0,166,18,7,191,0,191,--,380,189,166,191,191,Algún campo sin dato,1,4476fbefd466978e072ff4598c13ab1713c0fcfd579fef11f7eabb65b624fe18,25/06/2023 23:25:16,ESCANER
16413,"Huehuetenango",13,"Barillas",26,2439,380,3,0,4,44,13,1,20,45,37,0,1,3,1,1,0,0,0,1,174,10,7,191,0,191,--,380,189,174,191,191,Algún campo sin dato,1,33b8ff07058296cb15d4fa9b50f41677392d62fe56d64a6aea66c57840147f66,25/06/2023 23:31:41,ESCANER
16414,"Huehuetenango",13,"Barillas",26,2439,380,1,0,2,36,7,1,12,49,30,1,0,1,0,1,0,1,0,0,142,10,4,156,0,156,--,--,--,142,156,156,Algún campo sin dato,1,71f4fe01fc861d2d301957c3e63b9deeaaaf410fc9aa9826852d5a72507de3a7,25/06/2023 22:36:37,ESCANER
16415,"Huehuetenango",13,"Barillas",26,2439,380,2,1,2,38,7,0,14,39,48,0,4,1,1,0,0,0,0,0,157,19,4,180,0,180,--,380,200,157,180,180,Algún campo sin dato,1,d9c99fa873c08922a65eca61bcdde4666ba6b8db4b94e589c2661a1df0e97c9b,25/06/2023 22:59:59,ESCANER
16416,"Huehuetenango",13,"Barillas",26,2439,380,4,2,2,47,7,0,12,51,36,0,4,2,1,3,0,0,0,0,171,19,3,193,0,193,--,381,188,171,193,193,Algún campo sin dato,1,44af7d035f9e55d4a692155bb0ee0e4411bf16567fcd9c7081c93793bf8c0a47,25/06/2023 23:31:49,ESCANER
16417,"Huehuetenango",13,"Barillas",26,2439,380,3,3,3,41,4,3,26,46,32,0,3,1,4,5,1,0,0,1,173,10,7,190,0,190,--,--,--,176,193,193,Sumas Asentadas sin cuadrar,1,fa2f6a1dfaf071425af55c4e98db2e36fa03db61ef302590ea78e98f2afd6268,26/06/2023 00:16:04,ESCANER
16418,"Huehuetenango",13,"Barillas",26,2439,380,3,0,1,33,7,1,11,38,36,1,4,2,1,2,0,0,0,0,140,15,6,161,0,161,--,380,219,140,161,161,Algún campo sin dato,1,2fe75999e7cd3501c57fcea3e1ddb0d621e5e29344896abf6fba058fdff2bf43,25/06/2023 21:11:54,ESCANER
16419,"Huehuetenango",13,"Barillas",26,2439,380,4,0,0,25,6,0,13,29,31,1,1,0,0,1,0,0,0,0,111,9,8,128,0,128,--,380,252,111,128,128,Algún campo sin dato,1,fef220f489e47fc172862f7ef2f16e40b397140b9936257dc71804bee2b20429,25/06/2023 22:13:11,ESCANER
16420,"Huehuetenango",13,"Barillas",26,2440,380,3,1,0,25,7,1,17,45,29,0,0,2,1,1,0,1,0,0,133,7,11,151,0,151,--,380,229,133,151,151,Algún campo sin dato,1,d4fd8877a86da1bdcd76b8177d4dec30b79a43d2df9c883385e7dce25e8eb4fb,25/06/2023 22:59:41,ESCANER
16421,"Huehuetenango",13,"Barillas",26,2440,380,1,1,2,21,3,0,10,38,21,0,2,2,1,0,0,0,0,0,102,6,13,121,0,121,--,380,259,102,121,121,Algún campo sin dato,1,2ebae5e77307608d78d2fbc0b5c9ed32ebb6d3750f4ee5cdf10d0e410c4b4b90,25/06/2023 21:58:35,ESCANER
16422,"Huehuetenango",13,"Barillas",26,2440,380,2,1,4,25,4,1,9,31,27,0,2,1,1,1,0,0,0,0,109,5,1,115,265,380,--,380,265,109,115,380,Algún campo sin dato,1,3a172c199b7ccecf3dd1aff1817fe75a75fa335a70eac781aa02cfa392d9e48e,25/06/2023 21:01:44,ESCANER
16423,"Huehuetenango",13,"Barillas",26,2440,380,3,0,4,19,10,0,13,31,24,0,1,3,0,4,1,0,0,0,113,8,4,125,0,125,--,377,252,113,125,125,Algún campo sin dato,1,5376955cc6b685e825b1e934b55a18d992e39ab8b7794f38e1d454122a03c070,25/06/2023 21:41:57,ESCANER
16424,"Huehuetenango",13,"Barillas",26,2440,380,2,0,5,19,2,0,14,25,28,0,2,1,0,2,0,1,0,0,101,3,3,107,0,107,--,379,272,101,107,107,Algún campo sin dato,1,cb26bdc0e0ea37e454ec2c5556d3180d61c14cfbc50fb5c2c3a77112a36de5b4,25/06/2023 21:52:25,ESCANER
16425,"Huehuetenango",13,"Barillas",26,2441,380,1,0,3,25,4,0,15,32,25,0,3,2,0,1,0,0,0,0,111,2,0,113,0,113,--,380,267,111,113,113,Algún campo sin dato,1,8be3b45c50abdf9c7e85f34d213e22257d3f570295c3e71478eecc776fc35636,26/06/2023 00:11:48,ESCANER
16426,"Huehuetenango",13,"Barillas",26,2441,380,0,0,4,24,5,0,8,37,35,0,3,0,0,1,0,0,0,0,117,1,2,120,1,120,--,380,260,117,120,121,Sumas Asentadas sin cuadrar,1,11e1f2fbade5d4aaeaa06b25a9644e3acb1ffe04d10ceee9d2386589869ed119,26/06/2023 00:42:02,ESCANER
16427,"Huehuetenango",13,"Barillas",26,2441,380,1,0,5,20,9,1,15,21,30,1,2,0,0,0,0,0,0,0,105,6,5,116,0,116,--,380,264,105,116,116,Algún campo sin dato,1,4328db1f937edf7f3a71fe37a64e97d2531933a7ce8ac49151d17358ea860733,25/06/2023 23:36:17,ESCANER
16428,"Huehuetenango",13,"Barillas",26,2441,256,4,1,3,25,5,0,7,28,24,0,4,0,1,0,0,0,0,0,102,3,4,109,0,109,--,257,148,102,109,109,Algún campo sin dato,1,0543c00133268b6621c85f00d238c40e2b3a85048cee2aa914268e73065ce852,26/06/2023 00:20:10,ESCANER
16429,"Huehuetenango",13,"Barillas",26,2441,256,1,0,1,24,3,0,7,15,18,0,1,0,1,1,0,0,0,1,73,4,0,77,0,77,--,253,176,73,77,77,Algún campo sin dato,1,b7d7be1aac33aabd206c0a16ed2dc0bff89a9e940399409ad4771790e5462795,26/06/2023 00:28:20,ESCANER
16430,"Huehuetenango",13,"Barillas",26,2442,380,4,3,6,36,10,2,8,52,19,1,6,8,1,1,0,1,0,0,158,21,9,188,0,188,--,380,192,158,188,188,Algún campo sin dato,1,b8aa21c2499e918dabcc3a33528bac11f8c8be83df29d4b7748e06ecddd90ad3,25/06/2023 23:42:54,ESCANER
16431,"Huehuetenango",13,"Barillas",26,2442,380,1,2,6,32,10,4,3,76,22,0,10,7,2,2,0,1,0,0,178,11,4,193,0,193,--,380,187,178,193,193,Algún campo sin dato,1,cfd754344e8fb83b6da3b090c7387d52dd77a5934d699028dd982afc440fe918,25/06/2023 22:58:55,ESCANER
16432,"Huehuetenango",13,"Barillas",26,2442,380,3,2,5,37,12,2,7,67,17,0,9,2,3,1,0,0,0,0,167,15,10,192,0,192,--,--,--,167,192,192,Algún campo sin dato,1,079ddafe2312c9313cc7bbbe61a36ee27ed07f083451e6e33f899de5a28974ea,25/06/2023 23:23:59,ESCANER
16433,"Huehuetenango",13,"Barillas",26,2442,380,3,1,9,54,6,1,4,72,31,0,5,5,5,6,0,0,0,0,202,16,7,225,0,225,--,380,155,202,225,225,Algún campo sin dato,1,e9c4896afc4cba6c8188f9fa237c270b468c9b7da2936da74461835443b9b10e,25/06/2023 22:46:41,ESCANER
16434,"Huehuetenango",13,"Barillas",26,2442,380,2,0,7,46,10,2,4,54,29,0,2,6,0,1,0,0,0,0,163,13,4,180,0,180,--,--,--,163,180,180,Algún campo sin dato,1,b3ea3943229c487726cf00bd7290a90a5386f2a074d0472f56eb8b4784cb8029,25/06/2023 23:07:44,ESCANER
16435,"Huehuetenango",13,"Barillas",26,2442,380,3,0,4,43,7,2,6,58,22,0,4,8,3,1,0,0,0,0,161,14,12,187,0,187,--,380,193,161,187,187,Algún campo sin dato,1,f71c3d41052a2fafdf7ade9a2a8e28a62f1c30800c4b8e311ec388cde63253b5,25/06/2023 23:13:35,ESCANER
16436,"Huehuetenango",13,"Barillas",26,2442,380,1,2,5,31,2,1,5,45,15,0,7,10,1,3,1,0,0,0,129,8,6,143,0,143,--,380,237,129,143,143,Algún campo sin dato,1,85e7e8e22e54ecc8afa8faa8215d7d8595c12f9cdd920170520ae0741321a61f,25/06/2023 21:49:52,ESCANER
16437,"Huehuetenango",13,"Barillas",26,2442,380,1,1,9,39,6,0,3,42,17,0,1,3,0,0,0,0,0,0,122,7,4,133,0,133,--,380,247,122,133,133,Algún campo sin dato,1,3e4f70aa195b72c7ee05cbe66aefadec2ed4d23cf4eeca321f9e4f85dc7e52fd,25/06/2023 22:36:16,ESCANER
16438,"Huehuetenango",13,"Barillas",26,2442,326,0,1,6,27,8,0,3,41,12,1,5,4,0,2,0,0,0,0,110,6,4,120,0,120,--,323,203,110,120,120,Algún campo sin dato,1,6aed4e1476a30a25c67dca590d9943d08ffc816ada024e75b1d0fe9a8e01be84,25/06/2023 22:11:56,ESCANER
16439,"Huehuetenango",13,"Barillas",26,2442,325,2,1,3,12,9,0,3,39,19,0,3,15,2,1,0,0,0,0,109,9,6,124,0,124,--,325,201,109,124,124,Algún campo sin dato,1,d453cccc864e13f8df71f995461698b5bcdde19e46c0b9a09dd381d626dc00b0,25/06/2023 23:43:40,ESCANER
