TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
42,42,100.0000,42,100.0000,0,15728,12975,82.4961

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17253,"Quiché",14,"San Antonio Ilotenango",8,2604,400,133,172,2,307,5,4,316,0,316,--,400,84,307,316,316,Algún campo sin dato,1,cc4da849e6b79c7781ebc555d005da138dd926c770be51ae5e97f46ee93989d3,26/06/2023 01:48:31,ESCANER
17254,"Quiché",14,"San Antonio Ilotenango",8,2604,400,119,186,3,308,7,12,327,0,327,--,400,73,308,327,327,Algún campo sin dato,1,23bd0e4d9a504072269ca354d551c42b1a2012c01e3298d171f2c0a3a7333012,26/06/2023 02:32:37,ESCANER
17255,"Quiché",14,"San Antonio Ilotenango",8,2604,400,170,152,4,322,10,7,17,0,17,0,400,57,326,343,343,Sumas Asentadas sin cuadrar,1,7c23b2edddcc8d242bde67d597cf6fcc8cc4b3c500f40c47fe23e07c503c7939,26/06/2023 01:37:25,ESCANER
17256,"Quiché",14,"San Antonio Ilotenango",8,2604,400,149,163,5,317,12,3,332,0,332,--,400,68,317,332,332,Algún campo sin dato,1,0adb30e0ff872ebd312f693b0862d422cfcb83b44775e3375aea6c2d6c9ea055,26/06/2023 00:50:17,ESCANER
17257,"Quiché",14,"San Antonio Ilotenango",8,2604,400,112,176,3,291,6,1,298,0,298,--,400,102,291,298,298,Algún campo sin dato,1,1384f8449413224760560154d8eb9f12821e2755a92029f1cfb9f8d3069cb7d8,26/06/2023 01:09:54,ESCANER
17258,"Quiché",14,"San Antonio Ilotenango",8,2604,400,119,167,1,287,4,4,295,0,295,--,398,103,287,295,295,Algún campo sin dato,1,44c5187e0876c3f4972eeca3dfa14072845d59bb91a36b9517abcc9fb9e79f52,26/06/2023 01:22:49,ESCANER
17259,"Quiché",14,"San Antonio Ilotenango",8,2604,400,142,181,3,326,3,0,329,0,329,--,400,71,326,329,329,Algún campo sin dato,1,3b9d0f4e2d8ae979f8fee020ffb04172913a7a558bdec6eea9317e3348b3741c,25/06/2023 22:40:22,ESCANER
17260,"Quiché",14,"San Antonio Ilotenango",8,2604,378,134,180,2,316,1,0,317,1,318,--,378,60,316,317,318,Algún campo sin dato,1,afc7844208ee78cdfc1ef32cb837d609b3283b89bb8cf79fe814b542bfb4c51c,26/06/2023 00:38:58,ESCANER
17261,"Quiché",14,"San Antonio Ilotenango",8,2604,378,116,162,1,279,7,1,287,91,378,--,378,91,279,287,378,Algún campo sin dato,1,7f9b17f53f5e5d24f5c8ef87332cd20a381d1eaf6dde785d1cd2808a0e88982e,26/06/2023 00:11:08,ESCANER
17262,"Quiché",14,"San Antonio Ilotenango",8,2605,400,170,183,2,355,0,3,358,0,358,--,399,41,355,358,358,Algún campo sin dato,1,ff152e9a0f801aef027d95865e5089b5fc525124df64942a28aa4e75ec48ab22,25/06/2023 23:42:56,ESCANER
17263,"Quiché",14,"San Antonio Ilotenango",8,2605,400,159,199,3,361,3,4,368,0,368,--,399,31,361,368,368,Algún campo sin dato,1,6e09d55d1c97c63485a1f244efd5c2e6bcbe45bd59a553002d7958827077d774,25/06/2023 23:18:11,ESCANER
17264,"Quiché",14,"San Antonio Ilotenango",8,2605,400,154,188,1,343,2,6,351,49,400,--,--,--,343,351,400,Algún campo sin dato,1,fa5f81247d0a6fd1aadcce9a9ae58897ff2008a8fb5ffd126433e4a09786158b,26/06/2023 00:26:19,ESCANER
17265,"Quiché",14,"San Antonio Ilotenango",8,2605,400,138,203,1,342,1,1,344,0,344,--,399,55,342,344,344,Algún campo sin dato,1,8dcb9ca4f61471f43043506162f98a8170346edbb693ceb11ccb0ecdbab6ae18,25/06/2023 23:50:33,ESCANER
17266,"Quiché",14,"San Antonio Ilotenango",8,2605,285,117,153,0,270,0,0,270,0,270,--,287,17,270,270,270,Algún campo sin dato,1,479e3c2de3e4463e99cd88a2b342eabf9a3478b6fd3a46d67bdfa05dc40f9857,25/06/2023 22:33:15,ESCANER
17267,"Quiché",14,"San Antonio Ilotenango",8,2605,285,95,162,0,257,3,0,260,0,260,--,285,25,257,260,260,Algún campo sin dato,1,663d6f573919f08e424d1d39138fb4bb0524d88d904f41bbec06b889359d49aa,25/06/2023 22:14:37,ESCANER
17268,"Quiché",14,"San Antonio Ilotenango",8,2606,400,160,154,1,315,3,7,325,0,325,--,--,--,315,325,325,Algún campo sin dato,1,55f6bd35e5a2a9b6bddaf2e608957dd255cc093de3c953e3e63fd4a7575d507d,25/06/2023 23:49:00,ESCANER
17269,"Quiché",14,"San Antonio Ilotenango",8,2606,400,192,160,4,356,2,7,365,1,366,--,400,34,356,365,366,Algún campo sin dato,1,9793a10585aff90a69c9902b046797acf830312c933de1f910656c940c584f3b,25/06/2023 23:11:34,ESCANER
17270,"Quiché",14,"San Antonio Ilotenango",8,2606,400,162,177,0,339,6,5,350,0,350,--,398,48,339,350,350,Algún campo sin dato,1,89a9dcfa5cbaf5f1ea0529ae7fccac9378f64e6f912a8878f3c2dceace2711a9,26/06/2023 00:36:08,ESCANER
17271,"Quiché",14,"San Antonio Ilotenango",8,2606,400,148,160,6,314,7,4,325,0,325,--,400,75,314,325,325,Algún campo sin dato,1,873940256e8647a1197ee6c05fa46eee2947e78c03c0c2d0442ba189dc85d234,26/06/2023 00:34:08,ESCANER
17272,"Quiché",14,"San Antonio Ilotenango",8,2606,400,135,185,0,320,4,2,326,0,326,--,400,74,320,326,326,Algún campo sin dato,1,bd375179385eb4f881fe7cdec5f7f5e0e64745e78eb2ef9c9a07efd2b921371b,26/06/2023 00:38:32,ESCANER
17273,"Quiché",14,"San Antonio Ilotenango",8,2606,400,166,166,0,332,1,1,334,0,334,--,400,66,332,334,334,Algún campo sin dato,1,adf6ef5de3158565cb77afeaecc8e2b659a4e8bd52ae5dd3a8251f7b72a8a540,25/06/2023 23:40:49,ESCANER
17274,"Quiché",14,"San Antonio Ilotenango",8,2606,245,101,106,1,208,1,1,210,0,210,--,245,35,208,210,210,Algún campo sin dato,1,5d7ad3d92a7f5d7eb0c7c74c7f2bdc47acc3a19331b0cde43f9a374a52005c36,25/06/2023 22:06:33,ESCANER
17275,"Quiché",14,"San Antonio Ilotenango",8,2606,244,91,109,0,200,4,2,206,0,206,--,245,39,200,206,206,Algún campo sin dato,1,3ad9603fbd5d12332cccf0826e8e7056f9891f45a714017bbcf9450360452e95,25/06/2023 22:47:12,ESCANER
