TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
62,62,100.0000,62,100.0000,0,23084,11898,51.5421

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VAMOS,TODOS,BIEN,PPN,MI FAMILIA,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8998,"Santa Rosa",6,"Nueva Santa Rosa",14,1094,220,42,18,4,2,1,1,0,2,2,72,7,0,79,0,79,--,--,--,72,79,79,Algún campo sin dato,1,5924e594ae03666c5c005036b7ea16381c05a0ee07a7b9b77da64b6223abfbbb,25/06/2023 20:44:21,ESCANER
8999,"Santa Rosa",6,"Nueva Santa Rosa",14,1095,400,99,30,42,4,2,2,2,8,7,196,19,5,220,0,220,--,397,177,196,220,220,Algún campo sin dato,1,7e8f89b11f3dd02131bf8948d1df8676202094a1b3199e627a9f95bf75b553e9,25/06/2023 23:12:29,ESCANER
9000,"Santa Rosa",6,"Nueva Santa Rosa",14,1095,400,123,18,28,1,3,5,1,12,8,199,32,1,232,1,233,--,404,171,199,232,233,Algún campo sin dato,1,77b0ffb476a17a079c859684619161e06d8fcc8af85d198340794cad79f43db6,25/06/2023 21:45:31,ESCANER
9001,"Santa Rosa",6,"Nueva Santa Rosa",14,1095,400,97,28,18,5,2,3,0,7,12,172,21,1,194,0,194,--,399,205,172,194,194,Algún campo sin dato,1,9a7a3de69b7fa3545d674f5c03bb27d94f06dc2c1a16e944c458b04741db1dbc,25/06/2023 23:05:20,ESCANER
9002,"Santa Rosa",6,"Nueva Santa Rosa",14,1095,268,65,18,10,0,2,3,0,7,11,116,14,1,131,4,135,--,268,133,116,131,135,Algún campo sin dato,1,f3120e7710464607cc4fff58cdd654449170bb3555815e35303aa72f7c4af5f3,25/06/2023 22:37:23,ESCANER
9003,"Santa Rosa",6,"Nueva Santa Rosa",14,1095,268,61,10,5,1,3,2,3,7,10,102,8,0,110,0,110,--,268,158,102,110,110,Algún campo sin dato,1,a54f7b5cccd251aa96423dcb65e8a07f1c053d2a47253e32d0dbbe5ed9de9be0,25/06/2023 23:43:03,ESCANER
9004,"Santa Rosa",6,"Nueva Santa Rosa",14,1096,400,125,17,37,3,0,3,1,5,10,201,23,7,231,0,231,--,400,169,201,231,231,Algún campo sin dato,1,ced37e36adf0afdff91760e08718e85c1ba4beee5afdd5a51bcd795525266a74,26/06/2023 02:46:43,ESCANER
9005,"Santa Rosa",6,"Nueva Santa Rosa",14,1096,342,113,16,29,1,0,2,1,1,7,170,12,4,186,0,186,--,342,156,170,186,186,Algún campo sin dato,1,b9a47c275adbf2cbe33097100d3ab81d91ee8e43812d4289008e5e5384d3a982,26/06/2023 00:55:50,ESCANER
9006,"Santa Rosa",6,"Nueva Santa Rosa",14,1096,342,95,12,12,4,0,1,1,6,12,143,10,2,155,0,155,--,342,187,143,155,155,Algún campo sin dato,1,95fa0e3a1ea67258921cc7f89bec0cfc6f3a80a4d7ea995ad56ef5daa5d56707,25/06/2023 22:28:13,ESCANER
9007,"Santa Rosa",6,"Nueva Santa Rosa",14,1097,380,79,17,43,0,2,3,0,3,47,194,22,2,218,0,218,--,377,159,194,218,218,Algún campo sin dato,1,5fc1b060d62fbfe8bfb336ce576fc9a1eb0cf5456ab04ace406db8c534a4242d,25/06/2023 23:58:47,ESCANER
9008,"Santa Rosa",6,"Nueva Santa Rosa",14,1097,380,86,13,48,1,1,0,2,3,28,184,17,4,205,0,205,--,380,175,182,203,203,Sumas Asentadas sin cuadrar,1,0d7328d1356f3ff35a17d60dbf00da059f7decb9c8b3f3547bf757d399d597ea,25/06/2023 22:17:49,ESCANER
9009,"Santa Rosa",6,"Nueva Santa Rosa",14,1097,380,91,14,54,2,1,2,0,4,34,202,14,1,217,0,217,--,380,163,202,217,217,Algún campo sin dato,1,e25830d2487500d9c3f1d7adeae3c255bba4d7b4c876e45b1c150a85613cc2e8,25/06/2023 22:55:22,ESCANER
9010,"Santa Rosa",6,"Nueva Santa Rosa",14,1097,380,85,11,33,3,0,2,1,0,48,183,13,3,199,--,199,--,380,181,183,199,199,Algún campo sin dato,1,31eabc619f8da1e4ffc0187a668b5762ec6c0d22aa3fed840ce9723613d2ddd0,25/06/2023 23:40:04,ESCANER
9011,"Santa Rosa",6,"Nueva Santa Rosa",14,1097,336,64,7,20,0,1,2,0,1,39,134,10,0,144,0,144,--,336,192,134,144,144,Algún campo sin dato,1,f6862ff5a18edfe7e87c7c212bfb5cf98dc9268555d7c53c6f998db083fa9843,25/06/2023 23:17:11,ESCANER
9012,"Santa Rosa",6,"Nueva Santa Rosa",14,1097,336,70,4,39,1,0,0,0,2,27,143,4,0,147,0,147,--,336,189,143,147,147,Algún campo sin dato,1,d1bee12490bacb4377f89f31b6d6b9ab18a08c2fec7139f8304545c7e1c67378,25/06/2023 23:25:12,ESCANER
9013,"Santa Rosa",6,"Nueva Santa Rosa",14,1098,380,105,29,42,2,1,0,1,0,4,184,24,3,211,0,211,--,380,169,184,211,211,Algún campo sin dato,1,0da1f7761105d104e006603b5be707f16fe5656f6e526abf69f7bcd192e8ffca,25/06/2023 23:22:29,ESCANER
9014,"Santa Rosa",6,"Nueva Santa Rosa",14,1098,380,101,33,41,4,2,0,0,0,6,187,24,38,219,0,219,--,380,161,187,249,249,Sumas Asentadas sin cuadrar,1,fdf9b23ca74a2f256d188b5905a25a8db9c0b5290bb8536f4ce81f9c46cac241,26/06/2023 01:34:52,ESCANER
9015,"Santa Rosa",6,"Nueva Santa Rosa",14,1098,380,99,31,55,4,0,0,3,0,12,204,19,3,226,0,226,--,380,154,204,226,226,Algún campo sin dato,1,39d846ac8085b76bcac193cc95a0f679c94df0b2fc5302a0cb48026d4f5267ac,26/06/2023 00:30:40,ESCANER
9016,"Santa Rosa",6,"Nueva Santa Rosa",14,1098,380,100,38,30,8,1,1,3,3,8,192,14,3,209,1,210,--,380,170,192,209,210,Algún campo sin dato,1,5c0df23453be51fe203e3f5512d65f22c6b11c87c437051d0252e10f4c02a6ff,25/06/2023 23:47:39,ESCANER
