TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
62,62,100.0000,61,98.3870,1,22948,16369,71.3308

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,FCN-NACION,VAMOS,VIVA,CABAL,ELEFANTE,SEMILLA,PPN,P A N,TODOS,VALOR,PHG,VICTORIA,BIEN,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20244,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3146,314,47,3,48,1,3,1,1,59,7,0,0,19,1,0,0,190,7,0,197,0,197,0,311,114,190,197,197,,1,fa0b9bad7ed8beeaad1370c84328f69d8cd40410e4d330c36ce347e5f3490c43,25/06/2023 22:34:36,ESCANER
20245,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3146,314,33,1,44,3,2,--,2,47,4,--,--,19,3,1,4,163,11,2,176,0,176,--,311,135,163,176,176,Algún campo sin dato,1,3cb74337d9a123493c98f33096f0d1aa4da6c09e1458dea13f685e32eb7f1150,25/06/2023 22:22:34,ESCANER
20246,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3147,400,68,3,101,7,1,0,3,50,3,0,1,43,6,0,4,290,23,7,320,0,320,--,400,80,290,320,320,Algún campo sin dato,1,bd829297ca2c972c23f69d1d29164d18b33cf16b56959a571bb58cca42283fa9,26/06/2023 04:23:15,ESCANER
20247,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3147,400,62,0,98,9,2,2,0,53,12,0,4,59,0,0,2,303,21,2,326,0,326,1,400,74,303,326,326,,1,6a36d2cf7510b2a91809ee1baaf9feef15ccee5fa61fce2d4ff05a2a28e832ff,26/06/2023 03:54:03,ESCANER
20248,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3147,400,73,0,70,4,1,0,1,61,7,0,3,78,2,0,4,304,22,3,329,0,329,--,400,71,304,329,329,Algún campo sin dato,1,6f9e594b1a647fd65a10061e4f71d4eae9e71a738c8d27c33a02e8d52fe2770e,26/06/2023 03:55:23,ESCANER
20249,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3147,400,52,2,103,7,3,0,1,46,6,0,0,35,0,1,2,258,16,2,276,0,276,--,400,124,258,276,276,Algún campo sin dato,1,af5faed1f237697bb24e69eac8f609f865727c0e2e55517fe0d96642b6773341,26/06/2023 01:24:39,ESCANER
20250,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3147,400,64,2,102,12,1,0,1,40,9,0,2,51,0,0,1,285,27,2,314,29,314,--,400,86,285,314,343,Sumas Asentadas sin cuadrar,1,edbe1cea5dcb310143132302ce2d073a3a535eaa923cff80b914984c5b01c86a,26/06/2023 04:22:00,ESCANER
20251,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3148,400,60,0,114,7,1,2,1,47,14,0,0,43,1,1,0,291,29,2,322,75,397,--,397,75,291,322,397,Algún campo sin dato,1,1bad340f8ebed52d09685716c2afa61eaf609cd1130290da7ac592eae328515c,26/06/2023 10:56:58,ESCANER
20252,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3148,400,57,1,99,8,2,0,1,49,6,0,0,57,1,0,0,281,21,3,305,0,305,--,397,92,281,305,305,Algún campo sin dato,1,5d8c7ee67b199b85af181d563dcc2310c373f36b7a02f5eaecbdae899b65a1f1,26/06/2023 01:26:24,ESCANER
20253,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3148,400,43,0,111,4,1,0,1,45,2,0,0,52,1,0,0,260,10,0,270,2,272,0,400,128,260,270,272,,1,c9880cc28add2f38f8a3e6cc42471479bd16acfe707a2d3e59d9c481a6f1f028,26/06/2023 02:55:28,ESCANER
