TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
52,52,100.0000,52,100.0000,0,18886,13106,69.3953

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,TODOS,AZUL,BIEN,PHG,SEMILLA,VALOR,UNIONISTA,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15580,"Huehuetenango",13,"Santa Bárbara",10,2268,372,112,0,2,102,4,0,0,0,4,0,0,224,4,5,233,0,233,--,372,139,224,233,233,Algún campo sin dato,1,2a3e0256264a6828d5c1f4182dc918af7a500442e99a3dec622c1a03ece1969f,25/06/2023 23:10:43,ESCANER
15581,"Huehuetenango",13,"Santa Bárbara",10,2269,380,96,2,0,161,0,1,1,0,2,0,0,263,7,5,275,0,275,--,380,98,263,275,275,Algún campo sin dato,1,3a5120014b1b584de327bfaf550f98b82153af944079e25b5c632b48b4dacdd9,26/06/2023 01:07:33,ESCANER
15582,"Huehuetenango",13,"Santa Bárbara",10,2269,380,81,0,0,191,1,0,1,1,0,0,0,275,4,6,285,0,285,--,389,104,275,285,285,Algún campo sin dato,1,1d0a9b621a14abc9e678b230a4d571dda2abc043f598d6dc34a022de3d75fb3e,26/06/2023 01:56:37,ESCANER
15583,"Huehuetenango",13,"Santa Bárbara",10,2269,380,106,2,6,178,1,2,1,0,0,1,0,297,4,5,306,0,306,--,380,70,297,306,306,Algún campo sin dato,1,14a1db09f480d0e1216080912119f48df11d45b9561bbd048564280954dbc5cc,26/06/2023 01:18:39,ESCANER
15584,"Huehuetenango",13,"Santa Bárbara",10,2269,380,115,1,2,180,3,0,0,0,0,2,0,303,9,6,318,0,318,--,380,61,303,318,318,Algún campo sin dato,1,124e1b935302832018ac198e1815c71891d55c23a05cce90bc034732be11d3ce,26/06/2023 04:47:43,ESCANER
15585,"Huehuetenango",13,"Santa Bárbara",10,2269,380,93,0,4,152,1,0,1,0,0,1,1,253,4,1,258,0,258,--,380,122,253,258,258,Algún campo sin dato,1,34ea3300b4f8f2b42774c1a982ac21a04b4a6d3b827a9b9770ab42f4efe4f0aa,26/06/2023 02:12:15,ESCANER
15586,"Huehuetenango",13,"Santa Bárbara",10,2270,380,80,1,2,144,1,0,1,0,1,0,0,230,2,0,232,0,232,--,380,148,230,232,232,Algún campo sin dato,1,f9acd8732f29ba9735780bab8d99421a5563ff654c81e91f794f936fc1470940,26/06/2023 03:41:51,ESCANER
15587,"Huehuetenango",13,"Santa Bárbara",10,2270,380,86,0,0,157,0,0,0,0,0,0,0,243,2,1,246,0,246,--,380,134,243,246,246,Algún campo sin dato,1,01996bfa0b90c41ac78aee410c65ae82a754064ec2af7d4e40e3f11a3ff1d704,25/06/2023 23:18:59,ESCANER
15588,"Huehuetenango",13,"Santa Bárbara",10,2270,380,79,0,0,158,1,0,2,0,1,0,0,241,1,0,242,0,242,--,380,138,241,242,242,Algún campo sin dato,1,46476f784694a70b6890493ded189eebf80fa4fd1a63788ed4f0fa07d9a40ab9,26/06/2023 00:41:19,ESCANER
15589,"Huehuetenango",13,"Santa Bárbara",10,2270,209,59,0,1,91,0,0,0,0,1,0,0,152,2,1,155,0,155,--,206,51,152,155,155,Algún campo sin dato,1,011c04a1e94ff76baced33a3ee63180e108d8efc53201acf308173df68e1c0b7,25/06/2023 22:30:40,ESCANER
