TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
52,52,100.0000,52,100.0000,0,19982,12469,62.4011

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,VAMOS,UNE,VIVA,VICTORIA,VOS,TODOS,CAMBIO,ELEFANTE,CABAL,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7551,"Escuintla",5,"La Democracia",3,851,361,0,8,53,72,21,19,2,5,0,0,13,2,209,11,3,209,0,209,0,361,152,195,209,209,Sumas Asentadas sin cuadrar,1,6059cc9288279b067dc2924ee1eef3d3525ec993bbefb684fe6a43ed6a6fe3eb,25/06/2023 22:55:46,ESCANER
7552,"Escuintla",5,"La Democracia",3,852,400,6,4,56,93,20,25,3,4,0,1,17,1,230,18,5,253,0,253,0,400,147,230,253,253,,1,ea233d7d189394b98cd48b6993b85433488d36de927b56ff42191ed66e3bc03e,26/06/2023 00:00:29,ESCANER
7553,"Escuintla",5,"La Democracia",3,852,400,5,9,62,111,20,25,5,13,0,0,6,2,258,22,6,286,0,286,0,397,111,258,286,286,,1,666fa5de2c7e12ed2bb958bb418d628b0913625df1cb8dd8c161f6761eb11598,26/06/2023 00:22:03,ESCANER
7554,"Escuintla",5,"La Democracia",3,852,400,4,12,72,87,17,17,5,5,0,0,11,0,230,26,4,260,0,260,--,401,140,230,260,260,Algún campo sin dato,1,300010766b14f89683e60249f6cbfea4fa4076dfa86fe5d807a0f894bdbc11f8,26/06/2023 02:34:19,ESCANER
7555,"Escuintla",5,"La Democracia",3,852,400,3,7,82,113,25,20,1,6,0,1,13,2,273,25,1,299,0,299,0,400,101,273,299,299,,1,573519e365c00049803c5d5ffda9fba0a79620936133d6fd1a09ee1b6483767b,26/06/2023 00:17:50,ESCANER
7556,"Escuintla",5,"La Democracia",3,852,400,3,9,59,130,25,29,2,8,0,2,11,2,280,19,5,304,0,304,0,400,96,280,304,304,,1,c9d8da41338f1a66f6e09e98e8ed9692b9f29ff551f2ed4b208228742c2b5603,26/06/2023 00:01:47,ESCANER
7557,"Escuintla",5,"La Democracia",3,852,400,4,8,73,114,16,23,3,3,1,1,12,1,259,25,4,288,0,288,0,400,112,259,288,288,,1,85d685bd28e98f9c928afec3f6dbed13564d8d94aa6ed032c48f654cb3432b08,26/06/2023 01:21:04,ESCANER
7558,"Escuintla",5,"La Democracia",3,852,400,3,5,77,112,20,22,3,6,3,1,9,2,263,27,6,296,0,296,0,400,104,263,296,296,,1,e9ea7d70721a3543d386d42daf55abe42c06ca8e00e87f390fbb48b0eb94e333,26/06/2023 00:38:41,ESCANER
7559,"Escuintla",5,"La Democracia",3,852,400,1,9,55,108,24,17,5,9,0,0,10,1,239,17,1,257,0,257,0,399,142,239,257,257,,1,236d5dedf6f191b44ec5dc90b004158ecb2be03a617a085d8afbcc7dbabbbf8e,26/06/2023 01:04:06,ESCANER
7560,"Escuintla",5,"La Democracia",3,852,400,5,3,64,90,16,19,0,4,0,2,10,0,213,15,3,231,0,231,0,400,169,213,231,231,,1,4d7b58e5f7ee593064ac8018af0b5232732b3da74654b1150f88a899ebcb714c,25/06/2023 23:35:05,ESCANER
7561,"Escuintla",5,"La Democracia",3,853,400,7,5,77,86,18,21,2,6,1,0,12,1,236,14,2,252,0,252,0,400,148,236,252,252,,1,8fd3a741986e5efd3d74dcb44af646bd287491c6876e908b7eba62e80b97d8f2,26/06/2023 01:14:26,ESCANER
7562,"Escuintla",5,"La Democracia",3,853,400,3,10,76,88,14,20,1,6,0,0,10,1,229,20,4,253,0,253,0,400,147,229,253,253,,1,6ce7643a41a9bdfecf6f6c34752d57dcf8b83bea90ab28cdf515b3ac83a217f6,26/06/2023 01:01:40,ESCANER
7563,"Escuintla",5,"La Democracia",3,853,400,1,4,69,78,13,28,3,6,0,0,13,0,215,15,5,235,0,235,0,380,145,215,235,235,,1,4b1b21a4c39a35b722e02a8ff62b76c9a751437a2c56d6dbe6c98dc37a7f1206,25/06/2023 23:39:27,ESCANER
7564,"Escuintla",5,"La Democracia",3,853,400,5,8,54,90,16,30,1,4,0,1,5,1,237,21,1,237,0,237,0,400,163,215,237,237,Sumas Asentadas sin cuadrar,1,3f09cca0ac05a5ff1b3964366f3d87e679497c943fedfb7c1b5411be2c1ccb45,26/06/2023 00:18:36,ESCANER
7565,"Escuintla",5,"La Democracia",3,853,400,6,9,58,84,17,15,2,7,1,0,11,4,214,14,2,230,0,230,0,400,170,214,230,230,,1,ab4d290f0d7d0e7e4c3abba6749a432331c29393270e8ceb0fba2c73e5338b9a,26/06/2023 00:52:21,ESCANER
7566,"Escuintla",5,"La Democracia",3,853,400,3,3,92,90,12,19,4,10,0,0,18,0,251,12,1,264,0,264,--,--,--,251,264,264,Algún campo sin dato,1,9ab76c7fa2480d49f3697e4742ad94e690edf34a31e261008bdeeb8d3c402efb,26/06/2023 03:50:20,ESCANER
7567,"Escuintla",5,"La Democracia",3,853,400,3,5,76,107,16,25,1,3,0,1,12,1,250,17,2,269,0,269,0,400,131,250,269,269,,1,c75015990ea3aa0159767b0df951412db090083120b201a541c4f12c49b57bd2,25/06/2023 22:52:03,ESCANER
7568,"Escuintla",5,"La Democracia",3,853,400,0,4,63,136,17,21,0,4,0,0,10,1,256,17,0,273,--,273,--,399,126,256,273,273,Algún campo sin dato,1,34ac0ffaa7d92e863744b41fd3e7c58ece140387179255f268576c94c4a82722,26/06/2023 01:42:58,ESCANER
7569,"Escuintla",5,"La Democracia",3,854,280,4,1,42,73,16,12,1,7,0,0,5,0,161,7,0,168,0,168,0,280,112,161,168,168,,1,43d240f07638c94daf5b6542f02fee79b40b3407ebe5f6e220339bd62f324c45,26/06/2023 00:07:48,ESCANER
7570,"Escuintla",5,"La Democracia",3,854,280,1,2,42,60,9,12,1,3,0,1,5,0,136,3,1,140,0,140,0,280,140,136,140,140,,1,32f91516687a0e40e2887b9b038fd122b12d52f964e8ec839462d1ee3e91f188,26/06/2023 00:30:13,ESCANER
7571,"Escuintla",5,"La Democracia",3,855,380,1,12,66,80,15,14,4,7,0,1,7,0,207,18,3,228,0,228,1,379,150,207,228,228,,1,025530fa8769c9c7b6ee68dda3a9fb8788b1350a3d2f5ec53f5fc359c7422650,25/06/2023 23:46:19,ESCANER
