TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
59,59,100.0000,59,100.0000,0,22202,13744,61.9043

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,VAMOS,AZUL,VIVA,VICTORIA,PPN,PR,VOS,UNE,VALOR,TODOS,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12378,"Suchitepéquez",10,"Patulul",14,1683,380,14,4,35,0,62,13,9,1,10,19,1,1,6,175,8,0,183,0,183,--,380,197,175,183,183,Algún campo sin dato,1,e0dc69e61a34afceef09d4d5bd5b38e58cc89cb5a9a602d11bf8be6e2ab2bf5e,26/06/2023 01:03:24,ESCANER
12379,"Suchitepéquez",10,"Patulul",14,1683,206,5,6,31,1,29,4,2,1,10,13,2,0,4,108,5,3,116,0,116,--,206,90,108,116,116,Algún campo sin dato,1,8b7ba95e0b4428bd5e040a2ee3f42fe8df7c979aa8f377b8fcc426f518f66397,25/06/2023 22:49:55,ESCANER
12380,"Suchitepéquez",10,"Patulul",14,1683,206,6,3,34,0,24,2,5,1,5,8,1,0,1,90,3,0,93,0,93,--,206,113,90,93,93,Algún campo sin dato,1,d371439d7a38d0e9db2ea5dc569dd49bcc6fdfaa7a584fd081aafd0922e9b4d3,25/06/2023 23:06:27,ESCANER
12381,"Suchitepéquez",10,"Patulul",14,1684,380,8,26,27,1,30,7,3,2,20,25,4,0,0,153,22,16,191,0,191,--,380,189,153,191,191,Algún campo sin dato,1,9a3023da9d2cf15466eb7ef0332d8b18e90823de8c8240485d4d3d2ff1dea7c4,25/06/2023 23:44:01,ESCANER
12382,"Suchitepéquez",10,"Patulul",14,1684,380,11,13,34,1,72,6,3,2,17,20,3,1,0,183,8,9,200,0,200,--,380,180,183,200,200,Algún campo sin dato,1,0babc52f558d091bdc778b4a8f58f5dbdabcc441890601bf1fa3f7f9589dc783,26/06/2023 00:14:55,ESCANER
12383,"Suchitepéquez",10,"Patulul",14,1684,380,11,25,22,0,35,8,5,1,26,31,3,0,1,168,13,6,187,0,187,--,380,193,168,187,187,Algún campo sin dato,1,62f735a6a916830e8229d5fab029a87ec62c6569ac38a4efbd0993b817574e1f,25/06/2023 22:28:52,ESCANER
12384,"Suchitepéquez",10,"Patulul",14,1684,222,10,7,13,2,24,4,0,0,7,10,1,0,1,79,7,4,90,0,90,--,222,132,79,90,90,Algún campo sin dato,1,d49a165534078ec3fcad1870703adb4c6f07885f477e5fa84d28b1cf8e5d8d80,25/06/2023 21:22:57,ESCANER
12385,"Suchitepéquez",10,"Patulul",14,1684,221,8,7,6,1,22,3,0,0,7,7,0,0,0,61,7,3,71,0,71,--,221,150,61,71,71,Algún campo sin dato,1,a988a20b8b0524e9fbd4c5a6573475dee0715713292cfbcd5e29cb5c080eaa5c,25/06/2023 21:35:47,ESCANER
12386,"Suchitepéquez",10,"Patulul",14,1685,380,22,10,102,2,31,9,5,3,23,37,0,0,6,250,31,5,286,0,286,--,380,94,250,286,286,Algún campo sin dato,1,817672d85970be4c4bee8e270b05f6ad5a9361397cef841ae70d689bb9934df3,26/06/2023 00:01:50,ESCANER
12387,"Suchitepéquez",10,"Patulul",14,1685,380,19,5,111,5,14,8,6,0,17,43,1,1,1,231,27,2,260,0,260,--,380,120,231,260,260,Algún campo sin dato,1,01ee9d3ab493fea1ee3527f4c032bcf288efb690457ae2a79890225feacd8fc7,25/06/2023 23:53:51,ESCANER
12388,"Suchitepéquez",10,"Patulul",14,1685,380,13,10,64,3,11,11,12,3,22,58,3,0,5,215,17,4,236,0,236,--,400,164,215,236,236,Algún campo sin dato,1,29a80b405e0d4926337af5ae533d443ddf46de25bcfb4ef24f1987e64e93a58c,26/06/2023 01:07:56,ESCANER
12389,"Suchitepéquez",10,"Patulul",14,1685,363,13,8,79,3,9,10,12,3,30,51,2,0,5,241,13,3,257,0,257,--,363,118,225,241,241,Sumas Asentadas sin cuadrar,1,36298ed2c52f7673fca0e4e067760a5cb542da0fd9cc6900cbfbbd31b3f402a1,26/06/2023 03:08:46,ESCANER
12390,"Suchitepéquez",10,"Patulul",14,1685,362,20,4,71,5,10,4,5,1,26,38,1,0,2,187,2,2,191,0,191,--,362,171,187,191,191,Algún campo sin dato,1,14763de39ca2d71dcbcb7a3c2e485c7c18e1c21d4f079a810197b4ec54da57b4,26/06/2023 00:18:02,ESCANER
12391,"Suchitepéquez",10,"Patulul",14,1686,600,17,4,46,1,45,8,22,5,21,33,2,1,4,209,17,4,230,0,230,--,597,367,209,230,230,Algún campo sin dato,1,7387324b21869009613cf206d3e9df289135d71b4ae0fa4d45b303c9b6fcdf58,25/06/2023 23:33:20,ESCANER
12392,"Suchitepéquez",10,"Patulul",14,1686,348,13,1,25,0,16,9,19,5,10,14,4,0,4,120,6,6,132,3,135,--,348,213,120,132,135,Algún campo sin dato,1,19f7b6257c45107566470da3deb0344956ed617a06554fa2fb74bf8c7910708c,25/06/2023 22:27:39,ESCANER
12393,"Suchitepéquez",10,"Patulul",14,1686,347,7,3,18,0,14,2,9,4,2,12,3,0,0,74,4,1,79,0,79,--,347,268,74,79,79,Algún campo sin dato,1,a2e3727a5c844c30a859e887a641389a3e64a23ac4dacfbb8372f88924c0611e,25/06/2023 21:22:40,ESCANER
