TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
86,86,100.0000,86,100.0000,0,31196,19405,62.2034

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,VIVA,VAMOS,UNE,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17842,"Quiché",14,"Sacapulas",16,2719,380,93,0,4,144,0,0,241,6,5,252,0,252,--,380,128,241,252,252,Algún campo sin dato,1,2aea4fd0c511c65334665f28adb621ae12b7088a7847596a5d17ea69d1d4abf9,26/06/2023 00:16:35,ESCANER
17843,"Quiché",14,"Sacapulas",16,2719,380,86,0,8,158,1,0,253,3,5,261,0,261,--,380,119,253,261,261,Algún campo sin dato,1,ebede7004f8eeb209f58a34d8ce200763636982f76df3b7bc7a1c74765075152,25/06/2023 23:21:13,ESCANER
17844,"Quiché",14,"Sacapulas",16,2719,311,73,1,1,101,0,0,176,4,2,182,0,182,--,311,129,176,182,182,Algún campo sin dato,1,0907f6ce32d6f4302ac857440f4caa26f61fae10156b965aefe6f245b6b4a150,26/06/2023 01:07:05,ESCANER
17845,"Quiché",14,"Sacapulas",16,2719,310,61,0,1,84,0,0,146,4,2,152,0,152,0,310,158,146,152,152,,1,cfa9b9017bf293c7250a15fdf358126ed94fbfe00f23dc6c9cee12ec9843b71d,25/06/2023 22:58:50,ESCANER
17846,"Quiché",14,"Sacapulas",16,2720,380,134,3,2,105,2,2,248,14,2,264,0,264,--,380,116,248,264,264,Algún campo sin dato,1,e5a9e36e26dac39f4cc16269396250369eb49ed10b86022dd17b663f7f4febe4,25/06/2023 23:18:37,ESCANER
17847,"Quiché",14,"Sacapulas",16,2720,380,113,5,2,114,2,1,237,15,3,255,0,--,--,380,125,237,255,255,Algún campo sin dato,1,229a7c5367f162017d16fdbc35564de3f1e995f3cf641cbd4d31f161fb572028,25/06/2023 23:13:07,ESCANER
17848,"Quiché",14,"Sacapulas",16,2720,380,122,5,1,126,0,0,254,14,9,277,0,--,1,380,102,254,277,277,Algún campo sin dato,1,7885414d60f6895c6aad8b95ed4dd23e66af3ae93efcace6ed917383f0a7ef51,25/06/2023 23:58:07,ESCANER
17849,"Quiché",14,"Sacapulas",16,2720,380,117,5,2,116,1,3,244,10,3,257,--,--,--,380,123,244,257,257,Algún campo sin dato,1,eab3297921f7fc88fe063fe2e815c8f4bcef6b5753a6bef2a6f97c3ac58341ea,25/06/2023 22:28:15,ESCANER
17850,"Quiché",14,"Sacapulas",16,2720,380,106,7,1,113,1,0,228,10,2,240,--,--,1,380,139,228,240,240,Algún campo sin dato,1,a076f8e08e5b1e892df1386fa86979a9a6b26d01e7c00c0260546197a8cfc59d,25/06/2023 22:19:11,ESCANER
17851,"Quiché",14,"Sacapulas",16,2720,380,124,2,1,109,0,0,236,11,10,257,0,--,--,380,123,236,257,257,Algún campo sin dato,1,f85558160bd6025b08b4b05ee27764fdbd1136fff5860dd3702517004f2e058f,25/06/2023 23:44:29,ESCANER
